cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
157,15,0.4,5,6,153,4.28917e-07,7.86914e-07,1.08645e-29,16.3967,0.545062,1062.49,2846.28,2770.88,4.93814,21.3097,20.4691,-0.171472,-1.01543e-30,7.41111e-13,1.02923,0.946359,43497.5,65074.8,1.50353,24.6529,1.4096,23.1127,1.39745,0.0066,1.42186,4.5,4.58782,1.77503e-29,26.7886,1.67429,1.63379 
158,15,0.4,5,6,153,4.1874e-07,7.62448e-07,1.05267e-29,15.8869,0.549205,1062.49,2846.28,2770.88,4.93723,21.31,20.4694,-0.19168,-1.10817e-30,9.8123e-13,1.00611,0.925797,39565.1,59428.6,1.51609,24.0859,1.41852,22.5359,1.41858,0.0066,1.46567,4.5,4.53287,1.76097e-29,26.5764,1.66103,1.67285 
159,15,0.4,5,6,153,4.27435e-07,7.73533e-07,1.06798e-29,16.1178,0.552575,1062.49,2846.28,2770.88,4.93852,21.3096,20.469,-0.207999,-1.22748e-30,9.09779e-13,0.987814,0.909523,41316,62212.6,1.52634,24.6013,1.42581,22.981,1.43566,0.0066,1.4507,4.5,4.61046,1.78077e-29,26.8752,1.6797,1.66742 
160,15,0.4,5,6,153,4.22188e-07,7.76318e-07,1.07182e-29,16.1759,0.543834,1062.49,2846.28,2770.88,4.93938,21.3093,20.4687,-0.165453,-9.64418e-31,7.30157e-13,1.03622,0.952576,41763.9,61647.6,1.49981,24.2607,1.40696,22.7588,1.39116,0.0066,1.47739,4.5,4.66187,1.79369e-29,27.0702,1.69189,1.67349 
161,15,0.4,5,6,153,4.30298e-07,7.7932e-07,1.07597e-29,16.2384,0.552146,1062.49,2846.28,2770.88,4.93657,21.3103,20.4696,-0.205932,-1.22343e-30,5.27078e-13,0.990117,0.911571,42250.2,62476.3,1.52503,24.7641,1.42488,23.1378,1.43349,0.0066,1.44107,4.5,4.49336,1.75075e-29,26.4221,1.65138,1.62714 
162,15,0.4,5,6,153,4.17127e-07,7.61644e-07,1.05156e-29,15.8701,0.547667,1062.49,2846.28,2770.88,4.9367,21.3102,20.4695,-0.184197,-1.0608e-30,7.14886e-13,1.01461,0.933356,39440.1,58800.7,1.51143,23.9865,1.41521,22.4595,1.41075,0.0066,1.4366,4.5,4.50115,1.75277e-29,26.4527,1.65329,1.66682 
163,15,0.4,5,6,153,4.29203e-07,7.58499e-07,1.04722e-29,15.8046,0.565859,1062.49,2846.28,2770.88,4.93708,21.3101,20.4694,-0.271387,-1.60818e-30,3.91857e-13,0.919866,0.849089,38953.5,57539.9,1.56696,24.7651,1.45478,22.9921,1.50213,0.0066,1.42417,4.5,4.52391,1.75866e-29,26.5416,1.65885,1.67936 
164,15,0.4,5,6,153,4.12914e-07,7.80803e-07,1.07802e-29,16.2693,0.528832,1062.49,2846.28,2770.88,4.9365,21.3103,20.4696,-0.0907819,-5.17538e-31,7.06521e-13,1.12693,1.0333,42491.9,62513.7,1.45468,23.6667,1.37502,22.3706,1.31333,0.0066,1.46302,4.5,4.48934,1.7497e-29,26.4063,1.6504,1.62308 
165,15,0.4,5,6,153,4.13034e-07,7.72836e-07,1.06702e-29,16.1033,0.53444,1062.49,2846.28,2770.88,4.93713,21.3101,20.4694,-0.118949,-6.78311e-31,9.9584e-13,1.09182,1.00205,41204.4,62179.5,1.47149,23.6959,1.3869,22.3336,1.34266,0.0066,1.42372,4.5,4.52708,1.75948e-29,26.5539,1.65962,1.64897 
166,15,0.4,5,6,153,4.22822e-07,7.68116e-07,1.0605e-29,16.005,0.550466,1062.49,2846.28,2770.88,4.93692,21.3101,20.4695,-0.197801,-1.1547e-30,7.31781e-13,0.999209,0.919658,40454.1,60380.2,1.51992,24.3263,1.42125,22.747,1.42498,0.0066,1.44454,4.5,4.51477,1.7563e-29,26.5059,1.65662,1.6561 
