cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,3,4,10,31,25924,-0.074223,47.9723,13.1214,84.5044,0.0123551,110.104,0.00864666,-0.546347,-0.403485,-0.752812,-2.52813,-2.52821,69.0385,12112.1,30.6611,16507.3,20535.4,-0.981064,-0.838202,-1.62225,-2.96285,-2.96292,0.826818,12024.3,28.8679,16419.4,0.445905,0.995816,0.00322825,26966,0.026554,1045.16,0.0266173,0.0419002,0.138804,-26.9785,103.523,100.789,-175019,9.08384,11.5783,101.264,231.36,2.25827,-130.571 
32,20,21,2.2,32,26895.3,-0.76164,49.5721,13.5668,84.3264,0.0868542,926.67,2.05888e-09,-1.88451,1.4978,1.41541,-1.65399,-2.75347,125.498,13005.5,35.1336,16718.2,24513.3,-2.67474,0.707571,-0.165047,-2.44422,-3.5437,0.979674,12845.8,31.8739,16558.5,0.460191,0.995677,0.00353339,27914,0.0275488,990.149,0.0275505,0.0291525,-0.699723,-32.7501,103.723,98.9331,-271588,5.61378,10.9959,100.173,232.046,3.55016,-133.113 
33,3,4,0,33,27477.4,-0.316693,50.2968,13.2936,84.1765,0.244252,-39.3772,0.369936,1.97121,0.696718,3.89538,-0.423846,-1.71057,87.8283,13589.3,41.5082,16740.3,22079,1.41818,0.143686,2.78931,-0.976878,-2.2636,-1.51133,13477.5,39.2269,16628.5,0.471085,0.994932,0.00432675,28609.5,0.0281451,1031.34,0.0281098,0.040681,-0.506921,-26.8316,103.664,101.75,-267329,5.16225,10.8797,100.023,231.515,3.64107,-129.766 
34,3,4,10,34,25613.8,-0.04858,47.5472,13.1015,84.4111,0.0877443,-24.6163,7.71987e-07,-0.493242,-0.52417,0.293757,-3.62317,-4.81981,85.3442,12333.5,39.9197,16162.7,20349,-1.03063,-1.06156,-0.781022,-4.16056,-5.35719,0.936968,12224.9,37.7029,16054.1,0.455573,0.994632,0.00430754,26834.1,0.0262362,997.519,0.0262077,0.0317167,-0.556545,-26.4735,103.599,100.103,-265804,5.14293,11.0178,100.027,232.068,3.57204,-131.965 
35,20,21,2.2,35,26876.7,-0.344555,48.9059,13.5464,84.5929,0.160301,-74.9406,500,0.750026,1.31909,1.27479,-2.08904,-0.255315,156.276,12777,37.1268,17021,21957.7,-0.234006,0.335054,-0.693276,-3.07308,-1.23935,0.858649,12578.1,33.0676,16822.1,0.451051,0.99542,0.00360802,27886.2,0.0275298,1055.35,0.0274616,0.108924,-0.381323,-27.2845,103.678,96.5984,-176165,5.14226,10.7692,100.003,230.33,3.67538,-133.731 
36,3,4,0,36,26505.3,0.114349,49.9888,12.8096,84.6298,-0.042257,1.69062,6.02175e-12,-0.385647,-0.55769,0.408705,-0.142036,-0.750226,140.563,12673.5,33.5604,16802,20847.4,-1.27073,-1.44278,-1.36147,-1.02712,-1.63531,0.797924,12494.6,29.9094,16623.1,0.452348,0.995828,0.00330349,27621.6,0.0271494,989.48,0.0351648,0.768215,0.0267265,-27.9136,103.502,96.9321,-176879,426.145,145.509,73.2209,742.947,30.2814,-646.015 
37,3,4,10,37,27261.5,-0.793187,50.0643,13.6247,84.7526,0.480238,-90.8063,11.8384,1.59759,3.54201,3.89601,1.19041,1.5959,123.351,12875.7,40.3913,17281,23624.6,0.820882,2.7653,2.3426,0.413702,0.819191,0.672898,12718.7,37.1874,17124,0.4494,0.994909,0.00398447,28301.6,0.027924,981.549,0.0277982,0.0487905,-0.791441,-31.8791,103.606,94.7764,-178897,5.31001,10.886,100.023,230.535,3.58351,-135.758 
38,20,21,2.2,38,25875.2,-0.033534,48.613,12.9353,84.6402,0.0340116,222.464,470.022,0.47335,-0.306374,-0.0834826,-3.63648,0.751157,80.8714,12574.6,38.9859,16077,20716.5,-0.0358759,-0.8156,-1.10193,-4.1457,0.241931,0.811866,12471.6,36.8853,15974.1,0.461775,0.994851,0.00423554,27008.1,0.0265039,994.987,0.0267908,0.0402092,-0.282759,-37.7076,103.818,96.568,-176022,56.538,18.5982,98.205,259.468,5.61269,-162.9 
39,3,4,0,39,28257.4,-0.0199571,51.8739,-13.3091,85.1611,-0.0387305,-4.66562,500,3.13587,4.26206,3.13332,0.910624,3.21229,112.558,14066.1,35.1404,17278.8,22480.5,2.42712,3.55331,1.71582,0.201874,2.50354,0.835043,13922.9,32.2168,17135.6,0.471702,0.995967,0.00345141,29516.2,0.028944,1033.52,0.0286951,0.0399208,-2.56989,-29.9445,105.369,96.3156,-144925,5.13564,10.344,100.012,230.181,5.3574,-133.865 
40,3,4,10,40,26283.9,-0.889191,49.2765,13.6325,84.3891,-5.65555,4716.09,23.2617,-0.798283,-2.65017,-0.333597,1.10469,0.53434,117.525,12844.4,32.4951,16630.5,890133,-1.53831,-3.3902,-1.81364,0.364663,-0.205683,0.724503,12694.8,29.4425,16480.9,0.458421,0.995958,0.00328005,27692.5,0.0269226,1036.33,0.0270042,0.0171541,-1.22793,-27.5929,104.216,96.1066,-365683,5.15699,10.995,100.013,232.513,4.20373,-136.406 
