cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
141,140,0.75,10,0.01,141,6.91849e-07,6.75631e-07,9.32811e-30,14.0779,1.024,1062.49,2846.28,2770.88,5.1575,21.2349,20.3992,-1.91332,-1.8276e-29,5.57968e-14,0.155219,0.151494,27530.3,44794.4,2.99829,42.2096,2.67064,37.597,3.21465,0.0066,1.1518,3.7,18.1552,3.23542e-29,48.8287,3.05179,3.46847 
142,140,0.75,10,0.01,142,6.67177e-07,6.57512e-07,9.07794e-30,13.7003,1.0147,1062.49,2846.28,2770.88,5.15867,21.2345,20.3988,-1.88714,-1.73832e-29,2.74997e-13,0.159528,0.155613,25374.2,41613.7,2.9694,40.6817,2.6421,36.1977,3.18776,0.0066,1.15208,3.7,18.2296,3.23992e-29,48.8966,3.05604,3.56901 
143,140,0.75,10,0.01,143,6.75474e-07,6.70418e-07,9.25613e-30,13.9693,1.00754,1062.49,2846.28,2770.88,5.15856,21.2345,20.3988,-1.86686,-1.74102e-29,4.32456e-13,0.162952,0.158883,26898,44496,2.94716,41.1696,2.62025,36.603,3.1669,0.0066,1.18823,3.7,18.2225,3.2395e-29,48.8902,3.05564,3.49984 
144,140,0.75,10,0.01,144,7.11089e-07,6.58238e-07,9.08797e-30,13.7155,1.08029,1062.49,2846.28,2770.88,5.15347,21.2363,20.4005,-2.06725,-2.02955e-29,4.57532e-13,0.132198,0.129422,25458.4,43175.8,3.17281,43.5167,2.84642,39.04,3.37258,0.0066,1.16649,3.7,17.8982,3.21976e-29,48.5924,3.03702,3.54288 
145,140,0.75,0.01,10,145,6.11422e-07,6.532e-07,9.01841e-30,13.6105,0.93604,1062.49,2846.28,2770.88,5.05902,21.2687,20.4307,-1.65684,-1.39864e-29,8.91563e-13,0.203219,0.197174,24878.3,42853.8,2.72459,37.083,2.40683,32.7581,2.95051,0.0066,1.23342,3.7,11.9584,2.79503e-29,42.1823,2.63639,3.09924 
146,140,0.75,0.01,10,146,6.18979e-07,6.91279e-07,9.54414e-30,14.4039,0.895411,1062.49,2846.28,2770.88,5.06419,21.2669,20.4291,-1.531,-1.30838e-29,2.68561e-13,0.232157,0.224526,29487.7,47667.3,2.59793,37.4204,2.28957,32.9789,2.82051,0.0066,1.25002,3.7,12.2798,2.8222e-29,42.5923,2.66202,2.95699 
147,140,0.75,10,0.01,147,6.72271e-07,6.57378e-07,9.07609e-30,13.6976,1.02266,1062.49,2846.28,2770.88,5.14237,21.2401,20.404,-1.90954,-1.77238e-29,1.10048e-13,0.155834,0.152082,25358.7,41601.3,2.99411,41.0119,2.6665,36.5245,3.21077,0.0066,1.1342,3.7,17.1919,3.17585e-29,47.9296,2.9956,3.49914 
148,140,0.75,10,0.01,148,6.76317e-07,6.55935e-07,9.05616e-30,13.6675,1.03107,1062.49,2846.28,2770.88,5.14465,21.2393,20.4033,-1.93306,-1.80501e-29,-3.15457e-13,0.152048,0.148461,25192,39286.2,3.02024,41.2791,2.69242,36.7987,3.23494,0.0066,1.18637,3.7,17.3365,3.18495e-29,48.067,3.00419,3.51689 
149,140,0.75,0.01,10,149,6.08537e-07,6.64807e-07,9.17867e-30,13.8524,0.915359,1062.49,2846.28,2770.88,5.04666,21.2729,20.4347,-1.59342,-1.33876e-29,3.98041e-13,0.217308,0.210503,26228.2,42911.8,2.66009,36.8485,2.34677,32.5083,2.88501,0.0066,1.23174,3.7,11.193,2.72749e-29,41.163,2.57269,2.97155 
150,140,0.75,0.01,10,150,6.30827e-07,6.53035e-07,9.01612e-30,13.607,0.965993,1062.49,2846.28,2770.88,5.08468,21.2599,20.4225,-1.7465,-1.52112e-29,3.29255e-13,0.184896,0.179787,24859.4,40354.6,2.81791,38.3434,2.49514,33.9516,3.043,0.0066,1.24587,3.7,13.5565,2.9242e-29,44.1318,2.75824,3.2433 
