cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
34,0.12,0.83,34,18007,-0.119933,30.22,13.7783,119.789,-0.0557706,125.912,500,-4.92917,-5.80528,-5.96923,-3.37514,-8.12917,-230.595,10168.5,54.956,8395.04,13783.2,-3.47718,-4.35328,-3.06524,-1.92314,-6.67718,0.842776,10352.2,71.654,8578.72,0.54684,0.988032,0.0151531,18930.9,-0.00115417,0.794304,14.1416,11.4813,119.174,87.8327,0.607427,14.0075,12.662,119.298,137.652,-0.123709,-49.8192 
35,0.18,0.77,35,27696,-0.374548,48.229,13.3545,119.226,0.25733,39.3976,416.718,-11.1304,-9.62284,-16.9183,-8.93477,-4.28425,-179.97,391.984,12.554,28098,21296.8,-9.99715,-8.48962,-14.6519,-7.80155,-3.15103,0.667692,535.336,25.586,28241.3,0.0186031,0.922816,0.00166612,28776.7,-0.00178422,0.0651213,-10.9977,-11.0778,120.724,93.9177,2.27991,13.5735,11.512,118.412,137.421,2.31238,-43.5028 
36,0.07,0.88,36,21628,-0.0167935,36.6166,13.6244,119.674,-0.0109795,2.93246,3.90517e-13,-4.05962,-4.73859,-18.6394,-5.16968,-3.65517,-205.332,8429.7,73.6974,13816,16241.2,-2.7667,-3.44567,-16.0536,-3.87676,-2.36224,0.436815,8593.25,88.5661,13979.5,0.380691,0.982283,0.0115359,22572.8,-0.00132526,0.676353,13.8395,11.4333,119.367,87.4661,0.986846,14.0044,12.7662,118.95,137.103,0.41688,-49.6369 
37,0.34,0.61,37,18933.8,-0.0283448,30.4888,14.253,119.653,0.0380259,-27.5507,6.18344e-12,-4.4024,-7.04737,0.653532,-5.83332,-5.58106,-172.753,12555.4,69.2441,6805.79,14180.4,-3.31462,-5.95959,2.82909,-4.74554,-4.49328,1.18038,12693,81.7535,6943.4,0.646402,0.988854,0.021229,19636.4,-0.00120193,0.939299,14.7214,11.5973,119.131,87.7341,0.464588,14.3294,13.2724,118.988,137.787,0.142568,-50.0528 
38,0.4,0.55,38,15261.7,-0.0174641,25.3409,14.2291,119.48,0.0309021,-29.5812,0.343064,-3.81859,-3.88088,-4.82046,-2.20952,-7.109,-250.866,11389.2,64.9727,4744.09,11767.8,-2.23896,-2.30124,-1.66119,-0.62989,-5.52937,0.865606,11589,83.1385,4943.92,0.700966,0.987601,0.0300467,16533,-0.00158124,0.818047,14.9876,11.9861,118.888,87.5872,0.321708,14.3512,13.4354,119.029,137.256,-0.141145,-49.6688 
39,0.27,0.68,39,27229.5,0.00960309,46.7472,13.3903,119.181,-0.0838825,59.2281,500,-9.04144,-9.78551,-19.9482,-7.87084,-4.14724,-124.761,1294.27,32.0755,26684.4,20538.8,-8.25585,-8.99992,-18.377,-7.08526,-3.36165,0.601191,1393.65,41.1097,26783.8,0.0494598,0.950913,0.00281943,28177.5,-0.00171036,0.1561,11.271,10.2212,119.679,90.6091,2.06433,13.7685,11.9434,118.399,137.712,1.27954,-47.1031 
40,0.39,0.56,40,23193.7,-0.0705709,40.329,13.2658,119.649,-0.0918695,93.1538,499.999,-10.6167,-10.3977,-14.7036,-6.0411,-5.64335,-209.908,6239.32,53.9358,17725.1,17694.5,-9.29493,-9.07597,-12.0601,-4.71937,-4.32162,0.694464,6406.52,69.1357,17892.3,0.263656,0.981465,0.0070676,24298.8,-0.00132035,0.561381,13.073,10.6666,119.326,87.9566,1.34061,13.6355,12.2698,118.874,137.412,0.45201,-49.4553 
41,0.46,0.49,41,28108.8,-0.0971585,48.138,13.3664,119.042,0.107153,-28.7481,1.86116,-12.93,-10.3152,-10.5439,-9.29715,-5.57594,-192.049,60.4441,14.2421,28765.4,21046.2,-11.7207,-9.10597,-8.12531,-8.08787,-4.36666,0.803768,213.418,28.1488,28918.3,0.00732597,0.812469,0.00178988,29131.7,-0.00130587,-0.0265721,-15.0187,7.47865,113.532,74.221,2.26382,13.7148,11.7751,118.277,137.456,-4.74501,-63.235 
42,0.06,0.89,42,16592.2,-0.061522,27.4947,14.089,119.555,0.0263909,55.3622,1.23682e-11,-5.26554,-5.80452,-8.77916,-1.22929,-5.45743,-240.338,12946,47.3896,4498.11,12657.8,-3.75219,-4.29118,-5.75247,0.284058,-3.94408,0.670456,13137.4,64.7931,4689.55,0.736941,0.991443,0.0248197,17827,-0.00150678,0.971495,14.8358,11.5234,118.964,87.4965,0.327381,14.0316,12.6636,119.011,137.448,-0.0475482,-49.9514 
43,0.09,0.86,43,26662.6,-0.173237,46.7426,13.2251,119.309,-0.260962,415.171,2.22193e-06,-10.6638,-6.21303,-15.1876,-10.6073,-7.56518,-162.339,-19.4159,2.49817,27608.3,23650.6,-9.64163,-5.19083,-13.1432,-9.58508,-6.54297,0.701993,109.893,14.2535,27737.6,0.00394625,0.815008,0.000945709,27847.5,-0.00145873,-0.0265405,-15.8553,7.45277,116.361,73.9729,2.23045,13.5153,11.6151,118.518,137.688,-2.1568,-63.7156 
