cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
34,0.12,0.83,34,26378.6,0.0778931,44.4241,13.5957,119.063,-0.0792516,6.53273,1.04701e-11,-4.59321,0.454921,-0.877325,-4.88265,2.66677,-213.467,26321.9,39.7959,1316.23,19678.2,-3.24906,1.79906,1.81096,-3.53851,4.01091,-1.17307,26492,55.2535,1486.27,0.946878,0.996363,0.064093,27978.2,-0.00232926,2.20006,14.0997,10.8627,118.58,87.6021,0.0932797,14.3053,13.9742,119.393,138.792,-0.812412,-51.1896 
35,0.18,0.77,35,24341.4,-0.023459,43.2315,12.7905,119.066,-0.0249231,-18.6065,500,-4.35112,-5.16549,-4.29949,-2.93199,-4.69372,-199.319,11152.4,58.6929,13987.2,18015.5,-3.09606,-3.91043,-1.78938,-1.67693,-3.43866,0.871374,11311.2,73.1261,14146,0.444323,0.988813,0.00943275,25457.2,-0.00130192,1.04122,12.8657,10.5013,118.409,87.3611,1.1435,13.2016,11.6392,118.48,136.499,-0.0713427,-49.1376 
36,0.07,0.88,36,23494.1,-0.318888,41.4177,13.1948,118.953,0.592727,-518.595,425.093,-8.30805,-4.48921,-14.6429,-5.18542,-4.94741,-160.456,3737.31,27.3843,20562.2,27796.8,-7.29771,-3.47887,-12.6222,-4.17507,-3.93706,0.599433,3865.12,39.0033,20690,0.157406,0.982647,0.00346058,24555.1,-0.00141105,0.388847,12.1436,10.1085,118.653,88.3541,1.66548,13.5695,11.4948,118.202,136.964,0.451059,-48.61 
37,0.34,0.61,37,24145.8,-0.303225,44.7402,12.4915,119.22,0.266263,-34.4416,421.803,-1.34411,-6.55821,-12.3726,-7.35958,-4.59332,-178.515,9434.35,32.7451,15728.8,18491.6,-0.220049,-5.43415,-10.1244,-6.23552,-3.46925,0.602705,9576.55,45.6719,15871,0.376324,0.991723,0.00527305,25447.6,-0.00141023,0.952091,12.2032,10.2236,118.685,87.2654,1.34694,12.9451,11.2813,118.59,136.287,0.0941,-49.022 
38,0.4,0.55,38,24489.5,-0.34434,44.0957,12.9491,118.896,-0.224179,1136.15,483.622,-6.62307,-9.75428,-17.0864,-8.16494,-5.26831,-216.35,880.394,9.12475,24552.9,26879.2,-5.26077,-8.39198,-14.3618,-6.80264,-3.90601,0.629116,1052.73,24.7912,24725.2,0.0408383,0.960419,0.00184362,25777.9,-0.00163436,0.115396,-10.5239,-10.5373,119.139,90.2889,2.06448,13.2333,11.3476,118.134,136.768,1.00458,-46.479 
39,0.27,0.68,39,23010.8,0.0674364,42.0742,12.478,119.042,-0.0230934,-60.481,500,-1.82683,-5.47592,-7.3205,-2.86434,1.17077,-220.031,16554.6,31.1905,7603.01,17136,-0.441356,-4.09044,-4.54956,-1.47887,2.55624,0.431589,16729.9,47.1235,7778.27,0.682626,0.995095,0.0110369,24508.2,-0.00162702,1.5649,12.9537,10.3384,118.482,87.8452,0.681412,12.5251,11.1327,118.48,137.186,0.00191844,-49.3406 
40,0.39,0.56,40,22492.2,-0.191834,41.6681,12.4648,119.352,0.0243117,34.1547,500,-3.96344,-1.69684,-10.7285,-2.77361,-2.27583,-209.562,11852.1,19.3996,11693,16934.7,-2.64389,-0.377286,-8.0894,-1.45405,-0.956274,0.401712,12019.1,34.5744,11859.9,0.503333,0.994991,0.0053415,23878.9,-0.00147839,1.14534,12.6262,10.3463,118.812,87.1989,1.02032,12.7501,11.2648,118.734,136.301,0.0782398,-49.1016 
41,0.46,0.49,41,24196.2,-0.214551,44.3524,12.5265,119.446,0.03358,-161.061,500,-6.29672,-1.83266,-3.78939,-2.4589,-1.24252,-221.147,16875.9,38.6355,8312.17,18262,-4.90422,-0.440158,-1.00438,-1.0664,0.149977,0.861754,17052.1,54.6493,8488.33,0.667651,0.994423,0.0117208,25540.4,-0.00149116,1.59656,12.8933,10.3587,118.871,87.5765,0.740312,12.4504,11.2828,119.091,136.839,-0.220341,-49.2628 
42,0.06,0.89,42,21084.8,0.0379361,39.4253,12.2499,119.252,-0.0949178,18.8915,1.08229e-12,-6.20475,-1.28335,-6.65757,-3.99527,-4.61948,-240.37,10782.2,31.8434,11482.9,15780.2,-4.69121,0.2302,-3.63048,-2.48172,-3.10593,0.734598,10973.6,49.2491,11674.4,0.484529,0.992207,0.0077111,22648,-0.00155163,1.06941,12.4875,10.1733,118.639,88.0788,1.01602,12.7383,11.1325,118.726,137.356,-0.0877404,-49.277 
43,0.09,0.86,43,21942.1,-0.0489611,39.734,-12.7475,119.25,0.0808018,-47.3796,315.031,-9.38306,-4.25091,-11.425,-5.40029,-5.33556,-229.875,2586.47,13.7613,20344.2,16613.1,-7.93559,-2.80345,-8.53009,-3.95283,-3.8881,0.685353,2769.57,30.4071,20527.3,0.118882,0.981149,0.00272128,23296.9,-0.00150256,0.287438,11.1952,10.2571,119.069,88.2203,1.70045,13.2721,11.3768,118.4,136.845,0.669425,-48.6248 
44,0.19,0.76,44,25849.7,0.0984409,45.1754,12.9186,119.188,-0.142127,9.98739,1.92062e-12,-2.75346,0.631959,-0.791376,0.708219,-1.16241,-229.232,22661.2,13.6479,4127.71,19044.4,-1.31005,2.07537,2.09545,2.15163,0.281,0.60414,22843.8,30.2471,4310.3,0.841265,0.997688,0.0127618,27154.1,-0.00167679,2.0449,13.4591,10.4671,118.653,87.4752,0.357747,12.6911,11.4501,119.129,136.906,-0.476286,-49.4311 
45,0.51,0.44,45,26417.7,-0.342557,48.0905,12.8069,119.264,0.194919,2058.68,402.039,-5.90393,-6.03263,-5.51279,-2.21687,-3.993,-190.522,18268.8,58.4149,9316.57,33112.1,-4.70426,-4.83296,-3.11345,-1.01721,-2.79333,0.810861,18420.6,72.2111,9468.33,0.660498,0.993187,0.0138543,27888.9,-0.00174428,1.68747,13.0912,10.4798,118.735,86.9646,0.820602,12.6276,11.2388,118.714,136.213,0.0213207,-49.2481 
46,0.26,0.69,46,23753.5,-0.0155656,42.9154,-12.6469,119.245,-0.0126464,32.8424,500,-4.36236,-6.99586,-7.20145,-2.87136,-5.43501,-215.688,8449.58,38.8436,16169.8,17681.7,-3.00423,-5.63773,-4.4852,-1.51323,-4.07688,0.760371,8621.38,54.462,16341.6,0.345366,0.989066,0.00610175,24963,-0.00127472,0.839672,12.3831,10.1962,118.72,87.7014,1.36844,13.127,11.2885,118.605,136.673,0.115198,-48.9719 
47,0.37,0.58,47,25549,-0.244008,44.9487,13.1853,119.137,0.191922,595.275,499.706,0.485397,-1.71261,-6.20692,0.0617385,-5.72121,-188.474,23549,42.0898,3171.63,23012.2,1.67217,-0.525839,-3.83338,1.24851,-4.53443,0.358213,23699.1,55.7377,3321.76,0.877067,0.995901,0.029983,27020.9,-0.00189209,2.10746,13.5994,10.445,118.649,86.5992,0.281275,12.3814,11.4902,118.803,136.071,-0.153604,-49.472 
48,0.29,0.66,48,25977,-0.409057,44.7151,13.6564,118.982,0.460583,155.049,5.37036,-2.88409,-1.64058,1.49879,-0.611397,-1.94962,-249.804,25828.7,43.146,1474.5,22203.3,-1.31114,-0.0676285,4.64469,0.961554,-0.37667,-0.206161,26027.7,61.2349,1673.48,0.939588,0.9959,0.0631485,27701.2,-0.00238664,2.22732,13.9797,10.6276,118.436,87.3211,0.102694,14.4657,13.8462,119.507,137.726,-1.07099,-50.4049 
49,0.1,0.85,49,21984.6,-0.294609,41.0153,12.4571,119.133,1.48529,1254.09,332.643,-6.05545,-2.25647,-4.43557,-2.37522,-6.36959,-219.125,10337.3,21.2383,12675.7,77269,-4.67568,-0.876703,-1.67603,-0.995454,-4.98982,0.87316,10511.8,37.1057,12850.3,0.449953,0.993861,0.00529101,23362.1,-0.0013961,1.03103,12.3374,10.2227,118.6,87.6674,1.09986,12.8612,11.224,118.619,136.743,-0.0194964,-49.0758 
50,0.3,0.65,50,23278.4,0.0112704,42.9202,-12.4751,119.098,-0.0137582,19.2374,3.45654e-11,-1.66081,-2.6404,-4.45578,-1.99419,-6.35327,-240.302,18726.1,11.6305,5846.24,17438.8,-0.14769,-1.12728,-1.42955,-0.481069,-4.84015,0.821879,18917.5,29.0314,6037.65,0.75806,0.997322,0.00877979,24955.2,-0.00178925,1.77447,12.9618,10.3084,118.583,87.228,0.531371,12.3594,11.1189,118.69,136.571,-0.10765,-49.3427 
