cyc,freq,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
159,2,0.01,100,159,4.0136e-07,5.93433e-07,8.19324e-30,12.3652,0.676334,950.317,2545.79,2478.35,4.48666,19.0274,18.2795,-0.750882,-4.16092e-30,4.55101e-13,0.538721,0.507818,26071.3,40831.1,1.91261,23.6497,1.71041,21.1495,2.00773,0.0066,1.33914,3.7,4.49409,1.75094e-29,26.425,1.65156,2.13705 
160,2,0.01,100,160,3.90925e-07,6.09883e-07,8.42036e-30,12.7079,0.640984,950.317,2545.79,2478.35,4.48204,19.0289,18.281,-0.605406,-3.26757e-30,-3.34452e-15,0.632861,0.592844,28300.1,42262.4,1.80136,22.8915,1.62581,20.6607,1.85443,0.0066,1.32461,3.7,4.21138,1.67502e-29,25.2793,1.57995,1.98925 
161,2,0.01,100,161,3.98835e-07,6.01541e-07,8.30517e-30,12.5341,0.663023,950.317,2545.79,2478.35,4.48337,19.0285,18.2805,-0.696871,-3.83734e-30,3.48331e-13,0.571825,0.537799,27154.5,41817.8,1.87071,23.4476,1.67825,21.0353,1.95086,0.0066,1.33205,3.7,4.29287,1.6974e-29,25.617,1.60106,2.04379 
162,2,100,0.01,162,4.04494e-07,5.89083e-07,8.13317e-30,12.2745,0.686651,950.317,2545.79,2478.35,4.48797,19.0269,18.2791,-0.792127,-4.42375e-30,1.67204e-13,0.514801,0.486096,25502.1,38632.8,1.94509,23.875,1.73558,21.3034,2.05111,0.0066,1.34306,3.7,4.57387,1.77148e-29,26.735,1.67094,2.17809 
163,2,0.01,100,163,4.02789e-07,5.81897e-07,8.03396e-30,12.1248,0.692199,950.317,2545.79,2478.35,4.48402,19.0283,18.2803,-0.814092,-4.52725e-30,6.84058e-14,0.502522,0.474925,24580.2,37916.4,1.96256,23.7956,1.74921,21.2088,2.0742,0.0066,1.26469,3.7,4.33256,1.70816e-29,25.7793,1.61121,2.12617 
164,2,100,0.01,164,4.10978e-07,5.67514e-07,7.83539e-30,11.8251,0.724172,950.317,2545.79,2478.35,4.48621,19.0275,18.2796,-0.937866,-5.32161e-30,1.85603e-13,0.438857,0.416762,22802.2,35379.8,2.06314,24.3968,1.82894,21.6274,2.20407,0.0066,1.3005,3.7,4.46654,1.74375e-29,26.3165,1.64478,2.22548 
165,2,100,0.01,165,4.31597e-07,5.50232e-07,7.59678e-30,11.465,0.784392,950.317,2545.79,2478.35,4.48808,19.0269,18.2791,-1.15896,-6.90606e-30,2.22347e-13,0.345342,0.330504,20781.8,32781.5,2.25206,25.8199,1.98459,22.7533,2.435,0.0066,1.29036,3.7,4.58038,1.77314e-29,26.76,1.6725,2.33407 
166,2,0.01,100,166,4.00872e-07,5.73118e-07,7.91276e-30,11.9419,0.699457,950.317,2545.79,2478.35,4.48497,19.0279,18.28,-0.842604,-4.66351e-30,2.73723e-13,0.487041,0.460818,23484.4,36854.2,1.98539,23.7093,1.76713,21.1028,2.10415,0.0066,1.27061,3.7,4.39024,1.72362e-29,26.0126,1.62579,2.17827 
167,2,100,0.01,167,4.03199e-07,5.6833e-07,7.84665e-30,11.8421,0.709446,950.317,2545.79,2478.35,4.48746,19.0271,18.2793,-0.881439,-4.90677e-30,5.92305e-13,0.466757,0.4423,22900.6,36468.3,2.01682,23.8833,1.79196,21.2206,2.14491,0.0066,1.31214,3.7,4.54299,1.76358e-29,26.6157,1.66348,2.24755 
168,2,100,0.01,168,3.73886e-07,5.57462e-07,7.6966e-30,11.6156,0.670694,950.317,2545.79,2478.35,4.48119,19.0292,18.2812,-0.728107,-3.75853e-30,6.6055e-13,0.552428,0.520242,21611.9,34738.7,1.89485,22.0099,1.69674,19.7087,1.98376,0.0066,1.30333,3.7,4.15937,1.66054e-29,25.0606,1.56629,2.15749 
