cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
101,18,0.7,0.01,10,101,4.19317e-07,8.30208e-07,1.14623e-29,17.2987,0.505074,1062.49,2846.28,2770.88,4.93712,21.3101,20.4694,0.0320437,1.85511e-31,5.33394e-13,1.29355,1.18171,51079,76349.3,1.38422,23.9453,1.32547,22.929,1.18601,0.0066,1.39426,3.7,4.52654,1.75934e-29,26.5518,1.65949,1.5349 
102,18,0.7,10,0.01,102,4.8132e-07,7.986e-07,1.10259e-29,16.6401,0.602705,1062.49,2846.28,2770.88,4.95978,21.3024,20.4622,-0.439919,-2.92341e-30,7.44487e-13,0.761264,0.707856,45464.1,70516.7,1.68126,27.9765,1.53715,25.5784,1.67971,0.0066,1.35717,3.7,5.88863,2.05904e-29,31.0748,1.94217,1.86746 
103,18,0.7,0.01,10,103,4.21234e-07,8.16728e-07,1.12762e-29,17.0179,0.515758,1062.49,2846.28,2770.88,4.93944,21.3093,20.4687,-0.0239131,-1.39073e-31,5.60441e-13,1.21481,1.11155,48631,71901.4,1.41575,24.093,1.34759,22.9331,1.24391,0.0066,1.41322,3.7,4.66541,1.79457e-29,27.0835,1.69272,1.59148 
104,18,0.7,10,0.01,104,4.83476e-07,8.30781e-07,1.14702e-29,17.3107,0.581954,1062.49,2846.28,2770.88,4.95928,21.3026,20.4624,-0.346251,-2.31127e-30,1.64053e-13,0.845636,0.783043,51184.7,76188.3,1.61664,27.985,1.4904,25.7998,1.58089,0.0066,1.36355,3.7,5.85852,2.05338e-29,30.9894,1.93684,1.79019 
105,18,0.7,10,0.01,105,4.85782e-07,8.08478e-07,1.11623e-29,16.846,0.60086,1062.49,2846.28,2770.88,4.96377,21.3011,20.461,-0.431711,-2.89547e-30,3.61324e-13,0.768296,0.714132,47172.3,71155.6,1.6755,28.2254,1.53296,25.8241,1.67105,0.0066,1.36186,3.7,6.12914,2.10292e-29,31.737,1.98356,1.88395 
106,18,0.7,10,0.01,106,5.00086e-07,8.11438e-07,1.12031e-29,16.9076,0.616296,1062.49,2846.28,2770.88,4.96451,21.3008,20.4607,-0.499698,-3.45013e-30,6.46874e-14,0.712,0.663839,47692.2,71576.9,1.72382,29.1458,1.56827,26.5158,1.74284,0.0066,1.34162,3.7,6.17388,2.11084e-29,31.8566,1.99104,1.88415 
107,18,0.7,0.01,10,107,4.36988e-07,7.90879e-07,1.09193e-29,16.4793,0.552535,1062.49,2846.28,2770.88,4.93947,21.3093,20.4687,-0.207805,-1.25375e-30,7.44508e-15,0.98803,0.909715,44158.3,64042,1.52622,25.1509,1.42572,23.4949,1.43545,0.0066,1.42203,3.7,4.66751,1.7951e-29,27.0914,1.69322,1.64397 
108,18,0.7,10,0.01,108,4.83319e-07,8.21183e-07,1.13377e-29,17.1107,0.588564,1062.49,2846.28,2770.88,4.96587,21.3004,20.4603,-0.376426,-2.51187e-30,4.30951e-13,0.81746,0.757954,49431.3,75202.8,1.63716,28.013,1.50519,25.7549,1.6127,0.0066,1.3652,3.7,6.25621,2.12523e-29,32.0738,2.00461,1.87449 
109,18,0.7,10,0.01,109,4.86468e-07,8.00683e-07,1.10546e-29,16.6835,0.607567,1062.49,2846.28,2770.88,4.96192,21.3017,20.4616,-0.461441,-3.09924e-30,3.40213e-13,0.743133,0.691669,45820.8,69691.5,1.69647,28.3032,1.54824,25.8301,1.70244,0.0066,1.37232,3.7,6.01761,2.08284e-29,31.4341,1.96463,1.88414 
110,18,0.7,0.01,10,110,4.20115e-07,8.02924e-07,1.10856e-29,16.7302,0.523231,1062.49,2846.28,2770.88,4.94038,21.309,20.4684,-0.0623429,-3.61609e-31,5.22037e-13,1.1635,1.06586,46206.7,69231.9,1.43796,24.0574,1.36322,22.807,1.28378,0.0066,1.41258,3.7,4.722,1.8086e-29,27.2952,1.70595,1.63149 
