cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
38,0.25,3.75,38,16704.8,-0.0923765,29.204,12.7835,121.947,0.00512162,36.2048,60.9629,-0.0890291,3.63838,-7.80691,-1.97931,0.457076,80.4729,1685.89,920.92,13779.3,12159.1,-0.595746,3.13166,-8.82034,-2.48603,-0.049641,-2.8354e-05,1595.44,899.638,13688.8,0.183097,0.503324,0.10799,8713.64 
39,0.27,3.73,39,17200.2,-0.120761,29.9565,12.9291,121.818,0.0265955,73.5346,165.384,1.07699,1.30648,-2.97645,-1.38897,-3.52855,35.5485,1591.15,710.919,14739.1,12671.9,0.853155,1.08264,-3.42412,-1.61281,-3.75239,0.500386,1551.2,701.518,14699.2,0.168704,0.558215,0.0808101,9194.76 
40,0.33,3.67,40,16834.9,-0.0595089,29.2221,12.7821,121.907,0.0208596,45.2854,500,-1.98816,1.63738,1.95305,1.09224,3.95887,13.9746,1577.97,646.306,14345.8,12190,-2.07615,1.54939,1.77706,1.00425,3.87087,0.709888,1562.26,642.61,14330.1,0.173317,0.581452,0.076303,9013.92 
41,0.05,3.95,41,15766.6,-0.125413,27.3367,13.0482,121.699,0.0572463,11.3008,0.0337724,-0.6098,-0.710521,1.06261,2.59118,0.828786,10.5095,1408.95,554.353,13545.1,11632.7,-0.675975,-0.776696,0.930264,2.52501,0.762611,0.663583,1397.14,551.573,13533.3,0.165647,0.591408,0.0698353,8434.43 
42,0.01,3.99,42,17549.4,-0.0208519,29.6674,-13.0578,122.181,0.00316746,-20.6026,500,-0.17638,-0.678993,-4.03725,-0.767281,1.09832,49.3265,1759.64,685.332,14686.1,12612.9,-0.486976,-0.989589,-4.65844,-1.07788,0.787725,0.274969,1704.2,672.287,14630.7,0.183008,0.591592,0.07804,9312.15 
43,0.11,3.89,43,15906.9,-0.0319857,27.3886,12.9725,121.675,0.0203558,-23.7308,500,1.08104,0.871211,1.2999,-2.88617,-1.08295,50.0671,1701.39,671.363,13287.2,11581.8,0.765779,0.555951,0.66938,-3.20143,-1.39821,1.25661,1645.12,658.122,13230.9,0.192971,0.588208,0.0839374,8525.21 
44,0.07,3.93,44,14987.8,-0.0171877,25.6737,13.0814,121.769,0.0168148,-13.6671,4.71758e-11,4.42563,5.43456,-3.18108,0.49092,-0.952458,57.8509,1614.45,658.09,12485.6,10940.4,4.06136,5.07029,-3.90962,0.126649,-1.31673,1.96966,1549.43,642.79,12420.6,0.193482,0.579375,0.0870353,8008.14 
45,0.13,3.87,45,17521.7,-0.0712705,29.9519,12.9768,122.053,0.0103479,5.57229,471.637,5.6073,6.90369,-1.61618,4.00476,0.547989,7.12184,1800.57,731.99,14618.1,12654.7,5.56246,6.85884,-1.70587,3.95991,0.503144,1.11239,1792.57,730.106,14610.1,0.190906,0.58385,0.0842953,9389.82 
46,0.09,3.91,46,15296.8,-0.136276,26.6521,13.0467,122.039,-0.0513069,62.1017,421.017,2.79591,-4.66444,-1.47592,1.04825,3.634,65.169,1402.73,572.838,13189.4,11423.3,2.38556,-5.07479,-2.29662,0.637897,3.22365,-1.0427,1329.48,555.603,13116.1,0.16313,0.577587,0.072384,8149.86 
47,0.17,3.83,47,17357.4,-0.115505,30.373,12.8445,121.923,0.404812,-482.48,228.556,4.41832,3.05175,-5.24823,0.249323,-0.892595,32.8362,1710.47,777.921,14664.7,19058,4.21156,2.84499,-5.66175,0.0425618,-1.09936,17.7511,1673.56,769.237,14627.8,0.18034,0.55421,0.0883161,9280.03 
48,0.41,3.59,48,15731.7,-0.0356195,27.2665,12.8932,121.755,-0.0348773,16.7673,1.25735e-11,-2.30068,-0.921508,0.66969,-4.10591,0.34916,76.1409,1518.33,636.297,13370.9,11463.3,-2.78011,-1.40095,-0.289188,-4.58535,-0.130279,0.968518,1432.75,616.16,13285.3,0.17177,0.570582,0.0787105,8341.1 
49,0.23,3.77,49,15709.4,-0.0858776,26.6023,13.1933,121.948,-0.018769,36.5861,496.812,0.817113,0.165631,-1.33424,-1.79777,1.27553,40.5804,1439.67,541.793,13429.9,11447.6,0.561589,-0.089893,-1.84529,-2.0533,1.02001,0.233327,1394.05,531.061,13384.3,0.166875,0.600003,0.0681128,8353.87 
50,0.15,3.85,50,15475.1,-0.0263571,27.2038,12.6427,122.063,-0.0030852,12.0021,9.87611e-12,2.11234,-1.05821,1.14139,-0.482442,3.49121,35.2392,1573.23,726.619,12902.6,11197.3,1.89045,-1.2801,0.697611,-0.704334,3.26932,0.819876,1533.62,717.299,12863,0.186518,0.549903,0.0931548,8222.39 
51,0.21,3.79,51,17695.9,-0.00766565,30.6148,12.8491,122.118,-0.00223397,-8.98886,500,-0.754516,2.22363,3.47041,2.07675,-0.893296,45.8618,1754.66,758.407,14837,12806.2,-1.0433,1.93485,2.89285,1.78797,-1.18208,0.34108,1703.11,746.278,14785.5,0.181345,0.565988,0.0850684,9391.56 
52,0.03,3.97,52,16398.9,0.0764074,27.7675,12.9122,121.735,-0.0240881,-15.3694,1.39772e-11,4.16285,-0.612054,-0.73543,-4.58916,-1.43851,18.4839,1679.09,689.618,13590.2,11683.7,4.04646,-0.728442,-0.968206,-4.70555,-1.5549,0.752417,1658.32,684.73,13569.4,0.190296,0.580523,0.085049,8714.43 
53,0.31,3.69,53,15686.6,-0.103514,27.3279,12.898,121.918,0.0141314,13.6872,495.256,-0.0815867,2.16322,-0.0365749,-2.78946,-2.39878,0.432835,1419.3,606.126,13405.1,11480.5,-0.0843122,2.16049,-0.0420258,-2.79218,-2.40151,0.986699,1418.82,606.012,13404.7,0.169123,0.572256,0.0768775,8389.24 
54,0.35,3.65,54,16862.6,-0.0399536,28.8321,12.9328,121.912,-0.047174,9.21297,500,-0.697326,0.118417,2.82498,-0.798247,-0.56591,46.7859,1616.72,755.819,14088.5,12152.6,-0.991924,-0.176181,2.23579,-1.09284,-0.860508,3.52439,1564.13,743.446,14035.9,0.176482,0.545914,0.0888976,8862.81 
55,0.37,3.63,55,15677,-0.0223006,27.5437,12.6183,121.948,0.00479166,-12.3945,499.999,1.44093,0.707208,2.90512,-5.79229,3.81087,24.9033,1416.73,488.264,13431.6,11316,1.28412,0.550398,2.59151,-5.9491,3.65406,-0.216107,1388.74,481.678,13403.6,0.166144,0.622286,0.0620883,8358.63 
56,0.29,3.71,56,17180.9,-0.0787713,29.6368,12.8937,121.755,-0.0576973,136.099,465.342,-2.65329,-1.77188,-3.47501,-1.12364,0.686134,22.7081,1618.64,638.356,14663.6,12695.1,-2.79627,-1.91487,-3.76099,-1.26663,0.543147,0.591002,1593.12,632.351,14638.1,0.173073,0.590102,0.0737114,9204.91 
57,0.19,3.81,57,16952.7,-0.0940217,29.3788,12.8971,122.436,0.274378,-102.962,178.954,1.13578,0.124015,2.88159,-2.15683,0.610525,39.702,1588.95,743.348,14265.4,13254.1,0.885788,-0.125978,2.38161,-2.40683,0.360532,-1.17474,1544.33,732.849,14220.8,0.17276,0.546314,0.0866999,8939.14 
