cyc,freq,VVA,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
65,47.3227,3,10,65,11016.6,-0.0107065,20.7458,12.9993,89.4629,-0.0769183,-28.5638,500,-1.381,-1.29144,-3.95792,-2.771,-2.21654,-29.4342,1489.13,27.9302,11480.4,8850.54,-1.19566,-1.10611,-3.58725,-2.58566,-2.03121,0.658549,1528.12,28.6947,11519.3,0.130999,0.968184,0.00456773,11665.1,5056.77,1816.05,126057,-0.00236388,0.0730338,16.9928,15.8717,89.9981,76.5534,0.83277,13.4943,12.7779,89.2341,125.795,0.764016,-49.242 
68,47.3227,3,200,68,9098.13,-0.309657,17.7583,13.1061,89.5561,-0.0386343,-254.705,4.25601,-0.5317,-0.895286,-1.58055,-2.47999,-2.15135,-28.0641,560.908,30.7636,10199.8,7896.82,-0.354988,-0.718574,-1.22712,-2.30328,-1.97464,0.813468,598.084,31.4925,10237,0.0622572,0.915627,0.00563501,9606.66,3867.94,571.19,96545.2,-0.00255067,0.0262156,30.9783,19.5527,73.9578,90.5597,0.720927,13.3907,13.0667,89.5761,125.449,-15.6183,-34.8894 
70,47.3227,3,75,70,10789.6,-0.0831584,20.1979,13.1816,89.2086,0.132368,3.18648,2.61545e-07,-0.139726,-0.819843,-2.48568,-2.18918,-0.558474,-4.11617,1060.1,35.1653,11552.1,8680.79,-0.113808,-0.793924,-2.43384,-2.16326,-0.532556,0.596872,1065.55,35.2722,11557.6,0.0948319,0.945243,0.00559044,11236.2,4834.61,994.393,121079,-0.0029132,0.0344675,29.9299,23.7266,80.6617,85.6912,0.79723,13.5868,13.1657,89.152,125.769,-8.49032,-40.0774 
72,47.3227,3,15,72,11389.3,-0.0253989,21.195,13.1089,89.2462,-0.0100116,1.1019,500,-3.63662,-1.82497,-3.14928,-2.485,-2.75673,-9.99842,1469.57,29.5017,11737.1,9045.11,-3.57366,-1.76201,-3.02337,-2.42204,-2.69377,0.775629,1482.82,29.7614,11750.3,0.125417,0.966068,0.00464406,11823.1,5147.52,1781.14,128419,-0.00231798,0.067039,16.8105,18.1939,89.4555,78.3261,0.828786,13.6728,12.9551,89.1281,126.855,0.327385,-48.5293 
74,47.3227,3,150,74,10036.8,-0.256144,18.3416,13.47,89.4048,0.219039,-37.0039,244.108,1.96729,0.363049,-1.30076,-0.0686301,-2.24905,-59.8184,714.582,32.6342,10711.7,8306.52,2.34395,0.739709,-0.54744,0.30803,-1.87239,1.56329,793.822,34.1879,10790.9,0.0771464,0.929914,0.00580233,10289.8,4139.77,637.548,103570,-0.00219084,0.0278775,31.077,20.05,77.0667,90.6453,0.736868,13.6663,13.0927,89.2874,126.14,-12.2207,-35.4943 
75,47.3227,0,5,75,12503.5,-0.33858,24.0334,12.8983,89.8481,0.383474,261.128,37.2485,-2.36101,1.17762,-0.640544,-1.74032,-2.23504,-17.4438,523.968,35.5268,13883.2,13351,-2.25117,1.28746,-0.420866,-1.63048,-2.1252,0.918124,547.076,35.9798,13906.3,0.0427916,0.896786,0.00474347,12784.7,7666.99,673.762,194485,-0.00158426,-0.0112212,-15.4975,-1.9504,93.4701,62.9968,1.06376,13.174,12.311,89.6834,127.177,3.78675,-64.1806 
77,47.3227,3,5,77,11655.4,-0.0208181,21.9627,12.9998,89.6613,-0.00257851,0.881334,500,-2.38965,-0.83808,-0.995036,-2.30884,-1.46987,-32.3497,1596.16,30.1814,12078.6,9294.44,-2.18595,-0.634383,-0.587641,-2.10514,-1.26617,0.913318,1639.01,31.0217,12121.4,0.133189,0.96794,0.00469228,12305.9,5505.07,2055.54,137103,-0.00248622,0.0767054,16.7599,16.5445,89.4844,77.1672,0.858908,13.6302,12.9251,89.4828,126.046,0.00161511,-48.8792 
79,47.3227,3,30,79,10784.5,-0.348354,20.934,13.0773,89.4829,-0.331191,393.684,488.031,-1.58209,-1.77656,-3.02124,-1.69692,-3.09118,-14.1073,1288.59,26.2338,11390.4,13156.3,-1.49326,-1.68773,-2.84358,-1.60809,-3.00235,0.732621,1307.28,26.6002,11409.1,0.115207,0.965616,0.00427649,11347.3,4927.68,1494.58,122772,-0.00238128,0.063777,16.576,16.6612,89.4965,77.6071,0.814042,13.4684,13.0467,89.3744,126.724,0.122107,-49.1173 
81,47.3227,3,1,81,11862.7,-0.371172,22.8629,13.1116,89.6823,-0.114496,-755.728,319.887,0.0483874,1.0261,-0.784028,-3.67826,-0.633426,0.693704,1714.26,26.6111,12122.4,12575.2,0.0440194,1.02173,-0.792764,-3.68263,-0.637794,0.804132,1713.34,26.5931,12121.5,0.138393,0.973556,0.0040251,12380.2,5696.84,2444.67,141696,-0.00239642,0.0919036,15.2867,15.6721,90.6691,75.6566,0.883159,13.3979,12.8487,89.517,125.713,1.15206,-50.0565 
83,47.3227,0,5,83,11250.4,-0.00418747,22.485,12.4493,89.6563,0.0111166,-4.87766,6.00068e-12,-1.20531,-0.781881,-2.44844,0.33119,-1.51671,-43.1504,477.677,28.0902,12882.1,9114.2,-0.933606,-0.510174,-1.90503,0.602896,-1.245,0.522658,534.837,29.211,12939.2,0.0448638,0.912759,0.00414143,11921.4,6806.61,599.991,172385,-0.00189597,-0.00885792,10.8792,7.6785,94.9648,57.1618,1.01066,12.9284,12.3447,89.5209,125.816,5.44392,-68.654 
87,47.3227,3,50,87,10022.4,-0.349265,19.2634,13.3574,89.3938,0.162018,249.421,11.6539,-3.4407,-1.16806,0.29107,-1.5039,-4.19466,-45.9449,1049.12,29.3346,10799.6,9691.74,-3.1514,-0.878762,0.869675,-1.2146,-3.90536,1.10503,1109.99,30.528,10860.5,0.104056,0.95408,0.00515136,10667.2,4254.21,1048.88,105963,-0.00278091,0.0359707,28.1495,22.8833,82.1065,85.1365,0.749281,13.555,13.0878,89.1889,126.062,-7.08238,-40.9254 
89,47.3227,3,20,89,11262.5,-0.0254969,21.1484,13.0582,89.2186,0.00743626,19.5118,500,-0.211427,-0.938454,-4.21593,-0.910477,0.991316,-48.2941,1371.64,22.5934,11749,8994.67,0.0926681,-0.634359,-3.60774,-0.606382,1.29541,-0.0425783,1435.62,23.8478,11813,0.121343,0.971751,0.00370502,11831,5160.82,1593.6,128874,-0.00231173,0.066855,17.2276,15.8581,90.1545,77.235,0.828658,13.6025,13.0783,89.0677,126.224,1.08688,-48.9886 
90,47.3227,3,100,90,9947.51,-0.101214,18.7921,13.1878,89.3339,0.207897,31.4178,8.23858e-06,-1.3404,1.23769,-2.18644,-1.20048,-1.4848,-60.4819,855.674,33.8443,10787.5,8280.22,-0.959564,1.61853,-1.42476,-0.819639,-1.10396,0.470229,935.793,35.4153,10867.7,0.0891288,0.937885,0.00596719,10499.3,4284.78,779.2,107164,-0.00270581,0.0307137,30.1127,22.3767,79.1847,88.5178,0.752796,13.611,13.0375,89.2473,126.625,-10.0626,-38.1072 
91,47.3227,3,10,91,10204.3,-0.353873,20.096,13.1493,89.3882,0.0606031,-75.7043,1.21696,-1.23998,0.477733,-1.15587,-0.809522,-2.4039,-27.3762,1516,28.8934,10683.3,8751.5,-1.0676,0.650113,-0.811112,-0.637142,-2.23152,0.802035,1552.27,29.6044,10719.6,0.141302,0.967702,0.00506163,10985.5,4461.01,1981.73,110267,-0.00241147,0.082303,15.4256,15.5161,90.0894,77.0345,0.779198,13.4877,12.77,89.0813,126.452,1.00817,-49.4175 
94,47.3227,3,200,94,9597.92,-0.0653504,18.6876,13.0992,89.4081,0.0514865,13.8327,499.749,0.274086,-0.265066,1.23261,1.13876,-0.326166,-30.5948,557.958,32.624,10942.7,7991.97,0.466733,-0.072419,1.61791,1.33141,-0.133519,0.495997,598.486,33.4187,10983.3,0.0583106,0.910981,0.00557372,10263.7,4316.34,605.708,107968,-0.00293723,0.028297,29.7561,19.3101,76.1439,93.3154,0.744482,13.7093,13.3748,89.3206,126.943,-13.1767,-33.6275 
96,47.3227,3,75,96,9844.57,-0.396958,19.4715,13.294,89.4544,0.171292,-105.447,321.388,0.0314725,-0.24011,-0.334088,-0.114605,0.345945,-19.8342,932.715,31.6169,10954,9014.57,0.156363,-0.115219,-0.0843065,0.0102859,0.470835,1.1925,958.989,32.1321,10980.3,0.090286,0.944612,0.00536171,10621.7,4581.56,854.668,114557,-0.00311114,0.0319906,29.094,22.7641,80.3278,84.7389,0.791946,13.5471,12.74,89.3725,126.875,-9.04463,-42.1358 
98,47.3227,3,15,98,11788.5,-0.0228557,22.0877,12.9939,89.2039,0.038504,-30.6768,500,-1.34524,1.22444,1.63399,-0.377642,-1.53244,5.97309,1517.88,24.5384,12122.2,9381.44,-1.38285,1.18683,1.55877,-0.415253,-1.57005,3.50377,1509.97,24.3832,12114.3,0.124068,0.972517,0.00369403,12170.5,5504.51,2018.53,137251,-0.00233647,0.0825616,14.7557,16.0153,89.9362,76.7806,0.850799,13.7137,13.1057,89.1604,126.331,0.775769,-49.5502 
100,47.3227,3,150,100,9138.51,-0.327317,18.0847,13.0287,89.759,0.321663,163.559,472.553,2.26597,1.67521,3.82215,1.79213,0.255104,-89.9492,630.13,28.1258,10225.5,9382.89,2.83236,2.24159,4.95492,2.35852,0.82149,0.62488,749.283,30.4622,10344.7,0.0760494,0.933579,0.00539522,9852.59,3917.71,635.043,97464.8,-0.0028457,0.0242533,33.2712,22.8621,73.1049,89.2683,0.718033,13.4593,13.2044,89.6974,125.999,-16.5926,-36.7306 
