cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
35,50,35,25039.3,-0.195321,47.0117,12.597,88.8903,0.450878,-105.306,0.000471923,-0.83824,-0.780441,-2.28499,0.282808,-0.498892,44.4012,650.05,12.334,27007.5,20823.8,-1.11782,-1.06002,-2.84416,0.00322556,-0.778475,0.509395,591.233,11.1807,26948.7,0.0243245,0.967966,0.000763684,24306.1,30385.6,871.595,783351,-0.00433195,0.0600365,15.8683,13.8585,60,86.515,2.14192,13.1602,12.2564,88.9814,120.675,-28.9814,-34.1602 
36,0.1,36,29083.6,-0.31487,54.051,12.8738,89.3054,0.27961,327.861,284.572,-1.42557,-0.211881,-4.95524,-0.0878599,0.836282,62.091,2298.97,20.0343,29639.7,25636.2,-1.81654,-0.602852,-5.73718,-0.478831,0.445311,0.299498,2216.72,18.4216,29557.4,0.0785311,0.985665,0.00114677,28227.3,36792.8,6212.28,943972,-0.00397259,0.212566,11.413,10.1302,90.7605,70.9214,2.34761,13.2025,12.2401,89.1773,122.413,1.58312,-51.4918 
37,10,37,26785.2,-0.09873,50.4637,12.5067,89.1788,-0.024767,155.571,4.73097e-12,-3.39591,-1.55573,-6.59238,-2.63255,-1.05847,73.7497,1592.52,13.92,27870.3,20670.9,-3.8603,-2.02012,-7.52115,-3.09693,-1.52285,0.582653,1494.83,12.0044,27772.6,0.0576381,0.986141,0.000795597,25934.7,32448.1,2760.65,834948,-0.00381436,0.114359,13.0754,11.7147,90.6672,70.6535,2.20932,13.0601,12.3509,89.2152,120.682,1.45202,-50.0288 
38,70,38,24495.1,-0.039584,45.7976,12.5239,89.0319,-0.0286316,19.5556,500,-3.12453,-1.42249,-1.10628,-0.349396,-1.02148,39.5722,508.351,13.2657,26476,18689.7,-3.3737,-1.67167,-1.60464,-0.598571,-1.27066,0.811645,455.931,12.2378,26423.5,0.0192306,0.955135,0.000852428,23708.6,28979.1,784.089,747090,-0.00314381,0.0310866,5.10068,-0.0775048,95.0887,70.0517,2.08592,13.1846,12.2807,89.1468,120.1,5.9419,-50.0486 
39,15,39,26294,-0.0934208,48.485,12.6957,88.9952,0.00956481,67.4498,0.28544,-4.48891,-0.73138,-5.30273,-0.759968,-0.909758,51.03,1410.74,14.9716,27375.9,20059.3,-4.81023,-1.0527,-5.94537,-1.08129,-1.23108,0.57896,1343.14,13.6461,27308.3,0.0529326,0.982531,0.000919664,25374.5,30979.3,2055.21,797747,-0.00453573,0.0559493,31.0924,15.5405,82.708,74.4137,2.15618,13.132,12.3422,89.1396,120.993,-6.43155,-46.5795 
40,110,40,25365.8,0.992705,45.107,12.5164,88.8714,2.10991,-680.47,1.47159e-09,-2.32893,-0.673527,-3.83319,-1.11997,-0.184599,15.3635,496.531,12.4593,27482.9,65116.6,-2.42567,-0.770266,-4.02667,-1.21671,-0.281339,0.53826,476.179,12.0602,27462.5,0.0193229,0.957559,0.000808309,24643.2,30639.5,842.834,790159,-0.00446106,0.0638036,-15.4836,13.6112,60,87.7532,2.12917,13.3032,12.3844,88.9728,121.56,-28.9728,-33.8065 
41,1,41,27085.1,-0.0088485,51.156,12.4553,89.0989,-0.021888,-66.8109,500,-2.45715,-2.22476,-1.16812,2.18762,-0.528115,76.25,2199.09,19.2325,27646.4,20789.4,-2.93727,-2.70488,-2.12837,1.7075,-1.00824,0.699011,2098.09,17.2519,27545.4,0.0796598,0.985814,0.0011524,26338.1,32171.6,5375.34,825144,-0.00361226,0.19745,11.2106,10.1612,90.7148,70.698,2.20662,13.0533,12.2434,89.0811,122.19,1.63365,-51.4922 
42,5,42,26082.5,-0.113282,48.5766,12.5987,89.1026,-0.246165,108.679,499.947,-3.30446,-1.36696,-0.490477,-1.3681,-1.74798,65.6955,1891.94,18.685,26868.9,20793.6,-3.71813,-1.78063,-1.31781,-1.78177,-2.16164,0.877527,1804.91,16.9786,26781.9,0.0711352,0.983805,0.00116646,25373,30744.3,3715.04,789779,-0.00359655,0.146924,12.3404,10.9471,90.8095,70.4341,2.17369,12.9989,12.133,89.0663,121.141,1.74313,-50.707 
43,90,43,24078.6,-0.0572986,45.386,12.4537,88.7237,0.0382189,-42.9539,500,-2.68224,-0.887676,-3.82105,-1.52754,-0.229879,7.47444,567.574,10.0789,25995.8,18453.3,-2.72931,-0.934741,-3.91518,-1.57461,-0.276944,0.584851,557.672,9.88481,25985.9,0.0238064,0.969914,0.000700229,23425.3,28371.7,811.761,731421,-0.00298955,0.0109587,-0.042199,19.4032,93.6829,73.4263,2.08442,12.9439,12.2626,88.7939,120.737,4.88895,-47.3107 
44,30,44,25216.5,-0.50022,47.458,12.7369,89.0148,-0.417998,418.088,394.176,-2.52097,-0.116983,-4.62887,-1.61798,0.967611,18.5722,998.388,11.4521,26823.4,25366.4,-2.63792,-0.233927,-4.86276,-1.73493,0.850667,0.4358,973.786,10.9697,26798.8,0.0396545,0.980667,0.000753472,24556.8,30146.1,1199.6,776702,-0.00458439,0.0443971,28.3023,17.8734,68.5233,80.6232,2.14717,13.0709,12.1654,89.0924,120.414,-20.5691,-39.791 
45,2,45,25697.3,-0.506135,49.1531,12.631,89.1432,-0.0374471,214.738,385.329,-1.42147,-2.5541,-6.0682,-1.64867,-0.637993,64.7226,2030.19,12.3755,26427.7,20472.5,-1.82901,-2.96164,-6.88329,-2.05622,-1.04553,0.534148,1944.45,10.6944,26342,0.0773898,0.990467,0.000747304,25125.4,29590.1,4220.22,759306,-0.00356208,0.160906,12.1961,10.664,90.7318,69.7644,2.12677,12.9519,12.2201,89.1641,120.767,1.56766,-51.0022 
46,7,46,24413.4,-0.0402526,46.3535,12.4202,89.0294,0.0382933,-37.0321,500,-2.27251,-1.41324,-3.57843,-0.17286,-0.804071,76.0826,1712.2,16.4897,25171.5,18787.8,-2.75158,-1.89231,-4.53657,-0.651932,-1.28314,0.591871,1611.42,14.5135,25070.7,0.068068,0.984483,0.00106527,23673.6,27207.2,3099.91,698861,-0.00322269,0.133376,11.7876,10.7795,90.3857,70.6873,2.05186,12.8916,12.1276,89.071,121.822,1.31466,-51.1348 
47,25,47,25535.1,-0.515371,48.0248,12.7664,89.2965,0.257263,47.9992,396.52,-1.85976,-1.21064,-4.0204,-1.68094,-0.847435,31.6241,1022,13.1388,27097.1,20360.6,-2.05889,-1.40977,-4.41866,-1.88007,-1.04656,0.591393,980.107,12.3173,27055.3,0.0395384,0.97848,0.000837946,24788.7,30418.9,1355.24,783662,-0.00471416,0.0439558,32.2257,16.3314,73.5975,79.1614,2.13715,13.1848,12.2869,89.3347,121.324,-15.7372,-42.1628 
48,20,48,25694.2,-0.361065,48.5654,12.6111,89.0651,0.505108,42.9292,500,-3.79866,-2.25307,-5.217,-1.75828,-1.08517,1.84687,1090.55,14.8593,27183.8,20643.6,-3.81029,-2.2647,-5.24026,-1.76991,-1.0968,0.630498,1088.11,14.8113,27181.3,0.0435109,0.976733,0.00100277,25007.7,31065.3,1509.26,800371,-0.00477036,0.0439779,33.7057,16.8221,75.9627,79.6583,2.17865,13.066,12.1913,89.173,123.162,-13.2103,-43.5035 
49,150,49,25801.9,-0.0473338,47.2818,12.7924,88.9752,-0.0524539,80.4239,0.0747255,-1.74692,0.745399,-2.96753,0.29538,-2.06013,10.9925,559.299,14.0367,27769.2,19827.1,-1.81614,0.676183,-3.10596,0.226164,-2.12934,0.494892,544.737,13.7512,27754.7,0.0218167,0.957693,0.000911847,24968.8,31714.1,845.309,817967,-0.0030645,-0.0202039,-10.1306,-6.5249,93.2482,51.0273,2.17689,13.2544,12.276,89.1001,121.209,4.14809,-70.1818 
50,40,50,26421.7,-0.507557,49.1398,12.8506,88.7814,0.0658215,40.0635,471.129,-2.87574,-1.34548,-4.13369,-1.16666,-3.02743,16.7931,717.882,11.6825,28404.7,20642.5,-2.98148,-1.45123,-4.34517,-1.2724,-3.13317,0.670407,695.636,11.2464,28382.5,0.0270968,0.972486,0.000729389,25672.2,33236.6,995.82,857130,-0.00444803,0.0657658,16.3586,13.1026,60,87.5581,2.2307,13.3298,12.2053,88.8822,121.562,-28.8822,-34.004 
