cyc,wigglefreq,amplitude,wiggletime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
135,15,0.4,8,3,135,16687.7,0,5,101,125,0,5,135,-1.2836,-0.402292,-5.44547,-2.53196,-1.44698,-180.919,5.01818,19598.1,-17.2907,16439.4,-0.58457,0.296743,-4.0474,-1.83292,-0.747946,0.414785,15.5911,20391.1,-6.71777,2.0706,0.000436725,1.00018,7.52976,231.738,485.741,396.94,25019.1,7.7611e-07,0.432292,106.99,74.8406,16.4469,23.5492,0.698406,245.853,513.531,0.457823 
136,15,0.4,7,4,136,16811.1,0,5,101,125,0,5,135,0.195103,-2.96741,-10.0886,-2.77689,-2.05643,-173.689,14.1984,19617.7,-26.9718,16439.4,0.866201,-2.29632,-8.74642,-2.10579,-1.38533,0.360064,24.3487,20379,-16.8214,5.84877,0.000682274,1.00045,4.16305,248.989,501.802,376382,26067,7.86798e-07,0.449255,106.727,74.7222,16.5515,23.2788,0.711011,248.99,501.804,0.449257 
137,15,0.4,1,10,137,17864.5,0,5,101,125,0,5,135,-2.87684,-5.77908,-7.19254,0.517449,-2.70124,-180.638,9.58079,20807.3,-19.9369,16439.4,-2.17889,-5.08112,-5.79664,1.2154,-2.00329,0.581305,20.1373,21599,-9.38037,2.26749,0.000532473,1.00024,8.88086,249.202,508.684,6.56788e+10,27829.2,8.04143e-07,0.442758,106.829,74.454,16.5587,23.438,0.706489,249.205,508.688,0.442763 
138,15,0.4,6,5,138,18884.8,0,5,101,125,0,5,135,-0.798034,-1.81271,-2.9982,-6.33495,-0.753939,-227.272,6.4364,21962.4,-19.4667,16439.4,0.0800993,-0.934574,-1.24193,-5.45682,0.124195,0.832828,19.7182,22958.5,-6.18493,1.60359,0.000490537,1.00015,12.2963,265.248,566.965,1023.5,30179,8.26167e-07,0.469393,106.585,75.0356,16.7118,23.7162,0.704658,253.836,520.838,0.440109 
139,15,0.4,4,7,139,13303.4,0,5,101,125,0,5,135,-4.7923,-2.7463,-4.82097,-2.3248,-0.462421,-234.728,5.37669,16220.8,-19.8975,16439.4,-3.88535,-1.83935,-3.00708,-1.41786,0.444523,0.690155,19.0942,17249.6,-6.17993,1.63502,0.000632135,1.00019,11.6783,224.94,478.043,359.433,20622.3,7.27689e-07,0.450631,107.022,74.411,16.5016,23.5612,0.700372,247.491,514.053,0.490161 
140,15,0.4,10,1,140,17349.5,0,5,101,125,0,5,135,-0.36191,-1.63791,-3.22974,-2.51488,0.757876,-176.219,19.3138,20301.3,-17.5299,16439.4,0.318966,-0.957034,-1.86799,-1.83401,1.43875,0.356157,29.6121,21073.6,-7.23162,1.41454,0.000802311,1.00019,20.9341,241.127,514.617,449.654,26476.4,7.90896e-07,0.445395,107.32,75.1942,16.7098,23.7969,0.702182,253.774,524.388,0.461244 
141,15,0.4,2,9,141,17842.1,0,5,101,125,0,5,135,-1.18069,-1.15935,-6.82767,-3.43811,-0.902604,-199.899,17.9853,20834.9,-14.1777,16439.4,-0.408324,-0.386983,-5.28293,-2.66574,-0.130236,0.404688,29.6674,21711,-2.49563,1.11228,0.000780229,1.00006,26.6727,246.145,513.407,3.053e+10,27733.9,8.03224e-07,0.442578,106.829,73.9694,16.4566,23.5462,0.698904,246.142,513.4,0.442572 
142,15,0.4,5,6,142,16940.4,0,5,101,125,0,5,135,-2.35019,-3.0456,-6.86651,-5.19808,0.95707,-156.642,19.3095,19995.4,-33.5137,16439.4,-1.74496,-2.44037,-5.65604,-4.59285,1.5623,0.560591,28.4637,20681.9,-24.3595,-37.0726,0.000785815,1.00064,-0.767781,234.226,485.728,883.167,25943,7.85549e-07,0.429379,107.195,75.0729,16.5214,23.2266,0.711312,248.084,499.556,0.448145 
143,15,0.4,0.1,10.9,143,15143.9,0,5,101,125,0,5,135,0.0823969,-1.70768,-5.05704,-4.22534,0.31107,-157.006,4.69976,18122.7,-19.0034,16439.4,0.689036,-1.10104,-3.84376,-3.6187,0.917709,0.447478,13.8752,18810.9,-9.82798,6.66563,0.000421317,1.00028,2.0816,219.103,478.546,356.01,23598.3,7.61132e-07,0.425427,107.263,74.9058,15.895,23.2288,0.684281,229.63,499.65,0.445028 
144,15,0.4,3,8,144,12989.2,0,5,101,125,0,5,135,-1.92571,-0.0931772,-8.19656,-6.76971,-1.99668,-188.574,6.52459,16099.6,-25.4389,16439.4,-1.1971,0.635435,-6.73934,-6.0411,-1.26807,0.538723,17.5449,16926.2,-14.4186,72.3471,0.000591965,1.00046,0.242509,245.717,509.406,2.14191e+06,21644.4,7.39517e-07,0.478411,106.531,74.8447,16.4425,23.4551,0.701021,245.721,509.432,0.478428 
145,15,0.4,9,2,145,16634.7,0,5,101,125,0,5,135,-0.380384,-2.42009,-0.585607,-6.86245,1.27387,-133.925,18.1111,19518.8,-9.03698,16439.4,0.137076,-1.90263,0.449313,-6.34499,1.79133,1.07655,25.9377,20105.8,-1.2104,1.05932,0.000736633,1.00003,24.4852,247.233,515.117,348557,26182,7.87953e-07,0.452903,106.699,75.0586,16.4932,23.586,0.69928,247.24,515.136,0.452918 
146,15,0.4,8,3,146,16669.8,0,5,101,125,0,5,135,0.30525,-1.64196,-8.26191,-1.40199,-5.12019,-119.457,3.20923,19450.4,-18.8383,16439.4,0.766807,-1.18041,-7.33879,-0.940431,-4.65863,0.450338,10.1903,19974,-11.8573,-2.52332,0.000291445,1.00032,-4.03845,212.378,448.574,795.156,23847.9,7.63806e-07,0.4041,106.879,74.3164,16.7456,23.577,0.710253,254.865,514.743,0.474206 
147,15,0.4,7,4,147,12304.7,0,5,101,125,0,5,135,-2.80825,-2.04424,-2.46421,-2.60939,-4.1658,-169.412,15.0928,15217.9,-11.4458,16439.4,-2.15368,-1.38967,-1.15506,-1.95482,-3.51123,0.886363,24.9932,15960.4,-1.54541,1.08015,0.000894027,1.00005,23.1387,262.842,524.625,2.73419e+06,20471.8,7.25913e-07,0.511549,107.009,75.111,17.0057,23.8024,0.714453,262.842,524.631,0.511552 
