cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
10,7,1.8,0.01,10,10,4.24989e-07,8.22578e-07,1.13569e-29,17.1398,0.516654,1062.49,2846.28,2770.88,4.94196,21.3085,20.4679,-0.0285493,-1.67516e-31,4.69676e-13,1.20851,1.10593,49683.7,73108.9,1.4184,24.3111,1.34946,23.1294,1.24871,0.0066,1.43684,3.7,4.81662,1.83162e-29,27.6426,1.72766,1.61277 
11,7,1.8,0.01,10,11,4.22508e-07,8.1874e-07,1.13039e-29,17.0598,0.516046,1062.49,2846.28,2770.88,4.9391,21.3094,20.4688,-0.0254046,-1.48194e-31,9.05682e-13,1.21278,1.10974,48991.4,73865.7,1.4166,24.1669,1.34819,22.9999,1.24545,0.0066,1.41976,3.7,4.64531,1.78955e-29,27.0077,1.68798,1.58312 
12,7,1.8,0.01,10,12,4.27562e-07,8.1698e-07,1.12796e-29,17.0231,0.523345,1062.49,2846.28,2770.88,4.93849,21.3096,20.469,-0.0629247,-3.71453e-31,5.23576e-13,1.16275,1.06518,48676,72368.2,1.4383,24.4843,1.36346,23.2103,1.28438,0.0066,1.40673,3.7,4.6088,1.78035e-29,26.8689,1.67931,1.57838 
13,7,1.8,10,0.01,13,4.68112e-07,8.1319e-07,1.12273e-29,16.9442,0.575649,1062.49,2846.28,2770.88,4.9592,21.3026,20.4624,-0.317167,-2.04984e-30,9.12573e-13,0.873728,0.808044,48001.8,73740.8,1.59712,27.0618,1.47637,25.0159,1.55026,0.0066,1.3724,3.7,5.85327,2.05239e-29,30.9745,1.93591,1.82803 
14,7,1.8,0.01,10,14,4.28847e-07,8.19741e-07,1.13178e-29,17.0807,0.52315,1062.49,2846.28,2770.88,4.94122,21.3087,20.4681,-0.0619253,-3.66653e-31,7.31214e-13,1.16405,1.06634,49171.3,73911.4,1.43771,24.5571,1.36305,23.2817,1.28334,0.0066,1.40773,3.7,4.77201,1.82083e-29,27.4798,1.71749,1.60883 
15,7,1.8,0.01,10,15,4.21121e-07,7.98076e-07,1.10186e-29,16.6292,0.527671,1062.49,2846.28,2770.88,4.93497,21.3108,20.4701,-0.0849085,-4.93676e-31,9.47335e-13,1.13438,1.03993,45374.7,69239.4,1.45121,24.1324,1.37256,22.8247,1.30723,0.0066,1.42941,3.7,4.39776,1.72562e-29,26.0428,1.62768,1.56609 
16,7,1.8,10,0.01,16,4.7586e-07,7.72345e-07,1.06634e-29,16.0931,0.616123,1062.49,2846.28,2770.88,4.9596,21.3025,20.4623,-0.498947,-3.27806e-30,4.59e-13,0.7126,0.664375,41125.9,62691.9,1.72328,27.7329,1.56788,25.232,1.74205,0.0066,1.3505,3.7,5.87781,2.05701e-29,31.0442,1.94026,1.92904 
17,7,1.8,0.01,10,17,4.23587e-07,8.38221e-07,1.15729e-29,17.4657,0.50534,1062.49,2846.28,2770.88,4.93885,21.3095,20.4688,0.0306334,1.79152e-31,8.71426e-13,1.29151,1.17989,52572.3,78564.1,1.385,24.1899,1.32602,23.1598,1.18746,0.0066,1.44023,3.7,4.62994,1.78569e-29,26.9494,1.68434,1.54299 
18,7,1.8,10,0.01,18,4.68782e-07,8.09451e-07,1.11757e-29,16.8662,0.579136,1062.49,2846.28,2770.88,4.95402,21.3044,20.4641,-0.333294,-2.15716e-30,5.52418e-13,0.858038,0.794082,47342.8,71724.8,1.6079,27.1193,1.48412,25.0315,1.56724,0.0066,1.39196,3.7,5.54154,1.99153e-29,30.0559,1.87849,1.78202 
19,7,1.8,0.01,10,19,4.23344e-07,7.84537e-07,1.08317e-29,16.3471,0.53961,1062.49,2846.28,2770.88,4.94016,21.3091,20.4684,-0.144638,-8.45394e-31,3.08872e-13,1.06074,0.974399,43104.5,63493.8,1.48706,24.3092,1.39792,22.8519,1.36944,0.0066,1.40758,3.7,4.70889,1.80536e-29,27.2464,1.7029,1.66674 
