cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
48,25,47.2409,2.3,48,20307,-0.00299049,37.1384,11.7973,122.38,-0.0308889,43.478,1.8356e-11,-3.30148,-3.48462,2.37758,2.04386,-2.06994,-23.2895,1369.89,49.8626,18399.9,14306.4,-3.15483,-3.33797,2.67088,2.19051,-1.9233,1.75136,1395.04,50.8891,18425.1,0.073816,0.939993,0.00506205,18898.8 
49,5,47.2209,2.1,49,20750.3,0.028303,37.5806,11.8705,122.444,-0.0614805,321.041,2.34725e-10,0.589557,0.100629,3.9432,2.55813,1.37073,-78.2477,1072.66,40.6918,19051.1,15164.6,1.08226,0.593334,4.92861,3.05084,1.86343,0.572112,1157.16,44.1407,19135.6,0.0598446,0.937422,0.00423126,19336 
50,-150,47.0659,10,50,20990.2,-0.0534632,38.27,12.0721,122.114,-0.0703188,120.422,434.862,4.39532,-3.10291,3.11013,2.25166,0.131448,-9.77963,201.264,62.5671,20542.5,15315.3,4.4569,-3.04133,3.23329,2.31324,0.193028,0.548116,211.825,62.9982,20553,0.0107323,0.657695,0.00561463,19737.2 
51,-5,47.2109,2.1,51,18442.7,-0.0175635,33.9796,11.8328,122.206,0.00582473,-33.2596,500,-1.72455,2.97936,3.98381,-0.897177,-1.30023,6.31327,1088.03,53.7977,17055.1,13095.1,-1.76431,2.93961,3.9043,-0.93693,-1.33999,-0.393056,1081.22,53.5194,17048.3,0.0625809,0.920282,0.00574965,17277.1 
52,120,47.3359,10,52,17518.2,-0.0336959,30.9607,12.3798,122.246,0.0087339,8.54941,2.72247e-11,2.83177,-2.2479,1.79103,1.31249,0.470113,-19.0779,859.916,33.3082,16378.4,12479.7,2.95189,-2.12777,2.03129,1.43262,0.590242,0.583605,880.518,34.1491,16399,0.0534959,0.936443,0.00382132,16459.6 
53,-10,47.2059,2.1,53,19673.7,-0.0547708,36.5753,11.8537,122.388,0.0062267,4.22848,203.182,-0.980874,0.537407,2.18086,-4.00984,0.389868,-23.278,1083.35,46.7719,18269.1,14114.4,-0.834299,0.683983,2.47401,-3.86326,0.536444,3.46631,1108.49,47.7979,18294.3,0.0599571,0.929835,0.00478986,18488.1 
54,80,47.2959,4,54,17315.8,-0.0932675,31.1841,11.9292,122.01,-0.00216275,81.8907,0.00616596,0.858702,-0.228003,1.74547,2.02197,-0.0271337,-47.5368,864.923,43.3713,15839.9,12115.6,1.15803,0.0713231,2.34412,2.32129,0.272193,0.61989,916.257,45.4666,15891.2,0.0572198,0.9201,0.00524283,16012.9 
55,100,47.3159,7,55,20246.6,0.0348267,35.9007,12.1401,122.344,-0.0324319,8.25025,128.653,2.28129,3.97414,-2.03118,-0.700504,0.620454,0.190586,905.257,47.9537,18720.7,14196.6,2.28009,3.97294,-2.03358,-0.701705,0.619254,1.49156,905.051,47.9453,18720.5,0.0484255,0.915159,0.00469567,18689.6 
56,90,47.3059,4,56,19945.1,-0.01847,35.9576,12.0853,122.256,-0.0223186,-5.19583,500,4.0693,-1.60516,0.178012,0.704658,3.82258,-64.4522,757.777,51.1788,18842.4,14150.1,4.47514,-1.19932,0.989688,1.1105,4.22842,0.896955,827.378,54.0197,18912,0.044024,0.897458,0.00523419,18793.8 
57,20,47.2359,2.3,57,19691.1,-0.0396223,36.4842,11.8466,122.583,-0.0431526,-12.976,88.7754,2.54348,-0.0937017,6.878,0.570995,-1.24049,2.66877,1561.57,42.805,17866.1,14088.2,2.52667,-0.110506,6.84439,0.554191,-1.2573,0.200184,1558.68,42.6873,17863.3,0.0841223,0.954265,0.00438274,18528.8 
58,50,47.2659,2.5,58,18713.2,-0.000689398,33.7817,11.9108,122.336,0.00255892,-3.87357,3.12496e-11,1.90926,4.53791,5.50378,3.66603,3.18039,-18.1817,1046.5,52.3662,17054.9,13098.7,2.02374,4.6524,5.73275,3.78051,3.29487,0.705775,1066.14,53.1676,17074.5,0.061673,0.919734,0.00570333,17286.9 
59,-75,47.1409,2.7,59,17262.1,0.00302914,32.0206,11.6992,122.264,-0.00290673,-12.0386,161.651,-1.71972,-0.508892,5.94328,0.452563,1.86651,-49.1062,330.416,40.9885,16596.6,12196.1,-1.41051,-0.199683,6.56169,0.761772,2.17572,0.168247,383.445,43.1529,16649.6,0.0236686,0.83546,0.00475174,16200.6 
60,-15,47.2009,2.1,60,19185.9,-0.0157211,35.3019,11.8245,122.447,-0.000491443,-23.3792,1.06874e-09,1.8046,0.647107,2.14979,4.63486,2.38862,-53.0179,951.764,52.5751,17869.3,13589,2.13844,0.980946,2.81747,4.9687,2.72246,0.793259,1009.02,54.9119,17926.6,0.0559345,0.913044,0.005611,18039.3 
61,40,47.2559,2.5,61,19402.4,0.0357479,35.2283,11.8483,122.233,0.491871,-653.321,330.98,1.31329,-0.53418,2.62608,0.366732,1.58244,-67.3729,1437.16,54.5225,17282.8,24048.7,1.73752,-0.109951,3.47454,0.790961,2.00666,0.56017,1509.91,57.4921,17355.5,0.0838951,0.937529,0.00606517,17997.7 
62,-30,47.1859,2.3,62,20358,-0.0335965,37.8276,11.7908,122.238,-0.000515893,-20.3587,80.8458,3.00534,1.50869,1.60209,1.67322,1.97228,-58.3208,1124.8,52.4775,18918,14519.7,3.37258,1.87592,2.33655,2.04045,2.33951,0.804718,1187.78,55.0481,18980.9,0.0618004,0.92498,0.00531404,19219.7 
63,10,47.2259,2.1,63,19392.3,0.00636489,35.5918,11.7699,122.307,-0.0194942,-32.4933,500,3.02325,1.4672,2.01462,2.47266,0.178957,-23.3873,1046.89,53.8791,17793.5,13657.6,3.17051,1.61447,2.30914,2.61993,0.32622,0.770012,1072.14,54.91,17818.7,0.0595638,0.917746,0.00564457,17999.9 
64,130,47.3459,10,64,16638.9,0.00475564,29.5099,12.2292,122.262,-0.0218961,0.701282,102.896,-0.0893637,2.83288,0.514052,-1.88273,1.1862,4.59223,555.9,19.3883,15637.8,11748.4,-0.11828,2.80397,0.45622,-1.91165,1.15728,0.808916,550.941,19.1858,15632.8,0.0357704,0.942559,0.00225568,15402.1 
65,110,47.3259,7,65,17777.6,0.0133621,31.6041,-12.1706,122.364,-0.0354733,10.323,46.303,1.7368,1.28365,7.34017,-0.0407967,2.81566,-69.2415,672.934,41.5728,16606.9,12533.2,2.17279,1.71964,8.21216,0.395199,3.25166,0.478641,747.707,44.6248,16681.7,0.0450553,0.905433,0.0049036,16595.3 
66,-200,47.0159,10,66,19188.5,-0.00941881,35.3343,11.8262,121.857,0.00122458,-30.3779,87.3773,-2.73742,-1.55669,3.59392,-0.933361,0.507604,-27.146,159.93,55.0807,18694.9,13604.3,-2.56649,-1.38576,3.93578,-0.76243,0.678535,40.2138,189.245,56.2772,18724.2,0.0105269,0.657717,0.00550613,17977.2 
67,-50,47.1659,2.5,67,19465.6,-0.00119346,35.241,-11.9863,122.496,0.0112319,-74.531,500,1.07681,0.409264,2.81533,1.4601,1.26226,-38.0885,786.339,59.313,18168.8,13778,1.31664,0.649097,3.29499,1.69994,1.50209,0.610648,827.47,60.9919,18210,0.0456486,0.885747,0.00613205,18126.9 
68,15,47.2309,2.1,68,17028.4,0.00332013,31.2708,11.8529,122.205,-0.0248112,5.37092,1.00507e-10,-0.362503,1.40829,0.962182,0.777344,0.688572,-17.9654,937.552,38.1831,15720.2,12070.2,-0.249379,1.52142,1.18843,0.890467,0.801695,0.713813,956.953,38.975,15739.6,0.0601497,0.933468,0.00454079,15909.5 
69,35,47.2509,2.3,69,17626.1,-0.0514415,32.9448,11.7985,122.391,-0.00320606,17.8225,265.181,-0.534736,0.131422,1.31525,-2.53635,1.4425,-41.8784,939.991,31.2404,16495.3,12655.3,-0.271039,0.395119,1.84264,-2.27266,1.7062,-0.315925,985.215,33.0863,16540.5,0.0589996,0.944492,0.00367128,16698.7 
70,-20,47.1959,2.3,70,17840.5,0.068089,33.2354,-11.6974,122.506,0.061736,-88.0923,1.61739e-11,-1.81473,-0.254826,-0.786456,2.8405,-2.49734,-4.90481,1292.75,30.9116,16333.4,12832.7,-1.78385,-0.223942,-0.724687,2.87138,-2.46646,0.688649,1298.04,31.1278,16338.7,0.0771737,0.959724,0.00349723,16819.8 
71,-100,47.1159,7,71,17508.2,-0.0431718,32.0562,-12.0164,122.035,-0.0348965,44.3902,94.0313,-3.74917,1.42505,3.20711,0.953572,-0.455429,-12.878,108.125,45.2193,17225.4,12590,-3.66808,1.50614,3.36929,1.03466,-0.374339,-0.804003,122.031,45.787,17239.3,0.00739612,0.603642,0.00486874,16499.4 
72,-25,47.1909,2.3,72,16919,-0.00388016,31.0811,11.814,122.371,0.0171756,-34.8081,500,-0.954102,3.98696,3.18046,0.95255,-1.22892,2.95802,1055.44,27.8551,15430.4,11972.8,-0.972728,3.96833,3.14321,0.933925,-1.24755,0.460411,1052.25,27.7247,15427.2,0.0669878,0.955923,0.00329958,15708.1 
73,140,47.3559,10,73,15684.3,-0.00944678,27.7139,12.2258,122.344,-0.000265023,1.59521,9.21574e-11,-2.63894,0.641003,6.68186,1.62531,1.18966,-87.9864,569.967,26.5113,14827.9,11029.9,-2.08492,1.19503,7.78992,2.17933,1.74369,0.280248,664.983,30.3895,14923,0.0448047,0.925948,0.00373729,14841.8 
74,70,47.2859,2.7,74,17591.1,-0.0517234,31.501,12.0861,122.301,-0.0183726,22.3214,41.0917,-4.89513,-3.78979,0.682607,-1.23076,-3.0307,-61.6949,655.763,36.4863,16488.2,12407.2,-4.50665,-3.40132,1.45956,-0.842284,-2.64222,1.14694,722.387,39.2056,16554.8,0.0439155,0.913262,0.00434358,16449.5 
