cyc,freq,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
303,0.28,303,3.5889e-07,7.70821e-07,1.06423e-29,16.0613,0.465594,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.250484,1.24115e-30,-3.74569e-13,40882.9,54613.5,1.27033,20.4032,1.24604,20.0131,1.46311,0.0066,1.3995,6.683e-06 
304,0.28,304,3.1577e-07,7.26456e-07,1.00298e-29,15.1369,0.434672,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.436777,1.90421e-30,-1.87921e-13,34222.3,45025.1,1.18458,17.9309,1.18644,17.959,1.64799,0.0066,1.45686,6.683e-06 
305,0.28,305,3.24922e-07,7.70135e-07,1.06329e-29,16.047,0.421903,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.518347,2.32533e-30,5.20161e-13,40773.8,55620.9,1.15017,18.4568,1.16251,18.6548,1.72997,0.0066,1.43104,6.683e-06 
306,0.28,306,3.4123e-07,6.83627e-07,9.4385e-30,14.2445,0.499147,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0636246,2.99748e-31,-2.45716e-13,28519.3,37837.3,1.36683,19.4699,1.31331,18.7075,1.28067,0.0066,1.4167,6.683e-06 
307,0.28,307,3.51456e-07,7.16185e-07,9.888e-30,14.9229,0.490734,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.109151,5.2964e-31,-2.63549e-13,32791.1,43800.5,1.34233,20.0314,1.2962,19.343,1.32486,0.0066,1.40198,6.683e-06 
308,0.28,308,3.55808e-07,7.52905e-07,1.0395e-29,15.688,0.47258,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.210368,1.03342e-30,-2.17658e-13,38098,50869.8,1.29014,20.2397,1.25983,19.7642,1.4237,0.0066,1.41135,6.683e-06 
309,0.28,309,3.35942e-07,7.24376e-07,1.00011e-29,15.0936,0.463768,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.261084,1.21096e-30,-1.04432e-12,33929.3,43675,1.26518,19.096,1.24246,18.7531,1.47354,0.0066,1.43242,6.683e-06 
310,0.28,309,3.54673e-07,7.21546e-07,9.96202e-30,15.0346,0.491546,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.104717,5.12776e-31,-7.73967e-13,33533,44320.2,1.34468,20.2168,1.29784,19.5125,1.32055,0.0066,1.40439,6.683e-06 
311,0.28,309,3.39577e-07,7.1846e-07,9.91942e-30,14.9703,0.472645,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.209996,9.8454e-31,-2.79025e-13,33104.7,43805.2,1.29033,19.3166,1.25996,18.8619,1.42333,0.0066,1.42254,6.683e-06 
312,0.28,309,3.52465e-07,7.3665e-07,1.01706e-29,15.3493,0.478471,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.177054,8.616e-31,-4.44224e-14,35683.3,48031.5,1.30696,20.0609,1.27154,19.5173,1.39107,0.0066,1.41777,6.683e-06 
313,0.28,309,3.38565e-07,7.40972e-07,1.02302e-29,15.4394,0.456921,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.301252,1.40817e-30,-2.5754e-13,36315.1,48326.9,1.24595,19.2367,1.22909,18.9764,1.51318,0.0066,1.43618,6.683e-06 
314,0.28,309,3.25327e-07,7.43725e-07,1.02682e-29,15.4967,0.437429,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.419541,1.88442e-30,2.82077e-13,36721.4,49186.4,1.19209,18.4735,1.19166,18.4668,1.63075,0.0066,1.44898,6.683e-06 
