cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
41,43.3,41,22843.5,-0.176905,44.1421,12.3925,89.0796,0.0482562,79.4042,500,-0.578183,-2.19534,-2.13869,-1.6225,-1.75281,224.469,11721.2,24.0785,13444.5,17932.4,-1.99161,-3.60876,-4.96553,-3.03592,-3.16623,0.70387,11423.9,18.2481,13147.1,0.496834,0.997212,0.00255031,22993.3,14545.7,165209,208686,-0.00253461,1.09742,12.4775,10.3317,89.8391,70.7785,1.16936,12.4556,11.5893,88.6817,123.047,1.15741,-52.2683 
42,43.58,42,21295.7,-0.218502,41.953,12.2197,89.1227,0.0970508,-48.1559,1.42592e-10,-1.8561,-1.39732,1.41755,-1.34043,-0.723377,216.736,11250.6,22.945,12298,16840.7,-3.22083,-2.76205,-1.31191,-2.70516,-2.08811,0.89147,10963.5,17.3154,12010.9,0.509145,0.997244,0.00264862,21533.1,12927.2,154442,177803,-0.00255744,1.06428,12.26,10.4466,89.9184,69.8539,1.08348,12.3054,11.6458,88.5622,122.04,1.35618,-52.1856 
43,43.66,43,20953.8,-0.0924429,41.0701,12.1926,89.1896,0.204772,-207.744,500,-1.10824,-2.42328,0.575184,-0.711502,-0.519568,169.02,10557.5,22.499,12633,17686,-2.17251,-3.48755,-1.55336,-1.77577,-1.58384,0.853083,10333.6,18.1089,12409.1,0.486205,0.996943,0.00268103,21253.5,12197.9,132032,181364,-0.00243685,0.982206,12.1159,10.6143,90.0161,72.3283,1.07503,12.4322,11.9441,88.6555,125.209,1.36063,-52.8805 
44,43.51,44,19402.1,-0.43768,37.6613,12.5092,89.1708,11.4481,-12727,446.288,-1.42365,-0.380386,0.964234,-0.161171,-1.59174,175.585,9605.24,21.7014,11826.1,4.75834e+06,-2.52926,-1.486,-1.24699,-1.26678,-2.69735,0.864845,9372.64,17.1407,11593.5,0.478808,0.99681,0.00271611,19575,10393.8,109502,157154,-0.00210473,0.896828,12.3352,10.3709,89.8732,69.8644,1.00285,12.4898,11.8341,88.779,122.043,1.09417,-52.1786 
45,43.53,45,13522.8,-0.405696,26.0387,13.0476,89.1959,0.675823,319.373,446.417,-0.551805,-1.08299,-1.86286,-0.661399,-0.565997,131.027,6403.95,13.0881,9020.57,18086.1,-1.37685,-1.90803,-3.51294,-1.48644,-1.39104,0.636916,6230.38,9.68478,8847.01,0.444527,0.997287,0.00201249,14015.7,5061.57,44336,84326.5,-0.0020765,0.542873,13.0437,10.8536,90.0808,69.5847,0.702929,13.0208,12.4238,88.706,122.049,1.37487,-52.4647 
46,43.62,46,23030.5,0.0841199,44.1998,12.2794,89.0134,-0.0943667,13.8667,2.45443e-12,-0.60354,-2.77323,0.340324,0.370173,-0.422562,224.433,11780.7,22.2394,13466.6,17710.8,-2.01673,-4.18643,-2.48606,-1.04302,-1.83576,0.785091,11483.4,16.41,13169.3,0.497711,0.997505,0.00229015,23072.4,14439.8,165539,205935,-0.00250753,1.09139,12.4654,10.4715,89.7529,70.3224,1.14817,12.4727,11.8554,88.5767,122.626,1.17617,-52.3039 
47,43.64,47,21700.1,-0.476632,42.0097,12.5069,89.1668,1.73822,382.134,116.21,-0.79999,-1.94022,-2.12153,-0.0826858,-0.302906,242.914,11288.6,25.7315,12526.9,38726.8,-2.32956,-3.46979,-5.18067,-1.61225,-1.83247,0.640848,10966.8,19.422,12205.1,0.505213,0.99691,0.00292278,21707.4,12826.6,153081,176592,-0.00229407,1.0571,12.3943,10.378,89.9202,69.4051,1.06081,12.4671,11.9022,88.6652,121.427,1.25504,-52.0219 
48,43.38,48,22854,-0.506232,45.0415,12.296,89.4376,0.394019,-18.9079,422.706,-0.24947,-1.15104,0.0376385,-0.996019,0.162447,189.218,11900.3,18.9397,13253.9,18271.6,-1.44093,-2.3425,-2.34528,-2.18748,-1.02901,0.749039,11649.7,14.0249,13003.2,0.504478,0.997898,0.0019829,23092.5,14509.2,171585,201666,-0.00267753,1.11916,12.1982,10.5492,90.1764,70.2011,1.13617,12.431,11.9018,88.9465,122.502,1.22985,-52.3014 
49,43.7,49,23259.6,-0.448525,45.1884,12.488,89.1665,0.530772,-293.916,499.976,-1.11246,-0.418917,-0.754813,-1.20243,-0.861907,201.494,11686,22.2968,13896.8,23448.6,-2.38122,-1.68767,-3.29232,-2.47118,-2.13066,0.724792,11419.1,17.0632,13629.9,0.487716,0.997392,0.00230082,23413.3,14688.1,160614,217188,-0.00259423,1.07225,12.3851,10.597,90.0407,70.9974,1.17326,12.5191,11.9387,88.7117,123.507,1.32895,-52.5093 
50,43.54,50,18401.9,-0.0630533,35.9485,12.3356,89.0577,0.0197745,125.997,500,-0.678735,-1.0675,-1.34834,-1.12735,-0.251323,189.893,9299.59,16.0266,11280.1,14516.8,-1.87444,-2.2632,-3.73976,-2.32305,-1.44703,0.678921,9048.04,11.0943,11028.5,0.482482,0.997859,0.00184967,18753.1,9564.48,101367,143731,-0.0023219,0.855682,12.4137,10.4795,89.8485,70.2124,0.958264,12.4717,11.8801,88.6494,122.559,1.19909,-52.3469 
