cyc,Field,#2,#3,#4,#5,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
36,201.6,3.033,44.7386,2.022,1.7063,36,21612.9,0,5,101,125,0,5,135,-4.63535,-3.15836,-6.22813,-4.10174,-6.67085,-86.5584,2.29178,28037.8,-1.73149,16439.4,-4.3009,-2.82392,-5.55924,-3.76729,-6.33641,0.756043,7.35025,28417.1,3.32698,0.64802,0.000147781,0.999936,11.3426,598.333,698.837,775.107,38366.8,8.95915e-07,0.721759,109.438,84.9489,26.2125,27.9364,0.938293,624.572,722.691,0.749896 
37,201.2,2.812,44.676,2.023,1.89523,37,19083.9,0,5,101,125,0,5,135,-3.81512,-2.55576,-6.47822,-3.85677,-8.37704,-29.4915,4.34122,25752.3,-9.99458,16439.4,-3.70117,-2.44181,-6.25032,-3.74282,-8.26309,0.743831,6.06471,25881.6,-8.27109,-1.57092,0.000133882,1.00017,-3.8606,538.069,629.18,0.685799,35725.5,8.74865e-07,0.665067,109.486,84.988,25.0175,26.8044,0.933337,568.925,665.31,0.703232 
38,201.8,3.143,44.7699,2.022,1.61555,38,19056.9,0,5,101,125,0,5,135,-3.44261,0.119905,-11.8991,-8.79944,-8.02389,-28.902,20.204,25976.5,4.80064,16439.4,-3.33094,0.231577,-11.6758,-8.68777,-7.91221,0.627865,21.893,26103.2,6.48967,0.73762,0.000479034,0.999865,29.6806,553.918,642.319,0.648548,35347,8.71765e-07,0.684225,109.209,84.4715,25.5077,27.2085,0.937489,591.434,685.521,0.730406 
39,202.2,3.365,44.8324,2.02,1.44149,39,21575.5,0,5,101,125,0,5,135,-8.36631,-7.9683,-12.2781,-3.99268,-5.67759,-85.1212,20.4476,28493.6,-32.9764,16439.4,-8.03742,-7.63941,-11.6203,-3.66379,-5.3487,0.679966,25.4221,28866.6,-28.0019,-3.10779,0.00050299,1.00053,-8.18014,491.982,554.433,0.633221,38907.4,9.00104e-07,0.580239,109.452,85.6413,24.0682,25.3124,0.950846,526.566,593.307,0.620974 
40,202.3,3.42,44.848,2.02,1.39952,40,22683.4,0,5,101,125,0,5,135,-4.76229,-5.9677,-9.0101,-7.70365,-3.92354,-66.9448,13.9975,29337,-18.4407,16439.4,-4.50363,-5.70904,-8.49278,-7.44499,-3.66488,0.715154,17.9097,29630.4,-14.5285,37.659,0.000345274,1.00027,0.475577,435.244,504.62,0.455219,39430.8,9.04122e-07,0.518348,109.523,85.7165,23.6225,25.1944,0.937608,507.243,587.788,0.603936 
41,203,3.807,44.9571,2.018,1.12313,41,24713.3,0,5,101,125,0,5,135,-5.26556,-7.32282,-7.36964,-2.28752,-6.4924,-90.9398,14.137,31721,-20.0351,16439.4,-4.91419,-6.97145,-6.66689,-1.93615,-6.14102,0.749644,19.4515,32119.6,-14.7206,10.8863,0.000345936,1.00025,1.78679,376.109,439.828,0.4131,42515.9,9.27112e-07,0.438699,109.425,86.5243,22.3333,23.9385,0.932944,453.389,530.648,0.529062 
42,201.1,2.756,44.6603,2.024,1.94401,42,21479.1,0,5,101,125,0,5,135,-4.44101,-5.61799,-1.66936,-3.71761,-3.84785,-68.5731,16.4919,28381.6,-9.34625,16439.4,-4.17606,-5.35304,-1.13945,-3.45265,-3.5829,0.935639,20.4993,28682.2,-5.33884,1.45461,0.000408236,1.0001,14.0927,527.595,597.877,0.581445,38643.9,8.98067e-07,0.625385,109.179,85.1409,25.1603,26.526,0.948516,575.438,651.562,0.681818 
43,202.7,3.641,44.9104,2.019,1.23786,43,24961.4,0,5,101,125,0,5,135,-3.53591,-2.46177,-9.34358,-5.84704,-4.58982,-83.6117,15.9145,31836.3,-20.1259,16439.4,-3.21285,-2.13872,-8.69746,-5.52398,-4.26676,0.63517,20.8008,32202.8,-15.2396,8.27665,0.000368967,1.00026,2.51319,411.78,477.192,0.474093,42595.4,9.2769e-07,0.477833,109.852,85.9774,22.8084,24.3368,0.937202,472.887,548.451,0.548965 
44,201,2.701,44.6446,2.024,1.99342,44,22473.2,0,5,101,125,0,5,135,-5.27375,-5.46264,-3.15363,-3.83604,-6.87126,-110.762,15.5271,29016.5,-12.3745,16439.4,-4.84579,-5.03468,-2.29771,-3.40808,-6.4433,0.895699,22,29502,-5.90158,1.47472,0.00042594,1.00011,14.9181,530.672,613.907,0.723534,39309.8,9.03196e-07,0.631949,109.584,85.2589,24.7537,26.374,0.938565,556.989,644.118,0.663168 
45,201.5,2.978,44.7229,2.022,1.7526,45,20453.7,0,5,101,125,0,5,135,-3.39697,-5.48263,-13.2976,-4.78432,-6.80543,-157.385,15.7731,27163.6,-19.4455,16439.4,-2.78887,-4.87453,-12.0814,-4.17621,-6.19733,0.598869,24.9707,27853.4,-10.2479,1.97035,0.000512027,1.0002,12.6732,590.84,683.594,0.786833,37804.1,8.91514e-07,0.712863,108.932,84.4896,25.9904,27.6956,0.938428,614.03,710.289,0.740772 
