cyc,Field,#2,#3,#4,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
40,201.2,2.812,44.676,2.023,40,17652.4,0,5,101,125,0,5,135,-4.63288,-1.73052,-16.7764,-11.643,-7.39871,-126.568,28.8953,24811.8,-25.6398,16439.4,-4.14385,-1.24149,-15.7983,-11.154,-6.90968,0.597468,36.2919,25366.6,-18.2432,2.52025,0.000816874,1.00039,14.4001,545.839,620.064,762.912,34300.2,8.63073e-07,0.674067,110.685,86.0224,24.5531,25.897,0.948106,547.996,621.027,0.675922 
41,201.7,3.088,44.7542,2.022,41,18310.7,0,5,101,125,0,5,135,-1.34933,-5.90215,-11.2922,-8.52253,-6.69242,-58.3204,14.045,25316.2,-13.1623,16439.4,-1.12399,-5.67681,-10.8416,-8.29719,-6.46708,0.665452,17.4532,25571.8,-9.75404,3.0362,0.000389859,1.00021,5.74837,458.38,538.313,0.637992,33983,8.60404e-07,0.577335,110.696,85.5615,23.2264,24.9208,0.932008,490.374,575.089,0.617204 
42,201.5,2.978,44.7229,2.022,42,17818.9,0,5,101,125,0,5,135,-5.35771,-3.96263,-14.247,-8.36469,-3.45282,-85.7519,3.33032,25159.7,-0.467915,16439.4,-5.02638,-3.63131,-13.5843,-8.03336,-3.12149,0.593246,8.34166,25535.6,4.54343,0.604741,0.000186633,0.999903,13.7938,483.928,555.699,0.592203,34236.5,8.62538e-07,0.601218,110.273,85.2725,24.0347,25.5058,0.942323,525.102,602.408,0.652062 
43,203,3.807,44.9571,2.018,43,20372.5,0,5,101,125,0,5,135,-1.08409,-6.13118,-14.6309,-8.57847,-8.19231,-91.9637,4.56125,28191.3,-36.3054,16439.4,-0.728756,-5.77585,-13.9202,-8.22314,-7.83698,0.618467,9.93561,28594.4,-30.931,-0.365527,0.000198513,1.00059,-27.1816,373.177,425.666,0.441758,38093.8,8.93785e-07,0.445922,110.441,85.6748,21.9594,23.2267,0.945438,438.334,499.558,0.523555 
44,202.5,3.53,44.8792,2.019,44,23154.8,0,5,101,125,0,5,135,-6.02942,-5.50983,-7.75759,-4.83701,-10.8922,-25.4906,-5.50125,30624.7,-32.9511,16439.4,-5.93093,-5.41134,-7.56061,-4.73852,-10.7937,0.780439,-4.01158,30736.4,-31.4614,0.0960506,-7.45858e-05,1.00056,-41.7653,401.756,460.155,0.499722,41893.7,9.22568e-07,0.466053,110.106,86.3985,22.3412,23.6808,0.943433,453.712,519.283,0.526131 
45,201.9,3.199,44.7855,2.021,45,16962.2,0,5,101,125,0,5,135,-3.00948,-1.73,-16.0368,-4.53599,-6.45399,-60.0635,14.1622,24477.5,-15.0067,16439.4,-2.77741,-1.49793,-15.5727,-4.30392,-6.22192,0.4873,17.6723,24740.8,-11.4966,4.55894,0.000408004,1.00025,3.87641,410.478,489.558,0.482826,33527.7,8.56544e-07,0.523356,110.788,85.3099,22.7047,24.5631,0.924342,468.594,558.7,0.597363 
46,202.2,3.365,44.8324,2.02,46,18685.4,0,5,101,125,0,5,135,-6.93614,-5.88028,-7.01161,-1.10509,-7.04774,-85.4627,12.2817,26019.4,-19.8718,16439.4,-6.60593,-5.55006,-6.35119,-0.774875,-6.71753,0.75572,17.2761,26394,-14.8774,-29.9536,0.000373887,1.00031,-0.576762,405.538,464,0.515338,35608.8,8.73912e-07,0.496371,110.538,86.0915,22.3527,23.6871,0.943667,454.178,519.56,0.555857 
47,201,2.701,44.6446,2.024,47,19153.8,0,5,101,125,0,5,135,-0.890781,1.30425,-7.65215,-1.60985,-9.47989,-57.2299,13.0316,26506.4,-26.1703,16439.4,-0.669656,1.52537,-7.2099,-1.38872,-9.25877,0.57593,16.3761,26757.3,-22.8258,-1.48672,0.000349605,1.00046,-11.0149,530.285,595.755,0.780819,36630.3,8.8219e-07,0.637127,110.403,85.8055,24.6276,25.8607,0.952316,551.327,619.29,0.662353 
48,201.6,3.033,44.7386,2.022,48,19026.4,0,5,101,125,0,5,135,-4.78311,-5.01635,-11.4546,-6.24166,-8.51103,-0.216422,-6.3248,26187.7,-13.2122,16439.4,-4.78227,-5.01552,-11.4529,-6.24083,-8.51019,0.681879,-6.31215,26188.6,-13.1995,0.284953,-0.000137748,1.00027,-22.1516,521.797,589.832,1.39865,36408.1,8.80402e-07,0.630135,110.456,85.8248,24.0449,25.3277,0.949352,525.548,594.025,0.63464 
49,201.8,3.143,44.7699,2.022,49,20472.4,0,5,101,125,0,5,135,-6.56948,-3.44728,-8.00362,-1.48983,-6.7154,-65.2394,4.29798,27974,-27.5606,16439.4,-6.31741,-3.19521,-7.49947,-1.23775,-6.46333,0.69654,8.11057,28259.9,-23.748,-0.397831,0.000163973,1.00046,-20.387,469.85,550.146,0.668887,38353.8,8.95814e-07,0.567545,110.283,85.6799,23.4106,25.0967,0.932818,498.186,583.237,0.601728 
