cyc,detuning,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
64,140,47.3559,64,14442.4,-0.0245566,23.0525,13.7293,121.75,-0.0128228,-15.5748,31.1731,1.92511,0.960183,2.57563,-2.06009,-3.60662,-9.51346,1472.78,35.5744,12581.8,10309.5,1.98502,1.02009,2.69544,-2.00019,-3.54671,-16.5442,1483.05,35.9937,12592,0.110301,0.959258,0.00523799,13445.5 
65,360,47.5759,65,12653.6,-0.00817694,20.9441,13.2593,121.463,-0.0258566,-19.7727,500,-2.29502,3.84483,6.10258,-0.385223,0.816968,14.9197,143.347,15.3698,12308.2,9056.84,-2.38896,3.75088,5.91469,-0.479168,0.723022,0.21352,127.235,14.7122,12292.1,0.0107783,0.831703,0.00219993,11804.7 
66,260,47.4759,66,13147.3,0.00693194,21.4492,13.2775,121.422,-0.010122,-0.172026,485.286,3.86243,-2.49128,3.8601,0.176769,-0.329537,54.4351,396.613,21.8733,12399.4,9270.98,3.51967,-2.83405,3.17458,-0.165994,-0.6723,-0.0505232,337.829,19.474,12340.6,0.0280091,0.908366,0.00289849,12061.4 
67,280,47.4959,67,13218.6,0.0100468,21.3574,-13.3907,121.551,-0.014589,60.9086,154.437,2.04077,0.477081,5.49374,3.04955,2.18642,11.1554,353.089,12.6703,12480,9338.82,1.97053,0.406839,5.35326,2.9793,2.11618,0.582628,341.042,12.1786,12468,0.0279872,0.941183,0.00179611,12185.6 
68,380,47.5959,68,14100.1,-0.00226404,23.4198,13.0886,121.667,-0.00329016,0.67446,170.002,2.20756,4.58144,3.95494,3.33376,1.00242,16.6805,235.759,29.4973,13562,9978.7,2.10253,4.47641,3.74487,3.22873,0.897388,0.740838,217.746,28.762,13544,0.0166415,0.812244,0.00389666,13084.5 
69,-40,47.1759,69,14516.8,-0.0554665,24.4249,-13.1676,121.381,0.0250112,85.5586,244.124,3.09384,-0.610328,-2.17787,0.675111,-0.305014,36.7083,126.273,26.3941,14308.1,10539.4,2.8627,-0.84147,-2.64015,0.443968,-0.536157,-2.71272,86.6321,24.7761,14268.4,0.00635056,0.66645,0.00318849,13641.6 
70,350,47.5659,70,12907.9,-0.0125718,21.2279,13.2574,121.637,0.000813993,0.776868,3.30429e-10,-0.939222,1.41737,10.4489,0.0240319,3.52805,-23.3452,207.402,19.7194,12378.9,9161.4,-0.792224,1.56437,10.7429,0.17103,3.67505,0.300644,232.612,20.7484,12404.1,0.0193577,0.864981,0.00307182,12016.5 
71,340,47.5559,71,12615.5,-0.0625277,21.1902,13.2664,121.327,-0.00890226,60.2724,178.899,-3.40133,-0.848692,4.05541,0.551852,-1.97469,66.2503,281.096,7.81887,12249.5,9168.79,-3.81849,-1.26585,3.22109,0.134692,-2.39185,1.78174,209.553,4.89874,12177.9,0.017791,0.960698,0.000740465,11778.6 
72,330,47.5459,72,13661.8,-0.066225,22.8386,13.3224,121.346,0.0159067,21.5889,21.2331,2.5838,-2.0477,-0.0812705,-0.666775,-2.19266,30.2116,238.815,20.4634,13359.5,9915.98,2.39356,-2.23793,-0.461739,-0.857009,-2.38289,0.869786,206.19,19.1317,13326.8,0.0160251,0.860306,0.00263751,12866.7 
73,270,47.4859,73,12942.8,-0.0325242,21.8538,13.222,121.17,-0.0024448,16.0982,0.0108661,0.735057,3.09651,-0.180419,-2.04196,2.73066,-4.11039,329.789,20.4475,12532.9,9407.64,0.760939,3.12239,-0.128655,-2.01608,2.75654,1.02862,334.227,20.6287,12537.3,0.0272957,0.902518,0.00302181,12244.7 
74,-100,47.1159,74,13332,-0.0126057,22.4506,13.0362,121.268,-0.0117402,43.2489,500,2.39444,2.05179,4.44833,-1.73959,2.50176,-6.61157,83.6194,17.7495,13174.9,9543.92,2.43607,2.09342,4.53159,-1.69796,2.5434,0.542564,90.7591,18.0409,13182,0.00719531,0.741916,0.00251477,12613.7 
