cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
32,7,9,32,36600.9,-0.362323,68.377,12.2183,116.527,0.120099,91.3535,401.439,-1.979,-2.79092,-1.36144,-2.55268,1.88563,-40.0907,19057.3,117.297,18151,27553.9,-1.72656,-2.53848,-0.85656,-2.30024,2.13807,0.837888,19113.5,119.38,18207.2,0.47722,0.989188,0.0119341,40051.8,-0.000853559,1.49849,12.567,12.4082,116.893,88.4748,1.42166,11.9017,13.4001,115.706,139.544,1.18727,-51.0689 
33,23,25,33,30026.2,-0.376961,56.9474,12.2036,116.46,0.0175884,217.794,165.889,-5.64209,-1.15587,2.21324,-1.19276,0.105188,-40.9385,14783.8,83.7018,16150.3,22748,-5.38431,-0.898091,2.7288,-0.93498,0.362967,1.66143,14841.2,85.8285,16207.8,0.443284,0.989981,0.00966067,33480.1,-0.0013135,1.15881,12.5218,12.6431,116.799,88.8189,1.22126,12.1336,13.6825,115.706,140.132,1.09323,-51.3131 
34,13,15,34,31710.6,-0.0227233,59.3657,12.2277,116.478,0.0355158,-72.6661,500,-1.67231,-0.456879,1.4275,-0.678288,-4.37779,-65.4919,15281.3,94.2533,17258,23714.5,-1.25993,-0.0444938,2.25227,-0.265903,-3.96541,1.68594,15373.2,97.6555,17349.8,0.435186,0.989006,0.0102621,35325.5,-0.00122148,1.20118,12.7264,12.3657,116.787,88.9221,1.3221,12.1268,13.5062,115.775,140.347,1.01266,-51.4253 
35,1,3,35,40608.3,-0.0872588,77.2737,11.8509,116.544,-0.0493071,73.5252,500,-1.94665,0.893351,4.00725,-0.28961,1.88809,-74.3538,21100.9,104.808,20170.3,29929.2,-1.47846,1.36154,4.94362,0.178576,2.35627,0.328454,21205.2,108.67,20274.6,0.476297,0.991111,0.00977702,44521,-0.00114738,1.76292,12.3448,11.9479,116.903,89.3026,1.67473,11.6527,12.9933,115.931,140.633,0.972267,-51.3306 
36,5,7,36,35981.9,-0.370264,69.5227,11.8461,116.214,0.455333,-18.356,414.942,1.35067,2.71064,-0.927956,-1.08428,0.251909,-36.0953,19396.1,89.2163,17397.8,27082,1.57795,2.93792,-0.473391,-0.857,0.479191,1.12918,19446.7,91.0914,17448.4,0.492167,0.991869,0.0095253,39512.4,-0.0012094,1.64303,12.1719,11.9191,116.668,88.6496,1.47013,11.6039,12.8601,115.444,139.586,1.224,-50.9366 
37,100,102,37,31383.3,-0.0651514,59.0745,12.1811,116.415,0.187417,-430.124,3.77499e-13,-1.72672,1.2527,3.72083,-3.22938,-1.94615,-104.054,15130.7,83.5383,17071.7,26049.4,-1.07152,1.9079,5.03123,-2.57418,-1.29095,-1.5125,15276.7,88.9437,17217.6,0.435519,0.989914,0.00942634,35077,-0.00123121,1.18566,12.5427,12.6072,116.724,89.3685,1.29065,12.1904,13.615,115.652,141.022,1.072,-51.6534 
38,45,47,38,33720.6,-0.00189295,63.0929,12.1194,116.631,-0.025903,-19.1217,4.30703e-12,-2.38696,-2.12116,3.41264,-0.589083,-1.24154,3.61724,16417.7,95.8101,18073.9,24908,-2.40974,-2.14393,3.36709,-0.61186,-1.26431,2.09936,16412.7,95.6222,18068.9,0.441297,0.989907,0.00965448,37191.9,-0.00113026,1.29611,12.5903,12.4272,116.97,89.0567,1.40052,12.0466,13.4043,115.91,140.549,1.05991,-51.4922 
39,15,17,39,27547.4,-0.0298479,52.2665,12.0753,116.048,0.108196,-98.0909,1.47713e-12,-1.64799,0.0887667,-1.7774,0.101829,-2.25279,-43.0799,14479.1,68.5753,13893.8,20890.9,-1.37672,0.36003,-1.23488,0.373092,-1.98153,0.680085,14539.5,70.8133,13954.3,0.47535,0.991549,0.0092615,30586.9,-0.00129555,1.16094,12.566,12.3078,116.439,88.6435,1.12253,11.9991,13.069,115.223,139.893,1.21674,-51.2493 
40,30,32,40,27701.4,-0.403971,53.5451,12.0931,116.076,0.595166,-410.528,341.66,0.0690089,1.28045,2.00207,0.308594,-0.860963,-23.8878,13535.8,75.0756,15137.4,29033,0.219424,1.43086,2.3029,0.459009,-0.710548,0.377871,13569.3,76.3166,15170.9,0.437496,0.990254,0.00918155,31015.9,-0.00146046,1.13924,12.3708,11.9447,116.445,88.3441,1.22818,12.0307,12.9547,115.375,139.642,1.07094,-51.2977 
41,3,5,41,41147.2,-0.206649,77.9131,11.9672,116.407,0.179497,-89.3674,381.552,-2.90801,0.298623,2.30318,-0.196681,-0.837925,-19.4623,20976.7,144.463,20896.4,30874.8,-2.78546,0.421172,2.54828,-0.074132,-0.715376,5.20841,21004,145.474,20923.7,0.46607,0.988025,0.0126454,45066.3,-0.00103927,1.659,12.4745,12.5327,116.874,89.2869,1.66479,11.8134,13.1858,115.649,140.252,1.22535,-50.9654 
