cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
32,0.15,43.25,32,33314.7,-0.359451,63.9488,11.9534,116.554,-0.255006,313.048,1.82953,-0.129616,-0.822039,-5.76055,-1.44935,-4.3142,-68.5963,16533.3,129.28,17479,27482.7,0.302317,-0.390106,-4.89668,-1.01742,-3.88227,0.504593,16629.5,134.625,17575.3,0.451385,0.986031,0.0139141,36841,-0.00125121,1.32607,12.3362,12.5894,116.952,90.2589,1.37297,11.8144,13.5442,115.819,142.08,1.13258,-51.8209 
33,0.15,43.125,33,38059.3,-0.0730822,72.9841,11.8222,116.512,0.042341,-27.8346,500,-2.88842,-2.9772,1.53325,-3.32664,-0.954186,-6.78972,20728,161.658,18001,28126.4,-2.84566,-2.93444,1.61876,-3.28388,-0.911433,1.19371,20737.5,162.187,18010.5,0.500307,0.986498,0.0163177,41449.6,-0.00114912,1.71622,12.2041,12.1891,116.862,89.8281,1.48388,11.6869,13.0938,115.645,140.906,1.21732,-51.0783 
34,0.15,43.275,34,35306.4,0.030728,69.0951,11.5425,116.532,-0.0769394,13.8461,8.51328e-05,2.08361,-5.64139,-4.56847,-2.95682,-2.5392,19.8123,18513.6,153.145,17469.2,25996.8,1.95886,-5.76614,-4.81798,-3.08158,-2.66395,0.664738,18485.8,151.601,17441.4,0.47961,0.985851,0.0157593,38543.4,-0.00103908,1.59452,11.9145,11.9527,116.944,89.7486,1.48895,11.4397,12.9178,115.808,141.005,1.13565,-51.2561 
35,0.15,43.21,35,33311.1,0.0367823,64.0321,11.7186,116.614,-0.0482685,30.8758,499.982,-1.3643,5.17775,-3.10521,0.606188,-1.26754,-59.5678,17433.1,148.468,16515.7,24475.3,-0.989222,5.55284,-2.35505,0.981271,-0.892453,2.0251,17516.7,153.11,16599.3,0.478521,0.984934,0.0167075,36605.9,-0.00112158,1.44684,12.1557,12.1915,116.962,89.1734,1.33757,11.6558,13.4301,115.898,140.498,1.06384,-51.3249 
36,0.15,43.325,36,36337.9,-0.142348,71.3805,11.633,116.606,-0.109727,-66.1778,49.3959,-0.919659,1.81657,2.65994,-0.769545,-1.51531,38.806,19603.2,160.229,17500.8,27267.7,-1.16401,1.57222,2.17124,-1.0139,-1.75966,12.1856,19548.8,157.205,17446.3,0.493505,0.986122,0.0163278,39612,-0.00120369,1.65073,12.1144,12.0569,117.002,89.2845,1.44205,11.5468,13.2679,115.852,140.585,1.14977,-51.3001 
37,0.15,43.175,37,36430.7,-0.00415168,70.8278,11.6385,116.578,-0.0513551,9.61711,500,-5.1554,-2.67195,0.115711,-2.55151,-2.6642,76.6637,19737.9,163.839,17365.5,26850.8,-5.63813,-3.15468,-0.849751,-3.03424,-3.14693,0.946299,19630.4,157.865,17258,0.497261,0.986122,0.0165712,39477.1,-0.00122757,1.66255,12.0409,12.1698,116.923,89.4736,1.42538,11.5422,13.3649,115.83,140.721,1.09307,-51.2477 
38,0.15,43.35,38,38718.7,-0.368171,74.7048,11.8169,116.345,0.135024,181.552,130.796,1.01442,-0.869414,-1.1645,-2.59033,-1.58061,8.51656,20720.1,195.967,18517.2,29535.4,0.960797,-0.923041,-1.27175,-2.64395,-1.63423,0.769284,20708.1,195.304,18505.2,0.493179,0.983763,0.0190708,41989.1,-0.0010631,1.69028,12.1557,12.4098,116.643,89.5885,1.49213,11.6083,13.5258,115.572,140.74,1.07074,-51.1512 
39,0.15,43.1,39,39520.5,-0.372357,75.519,11.9264,116.515,-0.361916,-234.179,392.918,-0.826693,-3.38891,-5.89331,-1.12981,-4.504,-0.328797,21585.4,182.246,18536.6,32078.8,-0.824623,-3.38684,-5.88917,-1.12774,-4.50193,0.625616,21585.9,182.271,18537.1,0.503126,0.985438,0.0177908,42903.5,-0.00109324,1.73089,12.234,12.5594,116.834,88.9168,1.45462,11.7509,13.6634,115.791,140.107,1.04304,-51.1903 
40,0.15,43.225,40,32320.5,-0.051305,61.5381,12.0143,116.311,-0.0704803,114.349,9.98593e-12,-1.22821,-1.27014,0.319756,-0.101455,-1.47939,-5.74131,17251,179.338,15863.2,24330.2,-1.19206,-1.23399,0.392059,-0.0653034,-1.44324,1.11067,17259.1,179.785,15871.3,0.48602,0.982097,0.0204403,35511,-0.00120012,1.34713,12.369,12.7701,116.558,89.8251,1.19624,12.0003,13.9299,115.533,141.047,1.02479,-51.2216 
41,0.15,43.15,41,40110.5,0.0239258,75.432,12.0126,116.142,-0.0911803,6.88628,2.21296e-11,1.30467,-1.99389,-1.12245,0.819622,0.245541,2.32359,20472.7,195.449,20218.9,29518,1.29004,-2.00852,-1.15172,0.804991,0.23091,-0.380471,20469.5,195.268,20215.6,0.468222,0.98358,0.0174823,43717.4,-0.00104202,1.63268,12.344,12.4601,116.422,88.9159,1.56497,11.9177,13.6672,115.341,140.184,1.08128,-51.2682 
