cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
43,1.2,42,43,28583.8,-0.425075,57.9612,11.5437,116.88,0.671749,870.291,409.088,-1.47485,-4.51383,-2.89791,3.97548,0.294466,-61.5166,14524.3,121.134,15257.3,40812.3,-1.0875,-4.12648,-2.1232,4.36284,0.68182,0.0738565,14610.6,125.927,15343.6,0.452961,0.985141,0.0148933,32255.7,-0.00135778,1.35204,11.6432,11.3179,117.239,87.5155,1.33809,11.4089,12.5101,116.169,138.372,1.06992,-50.8568 
44,0.2,42,44,30991.9,-0.367669,62.7223,11.4672,117.111,0.735173,-851.167,498.546,-4.07336,-4.42334,-1.64604,-1.91109,-0.196029,-135.529,16444,151.626,15699.1,43784.3,-3.21996,-3.56995,0.0607485,-1.0577,0.657363,1.00852,16634,162.186,15889.2,0.47653,0.983223,0.018456,34906.6,-0.00125707,1.49878,11.6397,11.55,117.538,88.4372,1.3954,11.2081,12.5171,116.328,139.223,1.21024,-50.7861 
45,0.8,42,45,30778.9,-0.237971,61.5608,11.4745,117.279,-0.11276,755.037,499.284,-2.12445,-0.819332,-1.42855,-0.652553,-2.1105,-86.8195,16135.5,115.46,15722.7,25766.5,-1.57777,-0.272653,-0.335188,-0.105874,-1.56382,0.913058,16257.2,122.226,15844.5,0.47152,0.987014,0.014011,34478.4,-0.00124278,1.47533,11.7217,11.4211,117.647,87.8427,1.38439,11.2917,12.5986,116.571,138.81,1.07629,-50.9668 
46,0.7,42,46,24824.8,-0.0267829,51.0509,11.2852,117.311,-8.08756e-05,-73.1039,500,-1.10348,1.97885,-4.21822,5.28701,-1.50886,-118.301,13165.2,97.7024,12983.8,18754.7,-0.358568,2.72376,-2.72841,6.03192,-0.763957,1.55628,13331.1,106.921,13149.8,0.468525,0.986159,0.0147571,28453.3,-0.00155435,1.24578,11.6021,11.2265,117.711,88.5884,1.16113,11.2543,12.5153,116.629,139.514,1.08183,-50.9252 
47,0.1,43.2231,47,27196.9,-0.0634713,54.5189,11.5296,117.212,-0.226036,185.592,500,-0.959215,0.306781,-1.50662,0.841184,-0.727355,-141.416,14202.5,123.681,14193.5,21828,-0.0687561,1.19724,0.274295,1.73164,0.163105,0.916818,14400.9,134.701,14391.9,0.465272,0.983895,0.0169489,30951.5,-0.00138056,1.26274,11.833,11.69,117.614,88.1928,1.22563,11.453,12.666,116.43,138.935,1.18331,-50.7418 
48,0.8,43.216,48,22028.4,0.0872965,45.2484,11.27,117.106,-0.0750262,-4.94268,5.20473e-12,-0.713702,-0.105285,3.04685,-3.41671,-0.641422,-109.416,11568.4,107.618,11707.3,16612.7,-0.0247392,0.583677,4.42478,-2.72774,0.0475402,-0.920883,11721.9,116.144,11860.8,0.462186,0.982956,0.0177188,25361.8,-0.0013479,1.07288,11.6656,11.3597,117.627,88.063,1.03868,11.0991,12.7076,116.382,138.823,1.24575,-50.7604 
49,0.4,43.216,49,24544.6,-0.0792674,49.252,11.6059,116.959,0.148657,-62.8249,500,-2.72025,-3.14003,1.62831,0.156017,-0.431416,-62.7905,12139.6,103.921,13548.8,18911.9,-2.32487,-2.74466,2.41906,0.551392,-0.0360414,2.13298,12227.6,108.814,13636.9,0.438108,0.984666,0.0144859,27910.1,-0.00141077,1.1128,11.864,11.4193,117.343,88.18,1.15135,11.5836,12.7185,116.254,139.139,1.08905,-50.9591 
50,1.4,43.236,50,25133.2,0.0248967,50.4655,11.4414,117.107,-0.0518882,-6.36728,2.19714e-12,0.111417,-1.3239,0.386123,0.592653,-2.39805,-97.1244,13082.1,92.3057,13155.1,18806.9,0.722984,-0.712336,1.60926,1.20422,-1.78648,-0.550878,13218.3,99.8739,13291.3,0.463746,0.98695,0.013653,28503.3,-0.0012705,1.18123,11.8479,11.4488,117.487,88.1267,1.15056,11.3377,12.6811,116.482,139.098,1.00527,-50.971 
51,0.3,42,51,30563.7,0.0453682,60.7503,11.462,117.396,-0.0472172,-131.559,14.6069,2.17526,3.46238,-2.17278,-0.837379,-0.850051,-32.7025,16257.6,109.563,15306,22869.8,2.38118,3.6683,-1.76095,-0.63146,-0.644132,1.58446,16303.4,112.111,15351.9,0.480104,0.988109,0.0132739,33958.1,-0.00120911,1.49467,11.8149,11.2976,117.705,87.7462,1.33715,11.3296,12.6631,116.737,138.469,0.968434,-50.7226 
52,0.3,43.2289,52,24517.1,-0.458976,50.63,11.5464,117.187,0.828982,-1575.23,118.971,-2.7788,0.760495,1.17378,-1.57178,-1.94975,-25.9295,13143.3,114.644,12706.6,61539.8,-2.61552,0.923766,1.50033,-1.40851,-1.78648,1.44304,13179.7,116.664,12742.9,0.47351,0.984746,0.0165851,27834.1,-0.00159548,1.20737,11.7393,11.4692,117.541,88.0661,1.11764,11.3723,12.5924,116.508,138.792,1.0332,-50.7258 
