cyc,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
60,1.35,0.01,40,60,3.42283e-07,5.06731e-07,6.99619e-30,10.5586,0.675473,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.747414,-3.53208e-30,-6.25511e-13,16232.3,21321.3,1.9099,20.1658,1.70832,18.0374,0.50925,0.0066,1.30714,6.683e-06 
61,1.35,0.01,40,61,3.19306e-07,5.58792e-07,7.71496e-30,11.6433,0.571423,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.297498,-1.31152e-30,-3.15658e-13,21766.9,29246.3,1.58408,18.444,1.46703,17.0811,0.934576,0.0066,1.38264,6.683e-06 
62,1.35,40,0.01,62,3.58503e-07,5.8751e-07,8.11147e-30,12.2417,0.610207,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.473061,-2.3415e-30,-6.30668e-13,25298.4,34368.6,1.70474,20.869,1.55428,19.0271,0.768587,0.0066,1.31962,6.683e-06 
63,1.35,0.01,40,63,3.35097e-07,5.70782e-07,7.8805e-30,11.8932,0.587085,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.369697,-1.71041e-30,-5.48965e-13,23198.4,30960.1,1.63256,19.4164,1.50187,17.862,0.866212,0.0066,1.37545,6.683e-06 
64,1.35,40,0.01,64,3.52278e-07,5.83516e-07,8.05632e-30,12.1585,0.603715,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.444412,-2.1615e-30,-6.21448e-13,24785.9,32787.2,1.68442,20.4801,1.53945,18.7174,0.795629,0.0066,1.36637,6.683e-06 
65,1.35,0.01,40,65,3.34762e-07,5.6901e-07,7.85604e-30,11.8563,0.588323,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.375331,-1.73474e-30,2.12298e-13,22983,32340.2,1.63641,19.4017,1.50465,17.8395,0.860885,0.0066,1.42925,6.683e-06 
66,1.35,0.01,40,66,3.34559e-07,5.687e-07,7.85176e-30,11.8498,0.588287,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.375165,-1.73292e-30,3.74144e-13,22945.5,33445.5,1.6363,19.3898,1.50457,17.8288,0.861042,0.0066,1.36858,6.683e-06 
67,1.35,40,0.01,67,3.57796e-07,6.07986e-07,8.39416e-30,12.6684,0.588495,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.37611,-1.85795e-30,-2.4159e-14,28036.7,39443.3,1.63695,20.7375,1.50503,19.0663,0.860148,0.0066,1.36938,6.683e-06 
68,1.35,40,0.01,68,3.55167e-07,6.16197e-07,8.50753e-30,12.8395,0.576386,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.320585,-1.57203e-30,2.27367e-13,29188.1,41609.9,1.5994,20.5354,1.47801,18.9769,0.912692,0.0066,1.40434,6.683e-06 
69,1.35,0.01,40,69,3.25231e-07,5.76012e-07,7.95271e-30,12.0022,0.564625,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.265566,-1.19247e-30,-6.51265e-13,23841.9,31020.1,1.56317,18.7615,1.45207,17.428,0.964885,0.0066,1.41758,6.683e-06 
70,1.35,0.01,40,70,3.43993e-07,5.6181e-07,7.75663e-30,11.7062,0.612295,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.48222,-2.29023e-30,7.15193e-13,22121.5,32638.9,1.71128,20.0327,1.55907,18.2508,0.759942,0.0066,1.42071,6.683e-06 
71,1.35,40,0.01,71,3.62822e-07,5.33965e-07,7.37218e-30,11.126,0.679486,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.76354,-3.8248e-30,1.71116e-13,18992.6,27508.2,1.92253,21.3901,1.71808,19.1154,0.493967,0.0066,1.3428,6.683e-06 
72,1.35,0.01,40,72,3.35904e-07,5.84552e-07,8.07061e-30,12.1801,0.574635,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.312457,-1.44907e-30,3.28171e-13,24918.1,35660.3,1.594,19.4151,1.47413,17.955,0.920406,0.0066,1.38577,6.683e-06 
73,1.35,0.01,40,73,3.34872e-07,5.81548e-07,8.02915e-30,12.1175,0.575829,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.318002,-1.47026e-30,-4.75184e-13,24536,33064.1,1.59768,19.3599,1.47677,17.8948,0.915139,0.0066,1.3976,6.683e-06 
74,1.35,40,0.01,74,4.22508e-07,5.41381e-07,7.47458e-30,11.2806,0.780426,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.14485,-6.67833e-30,3.58926e-13,19795,29244.1,2.23965,25.2645,1.97412,22.2692,0.130603,0.0066,1.39954,6.683e-06 
75,1.35,0.01,40,75,3.38234e-07,5.72804e-07,7.90842e-30,11.9353,0.590488,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.385145,-1.79856e-30,1.15212e-12,23445.8,35856,1.64315,19.6115,1.50951,18.0165,0.851608,0.0066,1.4068,6.683e-06 
76,1.35,40,0.01,76,3.69348e-07,5.47414e-07,7.55787e-30,11.4063,0.674715,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.744364,-3.79582e-30,5.18826e-13,20464.1,30487.7,1.90751,21.7576,1.70648,19.4645,0.51214,0.0066,1.34971,6.683e-06 
77,1.35,40,0.01,77,3.751e-07,5.38644e-07,7.43679e-30,11.2235,0.696378,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.830539,-4.30121e-30,-1.86849e-14,19496.3,28209.8,1.9757,22.1744,1.75951,19.7479,0.4304,0.0066,1.29348,6.683e-06 
78,1.35,40,0.01,78,3.62274e-07,5.73787e-07,7.922e-30,11.9558,0.631373,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.564672,-2.82434e-30,7.84344e-13,23566.7,35436.6,1.77116,21.1756,1.60326,19.1682,0.682105,0.0066,1.35347,6.683e-06 
79,1.35,40,0.01,79,3.85893e-07,5.39285e-07,7.44565e-30,11.2369,0.715563,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.905003,-4.8217e-30,9.249e-13,19566,30064.7,2.03605,22.8789,1.80727,20.3081,0.35961,0.0066,1.3932,6.683e-06 
80,1.5,0.01,40,80,3.30124e-07,5.49912e-07,7.59236e-30,11.4583,0.600322,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.42932,-1.95678e-30,-4.06413e-13,20745.6,28211.2,1.67382,19.1791,1.53173,17.5511,0.809879,0.0066,1.34052,6.683e-06 
82,1.5,40,0.01,82,3.6693e-07,5.4581e-07,7.53573e-30,11.3728,0.672268,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.73448,-3.72089e-30,-7.96873e-13,20284.8,26783.6,1.89981,21.6062,1.70055,19.3401,0.521506,0.0066,1.30858,6.683e-06 
83,1.5,0.01,40,83,3.3738e-07,6.14921e-07,8.48991e-30,12.8129,0.548655,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.189006,-8.80394e-31,3.01125e-13,29007.1,40859.4,1.51443,19.4042,1.41734,18.1602,1.03777,0.0066,1.41354,6.683e-06 
84,1.5,40,0.01,84,3.67694e-07,5.61626e-07,7.75409e-30,11.7024,0.654696,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.662618,-3.36383e-30,-2.31648e-13,22099.8,31057.6,1.8445,21.5851,1.65832,19.4063,0.589534,0.0066,1.31556,6.683e-06 
85,1.5,0.01,40,85,3.11681e-07,6.03538e-07,8.33275e-30,12.5757,0.516422,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0273526,-1.17704e-31,4.69916e-13,27425.9,38985.1,1.41772,17.8288,1.34898,16.9643,1.19277,0.0066,1.42662,6.683e-06 
86,1.5,0.01,40,86,3.357e-07,5.67827e-07,7.8397e-30,11.8316,0.591202,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.388379,-1.80008e-30,7.29971e-13,22839.9,33501.7,1.64537,19.4674,1.51112,17.879,0.848551,0.0066,1.42742,6.683e-06 
87,1.5,40,0.01,87,3.57612e-07,5.67172e-07,7.83066e-30,11.818,0.630517,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.561018,-2.76995e-30,-6.75101e-14,22760.9,31736.7,1.76847,20.8997,1.60126,18.9236,0.685557,0.0066,1.37839,6.683e-06 
88,1.5,40,0.01,88,3.63526e-07,5.49391e-07,7.58517e-30,11.4475,0.661688,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.691408,-3.47019e-30,-2.37741e-13,20686.7,29151.5,1.86651,21.3668,1.67505,19.175,0.562291,0.0066,1.2993,6.683e-06 
