cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
33,2.49,2.51,33,15060.3,0,5,101,125,0,5,135,-10.8325,-7.39421,-18.0133,-7.66239,0.300337,307.25,-32.2972,27548.7,-55.9504,16439.4,-12.0196,-8.58136,-20.3876,-8.84954,-0.886815,0.598076,-50.2529,26202,-73.906,0.361687,-0.00109715,1.00153,-138.94,568.071,617.32,0.660376,37783.1,8.91349e-07,0.664368,111.685,86.6793,25.774,26.6264,0.967987,603.851,656.504,0.706376 
34,4.99,0.01,34,16168.8,0,5,101,125,0,5,135,-6.09771,-4.35337,-12.8342,-9.25634,-8.79269,327.651,-24.3706,28497.9,-41.5861,16439.4,-7.36369,-5.61934,-15.3661,-10.5223,-10.0587,0.685958,-43.5185,27061.8,-60.734,0.373873,-0.000919767,1.00122,-116.399,598.808,653.567,0.52143,39481.8,9.04511e-07,0.691632,111.78,85.9428,27.1662,28.1301,0.965734,670.848,732.749,0.775132 
35,1.49,3.51,35,16266.5,0,5,101,125,0,5,135,-8.08821,-10.9868,-18.7961,-6.92528,-3.95989,339.241,-28.0775,29065,-57.5284,16439.4,-9.39897,-12.2975,-21.4176,-8.23604,-5.27065,0.621736,-47.9028,27578.1,-77.3536,0.340395,-0.000993549,1.00152,-140.727,552.884,607.652,0.853736,39683.9,9.06053e-07,0.639722,111.5,86.9955,25.0357,26.0075,0.962635,569.75,626.337,0.659315 
36,2.99,2.01,36,17009.8,0,5,101,125,0,5,135,-8.06463,-10.6443,-13.4349,-9.29286,-11.1168,368.232,-10.5827,30307.3,-41.3842,16439.4,-9.4874,-12.067,-16.2804,-10.7156,-12.5395,0.733501,-32.1022,28693.3,-62.9037,0.298385,-0.000639726,1.00119,-107.587,559.739,609.619,0.495988,41402.9,9.18951e-07,0.635667,112.198,86.5521,26.443,27.3541,0.966692,635.603,692.878,0.722153 
37,4.49,0.51,37,15197,0,5,101,125,0,5,135,-3.51204,-8.29168,-14.0537,-1.62073,-7.49662,349.799,-39.0655,28644.2,-55.9457,16439.4,-4.86359,-9.64324,-16.7568,-2.97229,-8.84817,0.611067,-59.5078,27111,-76.3879,0.393639,-0.00125584,1.00153,-151.173,575.061,620.764,0.497636,39203.9,9.02385e-07,0.662108,111.812,86.325,26.7911,27.5882,0.971108,652.449,704.787,0.751468 
38,3.49,1.51,38,14308.9,0,5,101,125,0,5,135,-4.79025,-7.87393,-20.2566,-14.4895,-13.0199,298.238,-18.1592,27714.2,-53.1761,16439.4,-5.94259,-9.02627,-22.5612,-15.6418,-14.1723,0.664986,-35.5882,26407,-70.6051,0.295794,-0.000770697,1.00145,-120.314,576.617,636.058,0.61782,38211.5,8.94705e-07,0.67688,112.224,86.3151,26.1305,27.1931,0.960923,620.668,684.746,0.728643 
39,3.99,1.01,39,16984.2,0,5,101,125,0,5,135,-8.13658,-1.8249,-21.291,-9.5965,-5.39274,318.131,-34.0605,30123,-50.4673,16439.4,-9.36577,-3.0541,-23.7494,-10.8257,-6.62193,0.557054,-52.6521,28728.6,-69.0589,0.388511,-0.00104838,1.00131,-135.523,591.014,629.545,0.549812,40980.7,9.15816e-07,0.666045,111.661,86.5754,26.7843,27.4032,0.977415,652.119,695.369,0.735297 
40,0.49,4.51,40,12868.9,0,5,101,125,0,5,135,-8.36358,-10.0615,-19.3182,-10.2212,-11.6934,309.536,-14.0582,26165,-48.3574,16439.4,-9.55956,-11.2575,-21.7102,-11.4172,-12.8894,0.675162,-32.1474,24808.3,-66.4467,0.28733,-0.000741025,1.00146,-111.883,507.336,530.767,0.594283,35512.8,8.73126e-07,0.594324,111.532,86.9665,24.5764,24.9287,0.985867,549.036,575.455,0.643767 
41,0.99,4.01,41,14372.4,0,5,101,125,0,5,135,-5.596,-8.73155,-24.9024,-11.4894,-9.22695,352.877,-48.4905,28161.7,-43.2257,16439.4,-6.95945,-10.095,-27.6293,-12.8528,-10.5904,0.594444,-69.1127,26615,-63.8479,0.474251,-0.00148606,1.0013,-145.73,533.364,556.411,0.591671,38200.7,8.94621e-07,0.608935,111.588,86.8068,25.2268,25.5285,0.988184,578.484,603.48,0.660447 
42,0.01,4.99,42,17303.2,0,5,101,125,0,5,135,-9.50981,-4.56686,-15.546,-14.752,-6.14044,317.324,-22.2446,29989.1,-45.977,16439.4,-10.7359,-5.79294,-17.9981,-15.9781,-7.36651,0.688999,-40.789,28598.3,-64.5214,0.345042,-0.000815678,1.00123,-118.215,523.533,543.32,0.585816,40173,9.0976e-07,0.586237,111.183,86.8229,25.0046,25.247,0.990398,568.338,590.247,0.636639 
43,1.99,3.01,43,18247.3,0,5,101,125,0,5,135,-4.84008,-11.0632,-14.9013,-10.7054,-9.22207,312.198,-20.1067,30923.4,-45.6109,16439.4,-6.04635,-12.2695,-17.3139,-11.9117,-10.4283,0.701329,-38.3515,29555.1,-63.8557,0.333554,-0.000742053,1.00117,-114.978,541.783,588.251,0.514788,41708.4,9.21205e-07,0.612827,112.641,86.6631,25.8727,26.7101,0.968646,608.482,660.64,0.688256 
44,2.49,2.51,44,17633.4,0,5,101,125,0,5,135,-3.80314,-7.45812,-22.3437,-4.55956,-13.1075,345.905,-33.4289,30866.6,-35.1618,16439.4,-5.13964,-8.79463,-25.0167,-5.89607,-14.444,0.578069,-53.6436,29350.5,-55.3764,0.446675,-0.00104548,1.00103,-120.095,539.33,574.862,0.4676,41232.4,9.17687e-07,0.606756,111.596,86.4221,26.1785,26.7951,0.976988,622.951,664.848,0.701284 
45,4.99,0.01,45,16639.3,0,5,101,125,0,5,135,-5.06421,-6.50654,-12.4518,-9.19091,-9.75808,359.046,-21.9298,30423.7,-27.3348,16439.4,-6.4515,-7.89383,-15.2264,-10.5782,-11.1454,0.703162,-42.9125,28850,-48.3174,0.425325,-0.000850685,1.00091,-100.893,572.833,627.318,0.465837,41415.3,9.19042e-07,0.652262,111.72,85.9939,27.0281,28.0307,0.964233,664.046,727.58,0.756317 
46,1.49,3.51,46,16855.7,0,5,101,125,0,5,135,-7.52314,-10.378,-22.7983,-10.5626,-10.986,361.305,-40.0751,30591.2,-45.6861,16439.4,-8.91915,-11.774,-25.5903,-11.9586,-12.382,0.637655,-61.1897,29007.6,-66.8008,0.432893,-0.00120685,1.00125,-141.351,540.234,575.889,0.512344,41545.2,9.20002e-07,0.606277,111.385,86.5207,25.8412,26.441,0.977318,607.005,647.392,0.681383 
47,2.99,2.01,47,17781.1,0,5,101,125,0,5,135,-10.3848,-10.7702,-17.6182,-10.8153,-7.10634,338.245,-39.5483,30873.3,-46.7104,16439.4,-11.6917,-12.0771,-20.232,-12.1222,-8.41325,0.686501,-59.3154,29390.8,-66.4774,0.426459,-0.00115457,1.00123,-139.088,559.703,621.296,0.521928,41938.1,9.22893e-07,0.638964,112.309,86.2616,26.2382,27.3918,0.957886,625.799,694.791,0.714485 
48,4.49,0.51,48,16515.6,0,5,101,125,0,5,135,-11.0614,-9.29393,-15.6926,-8.79838,-8.22455,354.546,-16.7685,29721.7,-29.208,16439.4,-12.4313,-10.6638,-18.4324,-10.1683,-9.59444,0.699261,-37.4882,28167.7,-49.9277,0.384884,-0.00076109,1.00096,-97.4014,608.421,669,0.626479,40889,9.15133e-07,0.697158,111.503,86.1281,26.8085,27.8516,0.962547,653.296,718.312,0.748561 
