cyc,amp (Vpp),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
54,1.4,54,19786.4,0,5,101,125,0,5,135,-1.88436,-1.81965,-13.1903,-7.54287,-4.68989,2.69752,9.99771,26273.4,-14.5834,16439.4,-1.89479,-1.83008,-13.2111,-7.5533,-4.70031,0.547403,9.84007,26261.6,-14.741,-1.25365,0.000214065,1.0003,-7.84913,450.972,522.879,0.509761,35150,8.70142e-07,0.558065,109.141,85.607,23.6159,25.2085,0.936821,506.959,588.446,0.627696 
55,1.2,55,19909.8,0,5,101,125,0,5,135,-6.03591,-4.13379,-9.90214,-3.67382,-4.33157,-35.1857,4.73848,26544,-6.5617,16439.4,-5.89996,-3.99784,-9.63024,-3.53787,-4.19562,0.646746,6.79473,26698.2,-4.50545,4.89466,0.000145408,1.00009,1.38819,452.719,536.758,0.542579,35256.6,8.71021e-07,0.565946,109.557,85.1259,23.473,25.3362,0.926463,500.846,594.422,0.626428 
56,1.6,56,19737.3,0,5,101,125,0,5,135,-5.10002,-3.19771,-13.765,-5.42086,-6.21834,-94.3989,-8.27866,26067.6,6.71473,16439.4,-4.73528,-2.83298,-13.0355,-5.05613,-5.8536,0.586351,-2.76199,26481.3,12.2314,-0.231795,-5.96033e-05,0.999749,11.9157,474.165,560.907,0.605655,34701.9,8.66429e-07,0.595219,109.181,85.2422,23.7364,25.5838,0.927791,512.149,606.098,0.643038 
57,1.8,57,18209.6,0,5,101,125,0,5,135,-3.92598,-2.75385,-4.04347,-5.32451,-9.94947,-88.3259,-5.84146,24578,1.4741,16439.4,-3.5847,-2.41257,-3.36093,-4.98323,-9.60819,0.859667,-0.679696,24965.2,6.63587,-0.0933221,-1.55578e-05,0.999856,7.28334,524.603,606.574,1.87042e+10,33508.8,8.56383e-07,0.658702,109.737,85.4349,24.0233,25.5939,0.938634,524.602,606.575,0.658703 
58,0.2,58,19308.2,0,5,101,125,0,5,135,-8.75865,-0.667207,-8.29578,-1.19352,-6.53553,-10.5982,15.3622,25617.2,-23.4297,16439.4,-8.7177,-0.626258,-8.21388,-1.15257,-6.49458,0.674117,15.9816,25663.7,-22.8103,-1.40302,0.00035572,1.00048,-11.3908,426.583,508.355,0.565338,33976.4,8.60348e-07,0.541267,109.867,85.4178,22.6627,24.5217,0.92419,466.863,556.82,0.592622 
59,0.8,59,16623.4,0,5,101,125,0,5,135,-4.54516,-6.37045,-7.03287,-5.61696,-4.73609,-1.48421,1.70444,23858.9,-6.75364,16439.4,-4.53942,-6.36471,-7.0214,-5.61122,-4.73035,0.751605,1.79118,23865.4,-6.6669,-0.288477,4.28859e-05,1.00015,-6.2091,430.6,501.965,0.552587,31565.5,8.39498e-07,0.553801,109.483,85.9377,22.8316,24.4302,0.934564,473.847,552.671,0.609583 
60,0.01,60,15806,0,5,101,125,0,5,135,-4.77076,-2.03141,-4.22672,-7.44054,-4.92748,-62.3223,-2.30735,22279.8,2.93615,16439.4,-4.52996,-1.79061,-3.74512,-7.19974,-4.68668,0.829396,1.33477,22553,6.57827,0.144632,3.3818e-05,0.999842,9.22869,388.684,448.756,0.431979,29597.3,8.21674e-07,0.508281,109.32,85.7251,22.5313,23.9807,0.939559,461.464,532.521,0.603306 
61,2,61,18737.3,0,5,101,125,0,5,135,-6.11914,-5.42946,-11.8364,-1.30358,-3.33884,-25.4358,4.79341,25613.3,-6.51185,16439.4,-6.02086,-5.33118,-11.6398,-1.2053,-3.24056,0.575773,6.27988,25724.8,-5.02538,25.1765,0.000139477,1.00011,0.249434,500.86,603.355,0.654992,34933.1,8.68349e-07,0.633068,108.612,84.9077,24.2207,26.3432,0.91943,533.262,642.613,0.674141 
62,1,62,17886.8,0,5,101,125,0,5,135,-8.41033,-6.0285,-3.71468,-2.35826,-0.780611,-95.4866,-8.99936,24578.6,-2.43876,16439.4,-8.04139,-5.65956,-2.9768,-1.98932,-0.41167,0.843973,-3.41913,24997.1,3.14148,-9.75101,-7.81668e-05,0.999932,0.350643,451.195,552.043,0.870547,32914.8,8.51292e-07,0.58626,109.41,85.549,22.5976,24.765,0.912481,464.182,567.92,0.603128 
63,0.4,63,17600.2,0,5,101,125,0,5,135,0.236219,-7.09273,-9.48843,-5.05582,-8.50303,-45.1995,-3.29139,24389.1,12.3554,16439.4,0.41086,-6.91809,-9.13915,-4.88118,-8.32839,0.683284,-0.649935,24587.2,14.9969,-0.0374682,-1.51053e-05,0.999669,17.3463,402.558,473.374,0.474383,32440.7,8.47186e-07,0.515274,109.543,85.3192,22.5586,24.2271,0.931131,462.585,543.522,0.591869 
64,0.6,64,18634.8,0,5,101,125,0,5,135,-6.15358,-3.85158,-9.18842,-8.34813,-8.88175,-56.2221,10.5286,25712.3,11.213,16439.4,-5.93635,-3.63435,-8.75396,-8.1309,-8.66452,0.750742,13.8142,25958.7,14.4987,0.442585,0.000304,0.999697,31.2126,405.367,485.941,0.472325,34118.3,8.61544e-07,0.515155,109.401,85.3464,22.6526,24.5841,0.921431,466.445,559.657,0.593039 
65,1.4,65,19429.2,0,5,101,125,0,5,135,-2.39021,-3.20849,-6.80176,-5.14825,-1.31935,-142.694,1.16984,25580.7,-1.76885,16439.4,-1.83886,-2.65715,-5.69908,-4.59691,-0.768006,0.633736,9.50888,26206.1,6.57018,0.546704,0.000207299,0.999864,17.3931,459.095,537.602,0.538198,33988.1,8.60447e-07,0.577374,109.722,85.747,23.6599,25.3716,0.932534,508.85,596.085,0.640066 
66,1.2,66,18873.3,0,5,101,125,0,5,135,-8.27817,-7.91841,-7.95562,-6.96473,-4.90503,-31.4722,-3.78546,25785.9,0.436586,16439.4,-8.15657,-7.7968,-7.71242,-6.84313,-4.78343,0.781471,-1.94623,25923.8,2.27582,-2.48004,-4.29018e-05,0.999952,0.784756,454.325,534.189,0.587768,34268.2,8.62804e-07,0.570977,109.371,85.6926,23.2949,25.0333,0.930557,493.273,580.294,0.620091 
67,1.6,67,16811.5,0,5,101,125,0,5,135,-1.81725,-0.389997,-6.95208,-6.42143,-4.65084,-93.9431,-4.41317,23533.5,19.0175,16439.4,-1.45428,-0.0270193,-6.22612,-6.05845,-4.28787,0.655134,1.07686,23945.3,24.5076,0.0353233,2.56976e-05,0.999445,30.4859,483.16,576.119,0.899373,31775.8,8.41358e-07,0.627077,109.046,85.2733,23.356,25.2676,0.924344,495.863,591.209,0.643533 
68,1.8,68,17753.2,0,5,101,125,0,5,135,-3.83533,-0.639299,-9.8464,-8.53466,-6.75131,-2.5277,0.253608,24422,-2.95022,16439.4,-3.82556,-0.629533,-9.82686,-8.5249,-6.74155,0.667432,0.401327,24433.1,-2.8025,-0.135507,9.38593e-06,1.00006,-2.96167,480.513,575.659,0.733348,32671,8.49185e-07,0.619346,109.646,85.2805,23.5265,25.514,0.9221,503.129,602.796,0.648518 
