cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot,meanEtot_kHz
54,10,54,27360.6,0,5,101,125,0,5,135,0.161152,3.94506,1.11491,1.30121,-2.10844,-282.732,13.3251,28656.5,12.6214,16439.4,1.25357,5.03748,3.29975,2.39363,-1.01602,0.699159,29.848,29895.7,29.1443,0.460467,0.000570191,0.999471,64.8211,7.35073e-30,11.0937,1.16463e-29,17.5765,2.32926e-29,35.1529 
55,15,55,23748.4,0,5,101,125,0,5,135,0.557387,1.73036,-10.1373,-3.62236,-0.937404,-305.749,8.16936,25151.1,21.683,16439.4,1.73874,2.91171,-7.77463,-2.44101,0.243948,-0.461057,26.0373,26491.2,39.551,0.354256,0.000561322,0.99919,73.4985,8.47223e-30,12.7862,1.31901e-29,19.9063,2.63802e-29,39.8127 
56,20,56,21461.3,0,5,101,125,0,5,135,0.996813,-3.21598,0.471021,-0.52743,0.447346,-293.43,23.4852,22792.5,8.37641,16439.4,2.13057,-2.08222,2.73853,0.606325,1.5811,0.449464,40.6332,24078.6,25.5245,0.57019,0.000963369,0.999425,71.2626,7.91879e-30,11.951,1.25097e-29,18.8795,2.50194e-29,37.7591 
57,25,57,25025.1,0,5,101,125,0,5,135,-3.07471,-3.86814,-2.08449,-3.12876,-1.68908,-211.017,4.14818,26449.1,34.9371,16439.4,-2.25938,-3.05281,-0.453843,-2.31343,-0.873755,0.94931,16.48,27374,47.2689,0.225128,0.000343899,0.999063,73.2027,8.10603e-30,12.2335,1.27794e-29,19.2865,2.55587e-29,38.573 
58,1,58,29410.8,0,5,101,125,0,5,135,-1.19444,-5.57102,-2.58028,-0.0777597,-3.4243,-249.257,13.5238,30641.9,22.7636,16439.4,-0.231358,-4.60794,-0.654127,0.885318,-2.46122,0.90747,28.0904,31734.4,37.3302,0.385398,0.000505557,0.999362,72.8866,7.22495e-30,10.9038,1.14912e-29,17.3424,2.29824e-29,34.6848 
59,2,59,31109.1,0,5,101,125,0,5,135,-3.20285,1.51459,-0.626844,-1.02694,0.699884,-230.972,10.4498,32432.7,22.9025,16439.4,-2.31042,2.40702,1.15802,-0.134506,1.59231,0.57307,23.9478,33445.1,36.4005,0.354109,0.000408995,0.99941,67.6284,7.20548e-30,10.8744,1.15092e-29,17.3696,2.30185e-29,34.7393 
60,3,60,29224.8,0,5,101,125,0,5,135,-0.278312,-2.74966,5.54143,-6.04623,-2.57165,-206.211,10.8051,30507.5,32.977,16439.4,0.518445,-1.9529,7.13495,-5.24947,-1.7749,6.38943,22.8561,31411.4,45.028,0.297258,0.00041562,0.999222,76.8896,7.08382e-30,10.6908,1.13446e-29,17.1212,2.26892e-29,34.2424 
61,4,61,31675,0,5,101,125,0,5,135,0.297092,1.07192,3.11977,-1.48664,-3.03424,-217.587,20.8114,32826.2,24.9093,16439.4,1.13781,1.91264,4.8012,-0.645926,-2.19352,0.0420955,33.5272,33779.9,37.6251,0.426136,0.000566833,0.999396,78.6773,7.46702e-30,11.2692,1.19384e-29,18.0173,2.38768e-29,36.0347 
62,5,62,25045.8,0,5,101,125,0,5,135,0.382343,-2.7357,-5.54073,1.49874,0.190252,-274.012,14.6149,26615.2,26.0752,16439.4,1.44107,-1.67697,-3.42328,2.55747,1.24898,24.2445,30.6282,27816.2,42.0884,0.3775,0.0006288,0.999179,81.1343,7.52207e-30,11.3522,1.19953e-29,18.1033,2.39907e-29,36.2065 
63,10,63,23574.8,0,5,101,125,0,5,135,-0.323256,2.6446,-4.99192,-1.30482,1.13701,-313.009,23.6993,25116.6,21.624,16439.4,0.886147,3.854,-2.57312,-0.0954204,2.34641,1.58241,41.9915,26488.5,39.9162,0.467138,0.000905049,0.999183,89.8909,7.89344e-30,11.9127,1.24401e-29,18.7745,2.48802e-29,37.5489 
64,15,64,26666.9,0,5,101,125,0,5,135,-0.971913,1.29459,-1.71044,-3.56901,-1.09728,-208.306,17.6023,28126.2,35.0463,16439.4,-0.167059,2.09944,-0.100733,-2.76416,-0.292428,0.917765,29.7757,29039.2,47.2198,0.344469,0.000585577,0.999118,86.4394,7.71881e-30,11.6491,1.22232e-29,18.4472,2.44464e-29,36.8943 
65,20,65,23405.4,0,5,101,125,0,5,135,4.87772,-1.64255,-6.25489,-4.08257,-2.11412,-246.102,12.1403,25069,24.9941,16439.4,5.82861,-0.691658,-4.35311,-3.13168,-1.16323,-0.239829,26.5225,26147.6,39.3764,0.35951,0.000579286,0.999183,73.7742,7.83908e-30,11.8307,1.23433e-29,18.6283,2.46865e-29,37.2567 
66,25,66,20978.5,0,5,101,125,0,5,135,-0.817844,4.01268,6.84394,-4.60865,-1.86166,-355.503,3.48683,22482.9,19.7828,16439.4,0.555747,5.38627,9.59113,-3.23506,-0.488074,0.187882,24.2624,24041.1,40.5584,0.332669,0.000576357,0.999085,72.9324,7.69133e-30,11.6077,1.2249e-29,18.486,2.4498e-29,36.9721 
67,1,67,29572.4,0,5,101,125,0,5,135,-3.63984,-5.67345,-4.05538,-5.06317,-1.79921,-174.032,2.37928,31046.8,10.4286,16439.4,-2.96742,-5.00102,-2.71053,-4.39075,-1.12678,0.832647,12.5497,31809.6,20.5991,0.336737,0.000225393,0.999649,37.2686,6.7307e-30,10.1579,1.08653e-29,16.3977,2.17305e-29,32.7955 
68,2,68,31874.2,0,5,101,125,0,5,135,-5.68365,-7.69864,-6.26796,-3.09015,-3.42123,-165.394,21.0838,33455,12.1043,16439.4,-5.0446,-7.05959,-4.98986,-2.4511,-2.78218,0.776513,30.7494,34179.9,21.77,0.540665,0.000513814,0.999654,56.8734,7.14959e-30,10.7901,1.13289e-29,17.0975,2.26578e-29,34.195 
69,3,69,28023.5,0,5,101,125,0,5,135,-0.186837,-2.85015,2.47256,2.68861,-1.5095,-318.231,10.8734,29627.1,9.68548,16439.4,1.04274,-1.62057,4.93172,3.91819,-0.279915,0.382931,29.4709,31021.9,28.2829,0.464764,0.000542564,0.999505,63.4103,7.09973e-30,10.7148,1.13299e-29,17.099,2.26598e-29,34.198 
