cyc,amplitude,time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
131,1.25,6.5,3.96397e-07,7.53956e-07,1.04095e-29,0.525755,-0.0751961,8.28155e-13,38257.8,54376.4,1.44549,0.0066,1.38503 
132,1.7,6.5,4.30795e-07,7.81226e-07,1.0786e-29,0.551435,-0.202491,5.43808e-13,42560.9,59910.7,1.52287,0.0066,1.37132 
133,0.05,6.5,3.94362e-07,7.75682e-07,1.07095e-29,0.508407,0.0144794,-3.81063e-13,41661.3,53436.9,1.39406,0.0066,1.45743 
134,0.95,6.5,4.01118e-07,7.3039e-07,1.00841e-29,0.549182,-0.191571,4.18346e-14,34781.4,47354.8,1.51602,0.0066,1.3576 
135,1.4,6.5,4.09285e-07,7.62902e-07,1.0533e-29,0.536484,-0.129135,6.9245e-13,39635.9,55946.6,1.47764,0.0066,1.38974 
136,0.5,6.5,3.94108e-07,7.40791e-07,1.02277e-29,0.53201,-0.106779,5.50937e-13,36288.4,50836.6,1.4642,0.0066,1.36836 
137,0.35,6.5,3.70018e-07,7.54273e-07,1.04139e-29,0.490563,0.110083,5.31603e-13,38306.1,52526.3,1.34183,0.0066,1.43276 
138,0.8,6.5,3.95536e-07,7.53375e-07,1.04015e-29,0.525018,-0.0714519,9.38166e-14,38169.4,51354.9,1.44328,0.0066,1.41692 
139,0.65,6.5,3.93298e-07,7.42891e-07,1.02567e-29,0.529415,-0.0937217,8.79827e-14,36598,49150.1,1.45643,0.0066,1.40762 
140,0.2,6.5,3.68459e-07,7.74059e-07,1.0687e-29,0.476009,0.190919,-2.66722e-13,41400.3,53535.9,1.29992,0.0066,1.43725 
141,1.55,6.5,4.21328e-07,7.50695e-07,1.03645e-29,0.56125,-0.249568,3.04599e-13,37763.4,51514.4,1.55283,0.0066,1.37936 
142,1.1,6.5,4.02699e-07,7.57884e-07,1.04637e-29,0.531346,-0.103444,6.29952e-13,38858.9,54074.1,1.46221,0.0066,1.38835 
143,1.25,6.5,3.99096e-07,7.33637e-07,1.0129e-29,0.543996,-0.16625,8.74251e-13,35247.3,49679.6,1.5003,0.0066,1.413 
144,1.7,8.5,4.71106e-07,7.04971e-07,9.73318e-30,0.668263,-0.718243,-2.75121e-13,31274.8,43358.1,1.8872,0.0066,1.3247 
145,0.05,8.5,3.77323e-07,7.34096e-07,1.01353e-29,0.513998,-0.0147756,9.57882e-14,35313.4,46684.6,1.41053,0.0066,1.42877 
146,0.95,8.5,3.94527e-07,7.57764e-07,1.04621e-29,0.520646,-0.0491105,4.65873e-13,38840.4,53030.8,1.43026,0.0066,1.42844 
147,1.4,8.5,4.10232e-07,7.14384e-07,9.86315e-30,0.574246,-0.310652,3.06263e-13,32544.5,45082.9,1.59279,0.0066,1.38264 
148,0.5,8.5,3.82805e-07,7.63523e-07,1.05416e-29,0.501367,0.051752,6.30286e-13,39732.8,54416.1,1.37333,0.0066,1.44856 
149,0.35,8.5,3.62466e-07,7.71091e-07,1.06461e-29,0.470069,0.224704,5.67027e-13,40926,55139.2,1.283,0.0066,1.443 
150,0.8,8.5,4.04207e-07,7.07835e-07,9.77273e-30,0.571047,-0.295748,3.38964e-13,31657.6,43743,1.58292,0.0066,1.4083 
151,0.65,8.5,4.00448e-07,7.43141e-07,1.02602e-29,0.538859,-0.140929,2.61484e-13,36634.9,50138.1,1.48479,0.0066,1.40667 
152,0.2,8.5,3.93279e-07,7.29679e-07,1.00743e-29,0.538975,-0.141501,-2.00155e-13,34679.8,45583.7,1.48514,0.0066,1.39928 
153,1.55,8.5,4.47891e-07,7.46943e-07,1.03127e-29,0.599633,-0.426238,-6.25187e-13,37200.1,48361.8,1.67166,0.0066,1.40071 
154,1.1,8.5,4.14598e-07,7.36508e-07,1.01686e-29,0.562924,-0.257515,5.90733e-13,35662.7,49928.2,1.55796,0.0066,1.41008 
155,1.25,8.5,4.17977e-07,7.92578e-07,1.09427e-29,0.527363,-0.0833517,-1.21487e-14,44443.5,59723.9,1.45029,0.0066,1.40781 
156,1.7,8.5,4.34095e-07,7.53866e-07,1.04083e-29,0.575825,-0.317986,3.24184e-13,38244.1,53481,1.59766,0.0066,1.34096 
157,0.05,8.5,3.91975e-07,7.68026e-07,1.06038e-29,0.510366,0.00417301,-8.05312e-13,40439.9,50545.5,1.3998,0.0066,1.48365 
158,0.95,8.5,4.14181e-07,7.37322e-07,1.01798e-29,0.561736,-0.251879,1.97399e-13,35781.1,49896.2,1.55431,0.0066,1.34409 
159,1.4,8.5,4.37048e-07,7.0923e-07,9.79199e-30,0.616229,-0.499405,-5.84922e-13,31845.2,41174.2,1.72361,0.0066,1.37509 
160,0.5,8.5,3.73861e-07,7.85529e-07,1.08454e-29,0.475936,0.191334,2.96465e-13,43268.2,58223,1.29971,0.0066,1.42148 
161,0.35,8.5,3.67403e-07,7.69427e-07,1.06231e-29,0.477502,0.182501,6.3398e-13,40661.6,55149.6,1.30419,0.0066,1.44031 
162,0.8,8.5,4.07092e-07,7.48041e-07,1.03278e-29,0.544211,-0.167301,3.13689e-13,37364.3,50407.8,1.50096,0.0066,1.43978 
163,0.65,8.5,4.00077e-07,7.00611e-07,9.67299e-30,0.57104,-0.295713,1.48103e-13,30698.2,42447.7,1.5829,0.0066,1.3424 
164,0.2,8.5,3.73046e-07,7.90119e-07,1.09088e-29,0.472139,0.212882,1.2785e-13,44031.1,57630.6,1.28888,0.0066,1.49423 
165,1.55,8.5,4.34678e-07,7.67133e-07,1.05914e-29,0.566627,-0.275007,-1.9683e-13,40299,54531.4,1.56936,0.0066,1.35867 
166,1.1,8.5,4.10138e-07,7.5639e-07,1.04431e-29,0.54223,-0.157571,-2.55849e-13,38629.5,50715.6,1.49497,0.0066,1.41414 
167,1.25,8.5,4.35568e-07,6.83027e-07,9.43022e-30,0.637703,-0.591548,-4.02176e-13,28444.3,38344.6,1.79106,0.0066,1.31751 
168,1.7,8.5,4.34502e-07,7.37502e-07,1.01823e-29,0.589153,-0.379095,8.25313e-13,35807.3,50903.1,1.63899,0.0066,1.36861 
169,0.05,8.5,3.69546e-07,7.81592e-07,1.0791e-29,0.472812,0.209044,1.34554e-13,42620.8,56339.2,1.2908,0.0066,1.44758 
170,0.95,8.5,3.93325e-07,7.45206e-07,1.02887e-29,0.527808,-0.0856024,4.31249e-13,36941.1,50341.1,1.45162,0.0066,1.4387 
171,1.4,8.5,4.14212e-07,7.35555e-07,1.01554e-29,0.563129,-0.258482,4.76879e-13,35524.5,49458.5,1.55858,0.0066,1.37822 
172,0.5,8.5,3.8342e-07,7.40594e-07,1.0225e-29,0.51772,-0.0340549,2.25554e-13,36259.5,49553.6,1.42157,0.0066,1.40547 
173,0.35,8.5,3.89813e-07,7.27732e-07,1.00474e-29,0.535654,-0.124998,2.70099e-13,34403,47160.1,1.47514,0.0066,1.39845 
174,0.8,8.5,4.02102e-07,7.85742e-07,1.08483e-29,0.511748,-0.00305039,-6.61375e-13,43303.3,55890.3,1.40388,0.0066,1.44004 
