cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
33,100,33,17619.2,0,5,101,125,0,5,135,-8.03719,-4.37045,-5.74562,-4.28761,-6.0078,-94.8752,14.2094,23449.5,13.7657,16439.4,-7.67061,-4.00387,-5.01246,-3.92103,-5.64122,0.809043,19.7539,23865.3,19.3102,0.460184,0.000472762,0.999561,42.9261,747.031,948.401,166.948,33786.1,8.58739e-07,0.980176,109.373,83.3217,29.0721,31.6945,0.91726,768.276,930.206,0.984435 
34,120,34,17144.1,0,5,101,125,0,5,135,-6.7643,-2.45385,-7.79674,-4.23887,-7.52164,-66.589,24.0151,22773.4,9.70732,16439.4,-6.50701,-2.19656,-7.28217,-3.98159,-7.26436,0.732585,27.9066,23065.2,13.5988,0.631012,0.000690893,0.99968,44.2251,750.441,862.29,0.735609,32135.2,8.44518e-07,0.952524,109.196,82.9044,29.4329,31.2567,0.941651,787.467,904.69,0.999441 
35,2.5,35,20104.9,0,5,101,125,0,5,135,-2.62197,-4.78963,-8.8607,-2.9068,-7.87692,-101.098,4.63096,26258.1,4.06906,16439.4,-2.23135,-4.399,-8.07946,-2.51618,-7.4863,0.673059,10.5391,26701.2,9.97725,0.46816,0.000225496,0.999797,22.5118,449.754,534.489,0.588191,34839.4,8.67572e-07,0.565134,109.327,85.3645,23.1771,25.0302,0.925965,488.295,580.149,0.613486 
36,10,36,19682.2,0,5,101,125,0,5,135,-5.82639,-2.75184,-9.23346,-5.38366,-7.56042,-51.4999,4.56695,26057.7,-5.29461,16439.4,-5.62741,-2.55286,-8.83549,-5.18468,-7.36144,0.701119,7.5766,26283.4,-2.28495,1.56714,0.000164696,1.00005,4.83466,513.188,609.869,0.925382,35105.8,8.69777e-07,0.643204,109.807,84.8432,24.0492,25.9737,0.925907,525.735,624.711,0.658893 
37,25,37,20907.2,0,5,101,125,0,5,135,-10.1243,-5.28971,-6.6676,-7.64055,-5.23633,-21.5376,16.9784,27023.8,13.1232,16439.4,-10.0411,-5.20649,-6.50117,-7.55733,-5.15311,0.811337,18.2371,27118.2,14.3818,0.513789,0.00038414,0.999712,35.4953,618.624,744.525,0.709646,37004.1,8.8518e-07,0.766693,109.568,82.9837,26.7754,29.1,0.920116,651.683,784.148,0.80758 
38,45,38,18575.4,0,5,101,125,0,5,135,1.26566,-5.85699,-6.25037,-5.52882,-7.33858,35.7642,31.1583,24903.2,8.86892,16439.4,1.12748,-5.99517,-6.52675,-5.667,-7.47677,0.734017,29.0682,24746.5,6.77886,0.781344,0.000670772,0.999851,37.2028,667.201,891.252,935.142,35111.7,8.69826e-07,0.886535,109.321,82.8653,27.608,30.4584,0.906419,692.846,859.064,0.886949 
39,35,39,19160.9,0,5,101,125,0,5,135,-5.98225,-1.74131,-6.80065,-7.62239,-11.3781,-16.132,8.11374,25733,-0.474399,16439.4,-5.91992,-1.67898,-6.67599,-7.56006,-11.3158,0.798617,9.05649,25803.7,0.468352,0.941569,0.000200518,0.99999,9.61851,675.329,835.1,0.848886,36179.7,8.78558e-07,0.854785,109.406,82.8687,27.6947,30.5097,0.907736,697.204,861.962,0.882376 
40,40,40,18595.3,0,5,101,125,0,5,135,-3.83058,-2.94613,-5.79481,-6.24222,-9.03205,-112.806,24.6415,24435.2,20.8469,16439.4,-3.39472,-2.51027,-4.92309,-5.80636,-8.59619,0.804876,31.2338,24929.7,27.4392,0.486805,0.000715418,0.999403,64.1609,649.407,801.299,0.612476,34051.6,8.60983e-07,0.837841,109.068,82.687,27.7815,30.5747,0.908645,701.581,865.638,0.905133 
41,60,41,18778.2,0,5,101,125,0,5,135,-3.3279,-3.30351,-7.13898,-3.74608,-7.11692,-72.3731,28.625,24957,32.4692,16439.4,-3.04826,-3.02387,-6.57971,-3.46645,-6.83728,0.713372,32.8544,25274.2,36.6986,0.427276,0.000742259,0.999212,76.8928,700.438,876.217,0.748612,35409.3,8.72277e-07,0.898124,109.315,82.4558,28.4012,31.4694,0.902504,733.229,917.04,0.940069 
42,80,42,18374.3,0,5,101,125,0,5,135,-6.65121,-6.65457,-8.30436,-0.681534,-4.07865,-34.4536,31.8366,24233.1,12.7755,16439.4,-6.51809,-6.52144,-8.03812,-0.548412,-3.94552,0.685662,33.8501,24384.1,14.789,0.656049,0.000792631,0.999671,51.5968,719.782,886.72,0.688316,34406.2,8.63961e-07,0.924697,109.634,81.9545,28.9694,31.8527,0.90948,762.858,939.516,0.979895 
