cyc,vva,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
35,5,46.3033,35,16275.8,-0.00824874,30.6627,11.6136,121.929,-0.0244953,8.14991,1.49888e-10,0.555996,0.559805,1.14054,1.91699,0.0409647,0.750264,374.295,57.961,15599.6,11598.9,0.551271,0.555081,1.13109,1.91227,0.0362405,0.729789,373.485,57.928,15598.8,0.0245837,0.786518,0.00679438,15192.4 
36,4,46.3733,36,17116.4,-0.0166997,31.8371,-11.9272,121.814,0.0272743,-2.63261,500,0.66694,3.07963,-7.78435,2.9136,1.08201,-36.3315,359.572,67.5095,16609.9,12363.8,0.89571,3.3084,-7.32681,3.14237,1.31078,6.50701,398.806,69.1109,16649.1,0.0245942,0.767303,0.00758861,16215.4 
37,10,46.4933,37,17511,-0.0193848,33.0895,-11.6662,122.105,-0.00388558,-9.60001,500,-1.50087,3.11219,-1.41434,4.88856,1.83743,-12.431,341.959,79.4936,16880,12567.7,-1.4226,3.19046,-1.25779,4.96683,1.91571,1.17014,355.383,80.0415,16893.4,0.0216643,0.717285,0.00865245,16404.1 
38,5,46.3783,38,18887,-0.0264672,35.1661,11.9166,121.856,-0.0117255,-11.5004,0.00101773,-3.02727,2.73267,4.02952,2.75201,4.09099,-18.4591,403.547,74.8949,18378.4,13646.2,-2.91104,2.84891,4.26198,2.86824,4.20722,0.622008,423.481,75.7086,18398.4,0.0236556,0.761696,0.00752316,17901.9 
39,2,46.3333,39,17001.3,-0.01624,31.6345,11.732,122.051,-0.0105125,60.9151,179.837,0.838629,5.13553,5.11486,3.19013,-1.04629,7.11006,570.89,70.0401,15967.3,12102.5,0.793858,5.09076,5.02532,3.14536,-1.09106,0.612371,563.212,69.7267,15959.6,0.0358167,0.821927,0.00798381,15724.8 
40,5,46.3833,40,17489.8,-0.078958,32.7812,11.8622,121.673,0.334472,-235.849,162.074,1.57941,-0.442729,9.5486,1.17671,1.22172,20.602,324.295,78.3671,16982.2,15226.6,1.44968,-0.572454,9.28915,1.04698,1.092,0.245114,302.048,77.459,16960,0.0184018,0.690235,0.008343,16414 
41,10,46.4333,41,16767.1,-0.0283553,31.1397,11.6788,121.847,0.0272843,-22.1626,3.41533e-11,8.81533,3.56854,3.99276,-0.0437332,2.23926,-34.8166,292.174,48.9951,16074.2,11858.5,9.03456,3.78777,4.43122,0.175497,2.45849,0.777186,329.772,50.5297,16111.8,0.0210906,0.788553,0.005744,15636 
42,5,46.2933,42,16746.3,-0.0308253,31.7374,11.5715,121.641,0.130384,-98.159,138.387,-0.326656,1.90979,7.8372,4.09773,0.572775,-61.4443,269.862,72.5413,16196.6,12371.8,0.0602429,2.29669,8.611,4.48463,0.959673,0.47533,336.215,75.2496,16262.9,0.0212983,0.718559,0.0084515,15786 
43,2.5,46.3583,43,16666.7,-0.0674501,31.4575,11.7817,121.8,0.0107723,9.98826,500,0.35367,3.402,-1.80344,-1.97043,3.41013,28.4381,263.353,59.9155,16129.2,12068.5,0.174603,3.22293,-2.16157,-2.1495,3.23106,1.93271,232.643,58.6621,16098.4,0.0149839,0.693832,0.0066678,15526.2 
44,1.7,46.3423,44,18793.7,-0.114958,34.8607,12.0842,121.93,0.114013,-30.1485,132.917,0.34948,4.09858,0.351167,-2.63881,-1.5771,-5.07749,486.558,84.3492,18175.6,13825.5,0.381451,4.13055,0.41511,-2.60684,-1.54513,0.464469,492.041,84.573,18181.1,0.0276987,0.768762,0.00849614,17764 
45,2,46.3403,45,14972,0.0232356,28.1655,11.453,122.219,-0.0629479,56.5529,275.041,1.39648,2.91515,2.06072,1.53284,-0.654698,-34.0436,2459.91,61.8385,12111.6,10616.9,1.61084,3.12951,2.48945,1.7472,-0.440334,0.708381,2496.67,63.339,12148.4,0.177856,0.957491,0.009513,14037.6 
46,10,46.4633,46,16965.1,0.0328649,31.6707,-11.7949,121.704,-0.102243,30.2751,6.56889e-12,5.51966,2.53471,-1.18443,-1.84439,-0.0536075,36.5133,301.342,74.9644,16475.4,12261.1,5.28974,2.30479,-1.64426,-2.0743,-0.283522,1.4577,261.912,73.355,16436,0.0164972,0.671082,0.0081544,15876.1 
47,10,46.5433,47,16848.5,-0.0534095,31.674,11.7456,121.727,-0.0891146,73.6097,465.742,-4.56239,1.4492,-0.802238,1.97483,0.469264,-18.9897,382.139,70.9101,16188.6,12324.4,-4.44282,1.56877,-0.563091,2.09441,0.588837,0.253091,402.646,71.7471,16209.1,0.0254818,0.762293,0.00808785,15801.3 
48,4,46.3683,48,17390.5,-0.0360819,32.668,11.6885,121.803,0.0613176,-3.26497,60.5014,-0.933295,5.15287,5.63311,-2.90725,0.0974691,-22.3623,318.222,62.0127,16743.7,12436.6,-0.792486,5.29368,5.91473,-2.76644,0.238278,0.250138,342.371,62.9984,16767.8,0.0210407,0.756423,0.0068734,16271.8 
49,1.7,46.3433,49,17965.9,0.0144872,32.8375,11.8154,121.855,0.0420976,-6.14922,2.00841e-10,-1.25685,4.15668,1.58436,1.25928,1.99869,-93.3149,445.152,82.9931,16956.6,12638.8,-0.669269,4.74426,2.75951,1.84686,2.58627,0.755094,545.922,87.1061,17057.4,0.0325915,0.781723,0.00931933,16750.4 
50,4,46.3133,50,19225,-0.00938952,35.363,-11.8389,121.85,0.0078491,-47.9136,115.593,2.30857,3.88237,2.93575,0.0214382,0.49598,-29.7075,408.358,82.9407,18328.9,13641,2.49563,4.06943,3.30987,0.208498,0.68304,0.692576,440.438,84.2501,18361,0.0246284,0.749203,0.00838173,17883.4 
51,10,46.5233,51,16170.9,0.00559176,30.4918,11.4987,121.722,-0.0345501,-26.7593,488.727,3.27431,2.09238,-1.37691,2.83876,0.904705,-57.4295,353.238,67.2451,15331,11443.8,3.63592,2.454,-0.653671,3.20038,1.26632,1.06601,415.256,69.7764,15393,0.0276126,0.772764,0.0082811,15038.6 
52,1.7,46.3443,52,16831.2,-0.0177027,31.5441,11.5705,121.85,0.00432507,-0.372394,1.55219e-10,-0.891484,4.54174,1.68814,-1.59948,-0.139508,-21.0978,383.029,72.937,15918.3,11881.4,-0.758637,4.67459,1.95384,-1.46663,-0.00666119,0.555592,405.812,73.867,15941.1,0.0260975,0.758415,0.00846362,15549.8 
53,10,46.5333,53,18374.5,-0.0493338,33.7891,11.9777,121.774,-0.0784638,-78.1357,475.548,0.302871,0.739763,-4.1989,-0.382371,2.69858,-25.0901,368.861,83.5251,17623.4,13374.4,0.460856,0.897748,-3.88293,-0.224386,2.85656,37.0015,395.956,84.631,17650.5,0.023069,0.72778,0.00875521,17164 
54,5,46.4033,54,17124.5,-0.0335875,31.6062,11.8902,122.055,0.0205052,10.8124,370.656,2.14598,2.70894,-5.07749,-2.26266,-0.655533,-34.2619,286.793,68.346,16372.3,12240.9,2.36172,2.92468,-4.64602,-2.04693,-0.439795,-1.51635,323.792,69.8562,16409.3,0.0203482,0.725925,0.00778105,15912.6 
55,2,46.3483,55,16004.2,-0.0254619,29.7979,11.6641,121.898,-0.0120847,4.07356,2.70609e-10,0.661497,2.79629,1.85724,0.448392,0.999054,-6.07664,371.959,58.0025,15106.6,11316,0.69976,2.83455,1.93377,0.486655,1.03732,0.723433,378.521,58.2703,15113.2,0.0256867,0.787775,0.00705232,14736 
56,10,46.1433,56,17586.3,-0.0495862,32.9335,11.7457,122.001,-0.0193555,26.814,4.40388e-10,1.64455,1.19011,1.63934,2.86044,-0.883417,-26.3164,287.815,73.29,17033.2,12609.4,1.81026,1.35582,1.97075,3.02615,-0.71771,0.735301,316.234,74.45,17061.6,0.019137,0.708217,0.0079741,16524.8 
57,2,46.3383,57,14868.6,-0.00266431,28.1786,11.4152,122.69,-0.0111424,-13.0749,500,-1.74416,0.516248,-1.04873,1.16634,-4.22891,-41.1968,4795.63,49.1649,9573.93,10476,-1.48476,0.775653,-0.529921,1.42574,-3.9695,0.859912,4840.12,50.9807,9618.42,0.346276,0.981901,0.00966935,13977.6 
58,5,46.3933,58,18436.8,-0.00494482,33.3557,12.023,121.833,0.00182606,-14.591,215.481,-4.79615,-0.427746,1.97346,1.42313,5.46861,-82.9707,303.752,66.9938,17557.8,13055.9,-4.27371,0.0946985,3.01835,1.94557,5.99106,0.554551,393.351,70.6509,17647.4,0.0229247,0.760848,0.00732082,17158.4 
59,10,46.4533,59,17520.5,-0.0156492,32.5886,-11.7325,121.87,0.00246508,-5.63702,1.84145,1.5696,0.168942,-1.97031,1.27635,1.93351,-64.2134,286.524,75.791,16807.8,12447.1,1.97394,0.573276,-1.16164,1.68069,2.33785,1.21495,355.867,78.6213,16877.1,0.0217136,0.721175,0.00850836,16389.1 
60,2.5,46.3233,60,17877.7,-0.0117124,32.8197,11.8727,121.824,-0.0312575,17.5734,7.32789,-0.72914,-1.30952,-1.89304,0.432151,1.57733,-56.6625,435.989,71.2548,16997,12702.5,-0.372351,-0.952736,-1.17946,0.788939,1.93412,6.39772,497.179,73.7523,17058.2,0.0297668,0.793904,0.00790154,16702.5 
61,10,46.4733,61,16620.2,-0.0120869,30.6584,11.8202,121.962,-0.00328793,11.7293,57.267,2.81011,3.53371,1.88162,-1.1928,-0.66498,-38.3696,273.416,67.6052,15830.6,11798.2,3.05171,3.77531,2.36482,-0.951199,-0.423376,0.697487,314.851,69.2965,15872.1,0.0204538,0.721937,0.00797836,15393.3 
62,2,46.3463,62,17051.3,0.0104005,30.8712,11.7766,122.094,-0.0115852,-18.5347,500,3.96103,0.585857,0.950012,-0.123719,3.97709,-115.459,361.047,79.8175,15923.2,11842,4.68805,1.31287,2.40404,0.603297,4.70411,0.824681,485.73,84.9066,16047.9,0.0308769,0.765753,0.00965221,15731.2 
63,8,46.4133,63,17176.5,-0.00975785,31.4742,-11.8893,121.786,-0.0092299,22.13,235.968,2.49944,5.70778,4.23243,2.11678,2.10628,-35.5305,306.747,54.0944,16367.1,12188.3,2.72317,5.93151,4.67988,2.34051,2.33001,0.74008,345.116,55.6605,16405.4,0.0216642,0.779885,0.00621109,15930.3 
64,5,46.3883,64,18209.5,-0.0192946,33.4151,11.8259,121.766,-0.0061491,34.5742,6.21079e-05,0.129692,4.15195,0.805464,2.13562,4.0044,-40.6032,298.481,78.3923,17407.7,12870.8,0.385359,4.40762,1.3168,2.39129,4.26006,0.896812,342.328,80.182,17451.6,0.0202306,0.709273,0.0083926,16921.3 
65,10,46.4833,65,16576.1,0.0231791,30.1776,11.8442,121.979,-0.0428007,-3.79779,338.924,-5.4409,-3.47903,3.44893,0.660405,-0.217023,-82.5341,238.628,66.9458,15760.9,11640.8,-4.92121,-2.95933,4.48832,1.1801,0.302673,3.35059,327.756,70.5837,15850.1,0.0213031,0.726285,0.00813653,15385.3 
66,10,46.5133,66,17162.9,0.0462048,31.4216,11.6978,121.772,-0.000535523,-20.4665,63.1001,6.25358,4.4528,-2.40016,2.39566,0.612069,-71.1109,336.37,64.3055,16184.5,11965.8,6.70135,4.90056,-1.50463,2.84343,1.05984,1.10747,413.162,67.4399,16261.3,0.0260483,0.777817,0.00758178,15861.4 
67,10,46.4433,67,18103.6,-0.00329039,33.3152,11.8032,121.876,0.00773132,-7.87829,1.60143e-09,-2.81238,0.0861156,-6.79137,4.43039,-0.00175105,-23.1805,328.901,66.8641,17241.7,12802.8,-2.66642,0.232077,-6.49945,4.57635,0.14421,-0.542627,353.933,67.8858,17266.8,0.0211211,0.748695,0.00719032,16757.4 
68,8,46.4233,68,17245.4,0.000759471,31.5384,-11.8366,121.885,0.0134109,2.93453,2.56975e-11,0.578085,1.88418,8.11089,0.757037,-3.46605,-69.5574,322.414,70.6651,16349.6,12153.6,1.01607,2.32216,8.98686,1.19502,-3.02807,0.143459,397.528,73.731,16424.7,0.024844,0.754957,0.00820146,16001 
69,2,46.3533,69,16700,-0.0135772,30.9779,11.719,121.885,0.00276646,4.96388,1.36353e-10,-2.27598,3.39463,3.34246,2.40919,2.03122,-25.4245,250.226,59.3626,15962,11818.3,-2.11589,3.55472,3.66264,2.56928,2.19131,0.628613,277.682,60.4833,15989.4,0.0179524,0.724021,0.00691991,15467.7 
70,10,46.5033,70,16719.7,0.0925748,29.7943,11.8371,122.093,-0.0364542,14.241,452.296,0.808389,2.0701,0.155764,0.573495,-1.7082,-57.3631,445.228,69.8042,15400.4,11497.8,1.16959,2.4313,0.878164,0.934695,-1.347,0.784062,507.174,72.3326,15462.3,0.0333747,0.800267,0.00854373,15196.4 
71,2.5,46.3633,71,16988,0.0324624,31.1357,11.7098,121.732,-0.0270954,-0.998317,2.38432e-09,-0.617535,-1.83392,3.85338,2.6723,-0.885923,-95.9435,280.898,69.9849,16032.2,11869.6,-0.0134039,-1.22979,5.06164,3.27643,-0.281793,0.257071,384.506,74.2138,16135.8,0.0244698,0.747514,0.00840125,15713.5 
72,5,46.3983,72,16224.3,-0.0133379,30.043,11.7807,121.898,-0.011554,-5.71417,116.844,1.16417,2.04322,0.136045,-0.984669,0.676475,-57.7159,284.87,57.5908,15522.9,11523.7,1.52759,2.40664,0.862888,-0.621248,1.0399,0.834562,347.197,60.1347,15585.3,0.0229124,0.7674,0.00705748,15153.2 
73,5,46.3033,73,17414.2,0.0680634,31.8238,11.6436,121.876,-0.167241,155.5,262.871,-0.841379,0.564118,0.981452,-1.49692,3.43031,-106.726,354.441,76.8342,16274.1,12909,-0.169354,1.23614,2.3255,-0.824891,4.10233,0.651335,469.693,81.5384,16389.3,0.0292834,0.766989,0.00908141,16039.6 
74,4,46.3733,74,16540,0.0238691,30.473,11.6452,121.852,-0.0210697,-60.3014,500,-0.839502,-0.579333,2.0509,3.91508,2.28658,-89.629,245.284,55.5794,15632.3,11593.4,-0.275132,-0.0149628,3.17963,4.47945,2.85095,0.688879,342.073,59.53,15729.1,0.02238,0.766549,0.00692354,15284.7 
75,10,46.4933,75,17541.1,0.0250275,32.4287,11.6619,121.937,0.0569345,-67.9371,0.242119,0.682461,-0.446643,0.0579689,0.878119,1.37227,-33.9032,320.546,78.0352,16606.8,12436.9,0.895941,-0.233163,0.484927,1.0916,1.58575,0.873223,357.158,79.5296,16643.4,0.0220899,0.719591,0.00872559,16168.4 
76,10,46.4933,76,15912.6,-0.0100942,30.3119,-11.4407,121.935,-0.0295073,15.8644,39.8274,0.981515,-2.72275,-2.88123,-1.93781,-1.91392,-73.4443,244.113,61.1242,15161.9,11304.4,1.44397,-2.26029,-1.95631,-1.47535,-1.45146,0.656754,323.424,64.3614,15241.2,0.0218492,0.741702,0.00771889,14802.6 
77,10,46.4933,77,15358.8,0.00407993,28.357,11.7134,121.945,-0.0170764,18.3955,1.0251e-10,-0.512247,-3.29224,-2.18095,-0.218077,1.11631,-55.0367,283.945,51.2818,14586,10823,-0.165696,-2.94569,-1.48784,0.128474,1.46287,0.505353,343.378,53.7076,14645.5,0.0240856,0.785104,0.00671002,14256.6 
