cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
32,0.05,3.95,32,6401.64,0.0471904,12.0714,11.076,120.843,0.179327,-239.958,470.321,-0.638968,-0.00709849,-3.15836,-1.7713,-1.30395,7.87342,542.821,36.0378,5509.5,5753.24,-0.688545,-0.0566753,-3.25751,-1.82087,-1.35353,0.546127,534.319,35.6908,5500.99,0.157392,0.89534,0.0118105,3394.84,0.000324951,0.0405606,-10.9999,16.3545,125.546,105.578,0.515194,11.354,11.393,120.152,133.563,5.39361,-27.9842 
33,0.47,3.53,33,6804.67,-0.00179457,12.5,11.6218,120.651,0.0201591,-6.76513,4.45558e-12,-2.72297,1.66779,0.921905,1.05187,-3.14055,67.0252,605.676,45.2717,5913.53,4733.54,-3.14501,1.24575,0.0778248,0.629827,-3.56259,1.01637,533.296,42.3174,5841.15,0.149354,0.878068,0.0131698,3570.69,0.000287026,0.0488315,10.6138,20.1239,124.452,108,0.521118,11.6942,11.3186,119.878,133.568,4.57314,-25.5677 
34,0.61,3.39,34,6294.4,0.0303503,11.917,11.1842,120.47,0.00511602,-27.4168,458.027,-1.93624,-3.93828,-0.677037,2.46678,1.38337,80.2747,569.354,42.1398,5408.05,4343.34,-2.44171,-4.44375,-1.68797,1.96131,0.877905,0.705632,482.666,38.6015,5321.37,0.148523,0.877226,0.0131865,3249.78,0.000198388,0.0319167,11.7872,32.4467,124.277,108,0.48446,11.3779,11.28,119.753,132.983,4.52374,-24.9826 
35,0.17,3.83,35,5312.59,0.0103871,9.81527,11.0282,120.861,-0.0212896,-3.02198,8.42081e-12,-2.02691,-0.0515211,-1.42322,-5.10554,0.0908664,65.5484,417.484,30.8258,4477.02,3525.82,-2.43965,-0.464262,-2.2487,-5.51828,-0.321874,0.795438,346.699,27.9366,4406.24,0.131428,0.876414,0.0115446,2637.94,0.000357083,0.0362422,9.56658,23.5335,124.299,108,0.405588,11.3827,11.2611,119.988,134.013,4.31066,-26.0126 
36,0.27,3.73,36,7135.63,0.0599558,13.0366,11.3627,120.828,0.349386,-124.613,497.619,-0.620354,-2.38309,6.20705,0.706057,-1.67214,20.0003,527.171,47.6385,6152.91,6239.45,-0.746291,-2.50903,5.95517,0.58012,-1.79808,-3.01862,505.573,46.7569,6131.31,0.136869,0.8607,0.0138531,3693.85,0.000341455,0.0425106,11.0804,17.0269,125.403,103.875,0.549113,11.6503,11.6747,120.189,134.093,5.21416,-30.2175 
37,0.75,3.25,37,6896.28,-0.00517564,12.6064,11.6538,121.186,0.015301,-4.63642,8.94865e-13,2.37954,-4.2622,-0.512106,3.42643,0.52708,8.21981,543.602,29.3898,5961.9,4784.79,2.32778,-4.31396,-0.615622,3.37467,0.475322,1.49321,534.726,29.0275,5953.03,0.147295,0.913243,0.00890232,3630.3,0.000308549,0.0479312,-9.63631,16.0008,125.476,105.231,0.529546,12.0122,11.451,120.317,133.96,5.15901,-28.729 
38,0.13,3.87,38,6206.63,0.000900811,11.8414,11.3767,120.519,-0.00147422,-12.3044,449.144,0.679105,-3.30863,-3.70185,-0.666569,-0.392377,46.7544,551.263,45.6521,5489.03,4386.02,0.384705,-3.60303,-4.29065,-0.960969,-0.686778,0.531421,500.773,43.5913,5438.54,0.150436,0.867804,0.0145501,3328.81,0.00020317,0.052473,-10.1789,13.3503,124.046,108,0.520118,11.4212,11.1291,120.019,135.031,4.02692,-27.0311 
39,0.35,3.65,39,6457.12,-0.0109759,12.018,11.7224,120.845,0.00593052,1.59848,1.87531e-10,-5.47599,1.55495,-2.2457,4.08258,-0.82783,7.87327,533.556,54.2204,5696.69,4586.42,-5.52557,1.50537,-2.34485,4.033,-0.877406,0.269391,525.054,53.8733,5688.19,0.150751,0.847774,0.0171476,3482.91,0.000180981,0.0409305,10.5587,22.8401,123.709,108,0.491894,11.8547,11.4467,120.173,134.115,3.53588,-26.115 
40,0.59,3.41,40,6758.93,-0.00860473,12.3805,11.6415,120.92,-0.00222745,-8.13019,500,-1.61352,1.48568,6.12294,0.18791,-3.01514,42.2075,598.022,53.4968,5771.33,4692.41,-1.87929,1.21991,5.5914,-0.0778591,-3.28091,-2.55403,552.442,51.6364,5725.75,0.156507,0.859423,0.0163411,3529.83,0.00043393,0.0521178,-10.6084,14.1327,123.932,107.15,0.502891,11.5922,11.8348,120.265,134.009,3.66762,-26.8591 
41,0.01,3.99,41,6898.9,0.0526754,12.4472,-11.5613,120.892,0.0540544,-28.8813,262.499,3.58821,-0.0519122,-3.29252,2.18289,-2.08819,8.80225,554.402,43.2806,5883.01,4735.43,3.53278,-0.107338,-3.40337,2.12746,-2.14361,575.668,544.896,42.8926,5873.5,0.151397,0.878924,0.0132738,3599.12,0.000455313,0.0457152,10.9868,15.3579,124.452,105.405,0.522256,11.765,11.4758,120.371,134.704,4.08114,-29.2998 
42,0.53,3.47,42,6521.88,0.0212487,11.7906,11.8108,120.917,0.06304,-101.439,186.594,2.86006,3.59626,1.62191,0.192557,1.24248,4.23879,457.886,36.2623,5786.54,4741.39,2.83337,3.56957,1.56853,0.165866,1.21579,0.832299,453.308,36.0754,5781.96,0.131017,0.877755,0.0113629,3459.93,0.000197998,0.0317998,-11.4966,16.9298,126.05,103.44,0.529094,11.8419,11.3299,120.237,134.449,5.8122,-31.0089 
43,0.51,3.49,43,6507.23,0.032118,11.8446,11.5717,121.039,0.0244878,-14.9688,0.849945,-0.428255,-1.32762,0.43719,-4.25484,2.31759,9.7968,474.922,32.8554,5745.63,4473.75,-0.489943,-1.38931,0.313814,-4.31653,2.2559,1.08654,464.343,32.4236,5735.05,0.134726,0.891109,0.0103072,3446.57,0.000251264,0.0251262,11.9247,23.3946,126.846,102.74,0.501237,11.6058,11.904,120.493,134.022,6.35314,-31.2823 
44,0.39,3.61,44,6669.82,0.0322164,12.1442,11.629,120.788,-0.00548985,96.614,443.867,-5.21228,-0.48499,0.16894,-2.64468,-3.2547,28.108,546.948,37.9325,5803.01,4614.61,-5.38927,-0.661979,-0.185038,-2.82167,-3.43169,0.985185,516.595,36.6936,5772.66,0.146828,0.889441,0.0115737,3518.38,0.000361194,0.0380653,-11.5246,16.4599,124.521,105.651,0.509887,11.7602,11.5908,120.236,134.438,4.28551,-28.7869 
45,0.25,3.75,45,6269.98,0.0197577,11.6505,11.4976,120.637,0.00817162,-13.0573,122.75,-3.84099,0.518257,-5.14453,2.03283,1.32199,-3.24969,564.748,35.8448,5388.1,4364.08,-3.82053,0.53872,-5.1036,2.0533,1.34245,-0.022834,568.257,35.988,5391.61,0.168528,0.900229,0.0121464,3371.9,0.000268761,0.0370876,12.2707,18.1999,124.541,105.544,0.500774,11.5516,11.2061,120.128,133.8,4.4134,-28.256 
46,0.71,3.29,46,6604.77,-0.00193215,11.8995,11.8537,120.74,-0.0318354,28.6113,499.967,-1.61317,-6.80059,-0.810127,-3.37833,0.799673,2.58926,533.346,39.1361,5692.2,4621.4,-1.62948,-6.81689,-0.842735,-3.39463,0.783369,0.929184,530.55,39.022,5689.41,0.152062,0.885965,0.0124768,3489.04,0.000359255,0.0385439,11.1457,22.1914,124.446,108,0.495623,11.6789,11.4749,120.089,133.924,4.35701,-25.9237 
47,0.45,3.55,47,6860.76,0.0380859,12.4857,11.5898,120.743,-0.0102531,-13.6507,459.408,1.21631,-0.174208,-3.6543,3.94477,-0.820852,42.2505,600.862,63.7882,5907.36,4715.25,0.950269,-0.440248,-4.18638,3.67873,-1.08689,-2.8601,555.236,61.926,5861.74,0.154089,0.836695,0.0190893,3603.34,0.000376868,0.05579,11.5404,14.3834,123.463,106.114,0.519085,11.7059,11.4518,120.07,133.323,3.39265,-27.2093 
48,0.77,3.23,48,6462.95,0.0435542,11.6831,11.5931,120.912,-0.106837,61.2342,281.626,-5.81264,-2.78177,-2.84186,0.0294731,-1.87098,0.700215,536.86,50.3881,5618.25,4622.07,-5.81704,-2.78618,-2.85068,0.025064,-1.87539,0.785732,536.104,50.3572,5617.49,0.155069,0.858826,0.016245,3457.2,0.000326585,0.0439108,12.1121,15.5344,124.375,106.544,0.506401,11.6349,11.2709,120.222,134.053,4.15339,-27.5091 
49,0.57,3.43,49,6166.92,0.0175593,10.9044,-11.6895,120.951,-0.0104679,-27.0767,500,-1.73627,-4.34434,-5.38763,0.710093,-3.18397,30.171,502.617,41.9977,5253.03,4158.69,-1.92625,-4.53432,-5.76759,0.520115,-3.37395,0.617585,470.036,40.6678,5220.45,0.147593,0.868499,0.0141472,3184.67,0.000470866,0.0491501,-10.4547,12.5483,123.96,106.825,0.46224,11.7764,11.4982,120.194,134.403,3.76531,-27.5788 
50,0.37,3.63,50,5701.6,0.0342054,10.4291,11.5032,120.849,-0.0220301,31.3447,410.611,-0.678634,-3.01994,1.15959,-2.25534,-1.60761,28.2136,474.618,31.6659,4903.69,3927.85,-0.856287,-3.1976,0.804279,-2.43299,-1.78527,1.1077,444.15,30.4223,4873.22,0.149132,0.892963,0.0113691,2978.23,0.000231612,0.029252,12.0344,26.7097,125.058,107.996,0.439291,11.4983,11.3351,119.974,134.057,5.08403,-26.0606 
51,0.81,3.19,51,6971.7,0.0343929,12.7089,11.6089,121.069,-0.0101097,37.3902,448.835,5.16438,-0.797083,0.354776,1.70051,0.515326,-33.931,514.999,48.3733,6083.2,4815.08,5.37804,-0.583429,0.782085,1.91417,0.72898,0.904854,551.641,49.8689,6119.84,0.147736,0.863407,0.0147888,3733.96,0.000398495,0.0437866,11.3331,16.3886,124.79,108,0.546963,11.5074,11.4031,120.124,134.499,4.66673,-26.4987 
52,0.29,3.71,52,6934.9,0.056336,12.4656,11.5717,120.984,-0.0721544,-119.634,52.9723,-3.12725,2.98035,-1.03383,1.28869,1.11692,-17.0539,548.089,66.5033,5866.16,4976.75,-3.01987,3.08773,-0.819058,1.39608,1.2243,1.43819,566.505,67.255,5884.58,0.156213,0.82798,0.0206193,3626.49,0.000484443,0.0627032,-10.6412,10.8756,124.177,105.919,0.522541,11.822,11.4942,120.358,133.435,3.81895,-27.5153 
53,0.79,3.21,53,6219.44,0.0572646,11.2411,11.4403,120.696,0.00113775,23.6242,105.014,3.02531,-1.59704,3.01736,-4.55573,-1.56766,-8.29382,446.446,25.2412,5406.41,4187.29,3.07753,-1.54481,3.1218,-4.5035,-1.51544,3.28802,455.402,25.6067,5415.37,0.139208,0.910415,0.00863523,3271.39,0.000355549,0.0324149,11.8016,16.9028,125.232,105.246,0.49526,11.5393,11.3417,120.133,135.038,5.09862,-29.7921 
