cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
47,0.45,3.55,47,15086.9,0.00281157,25.5989,12.7893,121.609,-0.0343818,20.0467,433.153,-4.41498,-3.1768,-1.56445,1.16722,-0.221987,55.3884,1697.49,943.132,11878.8,10680.1,-4.76374,-3.52556,-2.26199,0.818455,-0.570754,0.780466,1635.24,928.484,11816.5,0.210189,0.501593,0.126442,7779.82 
48,0.77,3.23,48,12014.7,-0.00622417,20.906,12.7173,121.419,-0.0071374,1.69886,7.32275e-11,-1.4473,0.467383,-10.5998,2.07677,-2.89253,41.4883,1424.68,686.074,9592.77,8655.23,-1.70854,0.206142,-11.1223,1.81553,-3.15377,0.203442,1378.04,675.101,9546.14,0.217287,0.538409,0.115258,6342.04 
49,0.57,3.43,49,12888.6,-0.000154666,21.904,13.0298,121.267,0.00257231,1.57676,9.58523e-11,-1.12238,-4.06485,-3.00637,-1.68577,3.99963,76.545,1396.94,637.553,10443.8,9291,-1.60436,-4.54684,-3.97034,-2.16776,3.51765,0.547367,1310.9,617.309,10357.8,0.195747,0.548221,0.0989263,6696.94 
50,0.37,3.63,50,14738.9,-0.0503691,25.5556,12.7512,121.854,0.0544687,-33.1205,102.983,0.445991,-0.4854,-3.68768,-5.33266,0.915498,90.9868,1615.68,755.167,11954.9,10666.7,-0.126929,-1.05832,-4.83351,-5.90558,0.342578,0.582662,1513.41,731.104,11852.7,0.197141,0.541889,0.102032,7676.8 
51,0.81,3.19,51,14510.8,-0.0360656,24.436,13.0662,121.427,0.0151904,-13.6985,351.544,-1.92569,0.094422,-5.28619,-2.13506,1.90601,61.6064,1539.39,816.299,11584.5,10400.6,-2.31361,-0.293497,-6.06203,-2.52298,1.51809,0.37337,1470.14,800.007,11515.3,0.197121,0.512217,0.113458,7458.09 
52,0.29,3.71,52,13903.6,0.0127467,24.0169,12.5146,121.29,-0.0139501,0.612252,414.09,1.48603,1.11048,-4.76627,0.532632,5.3228,56.0243,1474.3,845.958,10953.2,9784.56,1.13326,0.757711,-5.47181,0.179862,4.97003,4.48732,1411.33,831.142,10890.2,0.199503,0.492469,0.123261,7074.24 
53,0.79,3.21,53,12789.7,-0.0285318,22.1736,12.7024,121.315,-0.00497904,33.1155,5.66017e-10,0.361978,-2.11983,-3.21507,1.29099,-2.15147,41.8337,1244.45,730.938,10434.2,9174.25,0.0985626,-2.38324,-3.7419,1.02757,-2.41489,0.495286,1197.43,719.874,10387.2,0.181462,0.487313,0.113212,6598.79 
54,0.65,3.35,54,14565.1,-0.0419832,24.962,-12.865,121.708,0.0100357,5.46535,423.673,-3.02548,3.21396,-0.608477,-1.67101,-0.616343,45.678,1453.86,788.869,11931.5,10455.9,-3.3131,2.92634,-1.18372,-1.95864,-0.903965,0.73298,1402.52,776.788,11880.1,0.185025,0.50781,0.107499,7580.2 
55,0.19,3.81,55,14276.9,-0.0174817,24.1844,12.905,121.736,-0.0148484,9.90555,0.0131679,1.68113,-2.44029,-4.76676,3.46516,2.37169,103.892,1666.86,821.726,11270.6,10164.6,1.02695,-3.09447,-6.07512,2.81098,1.71752,-0.680933,1550.09,794.251,11153.9,0.210893,0.527236,0.115962,7350.1 
56,0.55,3.45,56,13499.7,-0.0713521,23.8601,12.6288,121.478,0.0925092,29.5226,0.122031,-2.03684,-1.463,-7.57823,1.14095,-2.64025,104.401,1273.98,658.509,11228.3,9898.05,-2.69423,-2.12039,-8.893,0.483563,-3.29763,0.461738,1156.64,630.899,11110.9,0.166799,0.511626,0.0946933,6934.33 
