cyc,vva,frequency,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
32,10,47.3359,32,11980.2,-0.000231374,21.6341,12.0306,122.365,-0.0285933,-27.5869,15.572,-0.543587,-1.46998,1.77668,3.56372,0.436696,24.5854,711.667,2.94429,10954.4,8498.37,-0.698395,-1.62478,1.46706,3.40891,0.281888,0.482461,685.117,1.86063,10927.9,0.0619085,0.99527,0.000313547,11066.6,-8.78296e-05,0.0580737,12.1801,12.4968,124.561,82.5889,0.927859,12.519,11.9834,121.85,129.891,2.71044,-47.3024 
33,10,47.4059,33,13797.9,-0.00319992,25.4478,12.0462,121.962,-0.00293366,8.47078,26.3423,1.02607,1.14004,-0.0167206,0.276772,-1.66166,-2.67427,238.896,13.4608,13444.2,9979.99,1.04291,1.15687,0.0169577,0.293612,-1.64482,0.980408,241.784,13.5787,13447,0.0185752,0.910514,0.00185668,13016.5,-0.000322221,0.020189,9.47348,15.9606,126.861,93.0271,1.14002,12.4919,11.9735,121.544,129.855,5.31672,-36.8282 
34,10,47.3059,34,12075.5,0.000277508,21.4923,12.2114,122.147,-0.0242018,20.1563,95.6511,1.8981,3.4528,5.14669,0.582963,-0.349622,21.6607,1379.3,28.5861,10448.9,8559.51,1.76171,3.3164,4.8739,0.446571,-0.486014,0.508311,1355.91,27.6313,10425.5,0.120416,0.965566,0.00485851,11260.2,-3.61466e-05,0.113358,12.6307,11.7401,124.207,81.8542,0.86361,12.5666,12.1333,121.471,129.872,2.7358,-48.0175 
35,10,47.3959,35,11174.9,-0.0301715,20.5202,11.9959,122.153,0.0123327,-17.7384,204.224,1.04106,1.59369,3.63188,-4.25549,3.13114,48.9318,284.205,8.88435,10660.1,8020.34,0.732949,1.28558,3.01566,-4.5636,2.82303,0.0843915,231.364,6.72758,10607.3,0.0224445,0.951578,0.00116698,10308.3,-9.38496e-05,0.022238,8.80317,17.7981,127.677,94.1614,0.941433,12.2718,11.6652,121.684,128.971,5.99303,-34.8095 
36,10,47.3459,36,11665.4,-0.0532944,21.2805,12.1911,121.879,-0.0384641,-37.838,66.6251,-0.587041,1.58161,3.47565,2.83775,1.2149,20.175,603.563,6.39135,10905,8492.8,-0.714078,1.45457,3.22158,2.71072,1.08786,0.584883,581.777,5.5021,10883.2,0.0532723,0.983719,0.000930427,10920.8,-0.000154671,0.0429642,11.9993,15.2332,125.309,83.6298,0.944814,12.4098,11.7061,121.447,129.382,3.86261,-45.7523 
37,8,47.2959,37,11154.8,-0.0205035,20.176,12.1717,122.317,-0.00617351,15.5046,500,1.29355,0.831529,6.25757,0.83508,-1.68547,16.6968,860.192,11.8373,9997.13,7997.43,1.18841,0.726393,6.0473,0.729945,-1.79061,0.123763,842.162,11.1013,9979.1,0.0815866,0.977452,0.00204507,10322.3,-8.06527e-05,0.0752374,11.9387,12.0913,124.345,81.5998,0.857624,12.5798,11.768,121.699,129.558,2.64551,-47.9578 
38,10,47.3659,38,11039,-0.0564009,20.4569,12.0341,121.985,0.0284696,12.2024,374.787,2.90515,-2.01797,2.35787,1.47346,-0.50335,32.1802,288.735,1.75114,10509,8025.3,2.70252,-2.2206,1.95261,1.27083,-0.70598,0.348995,253.984,0.332735,10474.3,0.0248892,0.997713,5.85144e-05,10204.6,-8.84349e-05,0.0238882,9.97233,16.1643,127.122,85.926,0.926768,12.1833,11.7492,121.583,129.176,5.53918,-43.2497 
39,5,47.2559,39,12342.6,-0.0282713,22.9139,-11.9015,122.341,0.00918938,2.90963,500,0.159912,-1.24584,-0.253904,-1.24423,-1.16619,52.481,1402.93,23.2522,10681.9,8878.5,-0.170546,-1.5763,-0.914821,-1.57468,-1.49665,0.840429,1346.26,20.939,10625.2,0.117678,0.973503,0.00361708,11440.2,-4.97501e-05,0.141654,11.1426,10.7471,123.426,82.1807,0.921809,12.3131,11.8927,121.778,130.117,1.64788,-47.9365 
40,5,47.1759,40,10990.3,-0.0370668,21.2532,-11.6559,121.986,0.00942654,18.5126,500,0.0978202,-0.353523,3.15223,0.0880441,-1.0378,83.7832,123.135,6.71938,10865.4,8069.95,-0.42974,-0.881083,2.09711,-0.439516,-1.56536,2.72095,32.6582,3.02645,10774.9,0.00318033,0.860457,0.000517143,10268.8,-0.000200993,-0.0187491,1.08029,14.7589,119.988,69.1716,1.03908,11.8897,11.152,121.649,129.387,-1.66053,-60.215 
41,2.5,47.2359,41,10910.7,-0.0487096,20.5922,11.7773,122.234,-0.0353662,1.11257,456.56,4.11349,1.88367,1.44351,-1.215,-0.319573,43.5585,640.621,2.57561,10067,7896.12,3.83921,1.60939,0.894956,-1.48928,-0.593849,0.789938,593.583,0.655676,10020,0.0586975,0.998071,0.000120527,10112.6,-0.000101496,0.0749729,9.60988,10.1874,124.496,82.0879,0.921961,12.099,11.4551,121.582,129.547,2.9137,-47.4588 
42,10,47.3759,42,11220.2,-0.0926007,21.2645,11.9552,122.175,0.0049878,-27.4981,13.1304,5.88921,5.95726,2.53652,-0.484523,-1.52194,109.154,675.537,3.70653,10545.3,8280.21,5.2019,5.26995,1.1619,-1.17184,-2.20926,0.859209,557.663,-1.10465,10427.5,0.0532947,1.00348,-0.000195185,10463.8,-0.000413642,0.0380558,12.7986,19.1029,128.337,88.2615,0.963981,12.1869,11.4014,121.79,129.557,6.54699,-41.2953 
43,5,47.1659,43,11636.2,0.00842839,21.4178,11.7565,122.231,-0.0116111,-3.87112,109.49,-0.0245526,-0.954815,0.240138,6.57697,3.94531,5.49683,35.5341,6.1491,11153.3,8198.37,-0.0591647,-0.989427,0.170914,6.54236,3.9107,0.982151,29.5982,5.90681,11147.4,0.00278712,0.741157,0.000975147,10619.6,0.000462047,-0.0288195,10.9125,14.7983,101.486,106,1.01673,12.0257,11.519,121.722,129.049,-20.236,-23.0495 
44,4,47.2459,44,10586.4,-0.0169597,19.8584,11.8156,122.538,-0.000155974,-12.4968,500,3.05459,0.272629,3.02681,0.876744,1.68668,58.6384,1158.89,6.92008,9247.8,7638.33,2.68536,-0.0966007,2.28835,0.507514,1.31745,0.65856,1095.56,4.33546,9184.47,0.111555,0.993122,0.000868797,9820.81,-4.20891e-05,0.11211,11.1778,10.9854,123.748,81.8184,0.833399,12.0777,11.5796,121.83,129.228,1.91872,-47.4092 
45,1.7,47.2159,45,9424.53,-0.0652245,18.5386,11.4416,122.102,0.0624698,36.5074,460.166,1.80248,-3.94052,2.10602,1.21449,-0.223646,12.5442,1306.93,-4.48265,8017.31,6979.18,1.72349,-4.0195,1.94805,1.1355,-0.302634,-3.01742,1293.39,-5.03556,8003.76,0.145374,1.00686,-0.0011603,8896.96,-0.000155587,0.146859,11.35,9.92567,123.393,81.1247,0.76821,11.6995,11.2503,121.548,128.835,1.84482,-47.7102 
46,10,47.3859,46,9785.53,-0.0220183,18.2208,11.9634,122.226,-0.0109057,-10.7211,1.36173e-11,-1.04684,-1.11524,2.31136,3.91974,-1.23113,29.1305,172.787,-6.63991,9475.08,7099.86,-1.23027,-1.29867,1.9445,3.73631,-1.41455,-0.119249,141.33,-7.9239,9443.63,0.015509,1.10879,-0.00154805,9112.77,-0.000275948,0.0120703,26.1677,9.42399,120.735,83.447,0.854203,12.3064,11.4892,121.712,129.959,-0.977599,-46.5121 
47,10,47.0159,47,11447.3,-0.0157756,21.2504,11.8999,122.15,0.00568805,-0.224268,0.133486,-0.233583,0.628228,1.90879,2.91446,0.860619,-25.2407,43.3019,3.13406,11217.3,8232.06,-0.0746489,0.787162,2.22666,3.0734,1.01955,0.683359,70.5591,4.24659,11244.6,0.00656184,0.904712,0.000695199,10752.9,-4.98438e-05,-0.0178855,8.09954,3.63915,114.169,79.4015,0.998097,12.1993,11.6217,121.638,129.758,-7.46835,-50.3565 
48,2,47.2059,48,10250.1,-0.0257625,19.2518,11.7168,122.156,0.00580561,9.77954,161.77,0.918295,1.12667,-0.481942,1.71721,0.684818,10.9847,118.563,-0.989925,9935.08,7344.9,0.849127,1.0575,-0.620277,1.64804,0.61565,1.17472,106.7,-1.4741,9923.22,0.0111918,1.02478,-0.000273721,9533.76,-0.000231122,0.00673028,37.1409,11.4913,129.676,83.7174,0.91908,12.0581,11.366,121.661,129.441,8.01462,-45.7232 
49,10,47.3259,49,10702,-0.0135458,19.753,12.1938,122.209,-0.00441143,10.3329,500,-0.656389,0.281847,3.92313,1.42104,-1.76852,37.0517,710.046,-5.4869,9919.18,7842.4,-0.889693,0.0485428,3.45652,1.18773,-2.00182,-0.918923,670.034,-7.12003,9879.17,0.0666353,1.01895,-0.00132939,10055.2,-0.000253429,0.06342,12.7539,11.3827,124.381,81.866,0.870302,12.4515,11.5779,121.575,128.992,2.80571,-47.1262 
50,10,47.4159,50,11081,-0.0473062,20.7632,11.8508,121.897,0.0107656,-46.9851,113.259,2.81309,-0.128489,2.27352,0.643808,2.06694,58.0888,70.9444,7.96154,10904,8026.58,2.44732,-0.494258,1.54198,0.278038,1.70117,0.718322,8.21492,5.40116,10841.3,0.000796992,0.464988,0.000916903,10307.4,-0.000314003,0.0137708,7.61164,16.9629,128.535,94.2525,0.970343,12.2742,11.6188,121.392,129.002,7.14231,-34.7493 
51,2,47.2259,51,10498.4,-0.0543289,20.0017,11.7092,122.088,0.0156589,-1.65433,362.051,1.14339,-1.08187,1.99812,1.36377,-3.06827,65.8741,801.504,-2.60028,9533.36,7624.93,0.728596,-1.49666,1.16854,0.948975,-3.48307,1.54768,730.367,-5.50382,9462.22,0.0751447,1.01336,-0.00107263,9719.48,-0.000161505,0.0884667,11.19,10.088,124.054,81.6353,0.889702,12.0019,11.3236,121.467,129.108,2.58709,-47.4728 
52,4,47.1859,52,11745.4,-0.0851674,22.5375,11.7487,121.838,0.0165481,-25.7587,9.39934,4.94278,1.57691,-1.60073,0.434412,-0.76107,54.5629,30.6791,-2.60134,11609.4,8633.51,4.59921,1.23334,-2.28787,0.0908439,-1.10464,1.90398,-28.2428,-5.00632,11550.5,-0.0025805,0.763239,-0.000799062,10944.7,-0.000252713,-0.00863106,8.8294,8.80553,118.096,74.0868,1.08451,12.0716,11.314,121.474,129.615,-3.37843,-55.5282 
53,8,47.2859,53,9904.11,-0.0492974,18.5308,11.9111,122.12,-0.0108902,45.8968,495.809,1.64771,0.350708,0.541778,3.11554,1.58675,28.8463,836.811,8.50069,9007.39,7201.52,1.46608,0.169071,0.178503,2.93391,1.40511,0.970988,805.66,7.22922,8976.24,0.086323,0.98454,0.00148138,9333.08,-0.000288827,0.0797922,11.8596,11.0879,123.732,80.3366,0.792679,12.3451,11.7409,121.581,128.669,2.15105,-48.332 
