cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
42,2.92,47.3201,42,18095.1,-0.269453,33.9411,12.4807,116.557,0.48283,75.6454,96.5024,-1.2926,0.0133636,-0.371544,0.379972,0.85423,-76.9646,1309.73,2885.93,13641.8,14978.8,-0.807979,0.497989,0.597708,0.864598,1.33886,0.76007,1347.29,2910.34,13679.3,0.0788879,0.209194,0.281566,17078.5 
43,2.13,47.3226,43,17015.7,-0.247787,31.901,12.4669,116.68,0.0150835,74.6191,491.082,1.99492,1.00957,1.95619,-0.475843,1.71072,-55.1475,1275.07,2321.44,13159.9,12983.3,2.34217,1.35682,2.65069,-0.128594,2.05797,0.679832,1301.98,2338.93,13186.9,0.0790666,0.241326,0.246268,16466.9 
44,2.67,47.3253,44,17250.1,-0.217537,32.0093,12.4766,116.445,-0.125228,162.692,482.305,0.689784,-0.791716,0.798445,-2.20831,1.345,-100.294,1263.85,2844.32,12819.4,13663.9,1.32131,-0.160193,2.06149,-1.57678,1.97653,0.430896,1312.79,2876.14,12868.4,0.0814822,0.206868,0.291644,16111.4 
45,0.63,47.3226,45,18158.4,-0.0933872,33.6856,12.4373,116.713,0.00551931,7.47337,499.904,0.929389,-0.251419,-8.56913,-0.223309,-1.2877,-92.932,1224.84,2478.82,14072.9,13639.9,1.51456,0.333749,-7.39879,0.361859,-0.702528,-0.255915,1270.19,2508.3,14118.2,0.0725568,0.224427,0.246577,17506.2 
46,2.34,47.3254,46,17976.6,-0.120788,33.6864,12.36,116.824,0.0118212,-7.13454,0.00221438,-2.26176,2.14067,-4.34654,3.55007,1.65619,-66.194,1153.06,3055.88,13436.7,13556.8,-1.84495,2.55748,-3.51293,3.96688,2.07299,2.08441,1185.36,3076.88,13469,0.0710872,0.180423,0.296177,16674.7 
47,1.63,47.3226,47,18088.3,-0.086064,33.4604,12.5647,116.826,0.241572,-60.1796,2.89426e-08,-2.68306,1.42123,-1.29302,-0.082325,-0.0877508,-38.1955,1227.18,2903.84,13579.1,14159.3,-2.44255,1.66174,-0.812006,0.158182,0.152756,0.366553,1245.82,2915.96,13597.8,0.0737905,0.196231,0.283169,16883.3 
48,2.17,47.3253,48,17158.3,-0.252522,32.6428,12.2949,116.619,-0.293338,709.842,90.004,-0.891597,-2.28246,-2.89545,0.911144,0.190517,-103.962,1187.16,2408.17,13363.2,19843.3,-0.236978,-1.62784,-1.58621,1.56576,0.845137,-0.525013,1237.89,2441.14,13413.9,0.0742859,0.224668,0.251069,16663.9 
49,0.59,47.3199,49,17423.6,-0.101719,32.4533,-12.4574,116.833,0.00472727,26.0163,500,-0.279034,2.70088,0.0377767,0.656616,-2.07714,-163.201,1325.05,2699.97,13172.4,13164.8,0.748597,3.72851,2.09304,1.68425,-1.04951,0.709497,1404.69,2751.73,13252.1,0.084393,0.225826,0.276675,16644.6 
50,1.09,47.3199,50,19561.5,-0.0271272,35.8315,12.5223,116.81,-0.0917588,296.802,500,0.142648,-0.53948,-0.376977,0.340461,-3.0582,-64.9069,1317.74,2948.11,14755,15493,0.551349,-0.130778,0.440426,0.749163,-2.6495,1.42376,1349.41,2968.7,14786.7,0.073521,0.206186,0.269986,18354.1 
51,2.88,47.3228,51,17229.5,-0.0863896,31.8162,12.4928,116.734,-0.0148979,41.9805,500,-2.48862,1.31666,-3.95073,-0.289542,-3.34233,-129.554,1240.67,2717.27,12968.4,12959.5,-1.67285,2.13242,-2.3192,0.526224,-2.52657,0.399167,1303.89,2758.37,13031.7,0.0800412,0.212671,0.28053,16290.3 
