cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
195,0.04,0.83,43.2247,195,20971.2,0.0257915,41.2406,11.7335,122.658,-0.0743533,8.78653,7.95382e-12,-0.529409,-2.50335,1.4399,-1.20996,1.53156,-143.927,12015.7,78.0652,10380.9,15773.7,0.376863,-1.59708,3.25245,-0.303686,2.43783,0.219358,12130.4,88.4873,10495.5,0.52877,0.987395,0.0152932,22940.8,-0.00171435,1.17577,12.1245,10.4877,123.028,80.1018,0.98081,11.9117,11.2381,122.014,127.441,1.01333,-47.339
196,0.04,0.83,43.1647,196,25553.0,0.0213878,48.4067,12.1232,122.858,-0.0523329,-14.5022,0.0356737,0.131999,-1.87243,-3.62182,-1.98286,-0.265634,-63.9754,14269.9,102.737,12573.1,19128.4,0.534835,-1.46959,-2.81614,-1.58002,0.137202,0.457779,14320.9,107.37,12624.1,0.524119,0.987049,0.0154257,27323.7,-0.00174051,1.34475,12.3751,10.7294,123.218,80.1404,1.14502,12.2874,11.2845,122.173,127.615,1.04428,-47.4742
197,0.04,0.83,43.3747,197,29225.9,-0.318099,54.0891,12.4037,122.779,0.0887712,-57.0812,393.427,-2.05924,-3.89476,0.49215,-0.228638,0.331519,-109.953,16197.4,133.844,13992.4,22005.1,-1.36689,-3.20241,1.87684,0.463709,1.02387,2.5577,16285.0,141.806,14080.0,0.528949,0.98499,0.0182148,30787.4,-0.00147824,1.48817,12.5385,10.8434,123.141,80.567,1.24973,12.3706,11.4074,122.072,127.913,1.0687,-47.3456
198,0.04,0.83,43.1547,198,25676.9,-0.180919,48.6401,12.1789,122.858,0.115184,5.14624,490.823,0.0225191,-3.80477,-6.76158,-2.42793,-1.20121,-151.523,14284.8,119.086,12682.5,19303.2,0.976621,-2.85066,-4.85338,-1.47383,-0.247104,0.425524,14405.5,130.059,12803.2,0.522075,0.984446,0.0183689,27592.8,-0.00170065,1.33114,12.4571,10.7526,123.325,81.2553,1.14858,12.2327,11.3865,122.156,128.857,1.16893,-47.6018
199,0.04,0.83,43.2447,199,25557.7,-0.0231982,48.2366,12.1696,122.708,0.0139364,-6.03613,500.0,-0.491168,-1.35428,-5.5599,3.78473,0.279927,-68.2382,14067.7,106.079,12798.8,19112.2,-0.0614901,-0.9246,-4.70055,4.21441,0.709605,-5.16364,14122.1,111.021,12853.2,0.516143,0.986429,0.0156622,27360.8,-0.00177698,1.30535,12.5934,10.7238,123.091,80.3315,1.17607,12.2226,11.2418,122.021,127.773,1.06963,-47.4418
20,0.05,0.82,43.2504,20,26380.7,-0.0958926,49.0194,12.3197,122.782,-0.125436,3.57323,500.0,-1.63293,-0.637657,-8.52056,-5.95211,-3.24362,-168.06,14359.4,128.277,13156.2,19673.7,-0.574701,0.420571,-6.4041,-4.89388,-2.18539,0.530405,14493.3,140.447,13290.1,0.514274,0.983324,0.0190953,28182.1,-0.00153414,1.32423,12.5418,10.7705,123.139,80.3116,1.15607,12.3971,11.5629,122.153,127.9,0.985995,-47.5883
21,0.05,0.82,43.2604,21,25297.4,-0.388781,48.6567,12.1995,122.784,0.25753,257.862,64.4419,-3.01143,-3.21317,-7.13706,-3.74723,-3.72933,-55.038,14241.0,90.0139,12458.5,21485.0,-2.66487,-2.86661,-6.44394,-3.40067,-3.38277,0.656485,14284.9,93.9993,12502.4,0.525908,0.988615,0.0136607,27162.3,-0.00180098,1.35475,12.3715,10.6178,123.031,80.1587,1.14035,12.257,11.2373,122.225,127.538,0.805769,-47.3796
22,0.05,0.82,43.2904,22,29052.3,-0.376637,54.066,12.462,122.811,0.572505,-256.601,3.73066,-4.45154,-1.89557,-11.8921,-3.4981,-0.537921,-151.394,16012.3,146.175,14123.2,26715.8,-3.49825,-0.942282,-9.98553,-2.54481,0.415367,0.396846,16132.9,157.137,14243.8,0.523728,0.98324,0.0199174,30804.0,-0.00157831,1.4666,12.6788,10.7435,123.222,80.0845,1.26443,12.2678,11.4867,122.055,127.485,1.16694,-47.4006
23,0.05,0.82,43.1904,23,25587.8,-0.32859,47.2232,12.5588,122.72,0.255927,249.626,301.776,0.218394,-3.42837,-2.52294,-4.38934,-1.14963,-104.836,14118.2,131.636,12447.5,21386.1,0.878519,-2.76825,-1.20269,-3.72922,-0.489507,0.835499,14201.7,139.228,12531.0,0.523881,0.983133,0.0200564,27108.7,-0.00153318,1.26004,12.6895,11.0826,123.088,80.3133,1.0623,12.6464,11.7359,122.004,127.863,1.08333,-47.5497
24,0.05,0.82,43.1704,24,27335.8,-0.167244,50.9419,12.3636,122.751,0.034352,326.973,1.42283e-06,-1.17124,-3.86276,-5.0756,-3.28985,-4.51024,-103.509,15002.0,116.653,13556.9,20868.5,-0.519475,-3.21099,-3.77206,-2.63808,-3.85847,0.730549,15084.4,124.149,13639.4,0.517778,0.985802,0.0164908,29133.0,-0.00175257,1.39607,12.597,10.665,123.119,80.3474,1.20017,12.4708,11.4769,122.027,127.922,1.09205,-47.5741
