cyc,time,timewait,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
34,3,3,9,34,13307.1,-0.487513,25.2657,13.6285,113.376,0.834965,449.55,477.299,1.63621,2.26619,2.92486,0.697766,-2.05684,102.652,7953.7,63.5869,6968.26,23428.4,0.989839,1.61981,1.63211,0.0513922,-2.70321,-0.026522,7871.93,56.1535,6886.5,0.487857,0.98767,0.0147985,16135.7,0.00480129,0.666927,13.366,10.8164,112.768,91.032,0.0645245,-0.0573196,25.3169,114.384,135.946,-1.61595,-44.914 
35,1,5,9,35,13280.4,-0.0664064,25.3795,13.0675,113.607,0.151322,-28.1474,500,1.74869,1.88335,2.05912,-1.32639,1.08918,140.239,7952.53,63.1682,7119.63,10934.9,0.865648,1.0003,0.293029,-2.20944,0.206136,-0.882299,7840.82,53.0132,7007.93,0.482502,0.988306,0.0137435,16250.3,-0.00207599,0.692953,13.4258,10.8379,113.128,91.3002,0.549055,13.5799,12.1705,112.753,141.548,0.375142,-50.2482 
36,0.06,5.94,9,36,12259.2,-0.478497,23.7803,13.4796,113.187,0.606899,-435.508,499.918,2.15971,0.359699,-0.126413,1.59421,-0.930426,87.9917,7104.5,63.9297,6785.53,19039.1,1.60565,-0.194361,-1.23453,1.04015,-1.48449,-3.61363,7034.41,57.558,6715.45,0.466073,0.985883,0.0155432,15092.9,-0.00187972,0.612141,13.4022,10.9351,112.498,90.4721,0.51283,13.5262,-12.4876,112.389,140.962,0.10903,-50.4902 
37,5.5,0.5,9,37,14563.5,-0.0723312,26.8466,13.4139,113.374,-0.0816582,0.316404,500,2.27165,0.596382,-3.3767,0.486751,1.1237,116.666,8661.45,78.6788,7458.12,11723.9,1.53704,-0.138231,-4.84592,-0.247862,0.38909,-0.465845,8568.52,70.2307,7365.19,0.492253,0.985859,0.0172622,17406.7,-0.00244184,0.704056,13.8258,11.3054,112.738,91.3839,0.0675367,10687.2,13.3617,139.82,142.213,-27.082,-50.8293 
38,1.6,4.4,9,38,12149.5,-0.507944,23.9056,13.449,113.493,0.113256,367.561,444.145,1.15912,0.788393,-0.251984,1.26001,-1.81962,133.245,7313.93,56.3973,6686.05,11821.3,0.320113,-0.0506126,-1.93,0.421,-2.65862,0.504891,7207.79,46.7488,6579.92,0.47722,0.988777,0.0129186,15103.7,-0.00205763,0.654828,13.3,10.6155,112.867,91.0513,0.519015,-13.4009,-12.2221,112.739,141.257,0.128041,-50.2055 
39,0.4,5.6,9,39,13383.1,-0.475358,25.441,13.5466,113.348,0.916749,540.906,467.591,-0.280838,0.941184,-1.16485,1.32101,-1.11833,133.421,7673.7,78.9115,7289.45,27361.5,-1.12095,0.101068,-2.84508,0.48089,-1.95845,0.467466,7567.42,69.2502,7183.17,0.467493,0.984238,0.0174491,16187.2,-0.00198119,0.654006,13.4014,11.1369,112.841,90.9769,0.539423,-13.8564,12.5637,112.513,141.247,0.328463,-50.2702 
40,1.9,4.1,9,40,13222.6,-0.0323686,24.7992,13.2124,113.463,-0.00120773,7.42675,500,-0.541633,-1.42367,-5.81867,-1.29132,0.203136,111.201,8016.32,67.8691,6763.84,10666.6,-1.24184,-2.12388,-7.21908,-1.99152,-0.49707,0.447803,7927.74,59.8167,6675.27,0.497409,0.986968,0.0162389,15938.1,-0.00187983,0.67999,13.5129,11.0255,112.992,90.5511,0.497821,13.7891,12.6497,112.709,140.913,0.283646,-50.3619 
41,1.3,4.7,9,41,12807.7,-0.31757,24.4461,13.2938,113.673,-0.0137266,8.97804,499.175,-1.22293,1.57101,-2.5544,-1.59722,0.505388,133.72,7469.24,65.8204,6837.05,10583.3,-2.06493,0.729009,-4.2384,-2.43922,-0.336613,0.492416,7362.73,56.1374,6730.54,0.47688,0.986833,0.015132,15439.4,-0.00181635,0.648821,13.4912,10.8012,113.153,90.4531,0.523003,13.4953,-12.4156,112.85,140.734,0.303438,-50.2805 
42,1,5,0,42,17325.4,-0.452215,32.4085,13.199,113.419,-0.569824,-1835.96,272.464,-1.1711,0.00346193,-2.52245,0.153279,0.40643,140.984,9832.19,79.1621,9032.52,47981.3,-2.05884,-0.884275,-4.29792,-0.734458,-0.481307,0.491779,9719.89,68.9532,8920.22,0.475902,0.987738,0.0140395,20424.2,-0.00178436,0.890842,13.0488,10.5764,112.791,91.2578,0.709479,-13.3859,-12.0199,112.622,141.501,0.168454,-50.243 
43,5,1,9,43,13531.1,-0.493803,25.7297,13.5996,113.577,0.812765,491.181,11.946,-0.255559,0.409427,0.25213,-0.792987,0.765854,119.629,8447.48,74.5812,6776.17,24386.6,-1.00883,-0.343842,-1.25441,-1.54626,0.0125841,0.697058,8352.19,65.9186,6680.88,0.510237,0.986377,0.0178512,16369.3,-0.00198359,0.730726,13.4824,10.835,113.114,91.2897,0.509981,13.6737,-12.4214,112.692,141.442,0.42195,-50.1525 
44,2.2,3.8,9,44,13772.3,-0.524996,26.7059,13.4311,113.258,-0.437166,1507.39,317.513,0.462506,-0.0335239,2.54646,0.153302,-1.72193,109.762,8282.09,70.5915,7293.61,33128.6,-0.228636,-0.724665,1.16418,-0.537839,-2.41308,1.42488,8194.66,62.6433,7206.18,0.486559,0.986799,0.015761,16842.1,-0.00211015,0.725706,13.1568,10.9569,112.784,91.5974,0.542012,-13.7352,-12.554,112.407,141.9,0.377281,-50.3029 
45,4,2,9,45,13636.7,-0.522005,26.1753,13.5779,113.617,-0.241476,552.427,299.842,-1.5632,0.60511,-2.18148,-2.38088,0.629357,140.324,8321.27,67.2789,7201.68,15912.2,-2.44678,-0.278471,-3.94864,-3.26447,-0.254224,0.612596,8209.5,57.1177,7089.9,0.491076,0.987971,0.0146234,16717.4,-0.00218685,0.701481,13.761,10.9228,113.049,91.0709,0.545878,-13.5639,-12.4308,112.699,141.32,0.350219,-50.2492 
46,2.5,3.5,9,46,13876,-0.0427482,25.9271,13.2543,113.488,-0.0177271,-20.3617,500,2.71141,-0.0644621,-2.16858,1.1981,0.76901,94.0084,8311.88,81.5424,7112.69,11198.5,2.11946,-0.656408,-3.35248,0.606154,0.177064,-2.03061,8237,74.735,7037.81,0.493755,0.98437,0.0191862,16682.4,-0.00187512,0.706472,13.3768,11.0923,112.966,90.9161,0.521675,-13.7197,-12.7506,112.719,141.173,0.247531,-50.2566 
47,0.1,5.9,9,47,13526.5,-0.00390969,25.0691,13.4278,113.31,-0.0106427,4.69292,5.5582e-11,1.74738,-0.270344,-3.82415,-0.212166,-2.89618,114.771,7863.83,70.4667,7335.99,10959.8,1.0247,-0.993029,-5.26952,-0.934851,-3.61887,0.461831,7772.41,62.1558,7244.57,0.472031,0.986198,0.0155587,16465.9,-0.00210907,0.653849,13.6444,11.1952,112.861,91.007,0.519937,-14.3049,12.796,112.301,141.477,0.56059,-50.4699 
48,0.7,5.3,9,48,13469.8,-0.0529294,25.2451,13.4381,113.038,0.0501255,7.4893,3.19788e-10,-0.846272,0.705517,-0.912297,0.0524273,-2.05745,119.645,8025.92,95.6932,7073.47,11055.8,-1.59964,-0.0478544,-2.41904,-0.700944,-2.81082,0.680794,7930.62,87.0294,6978.17,0.486409,0.981158,0.0224582,16304.4,-0.00205483,0.658201,13.7476,11.2413,112.518,90.6694,0.510913,13.9033,12.9351,112.229,141.027,0.289496,-50.358 
49,3,3,9,49,12664.8,-0.48082,24.5394,13.4324,113.532,0.0317968,214.105,465.05,-1.50566,-0.942247,-2.50548,-1.06602,1.20308,131.559,7663.84,57.8944,6757.54,10951.9,-2.33406,-1.77064,-4.16227,-1.89441,0.374686,0.574701,7559.05,48.3678,6652.75,0.486352,0.988926,0.0132158,15542.3,-0.00207059,0.66572,13.4059,10.8948,113.005,91.3358,0.503163,13.785,12.5031,112.675,141.579,0.32946,-50.2428 
50,1,5,9,50,12994,-0.320635,25.039,13.4444,113.135,-0.145595,81.6308,2.54495e-05,-0.525116,0.411468,-0.0790371,0.139793,-1.18217,96.0745,7803.04,77.2605,6847.58,11345.5,-1.13007,-0.193487,-1.28895,-0.465162,-1.78713,0.735046,7726.51,70.3035,6771.05,0.487423,0.984326,0.0187675,15851.8,-0.0020013,0.659643,13.5732,11.0534,112.732,90.7187,0.510357,-13.6105,12.6775,112.308,141.128,0.424161,-50.4091 
51,0.06,5.94,9,51,12364,-0.451592,23.6724,13.5083,113.568,0.137574,20.9826,38.3464,0.0029561,2.24693,0.121459,-1.13643,0.70502,119.092,6999.68,64.7227,6949.65,10503.7,-0.746933,1.49704,-1.37832,-1.88632,-0.0448682,0.461468,6904.82,56.099,6854.79,0.456349,0.985981,0.0148517,15130.6,-0.00189109,0.59128,13.6029,11.0306,113.061,91.2462,0.525436,13.6377,-12.4281,112.767,141.759,0.294249,-50.5126 
52,5.5,0.5,9,52,14109.5,-0.504154,27.1394,13.3994,113.182,-0.599815,1074.73,77.8688,0.177258,0.345224,1.40887,-0.906236,-0.448829,122.252,8444.92,82.7516,7361.51,32823.3,-0.592527,-0.424562,-0.130698,-1.67602,-1.21862,0.967668,8347.55,73.8991,7264.13,0.489176,0.984744,0.0183953,17064.5,-0.00199572,0.713811,13.4043,11.1454,112.717,90.729,0.558222,-13.4643,12.5039,112.364,141.059,0.352916,-50.3298 
53,1.6,4.4,9,53,12831.6,-0.49802,24.9271,13.4471,113.227,0.65047,-81.7545,210.571,3.36893,0.196245,1.59138,1.51925,0.168356,104.308,7890.92,70.0048,6705.43,12643,2.71213,-0.460555,0.277783,0.86245,-0.488444,0.904324,7807.84,62.4516,6622.35,0.495589,0.986196,0.0170752,15754.7,-0.00208132,0.673469,13.4866,11.014,112.717,90.8594,0.505414,-13.5821,12.5441,112.485,141.269,0.232357,-50.4097 
