cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
33,2.49,2.51,33,18629.3,0,5,101,125,0,5,135,-6.6521,-2.88344,-19.9598,-6.15201,-5.99387,350.539,-18.637,31794.9,-38.1056,16439.4,-8.00651,-4.23786,-22.6686,-7.50643,-7.34828,0.544511,-39.1225,30258.5,-58.5912,0.357505,-0.000739372,1.00105,-109.432,533.022,567.299,0.510271,42555.3,9.27399e-07,0.592942,111.337,86.6938,25.674,26.265,0.977498,599.174,638.805,0.667105 
34,4.99,0.01,34,18723.9,0,5,101,125,0,5,135,-5.86089,-5.43891,-16.9463,-12.9335,-7.56115,343.053,-31.8541,31335,-18.6055,16439.4,-7.18637,-6.7644,-19.5973,-14.259,-8.88664,0.654331,-51.9021,29831.4,-38.6535,0.528071,-0.000995187,1.0007,-98.2863,554.788,587.648,0.466146,42108.4,9.2414e-07,0.617852,111.712,86.9068,26.5811,27.1193,0.980157,642.263,681.033,0.715653 
35,1.49,3.51,35,17726,0,5,101,125,0,5,135,-7.06777,-8.91159,-7.42347,-10.9779,-12.8411,293.363,-19.3055,30209.7,-47.9389,16439.4,-8.20127,-10.0451,-9.69047,-12.1114,-13.9746,0.820623,-36.4496,28923.9,-65.0831,0.3182,-0.000720628,1.00122,-114.549,531.222,557.301,0.559154,40817,9.14595e-07,0.594914,111.259,86.3901,25.333,25.7153,0.985133,583.361,612.343,0.653488 
36,2.99,2.01,36,18520.9,0,5,101,125,0,5,135,-5.86219,-5.22872,-13.0889,-5.21533,-7.3579,296.77,-32.2388,31422.7,-47.2092,16439.4,-7.00885,-6.37538,-15.3822,-6.36199,-8.50456,0.647464,-49.5821,30122,-64.5525,0.390272,-0.000941481,1.00116,-127.045,545.01,572.275,0.508015,42524.3,9.27173e-07,0.602343,111.72,86.2228,25.9844,26.3919,0.98456,613.749,644.99,0.678596 
37,4.49,0.51,37,14169.7,0,5,101,125,0,5,135,-14.9657,-9.18834,-14.5278,-5.05858,-9.38702,326.163,-6.7759,27335.8,-48.0481,16439.4,-16.2259,-10.4486,-17.0483,-6.31881,-10.6472,0.719087,-25.8368,25906.2,-67.1091,0.242901,-0.000570224,1.00141,-106.368,572.378,603.458,0.659882,38065.4,8.93563e-07,0.657718,112.069,86.6776,25.87,26.3258,0.982686,608.355,641.762,0.699263 
38,3.49,1.51,38,14416.2,0,5,101,125,0,5,135,-7.98122,-8.48289,-23.8778,-11.1902,-8.21963,369.19,-19.3859,28034.7,-57.9055,16439.4,-9.4077,-9.90936,-26.7308,-12.6167,-9.6461,0.608688,-40.9614,26416.6,-79.4809,0.300439,-0.000886839,1.00164,-136.338,556.34,579.814,0.610471,38126.8,8.94044e-07,0.635266,111.673,86.2681,25.6886,25.985,0.988593,599.857,625.258,0.685007 
39,3.99,1.01,39,17291.8,0,5,101,125,0,5,135,-10.1891,-13.5212,-12.4895,-13.7644,-11.8326,329.658,-27.4643,30786,-67.0342,16439.4,-11.4628,-14.7949,-15.037,-15.0382,-13.1064,0.783451,-46.7295,29341.1,-86.2995,0.310931,-0.000910903,1.0016,-150.289,553.332,573.393,0.494737,41951.2,9.22989e-07,0.61027,111.626,86.6272,26.2953,26.5135,0.991768,628.522,650.95,0.693007 
40,0.49,4.51,40,17719,0,5,101,125,0,5,135,-10.7156,-11.8577,-16.3093,-12.0911,-9.30487,409.701,-15.466,31556.9,-62.0862,16439.4,-12.2986,-13.4407,-19.4753,-13.6741,-10.8879,0.720891,-39.409,29761.2,-86.0292,0.276275,-0.000757244,1.00157,-142.644,519.504,532.718,0.476655,42537.8,9.27272e-07,0.56733,110.684,86.8971,25.6,25.7128,0.995611,595.723,612.226,0.651285 
41,0.99,4.01,41,14014.7,0,5,101,125,0,5,135,-5.17171,-11.6071,-18.7967,-10.0103,-8.30565,345.202,-39.5594,27206.2,-55.8506,16439.4,-6.5055,-12.9409,-21.4643,-11.3441,-9.63944,0.65321,-59.733,25693.2,-76.0242,0.395682,-0.00133026,1.00161,-150.962,498.329,503.273,0.460724,37130.3,8.86185e-07,0.565113,111.445,86.8839,25.2151,25.1215,1.00373,577.946,584.391,0.655799 
42,0.01,4.99,42,13683,0,5,101,125,0,5,135,-7.25984,-8.70704,-14.5406,-8.3475,-12.6138,351.324,-30.9241,27211.8,-77.627,16439.4,-8.61729,-10.0645,-17.2555,-9.70494,-13.9713,0.710544,-51.4554,25671.9,-98.1584,0.304028,-0.00114665,1.00208,-169.245,472.417,488.223,0.465821,36834.7,8.83828e-07,0.543381,111.215,87.4543,24.4922,24.6946,0.991803,545.282,564.698,0.627843 
