cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
32,40,41,10,32,19281.2,-0.254241,34.6408,12.9225,118.511,0.161179,425.675,85.0325,-3.48274,-2.66943,-4.67907,-4.22129,-1.82596,-201.931,9640.47,14.6168,10420.5,16805.9,-2.21123,-1.39793,-2.13606,-2.94979,-0.554455,0.769061,9801.32,29.2391,10581.3,0.480866,0.994807,0.00506447,20382.6,-0.00120932,0.897413,13.0139,10.4404,117.961,87.513,0.859714,13.0385,11.6999,117.909,136.975,0.0515015,-49.4623 
33,60,61,10,33,18075.5,-0.0692613,32.6183,-12.8292,118.555,0.0448087,-0.402287,500,-4.28035,-6.59647,-7.4571,-4.79422,-6.65359,-213.226,9601.4,14.2763,9447.73,13623,-2.93773,-5.25384,-4.77185,-3.45159,-5.31097,0.780362,9771.24,29.7165,9617.58,0.503963,0.994706,0.00565955,19388.8,-0.00139905,0.877928,13.1861,10.5129,118.036,87.2453,0.787969,13.0386,11.6057,117.922,136.532,0.113553,-49.287 
34,50,51,10,34,18458.9,-0.244586,33.4364,12.8211,118.685,0.531366,-335.923,410.966,-6.4802,-4.43288,-12.2891,-6.69912,-6.48296,-131.187,9799.92,20.3927,9521.44,19766,-5.65415,-3.60684,-10.637,-5.87308,-5.65691,0.661543,9904.42,29.8922,9625.94,0.507129,0.994746,0.0056879,19530.4,-0.00118241,0.907989,13.0866,10.3972,117.926,87.0826,0.823057,12.7888,11.3136,118.107,136.401,-0.180398,-49.3181 
35,3,4,10,35,23786.2,-0.12457,42.6525,12.6207,118.662,0.0799191,32.7939,121.034,-3.90768,-3.65852,-3.63502,-2.21855,-3.90494,-211.596,12316.7,43.7791,12013.1,17608.9,-2.57531,-2.32616,-0.970289,-0.886191,-2.57258,0.896009,12485.3,59.1012,12181.7,0.506154,0.991784,0.0088581,24666.9,-0.000989821,1.16428,12.7759,10.4429,118.153,87.6159,1.03656,12.7563,11.3373,117.99,136.867,0.162988,-49.2512 
36,5,6,10,36,21191.2,-0.0195031,38.8854,-12.3885,118.549,-0.0368924,42.2188,7.64135e-13,-3.87862,-3.08329,-7.92622,-0.695811,-3.07769,-152.228,11291.3,52.1674,10595,15732.6,-2.92008,-2.12475,-6.00914,0.262729,-2.11915,0.53455,11412.6,63.1907,10716.2,0.515734,0.990403,0.0107457,22128.8,-0.00100416,1.09188,12.6548,10.2622,118.158,86.8864,0.951929,12.3552,11.2098,117.805,136.091,0.352919,-49.2041 
37,16,17,10,37,17440.7,-0.198886,31.1797,13.0339,118.727,-0.00577438,61.7362,0.000312594,-7.56725,-4.50305,-4.74608,-3.50078,-3.15037,-160.897,8941.03,22.5058,9349.07,13241,-6.55413,-3.48993,-2.71983,-2.48765,-2.13725,0.843587,9069.19,34.1567,9477.23,0.488999,0.993452,0.00659531,18546.4,-0.00127518,0.797271,13.3007,10.7194,118.128,87.0719,0.757917,13.1215,11.842,118.078,136.427,0.0507863,-49.3548 
38,14,15,10,38,18025.9,-0.049231,32.4598,12.6818,118.578,0.0235047,25.6403,500,-4.06798,-6.04467,-4.18159,-5.36297,-1.75081,-173.306,9407.23,21.3911,9356.61,13420.1,-2.97672,-4.95341,-1.99906,-4.27171,-0.659551,0.865478,9545.28,33.9406,9494.65,0.501329,0.993816,0.00654191,19039.9,-0.00113446,0.858349,13.0888,10.6035,117.953,87.0148,0.782322,12.8161,11.7223,117.965,136.244,-0.0121921,-49.2297 
39,4,5,10,39,22665.3,-0.00667679,41.1139,12.5881,118.533,-0.00376038,-1.82878,1.50131e-10,-7.72513,-0.825628,-2.56755,-5.25172,-0.744135,-171.922,11978.3,56.3855,11549.1,16848,-6.64258,0.256921,-0.402453,-4.16917,0.338414,0.9621,12115.3,68.8348,11686,0.509017,0.990155,0.0107342,23801.3,-0.00127679,1.13159,12.9316,10.3119,118.006,87.4214,0.993874,12.6361,11.5135,117.907,136.825,0.098776,-49.4037 
40,7,8,10,40,20623,-0.0697126,37.2616,-12.693,118.441,-0.00405133,47.3615,499.996,-5.41301,-5.27845,-9.94288,-5.57562,-2.87138,-97.0848,10771.1,43.4756,10633.2,15402.7,-4.8017,-4.66713,-8.72025,-4.9643,-2.26006,0.656865,10848.4,50.5057,10710.5,0.503199,0.991919,0.00861171,21558.9,-0.00112749,1.01334,12.9253,10.3416,117.988,87.2218,0.907011,12.7361,11.5079,117.76,136.476,0.228271,-49.2542 
41,2,3,10,41,23661.3,-0.202469,42.4604,12.8099,118.456,0.115327,-263.814,500,-6.15421,-2.41813,-3.34621,-8.19338,-6.80502,-140.96,12577.6,55.0783,11805.7,18696.6,-5.26662,-1.53054,-1.57104,-7.30579,-5.91743,0.927238,12689.9,65.2856,11918,0.515684,0.991077,0.00999004,24607.9,-0.00115425,1.16539,12.9404,10.5023,117.99,87.3695,1.0069,12.7901,11.4622,117.639,136.767,0.35098,-49.3972 
42,1,2,10,42,22676.5,-0.0807177,41.035,12.533,118.593,0.0390706,90.6375,499.619,-4.82313,-5.64527,-6.36869,-5.31041,-3.01172,-192.615,11962.4,26.7067,11402.7,16857.2,-3.61028,-4.43242,-3.943,-4.09756,-1.79887,0.779501,12115.9,40.6545,11556.1,0.511824,0.994162,0.00643882,23672,-0.00103174,1.16156,12.7484,10.1412,118.163,87.0815,1.01592,12.5998,11.0977,117.944,136.253,0.2182,-49.1711 
