cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
32,9,32,10042,0.00375536,12.879,16.9036,94.9943,-0.00316779,-0.385538,235.833,-0.917079,0.181078,1.48975,0.784229,-0.973777,-75.9995,1421.13,81.0156,7534.28,7086.97,-0.438531,0.659626,2.44685,1.26278,-0.495228,0.287774,1527.72,88.9117,7640.87,0.185141,0.907566,0.0209855,8251.69,1513.96,1312.92,35687.2,0.00123059,0.0606624,15.9852,15.6679,96.3152,72.8916,0.352969,16.1777,16.3127,94.7322,126.915,1.58301,-54.0236 
33,10,33,9255.37,0.0194513,11.4431,17.3759,94.8815,-0.0388445,-11.4209,22.3335,0.993851,2.06747,4.72249,1.57284,1.36224,-59.515,1348.73,81.3763,6761.75,6487.17,1.3686,2.44222,5.47199,1.94759,1.73699,0.578019,1432.21,87.5597,6845.22,0.192088,0.903352,0.0230206,7456,1190.66,1160.98,27355.7,0.00130299,0.0540638,16.4288,15.9824,95.7198,72.0685,0.29925,16.7036,16.7328,94.5925,125.443,1.12739,-53.375 
34,0,34,11442.5,0.0346276,15.2037,16.0896,94.9224,0.00424803,-27.0207,14.7121,1.92958,1.24934,5.2225,2.52097,2.63365,-91.5172,402.989,67.169,9901.68,7966.99,2.50584,1.8256,6.37502,3.09723,3.20991,0.625298,531.35,76.6773,10030,0.0567817,0.79838,0.0138869,9357.78,2713.03,291.155,67710.9,0.00155993,0.0106645,16.1428,14.7252,99.858,63.7735,0.525129,15.2573,14.8564,94.6937,125.034,5.16437,-61.2602 
35,0,35,12250.9,0.0456106,16.2998,16.0086,94.9029,-0.136399,83.315,212.067,0.925872,0.627595,2.17442,-0.543282,0.734175,-61.3636,460.94,74.6094,10452,8864.28,1.31226,1.01399,2.9472,-0.156892,1.12057,0.527474,547.008,80.9849,10538,0.0557008,0.794225,0.013959,9820.47,3029.25,321.87,75683.1,0.00179742,0.0153039,14.1225,14.5762,97.7851,65.3252,0.556339,15.2357,14.8038,94.6879,125.464,3.09719,-60.1392 
36,0,36,10935.2,0.0324164,14.6062,16.0105,94.7453,-0.015677,-7.36413,1.42445,1.11307,-0.295938,2.77243,0.038862,0.454419,-84.5747,429.36,65.3446,9426.38,7616.45,1.64561,0.236606,3.83752,0.571406,0.986963,0.472731,547.985,74.1316,9545,0.0612438,0.808577,0.014105,8947.59,2505.15,305.745,62405.2,0.00149866,0.0118241,12.9802,20.4779,96.6869,70.0481,0.509492,15.2509,14.5348,94.5238,126.276,2.16309,-56.2275 
37,2,37,11566.2,0.0540147,15.2709,16.0508,94.9756,0.0109589,-14.5857,115.069,-0.252631,-0.208984,2.86533,-0.204925,0.477143,-60.5308,521.133,79.9169,9704.52,7984.35,0.128515,0.172163,3.62762,0.176222,0.858289,0.269039,606.033,86.2059,9789.42,0.0657251,0.800685,0.0159627,9220.72,2612.64,337.964,65009.4,0.0017661,0.0175698,12.0591,18.6011,98.1054,69.7742,0.513016,15.3315,14.8339,94.6856,125.209,3.41986,-55.4346 
38,4,38,10274.6,0.0351454,13.4136,16.2801,94.8714,-0.0190161,26.4595,2.98197e-05,2.09574,2.54714,3.163,3.58103,2.61165,-71.6692,958.761,89.3858,8197.87,7125.19,2.54702,2.99842,4.06556,4.03231,3.06293,0.756644,1059.28,96.8319,8298.39,0.12668,0.86209,0.0210428,8361.87,1837.9,704.159,44634.4,0.00146092,0.0408788,14.7045,15.309,96.0351,70.947,0.412775,15.5239,15.4862,94.6312,124.413,1.40395,-53.466 
39,6,39,10536.7,0.0227633,13.3636,16.9335,95.0291,-0.00246119,-5.0093,18.3196,1.0748,0.524904,3.51575,-0.311217,1.24733,-51.1639,1268.83,76.0839,8050.65,7366.97,1.39696,0.847069,4.16008,0.0109477,1.56949,0.478984,1340.59,81.3996,8122.42,0.157933,0.903948,0.0181262,8488.32,1695.2,1136.06,40571.9,0.00145677,0.0576409,15.3433,15.0806,95.589,72.3108,0.379243,16.1668,16.0429,94.855,125.64,0.734011,-53.3296 
40,7,40,10768,0.00466655,13.6032,17.1554,94.9063,-0.00434115,3.01978,145.545,-0.270846,0.145384,4.63873,2.00953,1.70717,-60.3109,1538.03,99.5239,8013.38,7597.33,0.108916,0.525146,5.39825,2.38929,2.08693,0.486298,1622.62,105.79,8097.97,0.185467,0.89759,0.0234993,8748.84,1723.74,1555.19,40657.3,0.00149694,0.0662448,16.4896,15.1073,95.7952,73.8247,0.382749,16.1358,15.7951,94.7286,126.688,1.0666,-52.8628 
41,8,41,10446.4,0.00273856,13.3705,16.9286,95.0396,-0.00263504,1.9651,1.0481e-10,0.0514416,-0.524323,1.84996,-1.44886,-1.17264,-53.5828,1563.22,94.5898,7695.54,7368.38,0.388838,-0.186926,2.52476,-1.11147,-0.835247,-2.23706,1638.38,100.157,7770.69,0.193283,0.903358,0.0231923,8476.59,1563.62,1493.95,36569.9,0.00142879,0.0629416,16.3592,16.3317,95.4579,72.3461,0.35677,16.0557,16.4292,94.8386,125.505,0.61929,-53.1585 
42,9,42,11533.8,-0.0167974,14.6478,17.2338,94.7686,-0.0222219,32.6474,496.655,1.73366,1.14741,4.77596,-0.404987,-0.525754,-41.9106,1768.21,98.3377,8507.06,8241.26,1.99756,1.41131,5.30376,-0.141087,-0.261854,0.361738,1826.99,102.692,8565.85,0.195089,0.910445,0.021607,9364.94,1842.12,2001.13,43347.6,0.00136848,0.0795225,16.0408,15.0216,95.3921,72.4763,0.37801,16.5675,16.8957,94.5483,125.928,0.843741,-53.4515 
43,10,43,10935.7,-0.00423059,13.7454,17.3163,94.9266,-0.00243504,11.4055,65.3368,-1.54094,1.34273,1.11722,-0.43109,0.08064,-61.568,1780.8,102.442,7957.21,7749.2,-1.15326,1.7304,1.89258,-0.0434129,0.468317,0.346175,1867.16,108.839,8043.57,0.208726,0.907433,0.0243197,8945.5,1627.38,1922.61,37878.4,0.00131596,0.074238,16.4715,16.1332,95.5143,73.5393,0.354004,16.575,16.7946,94.7615,126.824,0.752749,-53.2851 
44,0,44,11618.1,0.0495594,15.456,15.9641,95.146,-0.0441439,-36.547,5.69215,2.23451,3.24141,4.55779,3.08275,-0.428237,-71.4456,446.12,75.0132,9985.47,8084.77,2.68438,3.69128,5.45754,3.53263,0.021637,0.645326,546.33,82.4361,10085.7,0.0579862,0.791102,0.0148333,9421.73,2753.46,302.579,68743.7,0.00163639,0.0106753,13.8494,19.2783,97.434,65.9163,0.528496,15.1502,14.9811,94.9741,125.074,2.45993,-59.158 
45,2,45,11923,0.0174396,15.91,16.1538,94.8935,0.00742161,-1.10871,10.1346,1.47739,0.79044,3.10111,2.68626,2.61521,-74.3177,494.249,70.5121,10197,8366.73,1.94535,1.2584,4.03702,3.15422,3.08317,0.700477,598.487,78.2334,10301.3,0.0619321,0.81383,0.0137969,9663.6,2915.91,327.875,72740,0.00159891,0.014659,14.3662,19.4145,96.6454,68.2131,0.546011,15.3012,14.7102,94.6222,125.826,2.02316,-57.6126 
46,4,46,11297.9,0.0286497,14.5514,16.6108,94.8866,0.0192525,-22.9904,499.917,-0.338085,1.14671,-0.476234,-0.664397,-1.10217,-63.0058,977.034,89.8217,9053.19,7882.86,0.0586458,1.54344,0.317228,-0.267666,-0.705435,0.664738,1065.41,96.3678,9141.57,0.116949,0.863341,0.019049,9109.98,2178.83,751.133,53408.5,0.00158426,0.0426841,14.4884,15.601,96.1626,72.5661,0.448263,15.8932,15.4194,94.7134,126.25,1.44925,-53.6843 
47,6,47,11857.7,0.00562807,15.5627,16.4754,94.739,0.000384305,4.48441,1.03547e-10,-1.04335,0.540535,4.32918,0.174186,4.19782,-61.6217,1403.42,94.0191,9222.59,8346.79,-0.655338,0.92855,5.10521,0.562202,4.58583,0.515012,1489.85,100.421,9309.02,0.153882,0.89449,0.0194846,9681.79,2225.55,1323.61,53857.4,0.00151508,0.0611938,15.2731,15.8825,95.526,72.0324,0.442341,15.8314,16.0427,94.5175,126.434,1.00849,-54.4013 
48,7,48,10816.6,0.0187159,13.6434,17.0654,94.6686,-0.0233337,15.1643,441.994,-1.42322,-0.199769,1.9704,-0.220036,1.32056,-69.9216,1481.31,89.1644,8069.59,7590.9,-0.982945,0.240508,2.85096,0.220242,1.76084,0.302877,1579.38,96.429,8167.66,0.180152,0.903468,0.0212853,8766.92,1707.67,1378.1,40437.4,0.00154472,0.0611389,16.564,15.1916,95.2768,72.386,0.376354,16.1393,16.2479,94.5946,125.439,0.682212,-53.0534 
49,8,49,10239.5,0.0089547,12.7353,17.3042,94.7627,0.0122182,2.81053,500,0.58697,1.08955,8.67685,-0.375582,-0.743113,-70.3964,1514.01,89.5678,7490.16,7175.07,1.03024,1.53281,9.56338,0.0676852,-0.299845,0.195968,1612.75,96.8817,7588.9,0.194518,0.904873,0.0229764,8290.97,1468.75,1487.21,34151.8,0.00145641,0.0680623,15.9449,14.2864,95.7233,72.0687,0.339137,16.3461,16.6962,94.4692,124.994,1.25411,-52.925 
50,9,50,9797.93,0.00415311,12.6891,16.7352,94.8231,0.00193061,-1.88462,74.3165,3.30468,1.70519,3.9859,1.42206,1.64845,-59.5151,1468.79,92.6306,7295.75,6912.97,3.67943,2.07994,4.7354,1.79682,2.0232,0.669195,1552.27,98.814,7379.23,0.192924,0.899765,0.0240735,8045.98,1435.44,1377.84,33601.3,0.00121852,0.0601492,16.673,16.2601,95.9533,72.8134,0.346369,15.9557,16.1382,94.5611,125.648,1.39216,-52.8345 
51,10,51,10729.9,-0.00106345,13.8479,16.8394,95.165,-0.00268117,1.09346,170.776,2.13355,-0.886126,1.7757,-1.66833,-1.77269,-46.7371,1686.85,98.8465,7862.4,7591.22,2.42784,-0.591835,2.36428,-1.37404,-1.4784,-0.754119,1752.4,103.702,7927.95,0.200756,0.906158,0.0235289,8729,1620.7,1865.75,37729.6,0.00134418,0.0770885,16.0809,14.6977,96.3627,72.4695,0.357312,16.2585,16.7305,94.9557,125.416,1.40694,-52.9464 
