cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
36,1.15,36,12718.5,-0.0471695,20.8458,13.5094,98.3857,0.1276,59.5458,1.05286,3.22878,1.31336,0.93486,-0.335554,-0.174192,-49.1567,-50.4896,7.70242,12528.7,9414.83,3.53831,1.62289,1.55391,-0.0260272,0.135334,0.772301,18.4574,12.8096,12597.6,0.00176213,0.451566,0.0018696,10474.5,0.000149388,0.00894442,17.58,10.3247,119.543,53.5492,0.948005,13.1814,12.2003,97.9918,121.496,21.5516,-67.9469 
37,1.525,37,11113.1,-0.0207862,19.1043,12.759,98.5096,-0.0117873,5.51293,459.391,0.148247,1.82526,-1.2088,-1.38994,2.4278,-78.9304,2878.39,29.2923,8141.65,7937.02,0.64525,2.32226,-0.214796,-0.892935,2.9248,1.04489,2989.09,37.4929,8252.35,0.303815,0.978521,0.00829977,9838.55,0.000241724,0.316434,11.315,9.80394,98.4686,70.8359,0.626721,12.9011,12.1451,98.0664,121.19,0.402261,-50.3542 
38,1.1,38,12019.7,-0.0373477,19.7391,13.4413,98.1909,-0.10765,18.4576,6.17944,-1.02978,0.363472,-1.96024,2.89971,-2.76458,-58.4538,-121.822,2.9528,11899.1,8701.68,-0.66171,0.73154,-1.22411,3.26778,-2.39651,-3.32528,-39.8344,9.02592,11981,-0.00402188,1.65707,0.00138583,9904.43,0.000123909,0.0118313,-16.0879,-7.62926,120.793,56.6519,0.906456,13.0858,12.1709,97.8274,121.422,22.9658,-64.7697 
39,1.35,39,10693.1,-0.0102007,18.3689,12.767,98.2184,-0.00399057,7.93076,500,1.72382,3.94721,-0.231073,3.36478,0.356814,-74.4306,2283.19,26.4103,8341.28,7635.26,2.19249,4.41588,0.706266,3.83345,0.825484,0.941015,2387.59,34.1434,8445.68,0.254066,0.975585,0.00739203,9397.5,0.000244391,0.247499,11.6443,9.7515,98.0951,70.9277,0.655273,12.6767,12.0405,97.8133,121.14,0.281789,-50.2125 
40,0,40,13109,-0.00246184,21.3426,13.4803,98.1854,-0.00487482,7.9673,9.96479e-12,0.693809,1.08557,-0.388108,-0.252956,2.55778,-73.8382,-142.599,-1.06306,12984,9367.04,1.15875,1.55051,0.541771,0.211983,3.02272,0.916467,-39.0333,6.60844,13087.5,-0.00360631,1.42102,0.000929292,10823.6,8.79394e-05,0.0102624,15.9459,10.397,122.04,52.2427,0.946219,13.2886,12.5567,97.81,121.036,24.2299,-68.7929 
41,1.55,41,10839.8,-0.0372079,18.8811,12.6939,97.9868,0.0291624,-15.5658,117.782,0.403394,0.474729,-5.82144,0.513669,-1.81723,-75.1888,3355.34,51.0927,7487.89,7817.02,0.876838,0.948173,-4.87455,0.987113,-1.34379,-0.431076,3460.8,58.9045,7593.35,0.354471,0.971076,0.0140886,9763.28,0.000111687,0.350704,11.7232,10.0823,98.0531,71.4111,0.581524,12.736,12.1591,97.3968,121.429,0.656365,-50.0176 
42,1.475,42,11652.7,-0.0165245,19.5904,13.016,98.2749,0.00131517,0.82366,270.999,-0.335231,0.804323,-1.98254,-1.96483,-2.30317,-82.068,2938.53,49.7247,8467.42,8300.75,0.181529,1.32108,-0.949018,-1.44807,-1.78641,0.646007,3053.64,58.2512,8582.53,0.300049,0.967695,0.0123483,10177.1,0.000446227,0.306473,11.7675,9.90246,98.3849,71.6809,0.643374,12.8585,12.2997,97.9298,122.147,0.455102,-50.4666 
43,1.275,43,11788.1,-0.0369976,19.7321,13.1893,98.073,-0.0426532,66.3696,4.28984,1.53425,1.18339,0.283191,-0.930609,-0.502537,-84.5631,957.01,21.0136,10684.1,8564.2,2.06672,1.71587,1.34813,-0.398138,0.0299344,0.716929,1075.62,29.7994,10802.8,0.107113,0.953759,0.00505576,10041.9,0.000310816,0.117931,10.8505,9.12519,97.9192,70.1825,0.808557,12.9705,12.307,97.6592,121.137,0.260023,-50.9547 
44,0,44,13149.6,-0.0384889,21.2865,13.6308,98.5516,0.00885813,26.454,500,0.50045,0.896686,-0.721047,-4.33938,-1.37041,-53.379,-124.535,17.5673,13066.5,9453.04,0.836564,1.2328,-0.0488204,-4.00326,-1.0343,0.983818,-49.666,23.1132,13141.4,-0.00457428,5.38799,0.00322945,10857.7,6.40494e-05,0.0128273,-13.2117,8.97128,121.627,54.6513,0.955967,13.3349,12.462,98.1854,122.17,23.4412,-67.5189 
45,0,45,12364.7,-0.0252915,20.2109,13.4308,98.2266,-0.040197,94.9466,0.024708,-3.34448,1.65184,0.373259,0.00153308,0.972352,-38.3141,-93.156,27.584,12195.9,8960.77,-3.10323,1.89309,0.855767,0.242787,1.21361,0.223457,-39.4167,31.5647,12249.7,-0.00389193,-2.49135,0.00472427,10127.8,0.000281401,0.0101754,-14.2576,-8.93659,120.401,54.7442,0.921702,13.0286,12.2303,97.8784,121.635,22.5228,-66.8907 
