cyc,field,#2,#3,#4,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
30,201.3,2.867,44.6916,2.023,30,21556.9,-0.951454,45.0765,-12.7815,121.536,1.10845,-477.419,350.081,-8.46329,-5.53419,-11.285,-3.5595,-3.70438,175.621,10293.7,45.0395,13737.1,35982.5,-9.56912,-6.64002,-13.4967,-4.66533,-4.81021,0.655533,10047.4,35.9163,13490.8,0.464093,0.993783,0.00488027,21649.5,-0.00288907,0.888888,12.5968,11.2974,121.722,92.6381,1.0735,12.9354,12.8036,120.22,143.908,1.50196,-51.2699 
31,201,2.701,44.6446,2.024,31,18483.5,-0.855147,41.6612,11.9647,121.63,0.326015,253.356,40.7824,-2.64062,-6.42114,-8.93485,-2.17221,-1.98609,139.49,8609.17,17.3539,12340.8,18915.5,-3.51895,-7.29948,-10.6915,-3.05054,-2.86442,0.610153,8413.53,10.1077,12145.2,0.446143,0.997902,0.00153072,18858.4,-0.00286183,0.834761,11.7764,10.7585,121.905,93.6195,1.11853,12.0554,11.9019,120.373,144.492,1.53263,-50.8722 
32,202.2,3.365,44.8324,2.02,32,19478,-0.00381898,44.0507,11.296,121.372,-0.0163491,-42.7943,498.801,-5.69473,-0.738785,-15.4651,-6.76136,-3.7807,149.319,9532.72,32.3849,12418.7,16221.2,-6.63495,-1.67901,-17.3456,-7.70158,-4.72092,0.544521,9323.28,24.628,12209.3,0.470321,0.995399,0.00370207,19823.2,-0.00285496,1.01106,11.3124,10.2382,121.322,92.8945,1.19383,11.6839,11.5597,120.432,143.696,0.89037,-50.8014 
33,201.8,3.143,44.7699,2.022,33,19497.4,-0.0441119,41.2243,12.2471,121.834,-0.0900225,121.484,235.484,-10.9529,-7.88236,-11.4293,-2.22377,0.27946,170.274,9293.65,34.8515,12714.5,16791.5,-12.0251,-8.95453,-13.5737,-3.29594,-0.792711,0.648732,9054.82,26.0061,12475.7,0.457687,0.994999,0.00382526,19783.9,-0.00275886,0.826834,12.5003,11.0344,121.911,93.1469,1.0568,12.5416,12.3131,120.837,144.358,1.07375,-51.2113 
34,203,3.807,44.9571,2.018,34,19459.2,-0.731841,46.5842,10.8551,121.663,-0.0730406,-258.063,471.579,-3.69549,-4.90133,-13.6995,-2.81076,-1.92687,87.5607,9442.5,21.1647,12429.6,17075,-4.24684,-5.45267,-14.8022,-3.36211,-2.47822,0.512155,9319.69,16.6161,12306.7,0.468244,0.99689,0.00248097,19903.5,-0.00274773,1.08946,10.7411,-9.82229,121.521,93.4954,1.33893,10.956,11.0218,121.034,144.326,0.48712,-50.8302 
36,202.8,3.696,44.926,2.019,36,20499.2,-0.745428,47.7348,-11.0989,121.251,0.249678,304.816,493.11,-4.73123,-0.894891,-2.03811,-9.63183,1.35084,163.669,9833.83,32.4108,13126.3,19724.4,-5.76181,-1.92547,-4.09927,-10.6624,0.320262,0.814753,9604.27,23.9085,12896.7,0.464077,0.995663,0.00340336,20695.4,-0.00288628,1.11243,10.9532,9.84743,121.155,93.0031,1.38066,11.2218,11.0564,120.656,143.997,0.499443,-50.994 
37,201.5,2.978,44.7229,2.022,37,18762.6,-0.793003,38.1809,13.0295,121.832,0.300107,200.429,434.521,-12.8508,-3.62353,-6.09322,-6.08888,-6.23796,103.949,8912.63,39.9233,12108.1,18152.7,-13.5054,-4.27807,-7.4023,-6.74342,-6.8925,0.809325,8766.83,34.5233,11962.3,0.460094,0.993156,0.00528821,19054.4,-0.0025751,0.734962,12.8268,11.6241,121.95,93.3376,0.928551,13.0099,12.9223,120.605,144.669,1.3448,-51.3319 
38,201.7,3.088,44.7542,2.022,38,18522.5,-0.0249074,37.7422,12.4035,121.83,-0.208834,115.319,4.39171e-13,-8.4125,-3.34941,-17.4587,-5.02765,-5.60192,130.662,8928.99,37.8469,11750,16023.3,-9.23525,-4.17215,-19.1042,-5.8504,-6.42467,0.57344,8745.72,31.0593,11566.8,0.467857,0.993823,0.00492211,18693.1,-0.00234683,0.757471,12.6201,11.3715,121.963,93.107,0.935124,12.6655,12.7385,120.644,144.162,1.31975,-51.0555 
39,202.4,3.475,44.8636,2.02,39,23994,-0.0613589,52.4585,11.429,121.521,0.12677,-94.6496,4.15521,-5.48175,-5.14049,-13.9,-2.42682,-4.21733,143.837,11475,42.7732,14873.9,19908,-6.38746,-6.0462,-15.7114,-3.33252,-5.12304,0.570734,11273.3,35.3012,14672.2,0.471855,0.99455,0.00441253,23891.3,-0.00283941,1.20559,11.4514,10.2309,121.591,93.0797,1.4409,11.5864,11.514,120.759,143.951,0.832176,-50.8714 
40,201.6,3.033,44.7386,2.022,40,15011.5,-0.0532651,31.6849,-12.4742,121.641,-0.00372844,99.3155,500,-8.90197,-4.53816,-7.6531,-1.20351,-4.35162,134.458,7392.45,30.3295,9800.1,12878.5,-9.74861,-5.3848,-9.34638,-2.05016,-5.19827,0.705424,7203.86,23.3447,9611.51,0.465674,0.994361,0.00445423,15469.8,-0.00235507,0.633305,12.6905,11.2225,121.788,92.402,0.776176,12.6912,12.8388,120.364,143.333,1.42379,-50.9313 
