cyc,field,wiggle time,wait time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,202.03,0.19,0.39,43.2027,31,15389.6,-0.739964,34.4342,12.1448,121.147,0.20659,112.236,15.2018,-8.89128,-3.01001,-4.75567,-6.38183,-4.33544,152.436,9751.44,25.0166,8358.41,14368.5,-9.85113,-3.96986,-6.67536,-7.34167,-5.29529,0.79853,9537.64,17.0978,8144.61,0.576571,0.996873,0.0038522,16542,-0.00279512,0.89493,12.1468,11.0083,121.05,92.5134,0.708587,12.0865,12.58,120.198,143.57,0.851558,-51.0566 
32,202.092,0.36,0.22,43.2165,32,16544.5,0.025177,35.6008,11.7968,121.076,0.0183174,-36.5949,2.92201e-11,-6.19599,-2.41363,-8.48222,-4.83706,-3.42942,191.32,10360.3,34.7037,8542.22,13693.5,-7.40068,-3.61832,-10.8916,-6.04175,-4.63411,0.665763,10091.9,24.765,8273.88,0.586486,0.995724,0.00548347,17207.5,-0.00254369,0.976613,12.0465,10.8468,120.968,92.3005,0.723906,12.2079,12.4992,120.119,143.257,0.848911,-50.9565 
33,202.052,0.06,0.52,43.2077,33,16937.2,-0.00109429,36.9346,11.8366,120.894,-0.0135353,0.580597,7.93936e-12,0.783539,-2.25567,-12.6895,-4.78878,-5.8881,207.83,10780.2,38.5515,8771.82,14231.9,-0.525108,-3.56432,-15.3068,-6.09743,-7.19675,0.531764,10488.7,27.7552,8480.32,0.589856,0.99539,0.00599288,17781.8,-0.00284141,1.00704,12.1414,10.8346,120.83,91.5624,0.755695,12.163,12.4618,119.955,142.542,0.875747,-50.9794 
34,202.127,0.14,0.44,43.2243,34,14939.5,-0.746296,33.8226,12.0914,121.151,0.675149,459.99,425.189,-10.7409,-6.42442,-11.5605,-4.61884,-1.18888,128.457,9797.46,28.8354,7705.86,23422.8,-11.5497,-7.23328,-13.1783,-5.42771,-1.99774,0.665414,9617.28,22.1623,7525.68,0.597741,0.995983,0.00539552,16089.4,-0.00277163,0.931241,12.0049,10.827,120.989,91.9936,0.662899,12.1525,12.4785,120.198,143.056,0.790502,-51.0628 
35,202.139,0.11,0.47,43.2268,35,16454.6,-0.284515,36.6426,11.8659,121.195,0.0362656,-266.226,0.000291623,-9.68115,-4.02759,-5.61388,-2.82212,0.485785,184.468,10871.9,30.1111,8371.76,14468.3,-10.8427,-5.18914,-7.93698,-3.98366,-0.675763,0.722757,10613.2,20.5283,8113.02,0.603351,0.996627,0.00463945,17590.4,-0.00295364,1.02825,12.0261,10.8233,121.151,92.1261,0.743322,11.9759,12.2245,120.199,143.43,0.95192,-51.3041 
36,202.015,0.4,0.18,43.1994,36,17491.9,-0.768294,37.8407,12.3432,120.981,0.238676,260.083,486.624,-7.35525,-8.32413,-10.0768,-3.82538,-8.49552,119.056,11261,38.5128,8745.31,17225.6,-8.10491,-9.0738,-11.5762,-4.57505,-9.24518,0.7281,11094,32.3281,8578.33,0.600605,0.994926,0.00689425,18471.4,-0.00277719,1.02774,12.234,11.0412,120.817,92.2717,0.734411,12.3305,12.5994,120.03,143.457,0.786676,-51.185 
37,202.07,0.17,0.41,43.2117,37,19767.3,-0.0760296,41.4671,12.0373,120.97,0.0454578,7.99782,499.997,-5.98021,-3.90809,-9.47253,-2.48463,-7.68608,84.056,12237.7,31.9787,9991.96,16260.9,-6.50948,-4.43737,-10.5311,-3.01391,-8.21536,0.67802,12119.8,27.6122,9874.07,0.588011,0.996029,0.00512493,20611.5,-0.00269113,1.11848,12.2321,10.994,120.835,91.5512,0.837598,12.3006,12.5398,119.891,142.537,0.944279,-50.9859 
38,202.095,0.08,0.5,43.2172,38,15815.3,-0.18615,35.6542,11.8769,121.395,0.0286089,92.167,0.000605479,-6.92624,-2.62427,-5.82147,-2.06609,-5.04628,247.389,10558.5,39.5604,8212.08,13870.9,-8.48398,-4.18202,-8.93696,-3.62384,-6.60403,0.719236,10211.5,26.7091,7865.09,0.601544,0.995444,0.00621671,16975.5,-0.00315983,0.974331,12.1109,11.0372,121.245,92.0899,0.697535,12.0865,12.7449,120.389,143.238,0.856557,-51.148 
39,202.127,0.34,0.24,43.2243,39,16432.2,-0.00150373,36.8533,11.6697,121.326,0.0161187,19.5074,0.140276,-5.82542,-2.11269,-5.56842,-7.26365,2.28562,133.481,10991.7,32.9107,8336.37,14010.4,-6.66591,-2.95318,-7.2494,-8.10414,1.44513,0.691875,10804.5,25.9766,8149.15,0.606559,0.99581,0.0058377,17812.8,-0.00298764,1.06213,11.9062,10.6643,121.134,91.6876,0.727137,12.0475,12.3281,120.409,142.509,0.724599,-50.8215 
40,200,0.45,0.13,40,40,21566.5,-0.183694,46.1271,-11.8368,120.885,0.0627157,83.8795,499.996,-7.00759,-5.04667,-14.6991,-3.98269,-4.17602,204.566,13464.2,46.7434,10858.8,17945.3,-8.29568,-6.33476,-17.2753,-5.27078,-5.46411,0.594863,13177.3,36.1166,10571.9,0.59173,0.995226,0.00625382,22269.1,-0.0029293,1.26352,12.0158,10.8233,120.837,92.1189,0.960182,12.0548,12.1511,119.865,143.073,0.972466,-50.9539 
