cyc,freq,amplitude,time,wait time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,EkHz,tof,AR
102,40,0.5,8,3,5.99271e-07,7.75202e-07,1.07028e-29,0.773051,-1.11844,-5.86002e-13,22900.6,30989,2.21658,35.8035,0.0066,1.26935 
103,40,0.5,7,4,5.69605e-07,8.90649e-07,1.22967e-29,0.639539,-0.599335,-3.94746e-13,34731.3,46119.6,1.79678,33.3449,0.0066,1.37725 
104,40,0.5,1,10,6.03243e-07,8.6209e-07,1.19024e-29,0.699745,-0.843727,6.10776e-13,31496.3,44890.8,1.9863,35.6801,0.0066,1.3503 
105,40,0.5,6,5,5.85891e-07,8.92149e-07,1.23175e-29,0.656719,-0.670975,-2.5017e-13,34907.1,47220.6,1.85087,34.4065,0.0066,1.35139 
106,40,0.5,4,7,5.74914e-07,8.78642e-07,1.2131e-29,0.654322,-0.661072,-5.41779e-13,33345.5,44911.2,1.84333,33.7475,0.0066,1.34362 
107,40,0.5,10,1,6.53184e-07,7.94197e-07,1.09651e-29,0.822446,-1.29134,-6.41432e-13,24625.6,33510.5,2.37097,39.2358,0.0066,1.30587 
108,40,0.5,2,9,5.53195e-07,8.28887e-07,1.1444e-29,0.667396,-0.714718,-8.94461e-13,27995.4,36476.6,1.88447,32.5471,0.0066,1.32566 
109,40,0.5,5,6,6.08127e-07,8.28047e-07,1.14324e-29,0.734412,-0.976524,-5.46651e-13,27910.4,37928,2.09531,36.1519,0.0066,1.29638 
110,40,0.5,0.1,10.9,5.62513e-07,8.49539e-07,1.17292e-29,0.662139,-0.693256,-7.15562e-13,30140.6,39744,1.86792,33.0651,0.0066,1.35967 
111,40,0.5,3,8,5.54233e-07,8.21268e-07,1.13388e-29,0.67485,-0.744906,-3.56471e-13,27230.6,36146,1.90794,32.6495,0.0066,1.3678 
112,40,0.5,9,2,6.05434e-07,8.776e-07,1.21166e-29,0.689875,-0.804916,1.34723e-13,33227,45418.5,1.95523,35.7538,0.0066,1.36547 
113,40,0.5,8,3,6.13971e-07,8.48731e-07,1.1718e-29,0.723399,-0.934922,-1.44366e-12,30054.7,38764.4,2.06069,36.4427,0.0066,1.36484 
114,40,0.5,7,4,6.01476e-07,8.40084e-07,1.15986e-29,0.715972,-0.906567,-2.98129e-13,29145.4,39385.6,2.03734,35.6627,0.0066,1.35894 
115,40,0.5,1,10,5.66041e-07,8.33177e-07,1.15033e-29,0.679377,-0.763101,-5.98045e-13,28432.4,38096.1,1.92219,33.3703,0.0066,1.35101 
116,40,0.5,6,5,5.99809e-07,8.17878e-07,1.1292e-29,0.733372,-0.972622,-4.03876e-13,26894.8,36151.9,2.09204,35.6522,0.0066,1.33782 
117,40,0.5,4,7,5.61448e-07,8.91011e-07,1.23017e-29,0.630124,-0.559344,1.04174e-14,34773.8,47754.5,1.76723,32.8099,0.0066,1.3492 
118,40,0.5,10,1,6.21412e-07,8.58361e-07,1.1851e-29,0.723952,-0.937024,-6.2489e-13,31089.4,41814.4,2.06246,36.8878,0.0066,1.3574 
119,40,0.5,2,9,5.92344e-07,8.58119e-07,1.18476e-29,0.690282,-0.806519,-4.20898e-13,31063.1,42767,1.95651,34.9831,0.0066,1.30067 
120,40,0.5,5,6,6.3198e-07,8.24231e-07,1.13797e-29,0.766751,-1.09571,-3.94703e-13,27526.4,38282.9,2.19682,37.7286,0.0066,1.25499 
121,40,0.5,0.1,10.9,6.2409e-07,7.95745e-07,1.09865e-29,0.784285,-1.15857,-6.81279e-13,24769.8,33644.6,2.25175,37.3354,0.0066,1.30432 
122,40,0.5,3,8,6.21653e-07,7.96188e-07,1.09926e-29,0.780787,-1.14613,-3.8171e-13,24811.3,34092.5,2.24078,37.1743,0.0066,1.33282 
123,40,0.5,9,2,6.2752e-07,8.72356e-07,1.20442e-29,0.719339,-0.919444,-1.41165e-12,32635,43197.9,2.04794,37.2253,0.0066,1.29198 
124,40,0.5,8,3,5.97624e-07,8.61942e-07,1.19004e-29,0.693345,-0.818609,-7.67353e-13,31480.2,41834.1,1.96615,35.312,0.0066,1.34656 
125,40,0.5,7,4,5.92564e-07,8.61962e-07,1.19007e-29,0.687459,-0.795337,-8.54424e-13,31482.3,42021.6,1.94763,34.9802,0.0066,1.36014 
126,40,0.5,1,10,5.67736e-07,8.89258e-07,1.22775e-29,0.638438,-0.594649,2.35692e-13,34568.9,47512.8,1.79338,33.2297,0.0066,1.34634 
127,40,0.5,6,5,6.07311e-07,8.53481e-07,1.17836e-29,0.71157,-0.889634,5.31987e-13,30562.1,43092.4,2.0235,35.9853,0.0066,1.3616 
128,40,0.5,4,7,5.67296e-07,8.70503e-07,1.20186e-29,0.651687,-0.650157,1.09614e-12,32427.5,45882.8,1.83504,33.2846,0.0066,1.37257 
129,40,0.5,10,1,6.68803e-07,7.96654e-07,1.0999e-29,0.839515,-1.34903,-4.07519e-13,24854.9,34839.9,2.42415,40.2399,0.0066,1.2564 
130,40,0.5,2,9,5.56778e-07,8.73194e-07,1.20558e-29,0.637634,-0.591258,-4.89389e-13,32729.1,43272.2,1.79084,32.5833,0.0066,1.38642 
131,40,0.5,5,6,5.99426e-07,8.18701e-07,1.13034e-29,0.732167,-0.968095,-7.25119e-14,26976.1,37256.2,2.08825,35.6234,0.0066,1.3147 
132,60,0.3,0.1,10.9,5.80269e-07,8.1116e-07,1.11993e-29,0.715357,-0.904215,-1.15994e-12,26237.5,34236.4,2.0354,34.402,0.0066,1.31984 
133,60,0.3,3,8,6.01913e-07,8.39315e-07,1.1588e-29,0.717147,-0.91106,5.23214e-13,29065.4,41208.9,2.04105,35.6949,0.0066,1.38452 
134,60,0.3,9,2,6.26944e-07,8.01063e-07,1.10599e-29,0.78264,-1.15271,-9.84678e-13,25269.8,33475.2,2.24662,37.4994,0.0066,1.36437 
135,60,0.3,8,3,6.12662e-07,8.65663e-07,1.19518e-29,0.707737,-0.874824,-2.25314e-13,31889.6,43095.4,2.01145,36.2815,0.0066,1.35713 
136,60,0.3,7,4,5.98723e-07,8.60172e-07,1.1876e-29,0.69605,-0.829244,-1.03615e-12,31286.6,40691.2,1.97468,35.3923,0.0066,1.40178 
137,60,0.3,1,10,5.78369e-07,8.459e-07,1.16789e-29,0.683732,-0.780507,-1.57016e-13,29755,40618.4,1.9359,34.1216,0.0066,1.38138 
138,60,0.3,6,5,6.76398e-07,8.95485e-07,1.23635e-29,0.755342,-1.05416,-3.72741e-14,35300.3,50181.4,2.16103,40.3225,0.0066,1.29636 
139,60,0.3,4,7,5.65897e-07,8.89814e-07,1.22852e-29,0.635972,-0.584238,-4.49411e-13,34633.8,46038.6,1.78561,33.1065,0.0066,1.38326 
140,60,0.3,10,1,5.88264e-07,7.93666e-07,1.09578e-29,0.741198,-1.0019,-1.36513e-13,24576.2,33518.2,2.11663,35.0034,0.0066,1.32913 
141,60,0.3,2,9,5.51905e-07,8.13041e-07,1.12253e-29,0.678816,-0.760848,6.28918e-14,26420.4,35862,1.92042,32.534,0.0066,1.39468 
142,60,0.3,5,6,6.41038e-07,8.28387e-07,1.14371e-29,0.773838,-1.12126,1.0388e-12,27944.9,41033.1,2.21903,38.3023,0.0066,1.3323 
143,60,0.3,0.1,10.9,6.10026e-07,7.90865e-07,1.09191e-29,0.77134,-1.11228,-1.47067e-12,24317,31465.7,2.21121,36.4384,0.0066,1.36876 
144,60,0.3,3,8,5.59629e-07,8.14821e-07,1.12498e-29,0.686813,-0.792767,-1.14747e-12,26594.3,34924.9,1.9456,33.0326,0.0066,1.29958 
145,60,0.3,9,2,6.05161e-07,8.27257e-07,1.14215e-29,0.731527,-0.965682,-4.87749e-13,27830.6,37428.2,2.08624,35.9611,0.0066,1.36731 
146,60,0.3,8,3,5.89257e-07,8.78007e-07,1.21222e-29,0.671129,-0.729866,-7.22621e-13,33273.4,43844.5,1.89623,34.691,0.0066,1.37474 
147,60,0.3,7,4,5.55784e-07,8.41023e-07,1.16116e-29,0.660843,-0.687942,-4.14095e-13,29243.2,39093.8,1.86385,32.6622,0.0066,1.35931 
148,60,0.3,1,10,5.82841e-07,8.39702e-07,1.15934e-29,0.694105,-0.821603,-3.16546e-13,29105.7,39115.2,1.96855,34.4429,0.0066,1.35268 
149,60,0.3,6,5,6.01452e-07,8.02651e-07,1.10818e-29,0.749332,-1.03205,-7.96668e-15,25420.4,35211.8,2.14217,35.8268,0.0066,1.35473 
150,60,0.3,4,7,6.04662e-07,7.62359e-07,1.05255e-29,0.793146,-1.18988,-7.07267e-13,21781.1,28951.6,2.27951,36.2099,0.0066,1.31817 
151,60,0.3,10,1,6.01729e-07,8.269e-07,1.14166e-29,0.727692,-0.951199,-1.16683e-12,27794.7,36315.2,2.0742,35.7381,0.0066,1.33378 
152,60,0.3,2,9,6.35152e-07,7.78158e-07,1.07436e-29,0.816224,-1.27006,-1.30516e-12,23163.6,30513.2,2.35156,38.1287,0.0066,1.24058 
