cyc,dummy,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
35,35,35,19818.7,0,5,101,125,0,5,135,-7.45201,-1.04212,-2.9949,-0.717563,-4.29809,11.2411,17.681,26034.3,-1.33968,16439.4,-7.49544,-1.08556,-3.08176,-0.760996,-4.34152,0.816182,17.0241,25985,-1.99661,1.16379,0.000374232,1.00004,14.6282,421.609,493.795,0.565127,34388.8,8.63815e-07,0.528211,109.563,85.8311,22.536,24.1665,0.932533,461.658,540.802,0.57844 
36,36,36,18959.2,0,5,101,125,0,5,135,-4.77118,-4.73576,-12.0626,-4.00958,-1.55732,-1.09887,9.76291,24980.1,2.66094,16439.4,-4.76693,-4.73152,-12.0541,-4.00534,-1.55308,0.555379,9.82713,24985,2.72516,0.750316,0.000224705,0.999941,13.0973,414.843,484.43,0.558588,32718.4,8.49596e-07,0.527648,109.873,85.885,22.3878,23.9653,0.934175,455.603,531.836,0.579388 
37,37,37,20482.1,0,5,101,125,0,5,135,-1.70867,-3.09569,-4.37075,-3.65687,-7.1931,11.9975,5.98068,26556.7,11.1761,16439.4,-1.75502,-3.14205,-4.46346,-3.70322,-7.23946,0.78016,5.27954,26504.1,10.475,0.295781,0.000113814,0.999785,17.8495,432.811,513.698,0.639421,35203.2,8.70581e-07,0.541618,109.888,85.7048,22.5508,24.3401,0.926488,462.265,548.603,0.578449 
38,38,38,20530.6,0,5,101,125,0,5,135,-3.91256,-2.39088,-3.63055,-3.71703,-9.62016,-41.0521,5.41514,26615.6,-2.38958,16439.4,-3.75394,-2.23227,-3.31332,-3.55841,-9.46154,0.85155,7.81423,26795.5,0.00951134,0.998542,0.000166615,1,7.82564,432.499,493.926,0.549399,34887,8.67966e-07,0.532502,109.803,85.5373,22.903,24.2428,0.944734,476.815,544.224,0.586896 
39,39,39,18590.9,0,5,101,125,0,5,135,-2.09345,-4.61715,-3.96699,-10.1844,-3.08902,-108.339,-2.89528,24780.4,1.3726,16439.4,-1.67485,-4.19855,-3.12979,-9.76577,-2.67042,0.854017,3.43603,25255.3,7.70392,0.270965,7.7738e-05,0.999834,12.6807,406.597,469.529,0.511281,32091,8.44131e-07,0.517611,109.194,85.9953,22.4183,23.8584,0.939641,456.847,527.1,0.581329 
40,40,40,18080.6,0,5,101,125,0,5,135,-3.19055,-4.70185,-6.69545,-4.07703,-6.07542,-92.4088,8.55153,24191.3,6.3463,16439.4,-2.8335,-4.3448,-5.98136,-3.71999,-5.71837,0.735315,13.9519,24596.3,11.7467,0.497431,0.000324029,0.999741,28.0479,422.785,495.708,0.627943,31770.5,8.41311e-07,0.544147,109.816,85.8248,22.3243,23.9476,0.932216,453.025,531.05,0.583005 
41,41,41,18615.9,0,5,101,125,0,5,135,-5.32102,-1.84456,-3.59509,-0.045814,-10.3452,-53.145,-3.43796,24879.4,-11.1715,16439.4,-5.11568,-1.63922,-3.18441,0.159528,-10.1399,0.840137,-0.332169,25112.3,-8.06575,0.0331801,-7.55852e-06,1.00017,-10.0111,394.811,476.39,0.48457,32581,8.48405e-07,0.511178,109.717,85.8741,22.2643,24.2263,0.919013,450.59,543.482,0.583284 
42,42,42,19702,0,5,101,125,0,5,135,-1.70763,-1.9829,-4.67672,0.0783235,-9.32328,-42.2912,20.5002,25695.7,8.9071,16439.4,-1.54423,-1.8195,-4.34991,0.241728,-9.15987,0.738458,22.9717,25881,11.3786,0.627197,0.000506937,0.999761,36.6261,442.74,529.717,0.809887,33727.5,8.58242e-07,0.56427,109.635,85.5714,22.4551,24.3345,0.92277,458.349,548.348,0.584139 
43,43,43,15911,0,5,101,125,0,5,135,1.24758,-3.32136,-5.62719,-5.68473,-3.23577,-101.919,1.13425,22274.6,7.30744,16439.4,1.64137,-2.92757,-4.8396,-5.29093,-2.84197,0.660586,7.09041,22721.4,13.2636,0.308188,0.000178288,0.999683,23.0067,392.331,457.679,0.466677,29407,8.19908e-07,0.516823,109.429,85.9643,22.3175,23.887,0.934296,452.748,528.366,0.596528 
44,44,44,18664.4,0,5,101,125,0,5,135,-2.4934,0.382293,-6.03334,-2.77191,-9.18199,-43.3351,5.39344,25011,-8.24546,16439.4,-2.32597,0.549731,-5.69847,-2.60447,-9.01455,0.701553,7.92594,25200.9,-5.71296,7.40471,0.000179688,1.00012,1.07039,407.6,474.519,0.51973,32616.2,8.4871e-07,0.518185,109.572,85.6682,22.3875,23.9351,0.935342,455.594,530.498,0.579257 
