cyc,amp (Vpp),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
61,0.04,61,20903.9,0,5,101,125,0,5,135,-7.67599,-4.67657,-5.51787,-3.58171,-4.5758,-188.534,3.78811,28838.2,-31.5826,16439.4,-6.94754,-3.94812,-4.06096,-2.85326,-3.84734,0.812489,14.806,29664.5,-20.5647,-1.49986,0.000285128,1.00038,-9.87158,427.006,484.809,0.462875,37217.4,8.86878e-07,0.513025,109.979,85.6367,23.3288,24.6181,0.947626,494.709,561.206,0.594117 
62,0.02,62,22457.6,0,5,101,125,0,5,135,-3.96551,-8.56116,-12.2779,-3.14281,-5.70842,-145.357,-9.68981,30454.1,-39.0473,16439.4,-3.40388,-7.99953,-11.1546,-2.58118,-5.14679,0.631691,-1.19516,31091.2,-30.5527,0.0315694,-2.19665e-05,1.00053,-37.8584,422.429,472.507,0.506456,39027.7,9.01031e-07,0.49584,109.786,86.2391,22.88,23.9594,0.954946,475.856,531.575,0.558188 
63,0.96,63,21787.1,0,5,101,125,0,5,135,-6.30476,-5.3528,-10.729,-8.98592,-8.65423,-93.6324,-5.31457,29721.1,-30.2745,16439.4,-5.94299,-4.99103,-10.0054,-8.62414,-8.29245,0.735698,0.157306,30131.5,-24.8026,-0.00531334,2.98321e-06,1.00045,-29.6058,502.036,567.092,0.546359,39051.4,9.01213e-07,0.592061,109.421,85.4458,24.7031,26.0049,0.94994,554.712,626.213,0.653984 
64,1.44,64,21737.7,0,5,101,125,0,5,135,-6.97191,-9.0321,-10.2033,-4.84838,-5.33102,-79.5606,1.25978,29745.6,-26.4653,16439.4,-6.6645,-8.7247,-9.58849,-4.54097,-5.02361,0.722413,5.90931,30094.3,-21.8158,-0.291534,0.000112193,1.00039,-20.2697,593.004,650.095,0.928512,39391.4,9.0382e-07,0.686966,108.781,84.798,25.8539,26.8146,0.964171,607.598,665.818,0.703726 
65,0.01,65,21776.5,0,5,101,125,0,5,135,-5.03955,-3.16387,-8.5064,-4.8471,-10.2001,-138.203,0.47399,29713.9,-19.4129,16439.4,-4.50556,-2.62988,-7.43842,-4.31311,-9.66613,0.739488,8.55058,30319.6,-11.3363,-1.6922,0.000161125,1.0002,-5.05294,416.248,466.787,0.448854,37822.8,8.91661e-07,0.494352,109.894,85.4886,23.1602,24.2675,0.954371,487.586,545.336,0.578306 
66,0.24,66,22462.5,0,5,101,125,0,5,135,-7.31144,-6.51824,-11.3009,-7.50514,-5.70648,-143.221,7.28256,30623.7,-35.8471,16439.4,-6.75807,-5.96486,-10.1941,-6.95176,-5.1531,0.708921,15.6524,31251.4,-27.4773,-0.903696,0.00028612,1.00048,-17.3204,416.857,465.566,0.425828,39490.3,9.04576e-07,0.487011,109.628,85.8222,23.4015,24.4811,0.955904,497.8,554.974,0.581057 
67,2,67,20577.6,0,5,101,125,0,5,135,-6.35854,-3.01032,-8.76331,-5.73954,-4.16942,-211.092,8.24713,28655.6,-13.8588,16439.4,-5.54292,-2.1947,-7.13207,-4.92392,-3.3538,0.691885,20.5834,29580.8,-1.52255,1.09741,0.000397462,1.00003,18.7563,629.2,715.665,0.833714,38083.6,8.93706e-07,0.750853,108.318,84.2076,26.7502,28.2597,0.946584,650.457,739.515,0.776047 
68,0.08,68,22329.7,0,5,101,125,0,5,135,-2.28491,-6.53812,-11.1472,-4.3349,-7.77491,-127.824,9.21059,31203.4,-32.6437,16439.4,-1.79102,-6.04423,-10.1594,-3.84101,-7.28102,0.651079,16.6806,31763.6,-25.1737,-1.23306,0.000299994,1.00043,-13.5278,428.202,480.674,0.475479,40658.2,9.13408e-07,0.496689,109.684,85.9485,23.2599,24.4138,0.952736,491.79,551.927,0.570382 
69,0.12,69,21132.9,0,5,101,125,0,5,135,-11.0766,-8.99874,-11.2352,-7.63893,-5.89962,-137.068,10.8922,29912.5,-39.1323,16439.4,-10.547,-8.46913,-10.176,-7.10932,-5.37002,0.755805,18.9025,30513.3,-31.1221,-1.02486,0.000353866,1.00055,-18.444,412.513,481.352,0.471344,38593.5,8.97676e-07,0.496399,110.089,86.1449,22.8653,24.4503,0.935174,475.245,553.579,0.571385 
70,0.12,70,21614.8,0,5,101,125,0,5,135,-6.25403,-4.48075,-7.8817,-6.90801,-8.29473,-78.609,8.23808,30511.2,-24.0401,16439.4,-5.9503,-4.17702,-7.27424,-6.60428,-7.991,0.772658,12.832,30855.8,-19.4462,-1.22169,0.000237584,1.00034,-10.5035,428.9,493.379,0.523654,39325.6,9.03317e-07,0.509247,110.234,85.8955,22.9533,24.3787,0.941531,478.913,550.345,0.568337 
71,0.12,71,18207.2,0,5,101,125,0,5,135,-8.02858,-4.23379,-8.41434,-8.42946,-11.0948,-83.6359,16.7206,27018.7,-38.4376,16439.4,-7.70543,-3.91064,-7.76803,-8.1063,-10.7717,0.796978,21.6083,27385.3,-33.5499,-1.15852,0.00045068,1.00067,-18.6517,404.218,461.177,0.443613,35121.8,8.69909e-07,0.496327,110.018,86.584,22.8685,24.1962,0.94513,475.382,542.134,0.58358 
72,0.12,72,19517.4,0,5,101,125,0,5,135,-5.55479,-4.20633,-8.23858,-9.53232,-11.6196,-134.352,-7.83442,28693.4,-16.7108,16439.4,-5.03569,-3.68722,-7.20036,-9.01321,-11.1005,0.800195,0.0170912,29282.2,-8.85931,-0.00161024,3.33526e-07,1.00016,-10.6141,441.621,506.278,0.581367,37491,8.89046e-07,0.531858,109.978,86.6334,22.9909,24.3812,0.942977,480.483,550.456,0.578464 
73,0.12,73,19296,0,5,101,125,0,5,135,-4.41618,-6.64343,-10.6955,-6.20281,-2.8687,-64.1552,-9.14506,28422.4,-10.4118,16439.4,-4.1683,-6.39555,-10.1997,-5.95493,-2.62082,0.652352,-5.39583,28703.6,-6.6626,0.402946,-0.000107431,1.00013,-13.3909,423.569,481.651,0.503528,36596.2,8.81916e-07,0.512155,110.157,85.4454,22.9405,24.2262,0.946932,478.38,543.478,0.578163 
74,0.12,74,18091.3,0,5,101,125,0,5,135,-10.3254,-0.172479,-14.6318,-8.26485,-7.75117,-127.926,0.420256,26764.3,-26.6268,16439.4,-9.83111,0.321802,-13.6432,-7.77057,-7.25689,0.642661,7.89625,27325,-19.1508,-0.523459,0.000165101,1.00038,-15.0848,408.223,465.454,0.488748,34646.1,8.65964e-07,0.50337,110.065,86.2388,22.607,23.8984,0.945964,464.57,528.87,0.5724 
