cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
49,80,0.95,0.01,10,49,1.11183e-06,8.41982e-07,1.16248e-29,17.5441,1.32048,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.65107,-4.0695e-29,-2.0053e-12,29003.7,42659.7,3.91247,68.6407,3.65452,64.1152,-1.33423,0.0066,1.1347,6.683e-06 
50,80,0.95,0.01,10,50,1.02696e-06,8.62774e-07,1.19119e-29,17.9773,1.19031,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.34812,-3.32935e-29,-5.24752e-13,31205.8,48342.2,3.51257,63.1465,3.20512,57.6194,-1.03657,0.0066,1.14677,6.683e-06 
51,80,0.95,10,0.01,51,1.0539e-06,8.27663e-07,1.14271e-29,17.2457,1.27335,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.54473,-3.70276e-29,-7.43161e-13,27548.9,42748.6,3.76791,64.9804,3.48875,60.1659,-1.22959,0.0066,1.11769,6.683e-06 
52,80,0.95,0.01,10,52,9.65407e-07,8.64331e-07,1.19334e-29,18.0098,1.11694,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.16361,-2.88385e-29,-1.46854e-13,31375.1,49312.1,3.2862,59.1836,2.96371,53.3758,-0.855991,0.0066,1.13426,6.683e-06 
53,80,0.95,0.01,10,53,9.8946e-07,8.33802e-07,1.15119e-29,17.3736,1.18668,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.33926,-3.19566e-29,-5.56111e-13,28166.5,43319.5,3.50141,60.8322,3.193,55.474,-1.02789,0.0066,1.15365,6.683e-06 
54,80,0.95,0.01,10,54,1.03783e-06,8.48441e-07,1.1714e-29,17.6787,1.22322,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.42752,-3.47833e-29,-9.59377e-13,29676.3,45580.4,3.61387,63.8885,3.31623,58.6264,-1.11445,0.0066,1.13731,6.683e-06 
55,80,0.95,10,0.01,55,1.08884e-06,8.67862e-07,1.19821e-29,18.0833,1.25463,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.50146,-3.76047e-29,-1.78858e-12,31761.2,47217,3.71042,67.0968,3.42385,61.9147,-1.18706,0.0066,1.14147,6.683e-06 
56,80,0.95,10,0.01,56,1.0753e-06,8.36194e-07,1.15449e-29,17.4235,1.28595,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.5735,-3.82066e-29,-9.20562e-13,28409.6,43774.5,3.80657,66.3237,3.53272,61.5522,-1.25789,0.0066,1.13191,6.683e-06 
57,80,0.95,0.01,10,57,9.99807e-07,8.32275e-07,1.14908e-29,17.3418,1.20129,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.37485,-3.27821e-29,-7.79156e-13,28012.1,43111.3,3.54641,61.5011,3.24202,56.2226,-1.06278,0.0066,1.12552,6.683e-06 
58,80,0.95,10,0.01,58,1.06925e-06,8.37861e-07,1.15679e-29,17.4582,1.27617,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.55119,-3.76622e-29,-1.25023e-12,28579.9,43465.8,3.77656,65.9321,3.49856,61.0786,-1.23594,0.0066,1.12289,6.683e-06 
59,80,0.95,0.01,10,59,1.03155e-06,8.56721e-07,1.18283e-29,17.8512,1.20407,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.38157,-3.39186e-29,-1.01691e-12,30553.7,46124.4,3.55495,63.4601,3.25137,58.0409,-1.06937,0.0066,1.1568,6.683e-06 
60,60,1.05,0.01,10,60,1.03026e-06,8.38941e-07,1.15828e-29,17.4807,1.22805,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.439,-3.46929e-29,-1.35112e-12,28690.6,43041.7,3.62872,63.4327,3.33267,58.2575,-1.12572,0.0066,1.14335,6.683e-06 
