cyc,freq,time,wait time,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
68,4,100,0.01,68,4.57635e-07,5.8397e-07,8.06259e-30,0.783661,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.15635,-7.30622e-30,-1.85327e-13,24843.9,37189.9,2.2498,27.3755,1.98266,24.125,0.119598,0.0066,1.28182 
69,4,100,0.01,69,4.48421e-07,5.7632e-07,7.95697e-30,0.778076,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.13645,-7.03588e-30,2.97668e-13,23880.2,38136.2,2.23231,26.8068,1.96793,23.6321,0.13867,0.0066,1.27139 
70,4,100,0.01,70,4.54522e-07,6.15964e-07,8.50431e-30,0.737903,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.989621,-6.21022e-30,3.48448e-13,29155,46439.5,2.10626,27.033,1.86381,23.9213,0.278994,0.0066,1.27003 
71,4,0.01,100,71,3.75098e-07,6.07172e-07,8.38293e-30,0.617778,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.506146,-2.62122e-30,3.81516e-13,27924.3,42327,1.72847,21.8677,1.57169,19.8842,0.737359,0.0066,1.39336 
72,4,100,0.01,72,4.58732e-07,5.68999e-07,7.85589e-30,0.806209,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.2355,-7.82503e-30,-2.49729e-13,22981.7,34268.5,2.32031,27.5096,2.0427,24.2184,0.0436305,0.0066,1.256 
73,4,0.01,100,73,3.94676e-07,5.73737e-07,7.92131e-30,0.687903,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.797098,-4.34346e-30,1.00603e-15,23560.6,34512,1.94903,23.3001,1.73865,20.7852,0.46214,0.0066,1.33767 
74,4,0.01,100,74,3.96184e-07,5.74095e-07,7.92624e-30,0.690103,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.805812,-4.40773e-30,-2.26899e-14,23604.7,34958.3,1.95595,23.3975,1.74405,20.8627,0.453871,0.0066,1.33198 
75,4,100,0.01,75,4.53228e-07,6.11769e-07,8.44639e-30,0.740848,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.00058,-6.26111e-30,7.99215e-14,28563.3,44229.6,2.11555,26.9674,1.87134,23.8543,0.26857,0.0066,1.26932 
76,4,0.01,100,76,3.95368e-07,5.79838e-07,8.00554e-30,0.681859,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.773044,-4.21978e-30,1.25167e-14,24320.2,36174.3,1.92999,23.318,1.72386,20.8275,0.48495,0.0066,1.33757 
77,4,100,0.01,77,4.58454e-07,5.616e-07,7.75373e-30,0.816336,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.27044,-8.04146e-30,1.27632e-13,22096.7,35127.5,2.35191,27.5217,2.06999,24.2227,0.0100277,0.0066,1.23687 
78,4,0.01,100,78,3.96994e-07,5.82956e-07,8.04858e-30,0.681002,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.769609,-4.21831e-30,-5.463e-15,24714.6,36967.9,1.9273,23.4106,1.72177,20.9141,0.488213,0.0066,1.31732 
79,4,0.01,100,79,3.90479e-07,6.23637e-07,8.61025e-30,0.626132,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.542239,-2.92329e-30,-3.54703e-14,30258.2,44126.8,1.75469,22.8014,1.59104,20.6748,0.703288,0.0066,1.34813 
80,4,0.01,100,80,3.90893e-07,5.93723e-07,8.19724e-30,0.658376,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.677805,-3.65802e-30,-9.15153e-14,26109.5,37941.2,1.85608,22.9619,1.66711,20.6241,0.575165,0.0066,1.36514 
81,4,0.01,100,81,3.91035e-07,5.95775e-07,8.22557e-30,0.656346,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.669439,-3.61418e-30,1.65301e-13,26381.1,39642.7,1.8497,22.962,1.66226,20.6352,0.583082,0.0066,1.34345 
82,4,100,0.01,82,4.48128e-07,5.90995e-07,8.15957e-30,0.758261,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.06484,-6.58824e-30,-5.18831e-14,25751.2,39153.8,2.17019,26.7245,1.91618,23.5965,0.207192,0.0066,1.26864 
83,4,0.01,100,83,3.76715e-07,6.09006e-07,8.40825e-30,0.618574,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.509604,-2.65051e-30,-3.63821e-14,28178.1,40414.2,1.73097,21.9654,1.57353,19.9675,0.734094,0.0066,1.36246 
