cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
33,2.49,2.51,33,15869,0,5,101,125,0,5,135,-14.4423,-11.4592,-21.1071,-10.1641,-10.5544,516.789,-58.7401,33474.1,-94.4651,16439.4,-16.4391,-13.456,-25.1006,-12.1608,-12.5512,0.685092,-88.9412,31209,-124.666,0.372856,-0.00163115,1.00217,-238.541,449.06,500.76,0.489759,44640.7,9.42307e-07,0.50324,111.897,86.4488,23.7035,24.8055,0.955571,510.727,569.784,0.572476 
34,4.99,0.01,34,17309.8,0,5,101,125,0,5,135,-10.1844,-8.65366,-23.716,-15.4307,-12.5019,476.386,-80.2976,34747,-92.0316,16439.4,-12.025,-10.4943,-27.3974,-17.2714,-14.3426,0.663962,-108.138,32659,-119.872,0.429146,-0.00189565,1.002,-251.983,448.689,496.585,0.445835,46729.1,9.56777e-07,0.493354,111.342,86.4999,24.0686,25.0868,0.959412,526.582,582.776,0.578993 
35,1.49,3.51,35,18766.2,0,5,101,125,0,5,135,-9.85199,-10.8208,-17.4561,-9.49141,-16.0373,537.699,-59.5948,35557.2,-83.1744,16439.4,-11.9296,-12.8984,-21.6112,-11.569,-18.1149,0.716102,-91.0179,33200.5,-114.597,0.398267,-0.00156901,1.00188,-228.535,464.444,508.43,0.50668,47121.1,9.59445e-07,0.506479,111.127,86.4703,23.987,24.8664,0.964634,523.018,572.584,0.570371 
36,2.99,2.01,36,15842.4,0,5,101,125,0,5,135,-11.4392,-14.2403,-17.8542,-11.1179,-10.3848,527.01,-80.0835,34493.5,-65.4021,16439.4,-13.4755,-16.2766,-21.9267,-13.1542,-12.421,0.716174,-110.882,32183.6,-96.2006,0.489929,-0.00197262,1.00163,-226.323,456.001,512.113,0.535442,46709.7,9.56645e-07,0.505144,110.887,86.507,23.5836,24.7714,0.952049,505.573,568.214,0.56027 
37,4.49,0.51,37,17852.2,0,5,101,125,0,5,135,-10.5122,-15.5943,-27.0816,-17.3949,-6.68742,536.362,-45.1831,35487.6,-87.0441,16439.4,-12.5846,-17.6667,-31.2264,-19.4673,-8.75982,0.651898,-76.5281,33136.8,-118.389,0.350091,-0.00132144,1.00194,-218.595,447.017,498.988,0.464698,47182.4,9.59862e-07,0.492038,111.27,86.3718,23.8529,24.9677,0.955353,517.188,577.255,0.569245 
38,3.49,1.51,38,16132.7,0,5,101,125,0,5,135,-11.6812,-13.3549,-25.3155,-11.3731,-9.13011,498.827,-66.9489,33131.5,-76.5022,16439.4,-13.6086,-15.2823,-29.1702,-13.3005,-11.0575,0.646074,-96.1004,30945.1,-105.654,0.431166,-0.00177773,1.00186,-222.885,442.517,501.92,0.516212,44337.3,9.40166e-07,0.501277,111.251,86.5755,23.3539,24.6347,0.948011,495.776,561.961,0.561424 
39,3.99,1.01,39,15967,0,5,101,125,0,5,135,-4.01272,-9.85606,-16.6552,-12.2152,-14.014,479.756,-57.0969,33543.5,-70.1944,16439.4,-5.8664,-11.7097,-20.3625,-14.0688,-15.8677,0.7,-85.1338,31440.7,-98.2313,0.419355,-0.00154969,1.0017,-203.011,442.415,510.44,0.542967,44786,9.43327e-07,0.503761,110.955,86.2569,23.1886,24.6868,0.939311,488.779,564.34,0.556755 
40,0.49,4.51,40,14803.7,0,5,101,125,0,5,135,-9.56514,-9.07764,-26.2269,-10.5687,-14.117,450.271,-71.2316,32597.2,-85.4373,16439.4,-11.3049,-10.8174,-29.7064,-12.3085,-15.8568,0.628642,-97.5454,30623.6,-111.751,0.421095,-0.00182349,1.00198,-231.647,439.204,493.292,0.471367,44095,9.38451e-07,0.495991,111.694,86.5754,23.5834,24.7768,0.951835,505.566,568.462,0.571252 
41,0.99,4.01,41,15522.8,0,5,101,125,0,5,135,-12.027,-13.9169,-26.7465,-8.05386,-11.2068,454.931,-55.7808,32838.3,-91.0302,16439.4,-13.7847,-15.6746,-30.262,-9.81162,-12.9646,0.633177,-82.367,30844.3,-117.616,0.368521,-0.00152828,1.00207,-223.507,443.425,490.987,0.470804,44325,9.4008e-07,0.496341,111.139,86.5659,23.684,24.7144,0.958308,509.889,565.604,0.571254 
43,1.99,3.01,43,21708.1,0,5,101,125,0,5,135,-11.6715,-11.0087,-18.2998,-10.8142,-15.4716,535.835,-37.3292,39254.6,-65.738,16439.4,-13.7418,-13.079,-22.4406,-12.8846,-17.542,0.718395,-68.6434,36906,-97.0522,0.370833,-0.00106396,1.00143,-185.106,445.228,490.995,0.422577,51303.2,9.87029e-07,0.473696,111.245,86.7991,24.205,25.1918,0.960826,532.568,587.669,0.566792 
44,2.49,2.51,44,19292.7,0,5,101,125,0,5,135,-14.8016,-12.6892,-26.2938,-18.5669,-16.8397,551.924,-14.9005,36591.6,-73.6965,16439.4,-16.9341,-14.8217,-30.5588,-20.6994,-18.9722,0.700363,-47.155,34172.5,-105.951,0.270545,-0.000789141,1.00169,-174.296,468.641,535.694,0.611165,48111.5,9.66121e-07,0.518617,110.818,86.6202,23.5614,24.9611,0.943926,504.624,576.951,0.558498 
45,4.99,0.01,45,16565.3,0,5,101,125,0,5,135,-11.8598,-8.98469,-18.8434,-11.1466,-9.44828,560.022,-45.6372,34228.9,-61.1079,16439.4,-14.0237,-11.1485,-23.1711,-13.3105,-11.6121,0.68374,-78.3649,31774.3,-93.8356,0.410357,-0.0014113,1.00161,-190.968,433.727,484.041,0.447297,45684.4,9.49594e-07,0.482516,110.935,86.6925,23.6469,24.7446,0.955641,508.295,566.986,0.565335 
46,1.49,3.51,46,21555.1,0,5,101,125,0,5,135,-16.8706,-10.35,-19.442,-13.7485,-11.1161,540.915,-66.3935,38461.1,-79.8458,16439.4,-18.9606,-12.44,-23.6219,-15.8384,-13.2061,0.719011,-98.0046,36090.3,-111.457,0.422884,-0.00155415,1.00168,-231.753,463.142,506.64,0.446701,50286.3,9.80464e-07,0.494055,110.943,86.2207,24.4276,25.3327,0.96427,542.407,594.258,0.579053 
47,2.99,2.01,47,19353.6,0,5,101,125,0,5,135,-14.7887,-7.25033,-21.4728,-16.8093,-13.0939,571.868,-55.0073,37626.1,-63.9911,16439.4,-16.9983,-9.45991,-25.892,-19.0189,-15.3035,0.701267,-88.4272,35119.6,-97.411,0.430679,-0.00144087,1.00151,-205.32,459.645,516.486,0.504336,50039.7,9.78859e-07,0.49776,111.238,86.7531,23.874,25.0798,0.951921,518.103,582.453,0.561201 
48,4.49,0.51,48,20356.2,0,5,101,125,0,5,135,-8.11671,-11.0334,-16.8816,-14.5934,-13.5549,520.086,-49.1119,37292.7,-76.5389,16439.4,-10.1262,-13.0429,-20.9007,-16.603,-15.5644,0.725847,-79.5057,35013.1,-106.933,0.382561,-0.00129925,1.00166,-207.825,472.841,524.023,0.542117,49327.1,9.7419e-07,0.510963,111.067,85.5984,23.9894,25.0185,0.958866,523.124,579.61,0.565232 
49,3.49,1.51,49,23281.2,0,5,101,125,0,5,135,-12.2677,-7.49649,-24.9255,-8.08279,-13.2795,539.298,-48.7829,40082.4,-94.6568,16439.4,-14.3515,-9.58022,-29.093,-10.1665,-15.3632,0.629646,-80.2994,37718.6,-126.173,0.346555,-0.001218,1.00182,-231.707,512.433,555.193,0.660629,52947.7,9.97464e-07,0.53474,111.081,86.8811,24.4715,25.2378,0.969638,544.363,589.815,0.568073 
50,3.99,1.01,50,19867.1,0,5,101,125,0,5,135,-9.65213,-11.5191,-21.6139,-9.14095,-10.6041,610.405,-68.5386,37341,-58.6384,16439.4,-12.0106,-13.8776,-26.3308,-11.4994,-12.9626,0.656619,-104.211,34665.6,-94.3105,0.479387,-0.00172077,1.00148,-217.383,464.861,511.062,0.491975,49256,9.73722e-07,0.500568,110.833,86.2646,24.0901,25.0304,0.962431,527.523,580.162,0.568147 
51,0.49,4.51,51,17997.5,0,5,101,125,0,5,135,-12.6971,-10.8753,-23.066,-12.345,-12.8511,561.513,-34.7886,35570.4,-58.0745,16439.4,-14.8666,-13.0448,-27.4052,-14.5146,-15.0207,0.677024,-67.6034,33109.3,-90.8893,0.382652,-0.00116812,1.00149,-176.671,470.259,512.945,0.567476,47418.9,9.61463e-07,0.510824,110.914,87.1621,23.786,24.6165,0.96626,514.29,561.134,0.558733 
52,0.99,4.01,52,18394.4,0,5,101,125,0,5,135,-6.83721,-14.9951,-22.0588,-10.65,-8.84011,451.427,-53.7875,35427.9,-87.0143,16439.4,-8.58143,-16.7393,-25.5472,-12.3942,-10.5843,0.65405,-80.1688,33449.3,-113.396,0.370734,-0.00137144,1.00184,-216.244,439.275,499.89,0.49299,46596.9,9.55874e-07,0.490236,111.094,86.5104,23.4169,24.7688,0.945416,498.451,568.098,0.556702 
54,1.99,3.01,54,20053.1,0,5,101,125,0,5,135,-7.85378,-6.84782,-27.1758,-13.7542,-18.3758,555.17,-45.9598,37050,-71.1538,16439.4,-9.99885,-8.99288,-31.4659,-15.8993,-20.5209,0.637814,-78.4039,34616.7,-103.598,0.386757,-0.00129592,1.00163,-202.721,478.176,540.414,0.620037,48802.8,9.70726e-07,0.523673,110.71,86.7082,23.7684,25.0434,0.94909,513.53,580.762,0.562581 
55,1.99,3.01,55,18559.6,0,5,101,125,0,5,135,-11.9403,-10.7564,-14.1643,-16.5129,-16.8325,502.459,-60.2601,35520.1,-59.367,16439.4,-13.8817,-12.6978,-18.0471,-18.4543,-18.7739,0.779523,-89.6238,33317.8,-88.7307,0.45703,-0.00153949,1.00145,-196.101,464.693,520.241,0.528245,47012.4,9.58707e-07,0.512861,111.09,86.8345,23.8494,25.0063,0.953734,517.035,579.046,0.57073 
56,1.99,3.01,56,20995.5,0,5,101,125,0,5,135,-11.3221,-8.27916,-22.0888,-10.5313,-12.3186,444.662,-53.4756,37506.6,-55.9697,16439.4,-13.0402,-9.99724,-25.525,-12.2494,-14.0367,0.658978,-79.4616,35557.6,-81.9557,0.446895,-0.00127862,1.00125,-177.808,466.573,533.514,0.536598,49127.9,9.72877e-07,0.512832,111.411,86.6989,23.8572,25.275,0.943907,517.376,591.555,0.568647 
57,1.99,3.01,57,19112,0,5,101,125,0,5,135,-7.02176,-7.34639,-19.0354,-15.7182,-10.808,507.134,-43.8789,35554,-99.0367,16439.4,-8.98123,-9.30586,-22.9543,-17.6777,-12.7674,0.679796,-73.5158,33331.3,-128.674,0.322545,-0.00126194,1.0021,-227.924,423.398,478.191,0.443691,46673,9.56395e-07,0.470477,111.196,86.7094,23.3902,24.6319,0.949589,497.317,561.834,0.552692 
58,1.99,3.01,58,20552,0,5,101,125,0,5,135,-10.6163,-11.0687,-21.371,-10.1863,-7.22554,412.528,-53.9238,36987.5,-68.4885,16439.4,-12.2102,-12.6626,-24.5589,-11.7802,-8.81946,0.649316,-78.0319,35179.4,-92.5966,0.412545,-0.0012691,1.00143,-189.148,444.183,502.005,0.487268,48489.5,9.68645e-07,0.487496,110.749,86.1832,23.5879,24.8413,0.949543,505.761,571.429,0.554995 
