cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
43,90,43,19046.2,0,5,101,125,0,5,135,-10.9403,-3.4791,-12.3923,-8.06489,-7.80621,-95.9119,23.3665,27036.8,-6.04075,16439.4,-10.5697,-3.10852,-11.6511,-7.6943,-7.43562,0.712029,28.9716,27457.2,-0.435665,1.01838,0.000602583,1.00001,28.4488,593.301,656.453,1.79841,35374,8.71987e-07,0.715697,109.807,85.2052,25.5922,26.6711,0.959547,595.361,658.71,0.718171 
44,10,44,19093,0,5,101,125,0,5,135,-8.9647,-4.37667,-9.33278,-7.2387,-6.5357,-87.3887,5.87712,27635.5,-11.739,16439.4,-8.62704,-4.03902,-8.65747,-6.90104,-6.19805,0.748495,10.9841,28018.5,-6.63197,3.63021,0.000223967,1.00013,3.02576,406.773,456.218,0.44318,34916,8.68207e-07,0.49618,109.55,86.7688,22.9445,24.0551,0.953833,478.547,535.829,0.583246 
45,100,45,17454.1,0,5,101,125,0,5,135,-6.62503,-5.07446,-20.7112,-5.58781,-9.97553,-98.2464,4.93308,25612.3,-8.87817,16439.4,-6.24542,-4.69485,-19.9519,-5.2082,-9.59592,0.56338,10.6746,26042.9,-3.13665,1.54467,0.000234165,1.00007,6.91061,558.867,609.6,0.58925,33169.2,8.5348e-07,0.683886,109.76,84.9856,25.8615,26.741,0.967109,607.957,662.169,0.743408 
46,70,46,20304.1,0,5,101,125,0,5,135,-3.40154,-9.01812,-6.10937,-10.4344,-13.3277,-84.0703,-1.96872,28125.6,-21.493,16439.4,-3.07671,-8.69329,-5.45971,-10.1096,-13.0029,0.864665,2.94435,28494.1,-16.5799,-0.173692,5.90433e-05,1.00032,-16.9516,556.81,625.425,0.834607,36936,8.84637e-07,0.667077,109.893,85.4373,25.1575,26.4086,0.952626,575.308,645.807,0.689028 
47,200,47,19230.3,0,5,101,125,0,5,135,-8.78922,-5.48957,-3.46502,-7.1548,-9.60143,-83.2116,9.10675,27055.9,-0.27567,16439.4,-8.46771,-5.16806,-2.82199,-6.83329,-9.27992,0.913359,13.9696,27420.6,4.58721,0.717337,0.000291034,0.999909,19.4743,594.999,655.381,0.939532,35349.5,8.71786e-07,0.7163,109.989,85.1893,25.887,26.9134,0.96186,609.155,670.735,0.733212 
48,80,48,18569.3,0,5,101,125,0,5,135,-6.48775,-0.205303,-10.3705,-9.27055,-7.02074,-125.541,17.6768,26338.6,-18.8246,16439.4,-6.00269,0.279763,-9.40038,-8.78549,-6.53567,0.691229,25.0134,26888.8,-11.488,2.2278,0.000531291,1.00023,11.2278,583.245,641.553,1.70238,34480,8.64578e-07,0.707518,109.883,85.3387,25.3821,26.3741,0.962386,585.626,644.123,0.71038 
49,150,49,19850.3,0,5,101,125,0,5,135,-3.8981,-9.47144,-4.31515,-6.64556,-8.75314,-68.5332,1.67768,27551.3,-17.7383,16439.4,-3.6333,-9.20664,-3.78555,-6.38076,-8.48834,0.879803,5.68276,27851.7,-13.7332,-0.526325,0.000116579,1.00027,-10.7971,581.867,663.753,5.72242e+07,35797,8.75449e-07,0.709879,109.748,85.7029,25.3004,26.773,0.944997,581.864,663.754,0.709877 
50,110,50,19811.1,0,5,101,125,0,5,135,-3.96296,-4.22917,-12.3613,-9.50444,-3.81578,-150.498,2.24517,27508.6,-9.94935,16439.4,-3.38147,-3.64768,-11.1983,-8.92295,-3.23428,0.631448,11.0403,28168.2,-1.15425,1.14346,0.000223916,1.00002,9.65518,564.732,622.659,0.683961,35732.5,8.74923e-07,0.677761,109.753,85.2766,25.6398,26.6673,0.961467,597.576,658.523,0.716989 
51,180,51,19521.1,0,5,101,125,0,5,135,-2.9428,-6.68501,-11.7716,-8.22273,-10.3512,-113.998,15.2573,27338.1,-6.08628,16439.4,-2.50234,-6.24455,-10.8906,-7.78226,-9.91072,0.708264,21.9194,27837.7,0.575763,0.969442,0.00044974,0.999989,22.6103,586.772,634.269,0.801942,35533.5,8.73295e-07,0.698571,109.865,84.9471,25.8793,26.6491,0.971111,608.793,657.625,0.724541 
52,190,52,18615.2,0,5,101,125,0,5,135,-2.01851,-4.99685,-10.4785,-6.2632,-7.41485,-174.362,21.148,26608.2,-31.6414,16439.4,-1.34481,-4.32315,-9.13114,-5.5895,-6.74115,0.663427,31.3377,27372.4,-21.4517,5.60031,0.000653781,1.00043,5.59572,577.526,643.66,0.799486,34380,8.63741e-07,0.70588,109.727,85.2775,25.6795,26.8519,0.956338,599.431,667.672,0.732433 
