cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
32,1.99,3.01,32,14105.7,0,5,101,125,0,5,135,-2.89883,-5.48531,-17.5861,-9.24161,-13.5505,330.548,-21.8347,28161.7,-66.3618,16439.4,-4.176,-6.76248,-20.1404,-10.5188,-14.8277,0.643061,-41.1519,26712.9,-85.6791,0.285843,-0.000881077,1.00174,-143.967,537.491,552.389,0.633394,38383.1,8.96043e-07,0.608106,111.542,86.92,25.1533,25.2691,0.995418,575.115,591.276,0.650794 
33,2.49,2.51,33,15891.7,0,5,101,125,0,5,135,-7.13917,-9.27084,-22.9714,-8.62834,-5.37486,306.434,-24.1119,29273.1,-37.649,16439.4,-8.32317,-10.4548,-25.3394,-9.81234,-6.55886,0.581088,-42.0199,27930,-55.557,0.386609,-0.000860439,1.00108,-108.688,511.018,528.139,0.494755,39326.2,9.03322e-07,0.575109,110.954,86.6707,25.2308,25.4386,0.991831,578.666,599.239,0.651886 
34,4.99,0.01,34,12666.8,0,5,101,125,0,5,135,-5.08063,-9.72181,-13.6107,-12.8126,-13.155,378.505,-51.6164,26536.7,-63.1676,16439.4,-6.5431,-11.1843,-16.5356,-14.2751,-14.6175,0.738176,-73.7362,24877.7,-85.2874,0.418763,-0.00169656,1.00186,-176.081,508.728,528.437,0.493776,36419.9,8.80497e-07,0.588859,111.251,86.4767,25.1863,25.4415,0.989971,576.627,599.373,0.66768 
35,1.49,3.51,35,14858.6,0,5,101,125,0,5,135,-6.66813,-8.65881,-22.6627,-12.0876,-11.6317,328.691,-34.971,28764.2,-67.0083,16439.4,-7.93813,-9.92881,-25.2027,-13.3576,-12.9017,0.636476,-54.1797,27323.5,-86.2171,0.343692,-0.00113437,1.00172,-157.64,514.357,536.655,0.532405,38975,9.00624e-07,0.58336,111.273,87.2656,25.0569,25.3763,0.987413,570.715,596.305,0.647739 
36,2.99,2.01,36,15908.4,0,5,101,125,0,5,135,-4.71494,-2.555,-19.7172,-13.3211,-16.4335,333.153,-26.2086,29472.2,-53.4465,16439.4,-6.00218,-3.84224,-22.2917,-14.6084,-17.7208,0.654206,-45.6781,28011.9,-72.9159,0.342987,-0.000932677,1.00142,-133.177,520.553,549.257,0.528388,40071.1,9.0899e-07,0.588249,110.969,86.7861,25.2429,25.7011,0.982172,579.22,611.668,0.654818 
37,4.49,0.51,37,12388.7,0,5,101,125,0,5,135,-6.67268,-8.29997,-11.9014,-9.09592,-10.3668,401.949,-30.0318,26395.5,-57.0391,16439.4,-8.22573,-9.85302,-15.0075,-10.649,-11.9199,0.730348,-53.5217,24633.8,-80.529,0.356439,-0.00124308,1.00178,-150.157,519.02,526.493,0.513139,36218.8,8.78874e-07,0.594787,111.679,86.6302,25.3106,25.2621,1.00192,582.329,590.953,0.667473 
38,3.49,1.51,38,14896.2,0,5,101,125,0,5,135,-6.5597,-4.38798,-12.9529,-10.4957,-9.57151,364.704,-26.3513,28085.8,-54.0096,16439.4,-7.96885,-5.79713,-15.7712,-11.9049,-10.9807,0.699154,-47.6645,26487.3,-75.3229,0.345265,-0.00102936,1.00155,-138.052,532.822,546.181,0.580804,38262.7,8.95104e-07,0.602679,111.017,87.1082,25.2489,25.343,0.996285,579.495,594.743,0.655867 
39,3.99,1.01,39,15924.3,0,5,101,125,0,5,135,-6.73909,-5.95558,-18.0278,-5.29971,-6.74794,321.461,-21.8904,28692.9,-64.8854,16439.4,-7.98116,-7.19765,-20.5119,-6.54177,-7.99,0.591579,-40.6766,27283.9,-83.6716,0.288318,-0.000852648,1.00167,-141.083,505.66,508.728,0.469029,38428.2,8.96393e-07,0.565814,111.396,86.802,25.328,25.1844,1.0057,583.133,587.321,0.652865 
40,0.49,4.51,40,14198.8,0,5,101,125,0,5,135,-6.85791,-5.6396,-9.7823,-10.0828,-11.6636,338.1,-40.6647,27957.8,-54.2688,16439.4,-8.16426,-6.94595,-12.395,-11.3891,-12.97,0.761011,-60.4232,26475.9,-74.0273,0.404829,-0.00130582,1.00152,-149.256,481.48,488.548,0.424788,38360.4,8.95865e-07,0.541377,110.966,87.1312,25.1228,25.1233,0.99998,573.724,584.477,0.646387 
41,0.99,4.01,41,14158,0,5,101,125,0,5,135,-7.30352,-7.38909,-10.6836,-10.4794,-7.15301,372.492,-35.0774,27733.6,-62.5905,16439.4,-8.74275,-8.82832,-13.5621,-11.9186,-8.59225,0.737393,-56.8459,26101,-84.3589,0.35961,-0.00124608,1.00176,-158.077,460.75,474.821,0.41799,37352.1,8.87946e-07,0.526758,111.049,87.298,24.6689,24.8403,0.993099,553.178,571.382,0.633153 
42,0.01,4.99,42,13733,0,5,101,125,0,5,135,-8.5066,-5.6715,-27.4194,-9.27882,-9.75593,380.671,-20.8876,27823.2,-58.5904,16439.4,-9.97744,-7.14234,-30.3611,-10.7497,-11.2268,0.562881,-43.1341,26154.7,-80.8369,0.307796,-0.000943282,1.00168,-140.138,507.364,520.958,0.582622,38051.3,8.93453e-07,0.575426,110.894,86.862,24.6343,24.7446,0.995542,551.628,566.988,0.625948 
43,1.99,3.01,43,15567.7,0,5,101,125,0,5,135,-4.22578,-3.77064,-16.6676,-11.1481,-6.91372,383.788,-39.6221,29388.8,-47.8314,16439.4,-5.70866,-5.25353,-19.6333,-12.631,-8.3966,0.619679,-62.0507,27706.7,-70.26,0.423952,-0.00128139,1.00138,-146.363,543.9,551.162,0.631037,40043.7,9.08783e-07,0.602475,111.133,87.2182,25.3099,25.2469,1.00249,582.298,590.239,0.645099 
44,2.49,2.51,44,12573.7,0,5,101,125,0,5,135,-8.38955,-8.79308,-21.1468,-9.2075,-7.0153,357.68,-23.0138,26642.6,-64.3684,16439.4,-9.77155,-10.1751,-23.9108,-10.5895,-8.39731,0.619523,-43.9166,25074.8,-85.2712,0.300301,-0.00100181,1.00185,-146.242,512.807,539.012,0.615009,36705.1,8.8279e-07,0.595551,111.396,86.5792,24.6309,25.0267,0.984186,551.475,579.988,0.640641 
45,4.99,0.01,45,14104.7,0,5,101,125,0,5,135,-5.85761,-2.56316,-13.6483,-8.25586,-10.2475,371.775,-33.0995,28513,-59.603,16439.4,-7.29407,-3.99963,-16.5213,-9.69233,-11.684,0.664142,-54.826,26883.5,-81.3296,0.3597,-0.00116673,1.00164,-152.422,530.908,561.564,0.586167,39432,9.04131e-07,0.603918,111.142,87.3777,25.1792,25.6723,0.980791,576.299,610.298,0.655939 
46,1.49,3.51,46,14691.7,0,5,101,125,0,5,135,-6.40933,-7.41409,-18.4335,-8.80953,-11.0157,324.327,-9.32637,28117.1,-50.3359,16439.4,-7.66246,-8.66722,-20.9398,-10.0627,-12.2688,0.648667,-28.28,26695.6,-69.2895,0.253798,-0.000605711,1.00141,-111.427,483.784,499.355,0.449935,37939.7,8.92579e-07,0.550661,111.124,86.7438,24.9364,25.1318,0.992225,565.241,584.871,0.644169 
47,2.99,2.01,47,16613.7,0,5,101,125,0,5,135,-2.99779,-8.00377,-22.359,-6.40908,-9.18591,379.246,-20.6528,30493.2,-51.2377,16439.4,-4.46312,-9.46911,-25.2897,-7.87441,-10.6512,0.562065,-42.8159,28831,-73.4009,0.327096,-0.00084933,1.00138,-130.897,537.391,544.315,0.608508,41417.2,9.19056e-07,0.588475,110.742,87.176,25.2284,25.1804,1.00191,578.557,587.133,0.634161 
48,4.49,0.51,48,12398.8,0,5,101,125,0,5,135,-14.3973,-10.7588,-22.8182,-4.51437,-11.8758,311.961,-19.0999,26204.2,-60.0264,16439.4,-15.6027,-11.9642,-25.2289,-5.71973,-13.0811,0.647625,-37.3308,24836.9,-78.2574,0.284448,-0.000859618,1.00171,-131.24,535.812,541.219,0.622866,35845,8.7584e-07,0.614848,110.94,86.8976,25.1398,25.0527,1.00348,574.5,581.194,0.659752 
49,3.49,1.51,49,14991.1,0,5,101,125,0,5,135,-9.07282,-5.2903,-24.3705,-12.9509,-13.9009,427.65,-24.4158,29517.1,-89.5966,16439.4,-10.7252,-6.94265,-27.6752,-14.6032,-15.5532,0.633439,-49.4077,27642.7,-114.588,0.264334,-0.0010224,1.00226,-186.914,527.492,549.79,0.564806,40011,9.08535e-07,0.592741,111.025,86.9968,25.2099,25.5062,0.988386,577.708,602.424,0.649328 
