cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
34,2,34,10295.9,-0.304705,25.1365,11.2761,92.954,0.19411,-666.771,500,3.85302,4.0605,-1.75874,-0.935347,5.15878,-446.263,1357.83,41.8699,11582.6,13440.2,6.66302,6.87049,3.86125,1.87465,7.96878,0.858241,1983.76,88.2349,12208.5,0.165386,0.927784,0.0131386,11994.7 
35,4,35,3355.17,-1.50219,22.0125,11.0497,93.9497,-3.08006,3063.21,228.266,2.7929,4.7667,13.2256,-1.27847,2.92265,-1106.31,8393.12,-28.8442,1453.08,315054,9.75905,11.7328,27.1579,5.68768,9.88879,0.577153,9944.83,86.0971,3004.79,0.801436,0.985076,0.0501361,12408.8 
36,1.4,36,10502.8,-0.390258,24.1353,11.286,92.9472,0.228998,75.5597,405.677,1.3273,-5.83605,11.1521,0.682547,4.39017,-351.174,128.053,53.1439,12299.6,9430.53,3.53855,-3.6248,15.5746,2.8938,6.60141,0.376607,620.608,89.6295,12792.1,0.0558596,0.798251,0.0127425,11110.2 
37,1.6,37,11136.9,-0.429876,25.6851,11.3162,92.7592,0.307861,-147.103,141.645,0.608426,-5.29866,-0.0338157,-0.774806,-1.37138,-351.706,418.624,66.9325,12623.3,10936.2,2.82303,-3.08406,4.39539,1.43979,0.843224,0.31508,911.926,103.473,13116.6,0.0781592,0.83433,0.0143237,11667.5 
38,2.4,38,7119.04,-0.737701,22.0768,10.7938,93.1793,-0.875817,1908.6,0.125103,3.14584,3.32309,2.66025,0.344653,1.37026,-586.023,2416.96,-13.7227,8087.66,62173,6.83587,7.01312,10.0403,4.03468,5.06029,0.695603,3238.91,47.1628,8909.62,0.307157,0.975151,0.00965696,10544.8 
39,6,39,2859.9,-0.350015,19.5595,10.4536,94.0289,0.341822,-58.6992,500,4.06673,-0.295745,9.01351,3.88962,0.640173,-970.367,8182.62,-13.5374,1080.88,7309.23,10.1769,5.8144,21.2338,9.99976,6.75032,0.606601,9543.65,87.2799,2441.92,0.826575,0.984248,0.061774,11546 
40,8,40,8122.19,-0.156182,24.3481,10.8372,93.1683,-1.03172,2199.24,2.79718e-08,-1.86074,0.2063,1.41562,-1.90557,-2.00896,-654.108,3715.17,31.8628,8537.66,82453,2.25801,4.32504,9.65311,2.21318,2.10978,0.530471,4632.62,99.8221,9455.11,0.374026,0.963662,0.019077,12385.8 
41,2.8,41,6067.8,-0.13052,21.1495,10.425,93.3596,0.0195055,668.602,500,4.41208,4.74428,6.93034,4.56038,2.77514,-751.895,3994.01,-10.6599,6209.97,7602.03,9.14656,9.47876,16.3993,9.29486,7.50962,0.683589,5048.62,67.459,7264.58,0.458733,0.977151,0.0168181,11005.6 
42,7,42,5468.63,-0.280484,21.1001,10.5069,93.7443,-0.0828686,925.785,2.24599e-05,1.87807,3.7947,11.5191,2.04288,5.54994,-775.806,5886.19,12.0145,4178.04,9714.38,6.76312,8.67974,21.2892,6.92793,10.435,0.606448,6974.33,92.6177,5266.18,0.617602,0.977288,0.0313809,11292.6 
43,3.5,43,4430.89,-0.423109,19.6285,10.6658,93.6458,3.88184,-4044.73,3.10167,-0.344366,3.2667,3.68757,-2.41906,6.13689,-853.909,6316.35,16.7829,2954.66,517935,5.03247,8.64354,14.4412,2.95778,11.5137,0.660914,7514.04,105.501,4152.35,0.688164,0.976018,0.0447107,10919 
44,2.6,44,6733.07,-0.352259,21.5066,10.6101,93.276,-0.375973,-1149.56,1.08685e-09,-0.179835,1.45085,8.51083,-1.85598,-1.12841,-608.839,3137.66,43.5172,7297.23,21497.9,3.65386,5.28455,16.1782,1.97772,2.70529,0.4571,3991.62,106.773,8151.19,0.373901,0.955282,0.0235614,10675.6 
45,2.2,45,10203.9,-0.617812,25.8757,11.2733,93.1332,-0.486263,1322.53,79.3656,5.90695,3.27028,5.03835,-4.3402,-7.34028,-517.882,2026.39,62.9616,11084.2,30430.9,9.16792,6.53125,11.5603,-1.07923,-4.07931,0.476932,2752.77,116.768,11810.6,0.22133,0.930898,0.0178866,12437.4 
46,1.8,46,9781.85,0.000134758,23.1649,10.8705,92.9402,-0.00857825,-1.09913,6.56909e-14,-1.16394,-2.77495,1.29007,-0.928507,4.00019,-326.475,629.816,47.1832,11254.8,8197.68,0.891782,-0.719224,5.40152,1.12722,6.05592,0.576591,1087.73,81.1027,11712.8,0.101731,0.884578,0.0125946,10692.2 
47,9,47,9928.23,-0.0114025,24.4905,10.8986,93.1773,-0.123019,73.8616,500,-2.3057,-3.49765,3.90236,1.52026,1.42717,-452.568,1222.92,44.6742,11294.3,8984.64,0.543997,-0.64795,9.60176,4.36996,4.27687,0.470821,1857.69,91.6942,11929.1,0.159602,0.920489,0.0139619,11639.5 
48,2.1,48,10473.8,-0.00386347,25.8786,10.9399,93.1149,0.00463916,-1.87788,1.44929e-10,3.23393,-1.9621,-9.01285,1.70179,-1.75248,-443.978,1699.21,37.6549,11560.2,9216.4,6.02954,0.833507,-3.42163,4.4974,1.04313,1.38095,2321.93,83.7825,12183,0.188592,0.940605,0.0125097,12312 
49,3,49,6510.06,-1.09164,23.7599,11.1618,93.663,0.548728,1187.33,193.125,5.991,0.765276,10.0633,2.60182,-0.332907,-722.386,5265.43,11.5604,6113.81,29842.4,10.5397,5.31395,19.1606,7.15049,4.21577,0.586882,6278.65,86.6135,7127.02,0.51792,0.976428,0.0218966,12122.8 
50,10,50,12556.1,-0.0902946,27.3823,11.3559,92.5846,0.106236,-329.523,0.117595,-4.82232,-1.43049,-1.7219,-2.47147,-1.42802,-279.204,139.995,49.1677,14209.5,11262.1,-3.06425,0.327582,1.79424,-0.713397,0.330053,2.35336,531.606,78.1759,14601.2,0.042513,0.795325,0.00976647,12504.6 
51,5,51,2306.67,-0.336019,18.092,10.2715,94.1002,1.37039,-1146.49,499.807,-0.135632,7.08117,11.094,-1.65932,2.39976,-1008,8196.69,16.4011,217.334,57195.1,6.21147,13.4283,23.7882,4.68778,8.74686,0.581655,9610.51,121.128,1631.15,0.877828,0.978419,0.120333,10948.1 
52,0,52,11204,-0.0568703,24.9244,11.0493,92.947,-0.14513,327.074,3.39613e-05,-1.60181,-2.39453,0.0879733,-1.86449,1.96664,-260.613,133.079,92.0478,12803.9,10510.3,0.0392059,-0.75352,3.37,-0.223481,3.60766,0.44204,498.615,119.124,13169.4,0.0441349,0.705172,0.0163898,11297.5 
53,2,53,10276,-0.0666362,24.3468,10.9697,93.0074,0.0326504,111.715,3.93863e-06,2.55659,-0.888057,10.9255,1.36703,5.25897,-419.316,1113.33,54.83,11284.6,8812.93,5.19692,1.75226,16.2061,4.00735,7.89929,0.537786,1701.46,98.3953,11872.7,0.148767,0.908098,0.0150369,11437.1 
54,4,54,3809.1,-1.40126,21.8291,11.0699,94.0417,-2.25232,3572.29,58.5132,0.942199,4.49447,8.07306,6.07106,3.4437,-978.921,8371.97,15.824,1412.43,269788,7.1062,10.6585,20.4011,12.2351,9.6077,0.66003,9745,117.53,2785.46,0.81012,0.97933,0.0721204,12029.1 
55,1.4,55,10869.4,-0.0103255,24.9049,11.0126,92.7895,-0.0128313,16.6956,0.132579,-3.01713,-3.11286,-0.451282,1.92387,8.05702,-336.437,252.997,67.3277,12602.4,8935.3,-0.89868,-0.99441,3.78562,4.04232,10.1755,0.765019,724.883,102.282,13074.3,0.0633318,0.801971,0.0142063,11445.8 
56,1.6,56,11867.1,-0.184173,26.758,11.3065,92.8195,-0.122202,-487.528,500,-1.02344,1.13987,4.86565,-6.35873,-2.51727,-335.491,499.234,118.216,13314,11788.1,1.08905,3.25236,9.09064,-4.24623,-0.404775,-0.0352567,969.793,153.072,13784.6,0.0790176,0.783564,0.0200458,12273.1 
57,2.4,57,8379.99,-0.732825,23.9877,11.0527,93.1875,0.458074,-255.922,0.0292165,-1.7602,4.64446,-4.23683,-2.79483,0.814285,-550.727,2651.83,19.9155,8997.25,12447.1,1.70758,8.11224,2.69874,0.672954,4.28207,0.845553,3424.28,77.1339,9769.7,0.299445,0.962075,0.0143353,11435.4 
58,6,58,3558.99,-1.34937,20.8779,11.0321,94.0767,1.84444,-636.954,25.9766,2.14189,3.68355,9.0281,5.56292,4.30487,-895.078,8011.59,36.0049,1387.66,45742.3,7.77796,9.31962,20.3002,11.199,9.94094,0.653211,9267.02,129,2643.1,0.810454,0.976219,0.0824901,11434.4 
59,8,59,-1685.81,0.000129187,1.09674e-14,125.569,59.3771,0.000348372,5.71159,166.836,-2.98005,-4.3505,6.8715,0.601986,0.210727,-104.165,-4.50611,-8.18,52.5621,0.0647732,-2.32415,-3.6946,8.1833,1.25788,0.866626,-0.90795,141.595,2.64232,198.663,0.46501,0.968376,0.023915,304.499 
60,2.8,60,7106.34,-0.0304766,22.8546,10.6503,93.6239,-0.0370439,47.4379,500,2.44654,-1.27186,5.45648,3.38285,-0.420183,-710.839,4580.01,86.033,6925.59,7980.91,6.9225,3.20411,14.4084,7.85882,4.05578,0.604703,5577.03,159.886,7922.62,0.46192,0.952227,0.0358431,12073.6 
61,7,61,5417.54,-0.0485123,21.8511,10.4533,93.7813,-0.00547756,-37.3921,1.21829e-06,-1.51401,0.522474,5.28171,3.41834,-1.179,-906.988,6232.5,16.7672,4433.01,7442.36,4.19705,6.23353,16.7038,9.1294,4.53206,0.590551,7504.64,111,5705.15,0.616,0.974769,0.0346,12182.9 
62,3.5,62,3993.73,-0.602679,20.232,10.5556,93.79,-0.783593,818.329,500,4.15079,-3.58215,12.9926,2.71716,1.87989,-877.222,6444.57,11.7953,2961.98,27826.5,9.67443,1.94148,24.0399,8.24079,7.40353,0.531388,7674.96,102.935,4192.37,0.690648,0.977068,0.0432721,11112.7 
63,2.6,63,7311.31,-0.259908,22.8206,10.7826,93.5191,-0.236884,611.34,6.94161e-08,4.17547,1.52539,-1.93709,3.01717,2.86077,-657.665,3501.07,15.2513,7788.65,12724.5,8.31661,5.66653,6.34519,7.15831,7.00191,0.81602,4423.51,83.5801,8711.09,0.382438,0.967993,0.0173675,11566.6 
64,2.2,64,8729.16,-0.0464621,23.4297,10.8777,93.0552,0.00305407,-10.731,5.15152e-06,-4.68694,4.15076,-1.21622,1.11252,-0.386477,-531.35,2117.78,48.2851,9811.45,8297.64,-1.34117,7.49653,5.47531,4.45829,2.95929,0.712555,2863.05,103.49,10556.7,0.248538,0.940506,0.0177383,11519.6 
