cyc,freq(MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
52,43.88,52,9259.7,-0.123479,13.7528,15.8891,120.915,-0.0189342,172.956,9.03669e-09,-1.27464,-2.81882,-1.67556,-2.72535,-2.1094,-54.3319,4228.24,57.1745,5339.68,7220.14,-0.932523,-2.47671,-0.991334,-2.38323,-1.76729,0.884069,4296.94,59.8687,5408.38,0.569737,0.976198,0.0199839,7541.97 
53,43.955,53,9281.78,-0.200426,16.6243,13.495,118.768,-0.0758505,-35.137,372.589,-1.93659,-1.34772,-6.42984,-2.16203,1.87489,-22.994,3880.49,50.601,5929.98,7389.94,-1.7918,-1.20293,-6.14027,-2.01725,2.01968,0.327652,3909.56,51.7412,5959.05,0.52232,0.977364,0.0157428,7484.99 
54,44.23,54,6409.28,-0.0352692,11.1359,13.8769,119.739,-0.00714891,-94.797,500,-2.07312,-2.01517,-2.4478,-1.31141,0.538654,-66.4784,3221.62,48.2974,3717.1,5052.56,-1.65453,-1.59658,-1.61061,-0.892808,0.957251,0.664266,3305.68,51.5939,3801.16,0.591739,0.973413,0.0243933,5586.37 
55,44.06,55,10798,-0.0231716,18.2223,13.8131,118.92,-0.0072782,17.3856,500,-1.28441,-2.85658,-5.68215,-2.42287,-1.56654,-48.5301,4496.6,51.0059,6757.45,8197.95,-0.978831,-2.551,-5.07099,-2.11729,-1.26096,0.576679,4557.96,53.4124,6818.81,0.526978,0.979905,0.0142241,8649.25 
56,43.9,56,9095.52,-0.15363,13.5906,16.3973,120.725,0.527102,-151.375,1.2012e-11,-0.832651,-4.10907,-2.51594,-1.26954,0.149886,-76.549,3847.37,60.7536,5741.65,9851.9,-0.350642,-3.62706,-1.55192,-0.787528,0.631895,0.727027,3944.17,64.5494,5838.45,0.529615,0.972157,0.0199597,7447.23 
57,43.925,57,8858.02,-0.203286,13.6985,15.7289,121.181,-0.387106,820.686,493.211,-0.621918,-2.87682,-3.86728,-4.30856,-2.39077,-18.8815,4159.45,66.3186,5133.95,17356,-0.503026,-2.75793,-3.62949,-4.18967,-2.27188,0.728169,4183.33,67.2549,5157.82,0.574789,0.972635,0.0234565,7278.02 
58,44.31,58,8358.96,-0.144242,14.4009,13.744,118.203,0.265119,200.853,473.45,1.20835,-2.0592,-2.89001,-0.07809,-1.14375,-83.6077,2971,42.6954,5804.25,8176.62,1.73481,-1.53274,-1.8371,0.448366,-0.617291,-0.0183706,3076.72,46.8412,5909.97,0.464572,0.974049,0.0143901,6622.7 
59,43.82,59,9476.31,-0.174687,15.6745,14.396,120.23,0.192652,55.1425,499.911,-6.2777,-6.73058,-3.39159,-3.57685,-2.6378,-94.4435,3944.22,53.8673,5944.78,7691.47,-5.68302,-6.13589,-2.20222,-2.98217,-2.04312,0.884376,4063.64,58.5504,6064.2,0.527598,0.975406,0.0174749,7702.17 
60,43.935,60,8704.39,-0.211978,13.3524,15.9605,119.032,0.0683361,332.984,498.404,-3.20823,-6.63989,-5.03563,0.186002,0.150478,-59.0358,3887.4,46.9704,5384.29,7678.22,-2.8365,-6.26816,-4.29216,0.557735,0.522211,0.651522,3962.05,49.8978,5458.94,0.54744,0.978436,0.0165591,7237.41 
61,44.13,61,7801.33,-0.188815,12.6341,15.2454,119.979,0.0833482,220.22,1.96185e-09,-4.86309,-3.90157,-2.82552,2.07219,-0.432292,-81.7651,3469.81,50.7866,4851.51,6867.66,-4.34824,-3.38672,-1.79581,2.58705,0.0825608,0.738264,3573.2,54.8411,4954.9,0.545849,0.973844,0.0199811,6546.14 
