cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
37,-3.97,43.2527,37,10281.2,-0.0544746,30.6384,8.71574,123.949,0.03983,52.2088,500,-1.22886,-3.08053,-7.08246,-4.82318,-5.18514,-657.801,6844.35,30.2031,5996.77,8760.6,2.91314,1.06147,1.20154,-0.681181,-1.04314,0.651913,7368.31,77.8361,6520.73,0.579483,0.981849,0.0215156,12715.3 
38,-3.983,43.2397,38,9502.61,-0.00737446,28.7183,8.62022,123.66,-0.0076687,-17.3348,500,-4.26594,-2.34833,-8.71493,-3.02801,-3.59413,-612.969,6134.07,27.6577,5794.92,8063.16,-0.406236,1.51137,-0.99553,0.83169,0.265572,1.82489,6622.32,72.0442,6283.17,0.562428,0.981317,0.0206851,11774.5 
39,-3.974,43.2487,39,10223.8,-0.430209,30.022,9.02216,123.873,-0.350012,918.767,462.877,-2.2375,-4.56901,-6.3866,-5.73522,-4.76438,-642.93,6769.37,48.7005,5920.68,19286,1.81086,-0.520659,1.71012,-1.68686,-0.716022,-1.86246,7281.49,95.2566,6432.8,0.579903,0.977619,0.0265535,12556.4 
40,-4.022,43.2007,40,10953.3,-0.105287,30.8974,8.88751,123.602,-0.115511,-320.637,6.97209e-07,-2.08372,-2.93094,-11.6273,-2.12051,-3.33624,-592.551,6789.74,41.1285,6326.52,10144.8,1.64742,0.800193,-4.16499,1.61062,0.394896,15.4545,7261.73,84.0366,6798.51,0.565709,0.98015,0.0222634,12836.5 
41,-4,43.2227,41,9155.65,-0.123424,28.0101,8.74668,123.586,0.326496,-53.694,325.931,-3.6302,-1.40962,-8.22134,-8.59738,-6.72018,-670.078,5831.35,49.433,5686.93,8546.1,0.589102,2.80968,0.217263,-4.37808,-2.50088,1.06659,6365.09,97.9549,6220.67,0.555125,0.973775,0.0281894,11466 
42,-4.002,43.2207,42,10146.5,-0.364685,29.99,8.79729,123.733,1.47497,894.201,127.675,-6.67415,-2.38378,-11.8874,-5.84283,-2.95705,-598.191,6564.58,28.7982,5906.03,51523.6,-2.9075,1.38287,-4.35408,-2.07618,0.809601,0.390636,7041.06,72.1146,6382.51,0.573623,0.982392,0.0203892,12274.7 
43,-3.962,43.2607,43,10691.9,-0.395283,31.1681,8.892,123.802,0.102789,94.1737,154.605,1.62324,-3.87209,-5.17549,-4.3803,-4.06815,-573.084,6922.35,51.8773,6042.93,9337.18,5.2318,-0.263531,2.04163,-0.77174,-0.459594,0.646689,7378.84,93.3757,6499.41,0.580629,0.978334,0.0257828,12708.4 
44,-3.98,43.2427,44,10498.7,-0.0451134,30.0017,8.88855,123.761,0.0094671,-27.1716,473.676,-6.58381,-3.36985,-9.32674,-5.77588,-4.14114,-610.422,6638.39,37.2124,6243.97,8689.4,-2.74014,0.473822,-1.63941,-1.93222,-0.297473,0.732796,7124.61,81.4146,6730.2,0.563506,0.980394,0.021798,12643.4 
45,-3.972,43.2507,45,10567.5,-0.14443,31.5399,8.47577,123.664,0.0707745,-542.216,481.733,-1.11471,-3.70121,-13.9528,-7.1785,-5.05582,-608.535,7009.35,38.8373,6096.84,9951.56,2.71708,0.130577,-6.28922,-3.34671,-1.22403,0.215055,7494.07,82.9029,6581.56,0.581343,0.981008,0.0226774,12891 
46,-4.016,43.2067,46,11435.6,0.0139323,32.3863,8.79384,123.937,0.0181392,-22.4293,5.10495e-12,-2.75498,-3.80528,-8.72998,-6.17754,-3.43378,-538.434,7268.28,38.828,6351.39,9284.43,0.635394,-0.414907,-1.94923,-2.78716,-0.0434001,0.572472,7697.17,77.8174,6780.28,0.580612,0.982615,0.0207041,13257 
47,-4.01,43.2127,47,10999.1,-0.0221861,32.5798,8.64665,124.068,-0.00670429,0.866807,500,-3.31501,-4.63656,-11.085,-6.05178,-1.88034,-585.245,7324.98,27.6035,6148.07,9170.66,0.370123,-0.951431,-3.71478,-2.36665,1.80479,0.235319,7791.14,69.9825,6614.24,0.589576,0.984524,0.0191179,13214.8 
48,-4.025,43.1977,48,10479.1,-0.403277,31.1547,8.77412,123.698,0.142183,-336.319,46.6191,-4.24837,-1.85401,-5.31859,-4.65963,-7.06013,-537.852,6848.3,42.5887,6007.69,10455.3,-0.861656,1.5327,1.45483,-1.27292,-3.67342,1.51581,7276.71,81.5359,6436.11,0.579618,0.980768,0.0228045,12554.3 
49,-3.989,43.2337,49,9731.83,-0.0222417,28.0514,8.9625,123.962,-0.00792053,-9.30007,500,-0.813822,-3.78034,-5.69233,-4.97864,-4.67772,-623.507,6097.52,46.3323,6030.53,8186.64,3.11224,0.145724,2.15979,-1.05258,-0.751664,0.402301,6594.17,91.482,6527.17,0.551977,0.976297,0.0251683,11946.4 
50,-3.984,43.2387,50,10407.6,-0.110936,30.2387,8.88852,123.643,0.181625,78.6123,0.00187803,-3.74983,-3.25705,-11.3663,-5.5671,-3.07762,-555.649,6851.14,32.2184,5912.12,9214.38,-0.25105,0.241722,-4.36871,-2.06833,0.421152,0.274929,7293.74,72.4543,6354.72,0.583284,0.982913,0.020571,12504.6 
51,-4.004,43.2187,51,10158.3,-0.0362811,30.1896,8.67906,123.693,0.0131381,-62.2524,500,-4.21719,-3.04928,-11.19,-4.72062,-4.01736,-619.41,6473.37,28.6452,6030,8556.15,-0.31693,0.85098,-3.38952,-0.82036,-0.1171,0.106358,6966.75,73.4982,6523.38,0.56567,0.981872,0.0203328,12315.9 
52,-3.965,43.2577,52,10244.3,-0.0427612,30.4635,8.74354,123.833,0.0246581,14.4935,50.9542,-7.2762,-4.97859,-8.69321,-4.91178,-6.2273,-565.019,6529.34,32.928,6222.48,8682.49,-3.71842,-1.42082,-1.57766,-1.35401,-2.66953,0.85311,6979.4,73.8424,6672.53,0.560555,0.981821,0.0199786,12450.9 
53,-3.968,43.2547,53,11085.6,-0.0315692,31.8782,8.87034,123.594,0.0115311,7.93323,500,-1.84423,0.505835,-9.69693,-3.2083,-4.42878,-589.646,7160.94,37.8631,6342.64,9208.08,1.86862,4.21868,-2.27124,0.504541,-0.715935,1.63008,7630.62,80.5608,6812.32,0.577346,0.981859,0.0213199,13216.7 
54,-4.013,43.2097,54,10531.5,-0.358484,30.2053,8.92288,123.758,0.525964,667.953,411.06,-3.33567,-4.14629,-14.4322,-8.0201,-4.76537,-510.806,6405.69,54.3498,6206.61,20210.3,-0.119263,-0.929879,-7.99941,-4.80369,-1.54896,0.480598,6812.56,91.3385,6613.48,0.556781,0.977075,0.02481,12235.6 
55,-3.971,43.2517,55,10355.5,-0.450059,31.3218,8.81096,123.673,0.444356,-106.101,19.5001,-2.47862,-2.04963,-9.6167,-8.4709,-8.32897,-645.724,6777.32,33.8773,6083.74,10518.7,1.58733,2.01632,-1.4848,-4.40495,-4.26302,0.773282,7291.66,80.6357,6598.08,0.574052,0.981015,0.0220169,12702.1 
56,-3.959,43.2637,56,10842.6,-0.128656,32.0022,8.74936,124.144,0.0353399,36.9535,499.998,-3.48474,-4.94878,-13.1619,-1.30523,-4.51146,-582.847,6760.65,37.0237,6517.14,9157.41,0.185296,-1.27874,-5.82186,2.3648,-0.841425,-0.0797362,7224.91,79.2291,6981.4,0.557923,0.981171,0.0204772,12949.7 
57,-4.008,43.2147,57,10148.7,-0.407445,30.2969,8.80123,123.85,-0.0808003,1477.88,85.6589,-2.02466,-1.09629,-8.16075,-5.63507,-6.12281,-569.36,6553.53,34.3845,5936.7,12567.6,1.56045,2.48882,-0.99053,-2.04996,-2.5377,0.352142,7007.05,75.6133,6390.21,0.572143,0.981466,0.0213321,12247 
58,-3.976,43.2467,58,10053.4,-0.447771,30.5527,8.82158,123.914,0.142432,186.894,108.843,-4.3893,-2.36,-7.37061,-4.29476,-1.9207,-561.194,6481.12,33.8352,6041.44,9640.41,-0.855611,1.17369,-0.303229,-0.761071,1.61299,1.34984,6928.13,74.4726,6488.45,0.565624,0.981536,0.0207054,12248.7 
