cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,75,46.2227,0,46.05,0.2,-0.19,-0.01,31,3574.06,0.222397,5.64822,9.27966,97.3312,-0.633026,183.634,328.431,1.7676,2.26606,1.29908,-1.98599,-6.08493,-127.008,3.91565,24.0419,2635.78,5490.4,2.56734,3.0658,2.89855,-1.18625,-5.28519,-0.406896,182.057,37.2375,2813.92,0.0723135,0.736409,0.0237971,2517.61,0.00122962,0.0715511,-0.277265,-2.24408,93.679,67.0408,0.36659,9.01814,8.79894,97.1771,121.371,-3.49804,-54.3305 
32,75,47.3227,2.1,46.05,0.2,-0.19,-0.01,32,3488.29,0.0300605,5.32047,10.6214,96.0172,-0.054885,-6.80318,500,2.02222,-1.65309,3.05183,-2.23729,-0.949569,-101.171,252.452,27.2297,2486.35,1851.77,2.65926,-1.01604,4.32592,-1.60025,-0.312524,-0.0664515,394.353,37.7409,2628.25,0.153099,0.856545,0.0257704,2575.8,0.00113139,0.0272381,8.51532,8.03693,95.0004,72.2487,0.310727,9.49059,9.27395,95.887,122.745,-0.886592,-50.4966 
33,97,43.248,3.6,48.55,-0.2,0.19,0.01,33,7313.88,0.246504,14.0764,9.30028,96.7354,0.5754,-520.897,466.7,1.84166,-1.27578,2.5952,1.98181,-1.3787,-151.65,2446.75,52.1952,3809.96,14018.7,2.79656,-0.320876,4.50501,2.93671,-0.423799,0.525469,2659.46,67.9511,4022.66,0.443371,0.9572,0.030178,5998.27,0.00146406,0.443867,8.94552,7.32167,96.7846,72.2336,0.546462,8.98799,8.76373,96.373,122.73,0.411674,-50.4964 
34,97,43.248,0,48.55,-0.2,0.19,0.01,34,7069,0.197719,14.1416,9.27248,96.9379,-0.0663347,-92.7493,498.707,0.574237,-0.341578,-2.08957,2.83576,3.08321,-148.14,2447.2,34.5438,3740.93,4468.92,1.50703,0.591219,-0.223975,3.76856,4.016,1.02319,2654.98,49.935,3948.71,0.447538,0.968135,0.0227647,5932.41,0.00118993,0.458008,8.87208,7.14224,97.481,72.3714,0.5662,8.98657,8.52401,96.5247,122.872,0.956343,-50.5007 
35,75,46.2227,0,46.05,0.2,-0.19,-0.01,35,3544.01,0.191165,5.71551,9.5775,95.9687,-0.17535,229.993,162.497,1.72452,0.18795,1.32068,2.50057,4.70441,-120.411,108.89,25.1483,2632.85,3094.83,2.48271,0.946144,2.83707,3.25876,5.4626,0.810702,277.777,37.6585,2801.74,0.106705,0.808245,0.0241617,2603.22,0.00114463,0.017471,-1.5761,6.99152,104.401,67.1149,0.351643,9.22633,9.10649,95.8479,122.378,8.5535,-55.2629 
36,75,47.3227,2.1,46.05,0.2,-0.19,-0.01,36,3732.19,0.222861,5.57459,10.0089,96.4583,-0.205751,-130.31,437.352,2.44832,0.327563,3.28312,0.497766,-3.50427,-90.1589,256.418,24.3358,2583.06,2689.12,3.01603,0.895269,4.41853,1.06547,-2.93656,0.315883,382.875,33.7029,2709.52,0.145482,0.866517,0.0224002,2631.77,0.00129091,0.0224184,11.7203,9.03282,95.5701,71.2078,0.347509,9.31666,8.62357,96.5908,122.521,-1.02064,-51.3135 
37,97,43.248,3.6,48.55,-0.2,0.19,0.01,37,6158.89,0.0312147,12.7112,8.8027,97.4816,-0.0177831,32.119,2.65284e-12,2.4624,-0.494299,0.990605,-1.3056,-0.858984,-129.398,1967.72,32.6656,3256.89,3661.07,3.27719,0.320488,2.62018,-0.49081,-0.0441975,0.538932,2149.21,46.1096,3438.39,0.429578,0.963814,0.0241075,5003.07,0.00123296,0.398802,8.18477,7.25872,97.9108,71.8711,0.494653,8.66845,8.63665,97.1348,121.951,0.776049,-50.0796 
38,97,43.248,0,48.55,-0.2,0.19,0.01,38,7384.04,0.218119,14.3393,9.46054,96.9749,-0.0295595,-66.7361,498.007,1.91722,3.98182,1.48322,1.52172,1.59077,-141.99,2580.5,29.1069,3799.06,4480.31,2.8113,4.8759,3.27137,2.41579,2.48485,0.793724,2779.66,43.8592,3998.21,0.455818,0.973129,0.0198071,6098.17,0.00132942,0.47635,8.91422,7.2498,97.2912,71.9085,0.54967,9.16333,8.69626,96.5084,122.213,0.782774,-50.3049 
39,75,46.2227,0,46.05,0.2,-0.19,-0.01,39,3489.75,0.184018,5.72519,9.59509,96.9282,-0.0431027,-59.4557,31.3073,-1.09258,-0.136004,4.20281,1.09332,-0.378948,-152.47,26.041,18.0159,2688.75,1871.7,-0.132521,0.824058,6.12293,2.05338,0.581114,0.352,239.895,33.857,2902.6,0.0905587,0.801936,0.021035,2649.06,0.000973033,0.00353482,2.80133,2447.44,104.714,65.7719,0.376205,9.03699,8.85444,96.628,121.112,8.08566,-55.3399 
40,75,47.3227,2.1,46.05,0.2,-0.19,-0.01,40,4001.91,0.21765,6.3619,9.78412,96.2041,0.0545117,-85.6824,256.836,3.15054,2.91797,1.29123,1.4698,-0.0359611,-118.731,276.794,32.2669,2872.99,2178.35,3.89816,3.66559,2.78647,2.21741,0.711656,0.790164,443.326,44.6026,3039.52,0.149463,0.850293,0.02632,2966.13,0.00120968,0.0310554,10.5384,7.41712,96.2219,71.4502,0.353313,9.52316,9.55316,96.0781,122.484,0.143833,-51.0339 
