cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
37,47,10,37,3328.51,-0.0019574,-14.6117,8.52189,123.002,-0.00458716,7.01574,500,-4.59675,-3.98258,-2.04024,-5.69557,-6.16026,-836.519,81.4444,86.2237,6298.02,4054.57,0.670589,1.28476,8.49443,-0.428238,-0.89292,0.0694724,747.763,146.798,6964.34,0.115779,0.744295,0.0373775,6458.52 
38,47,10,38,3102.38,-0.509278,-14.32,-8.73891,123.171,0.248521,236.881,497.01,-6.12511,-2.86206,-14.2753,-5.93145,-3.3152,-823.134,-45.4163,58.0305,6076.81,5990.18,-0.942056,2.32099,-3.90916,-0.748395,1.86786,-1.77095,610.241,117.636,6732.47,0.0995358,0.747749,0.0311832,6130.87 
39,47,10,39,3122.93,-0.0686453,-13.6961,8.86848,122.999,0.0727986,-79.4408,5.45176,-1.05443,-4.92344,-3.99645,-2.68269,-4.5864,-773.724,-19.3735,60.8593,5975.5,4142.31,3.8175,-0.0515139,5.74741,2.18924,0.285528,0.520577,596.926,116.886,6591.8,0.0994512,0.744782,0.0316312,6002.2 
40,47.2189,1.8,40,3265.14,-0.0416478,-14.4621,-8.35255,123.325,0.0736602,-83.8252,1.98885e-12,-3.20366,-1.58083,-8.61131,-1.888,-1.36279,-885.375,213.266,57.2023,5966.1,4133.28,2.37131,3.99414,2.53863,3.68697,4.21218,0.84892,918.5,121.314,6671.33,0.143763,0.812257,0.0324119,6388.99 
41,47.2144,1.6,41,3141.01,-0.10392,-14.0879,8.51161,123.158,-0.0154494,50.5027,499.7,-0.477715,-7.24446,-9.48165,-4.61945,0.646335,-852.966,82.6799,66.0063,5983.62,3928.89,4.89319,-1.87356,1.26015,0.751457,6.01724,0.885943,762.099,127.772,6663.04,0.12241,0.773156,0.0341193,6225.79 
42,47,10,42,3227.58,0.00556269,-14.4558,8.42048,123.141,0.00196595,12.6166,1.42191e-12,-3.9358,-4.21788,-12.8282,-3.34244,-5.94157,-818.91,17.8993,63.256,6320.72,3963.35,1.22065,0.938579,-2.51532,1.81402,-0.785118,4.73856,670.191,122.555,6973.02,0.104913,0.757567,0.0313608,6388.06 
43,47.2859,7,43,3229.64,-0.515331,-14.4071,8.93575,123.198,-2.32377,3186.57,35.7915,-4.28157,-4.99568,-9.78106,-3.90638,-4.61942,-807.583,287.344,52.5053,5922.67,245244,0.803563,0.0894567,0.389203,1.17875,0.465714,0.867016,930.614,110.984,6565.94,0.147373,0.827333,0.0301969,6314.69 
44,47.4259,10,44,3229.24,-0.0197193,-14.2147,-8.60594,123.214,-0.0157177,6.02444,500,-6.36827,-7.29561,-9.56723,-6.45451,-5.27371,-912.055,76.9048,62.5634,6161.81,3985.36,-0.625304,-1.55264,1.9187,-0.711545,0.469255,4.82563,803.39,128.608,6888.3,0.124522,0.781163,0.0332494,6451.79 
45,47.2164,1.5,45,3316.68,-0.00116887,-14.527,8.4928,123.095,0.00387306,15.7731,1.62707e-11,-4.54214,-2.88238,-5.10777,-3.61163,-8.40283,-923.845,73.6492,79.9877,6298.15,4018.25,1.27506,2.93483,6.52665,2.20558,-2.58562,0.369802,809.526,146.886,7034.03,0.123076,0.758995,0.0370422,6577.43 
46,47.2659,6,46,4009.94,-0.30557,15.1281,-9.03967,123.403,0.747069,-89.3277,499.812,-2.2897,-1.18008,-8.17286,-2.31927,-7.13932,-721.137,383.813,61.9991,6313.67,6624.17,2.2511,3.36073,0.908755,2.22153,-2.59852,0.852081,958.224,114.218,6888.08,0.145044,0.827406,0.0296405,6606.45 
47,47.2139,1.7,47,2973.93,-0.140986,-14.0187,8.59497,123.241,-0.12009,229.781,499.137,-4.68948,-3.03101,-7.57019,-6.83242,-4.93928,-843.743,144.696,51.8354,5830.32,4820.65,0.623347,2.28181,3.05546,-1.5196,0.373546,0.365371,816.768,112.933,6502.39,0.132835,0.805173,0.0310016,6148.73 
48,47.2329,2.5,48,3153.83,-0.48728,-14.036,8.84518,123.348,-0.251309,115.475,225.898,-5.00678,-3.49186,-12.3435,-5.10802,-1.88789,-863.693,262.453,55.4929,5742.03,4986.21,0.431668,1.94658,-1.4666,0.33043,3.55056,1.30601,950.417,118.035,6429.99,0.152726,0.821465,0.0327094,6223.01 
49,47.2134,1.7,49,2902.18,-0.515559,-13.9725,8.69601,123.322,-0.561084,253.764,229.824,-2.88988,-5.34325,-9.3287,-0.7332,-3.52376,-797.84,68.1843,44.9119,5717.57,8590.43,2.13391,-0.319463,0.71887,4.29059,1.50003,0.913638,703.693,102.685,6353.08,0.119003,0.79658,0.0289133,5913.22 
50,47.2169,1.6,50,3161.83,-0.0682328,-14.3714,8.29757,123.433,0.209673,97.3488,1.38046e-07,-5.99876,-4.03609,-5.98496,-6.94719,-7.23065,-835.248,75.8009,35.8217,6072.05,4546.37,-0.739426,1.22324,4.53371,-1.68786,-1.97132,-2.33765,741.107,96.3041,6737.36,0.118279,0.814726,0.0256556,6265.74 
51,47.2184,1.7,51,3278.35,0.0106792,-13.8102,8.59049,123.065,0.00831704,-10.6587,2.75183e-12,-1.8348,-4.26426,-8.16509,-8.32238,-7.60199,-820.218,187.75,58.3904,5888.34,3864.89,3.3299,0.900433,2.1643,-3.15768,-2.43729,-1.70655,841.084,117.784,6541.68,0.135544,0.803169,0.0321028,6205.26 
52,47.2149,1.6,52,3295.12,-0.00683863,-14.431,8.41598,123.557,0.00393321,15.4689,4.98115e-13,-6.62106,-3.70495,-9.59772,-4.02402,-7.19928,-810.233,57.9205,59.5214,6153.41,3955.62,-1.51924,1.39687,0.605923,1.0778,-2.09747,2.13022,703.301,118.192,6798.79,0.112021,0.772741,0.0310301,6278.3 
53,47.2159,1.5,53,3498.47,-0.279444,-14.2129,8.93114,123.624,0.34227,-3556.5,0.471283,-6.32807,-3.97293,-7.53715,-4.55926,-1.2969,-772.284,98.8192,58.7295,6092.57,43758.9,-1.4652,0.889931,2.18858,0.303607,3.56596,0.600834,713.971,114.652,6707.72,0.114892,0.780627,0.0305252,6214.3 
54,47.2959,8,54,3611.77,-0.09941,14.0708,9.15493,123.112,1.60207,-69.1424,485.505,-0.255337,-5.20531,-5.97278,-3.60842,-3.36667,-888.615,329.237,69.5593,6167.52,7799.38,5.34003,0.390061,5.21796,1.98695,2.2287,0.655892,1037.05,133.906,6875.33,0.155368,0.815685,0.0346348,6674.83 
55,47.2369,2.5,55,3204.37,-0.199516,-14.2114,8.77962,123.113,0.0850635,73.5282,500,-4.03614,-4.33014,-8.20005,-8.11078,-4.46289,-782.876,113.67,47.4585,6118.98,4265.32,0.893422,0.599421,1.65907,-3.18122,0.466675,-2.79329,737.26,104.148,6742.57,0.117657,0.801788,0.0276667,6266.16 
56,47.3459,10,56,3982.84,-0.0135581,15.3081,8.75099,123.323,0.00446272,35.4489,497.366,-4.07893,-4.58454,-10.675,0.104491,-5.74729,-784.794,306.693,90.1004,6618.26,4366.01,0.862708,0.357094,-0.791695,5.04613,-0.805653,1.16958,931.81,146.929,7243.37,0.135607,0.783734,0.0360205,6871.38 
57,47.5459,10,57,2990.97,-0.0148442,-13.6501,8.62355,123.459,0.0261293,19.6369,0.0147685,-6.93029,-5.35829,-13.8437,-4.88521,-2.64073,-906.064,51.9617,60.8584,6000.81,3848.64,-1.22504,0.346953,-2.43323,0.820031,3.06452,5.24481,773.675,126.469,6722.52,0.123076,0.777567,0.0334942,6286.14 
58,47.2039,2.2,58,2985.19,-0.587223,-14.7815,8.89188,123.274,-0.0379578,303.739,0.571892,-5.55681,-5.31879,-15.0455,-5.71228,-7.76938,-957.629,55.1213,69.1907,6134.39,4653.96,0.47312,0.71114,-2.98563,0.31765,-1.73945,0.0736966,817.908,138.535,6897.18,0.126345,0.771361,0.0356799,6473.6 
59,47.2209,2,59,3301.21,-0.0196357,-14.9324,8.44866,123.263,-0.041106,-3.7735,500,-4.73192,-1.44444,-4.16968,-1.63956,-4.49838,-941.739,356.001,55.2662,6116.07,4111.93,1.19796,4.48544,7.69008,4.29032,1.4315,0.597279,1106.13,123.46,6866.2,0.164202,0.836593,0.0320606,6736.41 
60,47.2179,1.7,60,3133.55,-0.00892114,-14.0409,8.5268,123.367,0.0224752,10.9912,9.85686,-4.42804,-1.80077,-6.84291,-0.275975,-2.09063,-724.763,153.949,47.0144,5876.41,3905.44,0.135597,2.76287,2.28436,4.28766,2.47301,0.808736,731.249,99.4963,6453.71,0.121404,0.807682,0.0276153,6023.29 
61,47.2289,2.2,61,3048.46,-0.535355,-14.8205,-8.56172,123.42,-0.192805,-352.627,30.4009,-4.846,-3.76079,-11.8024,-2.99636,-4.32323,-870.922,241.966,57.9148,5820.45,6343.89,0.637963,1.72317,-0.834492,2.4876,1.16073,1.16126,935.688,120.98,6514.17,0.149059,0.815483,0.0330797,6277.31 
62,47.2759,7,62,3571,-0.00471175,14.6447,8.72578,123.351,0.00920548,-26.4181,500,-3.24249,-7.54703,-7.61697,-6.47441,-6.53797,-842.249,414.545,37.4556,6161.56,4167.78,2.06093,-2.24361,2.98986,-1.17099,-1.23455,-6.4442,1085.43,98.4449,6832.44,0.162294,0.863022,0.0258556,6688.03 
63,47.2079,2,63,3143.1,-0.507664,-14.1394,-8.88045,123.394,-1.27331,1161.97,59.5908,-3.66587,-6.22578,-3.89671,-2.64748,0.624825,-911.72,152.558,51.0731,5872.62,52251.9,2.07499,-0.484928,7.58501,3.09338,6.36568,0.592951,878.776,117.093,6598.84,0.139714,0.810912,0.0316525,6289.83 
64,47.3259,10,64,3311.39,-0.508499,-14.1989,9.12701,123.231,-0.41926,25.618,25.2946,-5.22029,-6.01153,-8.05991,-0.392925,-5.26659,-756.87,314.207,54.6044,5936.76,4568.33,-0.454481,-1.24572,1.47171,4.37288,-0.500781,0.596085,917.082,109.411,6539.64,0.146042,0.827279,0.0298979,6279.58 
65,47.5059,10,65,2915.15,-0.394404,-14.1698,8.55332,123.208,0.711572,-131.302,500,-6.01659,-6.89032,-7.29887,-9.34927,-1.78352,-869.979,-7.05608,51.2375,5930.42,6986.89,-0.538556,-1.41229,3.65719,-3.87124,3.69451,-1.39092,685.915,114.235,6623.39,0.112131,0.774322,0.0307928,6117.09 
66,47.2174,1.6,66,2946.78,-0.537888,-14.2116,8.79603,123.288,-0.164326,573.874,0.511859,-4.73692,-4.85314,-8.35177,-6.8828,-2.77355,-803.979,70.0875,50.1942,5877.05,7139.21,0.325523,0.209305,1.77312,-1.82035,2.28889,0.36138,710.487,108.412,6517.45,0.117343,0.789247,0.0297309,6054.8 
67,47.2154,1.5,67,3304.84,-0.0109463,-13.6452,8.69192,123.232,0.00732169,15.6243,2.82975e-07,-9.65003,-2.96753,-3.58446,-2.94892,-5.40581,-804.007,45.8163,58.8703,6021.97,3864.65,-4.58742,2.09509,6.54078,2.1137,-0.343194,-0.124047,686.237,117.09,6662.39,0.111594,0.770062,0.0313594,6149.4 
68,47.4659,10,68,3101.15,-0.00872741,-14.0075,8.43537,123.331,0.0200493,8.24971,2.48054e-12,-5.65491,-6.13959,-6.53857,2.26174,-5.72524,-919.826,79.2919,57.3682,6025.37,3851.84,0.136984,-0.347696,5.04523,8.05363,0.0666585,0.610552,811.967,123.975,6758.04,0.127797,0.789142,0.0326884,6353.56 
69,47.3859,10,69,3067.61,-0.00358804,-13.5408,8.76616,122.926,0.00236555,7.11829,500,-6.98985,-4.40379,-13.8562,-7.75149,-2.93196,-842.82,168.742,53.7454,5935.49,3864.65,-1.68284,0.903225,-3.2422,-2.44448,2.37505,0.207528,840.079,114.776,6606.83,0.134248,0.807041,0.0310093,6257.68 
70,47.3159,9,70,3600.11,-0.00245304,14.4047,8.82797,123.223,0.015366,-2.05091,1.78632e-12,-2.97956,-5.63218,-8.60163,-3.43083,-6.44761,-783.713,327.205,54.1417,6137.53,4140.63,1.95527,-0.697349,1.26803,1.504,-1.51277,0.49625,951.461,110.892,6761.78,0.146466,0.830591,0.0293244,6496.12 
