cyc,time,initial time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
33,4,6,8,33,7961.44,0.0598858,15.7906,10.5217,94.4409,-0.0425641,22.0293,3.05577,0.592119,2.19295,0.041524,1.15148,0.390714,-118.195,4022.28,30.3973,3771.5,5439.04,1.33636,2.93719,1.53001,1.89572,1.13496,0.826809,4188.06,42.6773,3937.28,0.547253,0.98248,0.0195762,7652.87,0.000547448,0.584611,10.1995,7.91619,94.6915,71.3918,0.453883,10.0994,9.55857,93.6232,121.701,1.06837,-50.3089 
34,1,9,8,34,7268.74,0.0795569,14.5037,10.264,94.4642,-0.0391197,-22.0997,479.302,0.219452,1.84509,1.95119,2.0837,2.20425,-138.425,3488.35,29.313,3553.39,4874.23,1.09108,2.71671,3.69444,2.95532,3.07587,0.727014,3682.5,43.6948,3747.54,0.527553,0.979658,0.0210266,6980.33,0.000656756,0.526584,9.78724,7.82828,94.5501,70.4906,0.431839,9.94204,9.52067,93.682,120.513,0.86807,-50.0227 
35,0.5,9.5,8,35,7228.23,0.0804438,14.0063,10.5447,94.3498,0.00923268,16.722,480.837,0.400141,0.296139,2.80936,1.22932,0.665417,-110.821,3419.66,31.5894,3563.32,4812.9,1.09795,0.993951,4.20498,1.92713,1.36323,0.561398,3575.09,43.1033,3718.76,0.522095,0.979337,0.0209051,6847.6,0.000664098,0.494107,10.0422,8.00575,94.3907,71.6751,0.415468,10.3226,9.53971,93.6673,121.939,0.723402,-50.264 
36,3,7,8,36,7590.44,0.0869969,14.9396,10.3758,94.3877,-0.221507,160.928,135.532,0.943334,1.43782,4.1157,3.80729,-0.507754,-132.269,3837.7,21.0145,3542.9,6206.49,1.7762,2.27068,5.78143,4.64015,0.325109,0.609193,4023.22,34.7568,3728.42,0.550807,0.985107,0.0168824,7304.23,0.000627437,0.557873,10.0007,8.03483,94.6638,70.8496,0.431437,10.0547,9.37923,93.6215,120.787,1.04238,-49.9373 
37,9,1,8,37,7541.26,0.0661036,15.3837,10.1445,94.4783,-0.0365401,0.371267,4.69406e-11,0.963515,1.99926,2.72818,0.869956,1.80799,-106.083,3769.74,36.1797,3596.93,5080.75,1.63149,2.66724,4.06413,1.53793,2.47596,0.671632,3918.54,47.2013,3745.72,0.543127,0.979355,0.0226865,7214.77,0.000576371,0.563483,9.82927,7.99387,94.47,70.6411,0.439632,9.99505,9.38693,93.8147,120.788,0.65526,-50.1466 
38,0.2,9.8,8,38,7477.02,0.010885,14.5051,10.6777,94.2781,-0.00354406,-7.69534,500,1.67299,2.82981,1.25793,1.76286,-0.775814,-123.269,3358.02,41.2711,3865.99,5042.76,2.44919,3.60601,2.81032,2.53905,0.000380783,0.753588,3530.92,54.0784,4038.88,0.498356,0.973897,0.024071,7085.13,0.000698638,0.496309,9.9177,7.88584,94.6153,71.7635,0.45813,10.3998,9.33082,93.3265,122.345,1.28889,-50.5816 
39,2,8,8,39,7645.18,0.0738621,15.1956,10.3773,94.2067,0.0543054,-117.229,39.7802,-0.947943,0.946448,3.4557,2.19571,-0.0544797,-120.536,3734.99,41.7771,3746.18,5340.53,-0.188958,1.70543,4.97367,2.95469,0.704505,0.509952,3904.05,54.3003,3915.24,0.531202,0.976238,0.0249117,7349.46,0.000588741,0.531558,10.1012,8.09964,94.3607,71.9667,0.438465,10.2261,9.62539,93.4523,122.353,0.908386,-50.386 
40,7,3,8,40,7832.53,0.0902381,15.3799,10.3967,94.5822,-0.0800656,-31.8131,488.585,-0.227168,0.300611,-0.204305,1.5278,0.461615,-134.095,3842,29.4953,3757.58,5288.23,0.617191,1.14497,1.48441,2.37216,1.30597,0.785635,4030.08,43.4272,3945.66,0.537182,0.981491,0.0198719,7502.26,0.00069753,0.538965,10.07,8.19889,94.7841,71.0654,0.446807,10.0287,9.62851,93.9214,121.289,0.862657,-50.224 
41,0.25,9.75,8,41,7888.49,0.00556061,15.7184,10.4618,94.5854,0.00522671,-0.595445,1.48915e-11,0.0217838,1.61289,4.77999,1.33891,0.437024,-109.461,3989.47,26.2868,3694.8,5353.28,0.711028,2.30213,6.15848,2.02815,1.12627,0.500369,4143,37.6594,3848.33,0.550234,0.984342,0.0177075,7529.52,0.000642094,0.588245,9.88648,7.93271,94.7248,70.7544,0.446565,10.1922,9.41623,93.8979,120.817,0.82685,-50.0626 
42,5,5,8,42,7415.73,0.0732073,14.6603,10.4213,94.4654,0.104505,-90.7824,19.0761,-0.281304,0.437783,2.4321,-0.907851,0.023656,-154.135,3639.97,27.4579,3608.35,5282.3,0.689246,1.40833,4.3732,0.0626983,0.994205,0.419051,3856.16,43.472,3824.54,0.533964,0.980653,0.020509,7221.76,0.000611497,0.534258,9.98435,7.92105,94.5868,71.7996,0.428559,10.2414,9.41242,93.6876,122,0.899183,-50.2007 
43,1,9,0,43,9058.29,0.0785135,17.9507,10.4651,94.1159,-0.0655012,-70.4809,475.19,2.1186,3.0433,6.67092,1.25101,0.552867,-120.58,4298.83,16.5536,4506.26,6265.62,2.87786,3.80256,8.18943,2.01026,1.31212,0.549839,4467.96,29.0814,4675.39,0.520601,0.988738,0.0113283,8582.3,0.000677949,0.617138,10.1774,8.06532,94.2206,71.308,0.536463,10.1664,9.57867,93.477,121.491,0.743632,-50.1833 
44,1,9,0,44,9451.01,0.0144637,18.7928,10.5556,94.6831,0.00362239,-5.07013,5.621e-12,0.240056,0.127547,1.01226,0.698213,-0.499094,-118.286,4495.63,26.2875,4691.38,6458.17,0.98487,0.872361,2.50189,1.44303,0.24572,0.586319,4661.54,38.5769,4857.29,0.521661,0.985724,0.0144192,8935.95,0.000673011,0.647146,10.0574,8.17157,94.8732,71.2323,0.54958,10.3441,9.60171,93.9129,121.412,0.960325,-50.18 
