cyc,freq,pulsetime,waittime,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
148,43.253,0.64,0.01,1.62,148,15041.7,-0.354813,27.4137,13.3862,89.9627,-0.143869,131.662,276.159,0.789053,2.59001,-1.13687,0.272222,1.66579,-0.806621,7592.06,18.2145,8847.79,12562.5,0.794132,2.59509,-1.12671,0.277301,1.67087,1.26758,7593.13,18.2354,8848.86,0.493698,0.995815,0.00378179,15380.1,5353.24,58309.1,76959.4,-0.00139785,0.593785,13.2703,11.6744,90.925,69.4667,0.665372,12.9297,12.678,89.4188,120.601,1.5062,-51.1341 
149,43.263,0.64,0.01,1.62,149,13475.8,-0.311712,25.3468,12.943,89.9031,0.332406,-464.125,0.00146013,1.08596,2.92467,-0.980225,-0.105799,0.550714,18.218,7173.79,15.2472,7636.06,15701.8,0.971245,2.80996,-1.20965,-0.220513,0.436,1.43403,7149.65,14.774,7611.92,0.51629,0.996397,0.00356261,13848.1,4570.64,54381.5,60767.9,-0.00127209,0.587188,12.9361,11.4039,90.6513,69.0359,0.60976,12.4303,12.3679,89.3449,119.878,1.30633,-50.8416 
150,43.248,0.64,0.01,1.62,150,14540.6,-0.329376,26.4599,13.3484,89.9205,-0.578926,586.029,494.039,2.44974,2.73587,1.82965,0.214553,-1.46484,-23.9852,7290.57,21.5852,8587.32,22542,2.60077,2.8869,2.1317,0.365581,-1.31382,0.680458,7322.34,22.2082,8619.09,0.491197,0.99472,0.004724,14907.1,4989.12,53249.1,72707.9,-0.0013076,0.566785,13.3275,11.6485,90.826,69.3993,0.647383,12.9284,12.647,89.384,120.418,1.44197,-51.019 
151,43.233,0.64,0.01,1.62,151,9676.3,-0.25473,18.8867,12.6582,90.2454,0.268634,-148.687,439.277,-0.88675,0.727495,-1.41412,-0.543496,-1.18542,-24.674,4725.8,12.2083,6155.13,9082.79,-0.731385,0.88286,-1.10339,-0.38813,-1.03005,0.534454,4758.49,12.8492,6187.82,0.466346,0.995297,0.0038106,10203.8,2667.54,24805.6,41083.5,-0.00106539,0.40767,12.6839,10.9492,91.0771,69.6226,0.516514,12.0778,11.9765,89.5702,120.765,1.5069,-51.1424 
152,43.208,0.64,0.01,1.62,152,14223.8,-0.172819,25.6586,13.3426,89.6789,-0.667204,1001.25,1.14206e-12,-0.869789,2.34348,-1.0768,1.69803,0.160367,-7.04599,7173.75,16.6695,8332,32891.5,-0.825422,2.38784,-0.988066,1.74239,0.204733,1.39186,7183.08,16.8525,8341.34,0.494585,0.995911,0.00370792,14523.5,4740.31,51861.4,67973.4,-0.00126854,0.559717,13.3917,11.5838,90.5187,69.7577,0.623858,12.9234,12.7337,89.1792,120.985,1.33957,-51.2277 
153,43.178,0.64,0.01,1.62,153,14882,-0.37845,27.259,13.4332,89.7923,-0.817862,1110.25,44.6548,1.4961,2.03065,1.84106,1.82076,1.385,-3.84245,7396.23,16.4609,8942.22,41479.7,1.5203,2.05485,1.88945,1.84496,1.40919,0.783289,7401.32,16.5607,8947.31,0.48454,0.9961,0.003398,15274.9,5237.48,54823.4,77808.3,-0.00135878,0.577319,13.2885,11.5983,90.768,69.4808,0.669484,12.9006,12.6968,89.2819,120.894,1.48617,-51.4137 
154,43.288,0.64,0.01,1.62,154,13757.3,-0.326379,25.8027,13.0157,89.8449,0.349622,56.5628,453.481,-0.694634,1.38377,5.31152,1.20815,-0.874213,-35.6467,7104,18.4394,8046.44,11576.5,-0.470176,1.60822,5.76043,1.43261,-0.649756,0.250074,7151.22,19.3653,8093.66,0.501009,0.995283,0.00438818,14273.6,4752.07,53893,66289,-0.00125329,0.592191,12.79,11.2541,90.7313,69.2827,0.634995,12.645,12.2487,89.2017,120.404,1.52956,-51.1217 
155,43.278,0.64,0.01,1.62,155,16223.9,-0.309248,29.7489,13.0793,90.0649,-16.3236,13119,465.255,0.95383,2.15386,3.81578,2.91157,1.22692,-6.17459,8384.73,22.4104,9359.22,6.98393e+06,0.992709,2.19274,3.89354,2.95045,1.2658,0.655293,8392.91,22.5708,9367.4,0.504496,0.995316,0.00441895,16636.2,6179.02,70620.5,86334.1,-0.0015992,0.653392,13.2294,11.7506,90.9636,69.1783,0.700828,13.0273,12.7478,89.3634,120.386,1.60018,-51.2076 
156,43.213,0.64,0.01,1.62,156,14624.1,-0.338367,26.7605,13.3043,89.481,-0.390969,310.979,253.155,-0.28603,0.910373,2.43695,1.69788,-0.706416,9.50403,7095.31,21.7277,8846.6,15547.8,-0.345874,0.850529,2.31726,1.63804,-0.76626,0.372644,7082.72,21.4809,8834.01,0.476738,0.994721,0.00445931,14856.6,5086.78,51330,77531,-0.00129582,0.561832,13.3027,11.4454,90.3252,69.2231,0.669649,12.7952,12.7425,89.0337,120.223,1.29148,-50.9995 
157,43.228,0.64,0.01,1.62,157,12763.7,-0.301356,23.2382,13.456,89.9137,0.366751,-101.348,1.25866e-07,1.00109,2.17851,1.0052,-3.27019,1.1215,-54.9756,5958.48,17.8156,8147.41,11389.2,1.34725,2.52468,1.69753,-2.92402,1.46766,0.587288,6031.3,19.2435,8220.23,0.454674,0.994447,0.00429384,13265.1,3992.47,35491,64899,-0.00121413,0.464731,13.1989,11.6444,90.8895,70.5131,0.613836,12.8551,12.6121,89.3421,121.919,1.54739,-51.406 
