cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
56,-3.98,43.2427,56,7762.97,-0.0113959,26.5334,8.54611,120.616,-0.0462683,-18.0973,500,-7.33244,-4.6064,-10.6152,-3.76784,-8.79668,-896.038,5345.3,18.8749,5688.75,7408.97,-1.69033,1.03572,0.669041,1.87428,-3.15457,1.52853,6059.02,83.7593,6402.48,0.52682,0.97638,0.0235319,11501.1 
57,-4.04,43.1827,57,7892.21,-0.0182842,26.3951,8.55242,120.829,-0.00792496,-2.67853,500,-3.89485,0.228293,-12.9413,0.0145359,-4.21423,-788.522,5319.48,13.5117,5674.47,7349.34,1.07026,5.19341,-3.01109,4.97965,0.750882,1.33519,5947.57,70.6105,6302.56,0.526113,0.979647,0.0202206,11304.7 
58,-3.94,43.2827,58,7459.28,-0.0150503,25.3451,-8.48501,121.105,-0.0120968,30.8041,500,-3.3186,-3.2454,-5.36502,-7.64483,-4.24922,-865.492,4979.15,21.7501,5525.82,7012.82,2.13118,2.20437,5.53453,-2.19505,1.20056,0.376432,5668.55,84.4225,6215.22,0.517605,0.974599,0.0244109,10951.5 
59,-3.96,43.2627,59,7207.72,-0.0774418,24.6448,8.48549,121.009,0.0638681,-69.0215,0.000188405,-6.26472,1.71914,-11.6323,-5.79989,-6.36843,-719.711,5080.21,20.3011,5125.78,6951.17,-1.73289,6.25096,-2.56861,-1.26806,-1.8366,-1.22351,5653.49,72.4171,5699.06,0.538546,0.978075,0.022872,10497.7 
60,-3.995,43.2277,60,8770.12,-0.00145415,27.6249,8.73605,120.64,-0.00857113,-28.6037,500,-7.47073,-4.4826,-5.73975,-10.3264,-9.24446,-831.9,5597.5,29.2065,6218.11,7864.16,-2.23248,0.755651,4.73675,-5.08817,-4.00621,1.81186,6260.14,89.4464,6880.75,0.516992,0.975606,0.0233865,12108.8 
61,-3.955,43.2677,61,8078.25,-0.0272305,26.7696,8.52218,120.864,-0.0134508,-18.0644,500,-1.75329,-3.01207,-5.71017,-4.41576,-11.2299,-727.358,5427.56,12.6246,5635.7,7434.48,2.82669,1.56791,3.44978,0.164216,-6.64996,-1.53915,6006.93,65.2943,6215.07,0.53207,0.981333,0.0189854,11289.7 
62,-4.03,43.1927,62,6921.38,-0.525345,24.3093,8.63857,120.7,-0.306574,1476.54,457.73,-4.84875,-6.02661,-8.84765,-7.04417,-3.09784,-763.696,4795.25,19.8518,5112.57,21572,-0.0399565,-1.21781,0.76994,-2.23537,1.71096,1.76063,5403.56,75.1529,5720.89,0.526339,0.976239,0.0236272,10266.3 
63,-3.935,43.2877,63,7015.42,-0.0373058,24.8986,8.40278,120.733,0.000346432,24.5746,500,-2.76494,-1.31457,-7.12647,-6.15169,-7.29198,-829.635,4901.88,-4.08886,5390.87,6811,2.45905,3.90942,3.32151,-0.927703,-2.06799,0.503829,5562.71,55.987,6051.7,0.519556,0.982692,0.0167566,10706.7 
64,-3.975,43.2477,64,7177.9,-0.016897,25.2049,8.32096,120.727,0.00354564,-15.5216,500,-3.60986,-6.8084,-7.77598,-2.33636,-7.91873,-786.144,5042.51,15.7828,5220.37,6829.16,1.34028,-1.85826,2.1243,2.61378,-2.96859,-0.697384,5668.7,72.7094,5846.56,0.532859,0.978046,0.0223959,10638.3 
65,-4.01,43.2127,65,6791.07,-0.62838,25.6944,8.51439,120.874,-0.0915241,3173.65,170.467,-1.87631,-7.82151,-11.3232,-5.03891,-6.28534,-971.401,4769.7,10.6474,5441.26,16577.4,4.24034,-1.70486,0.910079,1.07774,-0.168685,0.791008,5543.46,80.9889,6215.02,0.51204,0.97507,0.023442,10826.2 
