cyc,gain,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
32,-8.5,32,10827.1,-0.389922,24.0723,11.6067,122.622,0.00789371,1041.52,53.4829,-4.27624,-6.57068,-10.2716,-8.03154,-4.20362,-630.555,193.673,94.3079,12916.6,9363,-0.305804,-2.60025,-2.33072,-4.0611,-0.233183,0.75546,695.933,139.968,13418.9,0.0479379,0.739664,0.0188521,14517.4,-0.00198327,-0.0143827,16.9758,6.44341,111.807,76.8451,1.16901,12.0585,11.4779,122.509,132.062,-10.7026,-55.2165 
33,-6.5,33,11417.8,-0.4247,25.7383,11.5072,122.581,-0.0207551,1077.48,399.798,-2.92051,-7.00892,-14.162,-5.66927,-8.35537,-549.874,469.77,96.0587,13310.8,10369.5,0.541898,-3.54651,-7.2372,-2.20686,-4.89296,0.582669,907.765,135.876,13748.8,0.0602406,0.792428,0.0178797,15069,-0.00259048,0.0399877,13.5364,-20.1888,123.487,98,1.21498,11.9427,11.3689,122.417,132.315,1.06964,-34.315 
34,-6,34,11254.2,-0.0392974,24.565,11.3701,122.547,-0.0101859,53.8181,500,-3.79216,-1.08252,-14.4424,-6.92547,-3.63742,-637.4,653.664,104.44,12713.4,9110.18,0.221383,2.93102,-6.41535,-2.91193,0.376116,-0.10633,1161.38,150.596,13221.1,0.0785823,0.815047,0.0205514,14779.1,-0.00237031,0.0467709,12.8932,-22.1105,123.809,94.5942,1.17217,11.9698,11.2251,122.271,132.153,1.53809,-37.5585 
35,-7.5,35,11216.4,-0.0209228,23.9298,11.4819,122.675,-0.00189454,-7.81269,500,-2.94252,-3.18005,-4.16821,-6.78874,-2.67429,-464.969,300.359,91.0932,12863.2,8944.84,-0.01473,-0.252261,1.68736,-3.86096,0.253492,1.7715,670.723,124.763,13233.6,0.0468994,0.75442,0.0170704,14301.3,-0.00159031,-0.0129066,15.0591,6.79444,103.213,75.8189,1.15881,12.0311,11.5378,122.434,132.331,-19.2213,-56.5122 
36,-7,36,11177.2,-0.0233871,24.693,11.3486,122.686,0.00680484,3.88082,2.41515e-12,0.680138,-2.64556,-2.82893,-6.04332,-1.78517,-542.626,430.8,73.5839,13050.3,9123.29,4.09691,0.771211,4.00461,-2.62654,1.6316,0.491658,863.021,112.877,13482.6,0.0585097,0.813744,0.015188,14750.1,-0.00250386,0.0393373,13.0207,-19.2922,123.472,98,1.19685,12.0051,11.2651,122.542,132.688,0.93003,-34.6878 
37,-5.5,37,11298.2,-0.350321,24.6134,11.5848,122.746,0.570584,-307.698,152.272,-1.88412,-1.70928,-4.92802,-3.59657,-3.98202,-539.383,718.733,97.1143,12626.6,14997.6,1.51224,1.68707,1.86469,-0.200216,-0.585671,0.564132,1148.37,136.172,13056.2,0.0786757,0.828149,0.0188504,14596.3,-0.00227343,0.052173,13.4647,19.2268,124.485,93.1182,1.16027,11.9934,11.2476,122.45,132.106,2.0351,-38.9879 
38,-8,38,10463.9,-0.382951,23.6631,11.4406,122.571,0.169168,92.8564,323.927,-2.00259,-3.93368,-6.92181,-1.56582,-4.84169,-509.03,202.867,83.2916,12471.8,9324.18,1.20264,-0.728457,-0.511363,1.6394,-1.63647,-13.931,608.328,120.152,12877.3,0.0438532,0.743138,0.0168974,13871.9,-0.00187576,-0.0134898,15.962,6.56499,103.532,76.6954,1.16994,11.861,11.2197,122.391,132.068,-18.859,-55.3727 
39,-9.5,39,11035.3,-0.393167,24.3986,11.6522,122.605,0.252677,153.505,280.56,-1.36988,-1.45913,-5.08953,-6.33532,-1.80425,-549.183,154.333,88.526,12986.3,10517.5,2.08818,1.99893,1.82659,-2.87726,1.65381,0.610556,591.777,128.294,13423.8,0.0410436,0.724959,0.0173008,14418.3,-0.00180762,-0.0134642,17.7627,7.05394,106.699,75.4422,1.17999,11.9741,11.4672,122.402,131.868,-15.7029,-56.4254 
40,-9,40,11195.7,-0.37471,24.4176,11.6997,122.652,0.163341,-348.246,306.577,-1.82067,-0.289588,-0.823793,-3.52223,-4.93858,-546.959,144.631,108.425,13116.4,11151.6,1.62338,3.15447,6.06432,-0.0781764,-1.49452,0.345775,580.305,148.031,13552.1,0.0399139,0.691366,0.0197247,14538.9,-0.00180898,-0.0129927,19.8187,6.74448,107.46,75.9664,1.14266,12.1017,11.8644,122.477,131.935,-15.0168,-55.9687 
41,-8.5,41,10930.4,-0.0518884,24.0454,11.3333,122.463,0.018628,-20.408,500,-5.17384,-1.85226,-9.53844,-7.49236,-5.48176,-601.961,205.172,82.5132,12889.5,8883.58,-1.38345,1.93813,-1.95766,-3.70197,-1.69138,0.711953,684.655,126.103,13369,0.0473655,0.756245,0.0170788,14454.7,-0.00183569,-0.0149743,15.3822,5.76993,103.01,75.903,1.18841,11.9606,11.3105,122.337,131.806,-19.3267,-55.9032 
42,-6.5,42,11368.1,-0.205973,24.478,11.885,122.427,0.14091,-709.858,33.3034,-2.9573,-1.80937,-6.50107,-5.04654,-6.38306,-521.229,349.022,85.0903,13262.1,12726.6,0.324738,1.47267,0.0630068,-1.7645,-3.10102,1.02097,764.2,122.834,13677.3,0.051455,0.780466,0.0162744,14851.8,-0.00186064,-0.00157887,4121.56,-4.8668,132.143,75.7793,1.20424,12.1198,11.375,122.427,131.564,9.71586,-55.7848 
43,-6,43,11943.6,-0.3349,25.5928,11.7058,122.661,-0.0267681,216.985,6.6188e-10,-3.85653,-2.11768,-10.818,-3.79773,-6.12424,-570.984,540.525,90.0715,13412.9,9941.51,-0.261196,1.47765,-3.62738,-0.202398,-2.52891,0.294591,995.334,131.418,13867.7,0.0651438,0.812309,0.0171573,15279,-0.00229773,0.0461754,-13.5297,-17.7539,123.638,96.5829,1.20612,12.1488,11.4093,122.441,132.687,1.19706,-36.1044 
44,-7.5,44,11402.4,-0.22522,24.4614,11.7718,122.541,-0.0127235,290.661,500,-2.5997,1.97905,-7.84862,-4.63523,-1.91374,-488.186,315.972,101.671,13178.4,9494.26,0.474271,5.05303,-1.70067,-1.56125,1.16024,1.49646,704.829,137.021,13567.2,0.048016,0.746154,0.0182644,14679.1,-0.00177367,-0.010826,-14.6996,6.73811,103,72.9112,1.14918,12.2619,11.7402,122.33,131.77,-19.3294,-58.8588 
45,-7,45,12243,-0.0760845,25.3781,11.5144,122.409,0.0748661,-518.218,223.46,-1.86294,2.10709,-9.05046,-3.27059,0.106644,-465.836,516.849,104.806,13552.1,10775.5,1.0703,5.04033,-3.18397,-0.337348,3.03989,1.56562,887.904,138.538,13923.2,0.0583044,0.785515,0.0179994,15228.8,-0.00213678,0.0422618,13.5532,20.1972,123.813,98,1.20419,12.2011,11.4438,122.249,132.13,1.56394,-34.1305 
46,-5.5,46,11579.4,-0.153133,25.0262,11.4968,122.764,0.0307674,116.97,500,-2.46851,-0.280695,-5.01887,-6.7549,-3.91032,-530.984,788.55,81.1453,12797.2,9483.41,0.874957,3.06277,1.66805,-3.41144,-0.566857,-0.0249295,1211.5,119.595,13220.2,0.0817019,0.852694,0.0163913,14828.3,-0.0022328,0.0640266,12.4041,16.5734,124.192,89.7838,1.16017,12.0619,11.4152,122.54,131.47,1.65195,-41.6857 
