cyc,dummy,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
41,41,41,11910.7,0.079869,25.1708,11.4018,122.694,-0.0139277,-9.4323,0.00620266,-3.11056,-3.53247,-8.0353,-4.50507,-3.0609,-533.747,221.852,112.047,13615,9346.85,0.250299,-0.171605,-1.31358,-1.14421,0.299961,0.368207,647.001,150.697,14040.1,0.0428241,0.710427,0.0193886,15108.3,-0.00155415,-0.0135613,17.7653,-6.98614,110.927,75.5506,1.23383,11.8752,11.5497,122.507,133.211,-11.5801,-57.6607 
42,42,42,10741.8,-0.243046,23.4344,11.5586,122.519,0.0851463,128.369,1.87428e-08,-2.85826,-2.25187,-5.29386,-2.43838,-5.97616,-619.312,144.359,92.2587,12656.7,9173.51,1.04138,1.64777,2.50543,1.46126,-2.07652,0.452883,637.663,137.105,13150,0.0449622,0.726602,0.0188442,14182.2,-0.00172789,-0.0135633,15.8718,7.33627,113.348,74.5614,1.16593,11.8948,11.3356,122.315,132.786,-8.9667,-58.2244 
43,43,43,9069.55,-0.0311917,21.0885,10.9933,122.523,0.0224102,68.8011,500,-1.1355,-1.35065,-9.08153,-3.29844,0.140775,-629.938,107.082,52.3562,11154.8,7597.09,2.83106,2.61591,-1.14842,0.668112,4.10733,1.12656,608.851,97.9716,11656.6,0.0482636,0.780277,0.0152465,12615.1,-0.00185845,-0.013924,19.188,5.78741,108.316,76.8137,1.07336,11.5792,11.1437,122.321,131.857,-14.0057,-55.0432 
44,44,44,10168.6,-0.337185,22.3684,11.5839,122.586,0.271159,-229.555,367.172,-0.878587,0.762729,-6.44914,-2.04918,-2.41248,-494.112,149.699,77.5756,11991.3,10461.3,2.2327,3.87402,-0.226562,1.06211,0.698813,1.02965,543.277,113.355,12384.9,0.0408488,0.732526,0.0165807,13299.7,-0.00164633,-0.0141047,21.014,6.28317,105.263,76.3286,1.1022,11.9225,11.3642,122.351,132.034,-17.0879,-55.7055 
45,45,45,10417.2,-0.391247,23.8249,11.3598,122.282,-2.41153,9119.08,487.646,-5.61226,-3.93814,-7.58201,-7.65873,-3.23991,-667.528,107.379,80.3621,12577.1,724688,-1.40902,0.265103,0.82448,-3.45548,0.96333,1.29324,639.089,128.699,13108.8,0.0451936,0.739419,0.0177641,14141.2,-0.00197387,-0.0137232,15.8345,6.50605,114.275,76.0178,1.17638,11.7291,11.341,122.163,132.585,-7.8882,-56.5675 
46,46,46,10344.1,-0.350453,22.8273,11.5841,122.582,0.26809,-15.8116,98.0785,-0.392404,-1.35476,-5.88154,-3.3582,-1.94988,-582.912,201.799,78.4835,12175.4,8746.14,3.27804,2.31568,1.45934,0.312244,1.72056,0.839383,666.11,120.694,12639.7,0.0486743,0.759252,0.0172857,13685,-0.00167908,-0.00937703,20.0887,6.19913,105.946,74.8128,1.12421,11.844,11.3599,122.368,132.108,-16.422,-57.2948 
47,47,47,10327.8,-0.00368262,22.5026,11.225,122.482,0.00360256,26.4396,9.89519e-12,-3.85628,-3.28465,-5.43446,-1.8752,1.49485,-571.456,131.742,90.0138,12152.3,8225.81,-0.25797,0.31366,1.76215,1.7231,5.09315,0.795908,586.928,131.394,12607.5,0.0432435,0.71851,0.0188367,13572.6,-0.00164589,-0.0136545,19.4631,6.62223,110.236,76.3134,1.1381,11.8341,11.225,122.374,132.032,-12.1387,-55.7188 
48,48,48,10339.9,-0.331366,23.3786,11.3578,122.631,-0.051431,269.664,0.355549,-2.24421,-5.54922,-7.3685,-2.1976,-1.46392,-582.752,150.906,66.3864,12318.5,9095.33,1.42523,-1.87979,-0.029628,1.47184,2.20552,1.00928,615.089,108.585,12782.7,0.0446324,0.763979,0.015407,13781.2,-0.00179624,-0.0125021,17.4971,6.03126,109.5,75.6664,1.16126,11.7307,11.2296,122.414,131.977,-12.9141,-56.3105 
49,49,49,10500.8,-0.359641,23.4382,11.4718,122.615,-0.151558,-328.681,499.139,-3.47608,-2.26053,-4.53749,-2.27299,0.734905,-637.79,146.984,68.4917,12442.5,10374.5,0.539914,1.75547,3.4945,1.74301,4.7509,0.715519,655.007,114.676,12950.6,0.046806,0.765473,0.0160498,13994.1,-0.00171656,-0.0164152,14.0193,5.81159,113.988,76.5587,1.17218,11.7244,11.1952,122.396,131.636,-8.40811,-55.0778 
50,50,50,10755.5,-0.367058,24.0057,11.4661,122.714,0.188463,888.455,7.65069,-2.47568,0.700455,-5.01314,-4.59267,-3.65748,-656.993,105.517,77.4457,12775.1,14411.1,1.66123,4.83736,3.26068,-0.455763,0.479428,0.666697,628.836,125.02,13298.5,0.043894,0.741883,0.017023,14326.3,-0.00183658,-0.0154412,14.977,6.44206,114.282,76.5184,1.18521,11.7963,11.358,122.524,131.733,-8.24171,-55.2144 
