cyc,pulse time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
33,0.06,0.79,33,6179.72,-0.135596,19.3111,8.29901,124,-0.160964,-35.5693,499.999,-4.92715,-1.31327,-8.93584,-2.46666,-2.9781,-356.193,4019.69,7.30984,3719.46,5403.46,-2.68429,0.929583,-4.45013,-0.223801,-0.735247,0.378811,4303.41,33.1027,4003.18,0.510689,0.986717,0.015004,8426.69,-0.00140316,0.676419,8.74039,8.2843,124.265,79.1803,0.59963,8.57351,8.99364,123.662,125.87,0.602621,-46.6901 
34,0.13,0.72,34,3871.64,0.00400399,14.0274,-8.04578,124.245,0.00493183,-0.241511,6.24921,-2.04326,0.865126,-10.9482,-2.42816,-0.0946424,-420.299,3079.22,8.72265,2571.46,3674.05,0.603256,3.51164,-5.65519,0.218352,2.55187,5.59801,3414,39.1575,2906.24,0.532819,0.980323,0.0242187,6407.43,-0.00171024,0.523562,8.80986,8.38449,124.429,78.7657,0.403565,8.73404,9.22564,123.868,125.866,0.56086,-47.1002 
35,0.19,0.66,35,3626.97,-0.284642,12.9434,8.58061,124.357,0.754825,314.605,218.82,-2.18373,-2.07708,2.3493,1.05209,0.308534,-359.7,2764.05,11.0895,2482.72,11345.9,0.0812104,0.187853,6.87917,3.31703,2.57347,0.472405,3050.56,37.1363,2769.23,0.516793,0.979141,0.0241077,5902.87,-0.00154762,0.45852,9.07353,8.2908,124.562,78.7616,0.381316,8.98058,9.18178,123.825,125.615,0.737614,-46.8539 
36,0.16,0.69,36,5221.78,-0.0014147,16.7485,-8.33969,124.161,0.0162447,-16.9649,1.31845e-12,-2.83838,0.796679,-1.50239,-0.0279848,-0.17103,-335.713,3752.17,10.3139,3056.69,4555.92,-0.724486,2.91057,2.7254,2.08591,1.94287,0.695154,4019.58,34.6237,3324.1,0.540019,0.98515,0.0188261,7443.4,-0.00158657,0.628233,8.85649,8.41586,124.368,78.8809,0.490531,8.89144,8.98661,123.845,125.674,0.522391,-46.7933 
37,0.17,0.68,37,4842.56,0.00995994,15.7324,8.2726,124.333,-0.0131957,15.0811,9.73313e-12,-1.44881,-4.0004,-3.45061,-3.44257,0.301661,-311.822,3377.28,16.1916,3015.05,4243.22,0.514653,-2.03694,0.476311,-1.47911,2.26512,2.83219,3625.66,38.7714,3263.43,0.518916,0.98163,0.0214165,6986.99,-0.00147453,0.572645,8.75495,8.34257,124.599,79.8671,0.461594,8.98332,9.16222,123.879,126.983,0.720101,-47.1162 
38,0.08,0.77,38,5348.68,0.00654826,16.5985,8.42898,124.01,0.00286415,-6.80396,0.00485173,0.498706,-0.0783665,-4.6252,3.20228,0.373516,-372.645,3792.3,5.02511,3067.48,4555.11,2.84515,2.26808,0.0676904,5.54873,2.71996,0.994967,4089.13,32.0092,3364.31,0.541293,0.986486,0.0172246,7554.36,-0.00141138,0.630851,9.00525,8.2236,124.111,78.8805,0.481731,8.76623,9.09918,123.773,125.748,0.337925,-46.8677 
39,0.03,0.82,39,8232.2,-0.0166291,24.8229,8.3072,124.106,-0.0139974,24.8417,500,-3.34434,0.181841,-2.43672,-3.51391,-1.32365,-307.065,5648.56,15.8368,4199.29,6724.11,-1.41083,2.11535,1.4303,-1.5804,0.609857,-0.228492,5893.15,38.0721,4443.88,0.562842,0.988821,0.0155367,10470.3,-0.00152326,0.965698,8.65581,8.25119,124.218,79.0813,0.685511,8.54517,9.05861,123.78,125.98,0.438136,-46.8991 
40,0.09,0.76,40,4399.27,-0.0230949,15.0295,8.30693,123.909,0.0812048,-3.54549,500,-2.51718,-1.29292,-4.23977,-1.43567,-4.09028,-400.137,3390.54,7.23371,2769.48,4073.61,0.00237344,1.22664,0.799342,1.08388,-1.57072,0.481455,3709.27,36.2086,3088.2,0.538346,0.983204,0.0211417,6890.12,-0.00169,0.584574,8.69759,8.3074,124.226,78.5788,0.441186,8.79177,9.05917,123.478,125.448,0.747955,-46.869 
41,0.1,0.75,41,4232.4,-0.00378679,14.7605,8.09611,124.006,0.00688162,-10.9475,500,-0.483308,-1.86294,-1.09995,-2.17966,1.49249,-281.933,3033.82,4.39066,2834.41,3892.66,1.29195,-0.0876821,2.45057,-0.4044,3.26775,0.624042,3258.39,24.8061,3058.98,0.508397,0.986852,0.0147183,6409.14,-0.00161804,0.530512,8.71403,8.27594,124.293,79.6624,0.462383,8.62546,9.04499,123.571,126.662,0.721281,-46.9997 
42,0.07,0.78,42,5220.29,-0.0031778,16.9498,8.28502,124.047,0.00955286,-28.6868,500,-2.13356,-4.14504,-1.86552,-0.468147,-2.61964,-363.309,3714.28,13.8559,3159.29,4580.37,0.154105,-1.85738,2.7098,1.81951,-0.331982,-0.086505,4003.67,40.164,3448.68,0.52988,0.982747,0.021003,7555.8,-0.00154813,0.628545,8.75794,8.30306,124.304,79.2684,0.512899,8.61105,9.00293,123.724,126.358,0.579723,-47.0893 
