cyc,state,freq,microfreq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
33,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,33,14258.2,0.0527381,22.0136,13.049,96.7638,-0.0300287,-61.6932,500,-1.28051,2.5831,-0.811403,0.712481,-2.30173,-159.109,65.8515,34.9799,12872.5,9411.42,-0.27864,3.58497,1.19233,1.71435,-1.29986,0.757318,289.018,51.5107,13095.6,0.0259014,0.762255,0.00719366,11158.4,0.0017593,0.0150844,-9.42199,7.77247,118.95,54.0085,1.0545,12.5037,11.5721,96.5305,122.78,22.4194,-68.7712 
34,97,43.218,43.218,4.4,48.55,-0.2,0.19,0.01,34,24749.4,0.0739926,41.12,12.5008,97.0755,-0.14229,-68.022,0.0216742,1.21945,-1.69153,1.41165,0.313052,-1.77257,-238.058,11001.7,64.4543,12620.1,17048.5,2.71843,-0.192546,4.40962,1.81204,-0.273585,0.479627,11335.6,89.1876,12954,0.513216,0.986418,0.012524,22087.4,0.00190059,1.13384,11.8731,9.74141,97.205,72.7741,1.05096,12.3272,11.5339,96.5812,123.569,0.623776,-50.7954 
35,97,43.278,43.278,4.4,48.55,-0.2,0.19,0.01,35,25502.1,0.0562851,41.6473,12.7103,96.7573,0.0144027,19.1483,499.682,-2.32721,0.567994,-2.97826,1.45365,1.17443,-283.991,11513.2,72.4991,12753.7,17241,-0.53899,2.35621,0.598174,3.24186,2.96265,0.930606,11911.5,102.005,13152,0.521801,0.985235,0.0140858,22827.6,0.00210389,1.17994,11.9819,9.61694,96.8186,72.0918,1.02562,12.6438,11.6747,96.2626,122.695,0.556014,-50.6036 
36,75,47.3227,47.3227,2.5,46.05,0.2,-0.19,-0.01,36,14879.1,0.0216249,22.1656,13.626,97.0023,0.00707634,-31.4728,500,1.9964,0.46991,-0.661407,-1.05724,3.39404,-191.659,953.864,35.3007,12491.7,9839.24,3.20323,1.67673,1.75224,0.149586,4.60087,0.84606,1222.68,55.2133,12760.6,0.103495,0.926762,0.00790753,11813.9,0.00184072,0.10459,11.5771,9.13617,97.1367,71.5971,0.925861,13.052,12.3514,96.6291,122.848,0.507595,-51.2511 
37,97,43.248,43.248,4.4,48.55,-0.2,0.19,0.01,37,25021.7,0.22613,41.138,12.5885,97.0853,-0.158518,-203.472,497.308,-0.745589,0.954912,-1.78022,-2.56268,-1.841,-229.645,11137,78.1389,12715.1,17908.2,0.700425,2.40093,1.11181,-1.11667,-0.394981,0.588448,11459.1,101.998,13037.2,0.514323,0.984662,0.0142072,22279.9,0.00175317,1.15485,11.9501,9.68723,97.2879,72.5436,1.03873,12.6618,11.5553,96.435,123.446,0.852827,-50.9028 
38,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,38,26489.9,-0.00713781,43.6917,12.5926,96.7523,0.0190108,14.7132,7.18542e-12,1.13737,-1.4319,-5.53312,0.615765,-3.26283,-318.221,12055.8,102.415,13104.3,17919.6,3.14112,0.57185,-1.52561,2.61952,-1.25908,1.43002,12502.1,135.477,13550.6,0.526423,0.981389,0.018084,23749.1,0.00230521,1.2675,11.8221,9.4556,96.8348,72.5329,1.08152,12.518,11.4759,96.2679,123.022,0.566923,-50.4889 
39,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,39,14542.4,0.125637,22.6001,13.0759,96.8329,-0.149605,87.6287,500,1.92126,2.1493,0.729783,1.28223,-0.168371,-163.881,-9.31682,52.3823,13341.6,10046.8,2.95318,3.18122,2.79362,2.31415,0.863547,0.769231,220.543,69.4089,13571.5,0.0192029,0.644846,0.0093332,11484.9,0.00143574,0.0138932,-10.2176,-7.72394,119.054,55.2718,1.09268,12.6891,11.5357,96.5423,122.377,22.5117,-67.1056 
40,97,43.218,43.218,4.4,48.55,-0.2,0.19,0.01,40,26472.7,0.262078,43.3288,12.5853,96.8391,-0.308433,-139.59,163.481,-1.23483,0.738988,2.75054,-1.04529,1.49102,-293.763,12009.6,75.5139,13254.2,19153.1,0.614916,2.58874,6.45004,0.804458,3.34077,0.532569,12421.6,106.035,13666.2,0.522695,0.985281,0.0140913,23764.6,0.00175614,1.17611,12.1651,10.0871,97.0535,72.9751,1.04218,12.7284,11.993,96.2337,123.783,0.819764,-50.8077 
41,97,43.278,43.278,4.4,48.55,-0.2,0.19,0.01,41,26223.8,0.068516,43.1909,12.7521,96.8057,0.00569959,-27.7058,500,3.78069,1.90117,1.24145,0.151217,-0.255569,-265.231,11926.2,85.5934,13280.2,17934.7,5.45078,3.57126,4.58163,1.8213,1.41452,0.727924,12298.2,113.15,13652.2,0.520458,0.984154,0.0150378,23629.5,0.00157379,1.18803,12.2215,9.86037,97.0054,72.6826,1.04395,12.7925,11.9342,96.1394,123.536,0.866062,-50.8536 
42,75,47.3227,47.3227,2.5,46.05,0.2,-0.19,-0.01,42,15578.2,0.267352,23.3855,13.1733,96.5549,-0.0238105,-9.19935,3.77099,1.62853,1.95308,-0.0672111,1.23346,0.411031,-144.343,989.025,52.2503,13188.5,10035.6,2.53742,2.86197,1.75056,2.14235,1.31992,0.835043,1191.48,67.2469,13391,0.0968212,0.910109,0.00916592,12306,0.00198489,0.109527,10.7935,9.41424,97.1144,71.2961,1.00485,12.916,12.0225,96.1958,121.923,0.918627,-50.6264 
43,97,43.248,43.248,4.4,48.55,-0.2,0.19,0.01,43,25167.6,0.0156613,41.6092,12.5493,97.1215,-0.0647638,10.7068,8.74769e-12,-0.603263,-2.47941,2.95609,-0.375295,-3.19169,-282.066,10903.7,79.5148,13015.5,17020.8,1.17283,-0.703315,6.50829,1.4008,-1.4156,0.0653057,11299.4,108.82,13411.2,0.503747,0.983426,0.014727,22430.6,0.00203515,1.15113,11.8106,9.49755,97.2631,73.2619,1.06767,12.595,11.5233,96.5677,124.396,0.695488,-51.1345 
44,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,44,28751.2,0.00489549,46.3941,12.9801,97.0714,0.00119208,-11.871,7.2377e-12,2.10034,1.93725,-0.158633,2.09003,1.55355,-352.777,13305.9,94.8955,14136.1,19604.1,4.32169,4.15859,4.28406,4.31138,3.77489,0.794536,13800.7,131.548,14630.9,0.531936,0.983593,0.0162927,25944.3,0.00196172,1.29631,12.4137,9.88409,97.2106,72.1208,1.11581,12.8902,11.8071,96.4938,122.687,0.716792,-50.5659 
45,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,45,14255.4,0.0745773,22.0399,13.1899,96.7653,-0.00368695,-145.258,499.999,0.498507,0.372704,1.224,2.29311,2.11842,-108.95,-121.499,44.6759,13142.1,9480.82,1.18454,1.05874,2.59606,2.97914,2.80445,0.755617,31.3146,55.9954,13294.9,0.00282977,0.242173,0.00769881,11066.1,0.00143195,0.0107781,-7.96789,7.29729,115.507,55.0718,1.05775,12.7655,11.6226,96.5339,122.288,18.9727,-67.216 
46,97,43.218,43.218,4.4,48.55,-0.2,0.19,0.01,46,24219.3,0.0272476,40.3502,12.5543,96.827,-0.0356924,-14.6014,499.989,4.21752,2.32612,5.87865,1.10333,-1.98877,-279.607,10998.9,90.28,12225.7,16507.4,5.97813,4.08673,9.39987,2.86394,-0.228164,0.574676,11391.1,119.33,12617.9,0.520998,0.981997,0.0171229,21863.9,0.00174299,1.12628,11.9159,9.73493,96.9788,73.2961,0.991686,12.4467,11.7722,96.2308,124.256,0.747984,-50.9599 
47,97,43.278,43.278,4.4,48.55,-0.2,0.19,0.01,47,25812.4,0.252486,42.4188,12.5427,97.0163,-0.847498,-183.331,222.525,0.475877,0.937125,3.41903,-2.32878,0.883281,-295.919,11522.4,77.5775,13104.8,22377.7,2.3392,2.80045,7.14568,-0.465463,2.7466,0.509443,11937.5,108.322,13519.8,0.515459,0.984369,0.0145445,23158.9,0.00194454,1.20147,11.9371,9.50554,97.1223,72.163,1.07314,12.6701,11.5276,96.3949,122.906,0.727432,-50.7429 
48,75,47.3227,47.3227,2.5,46.05,0.2,-0.19,-0.01,48,13836.7,0.183254,20.9651,13.3447,96.712,-0.209603,44.2214,369.712,-0.350268,-0.902759,0.136692,0.421603,-0.292098,-151.193,979.154,43.7282,11810,9409.28,0.601755,0.0492639,2.04074,1.37363,0.659924,0.568126,1191.22,59.4365,12022.1,0.106649,0.919695,0.0090251,11169.5,0.00143871,0.104226,11.1373,9.6131,97.2387,72.0471,0.90048,13.0304,12.0336,96.4529,123.48,0.785713,-51.4333 
