cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
31,45.9,0,31,17178.9,1.15516,10.7095,14.1082,97.6655,0.579142,-399.973,0.413906,8.94553,4.40876,13.1349,4.65255,5.56497,779.564,2887.68,1189.91,3686.34,12459.2,4.03683,-0.499948,3.31753,-0.256158,0.65626,0.542694,1794.26,1108.92,2592.93,0.440198,0.480409,0.440657,4076.04,-0.645258,0.657911,2636.23,3584.3,95.9169,86.9235,0.524505,11.7931,10.4769,96.7504,115.582,-0.8335,-28.659 
32,46.05,3,32,-3703.51,0.000117002,5.99587e-16,126.878,59.1544,0.000359769,5.73419,166.156,-4.01049,-2.79547,-6.68771,-2.00789,-2.79219,-663.737,46.8875,-39.5483,3289.1,0.067157,0.168885,1.38391,1.67104,2.17149,1.38719,0.753625,977.844,29.4114,4220.06,0.208429,0.949996,0.0126757,4691.5,-0.0088039,0.0948847,11.4868,9.64954,96.15,66.193,0.364853,12.3521,10.9679,96.5537,115.327,-0.40361,-49.1342 
33,46.05,0,33,-724.917,-0.0051881,-7.82048,-10.0206,96.8711,0.00978776,26.7275,1.06692e-11,-2.07596,4.64189,-5.85554,-3.84416,5.37001,-440.46,-613.313,-24.9867,4153.64,2559.59,0.697496,7.41535,-0.308623,-1.0707,8.14347,1.02074,4.47547,20.7754,4771.43,0.00106474,0.109606,0.00795693,4203.33,-0.0051954,-0.00520893,64.1957,7.26142,71.3903,61.6117,0.465918,11.5324,10.3395,96.5092,115.35,-25.1189,-53.7382 
34,45.9,3,34,1101.02,-0.947193,-10.0332,13.0894,96.6687,-0.212497,1061.76,0.00487508,-2.60075,-2.34536,0.459881,-5.07722,-2.92095,-389.538,277.152,-18.3571,4659.44,11619.9,-0.147936,0.107455,5.36552,-2.6244,-0.468135,-1.40337,823.517,22.1144,5205.8,0.152373,0.955115,0.00776456,5404.62,-0.00477094,0.0861027,11.2403,9.48805,96.2526,67.1361,0.42125,12.8014,11.3844,96.3863,116.477,-0.133756,-49.3413 
35,45.9,0,35,4787.77,0.0108666,8.53569,12.0395,96.9249,-0.0354387,28.7279,1.5814,-0.334959,-2.38368,0.485286,-1.19432,0.817307,-44.3109,15.5324,12.926,4627.27,3378.49,-0.0559445,-2.10466,1.04331,-0.915303,1.09632,2.11432,77.6828,17.5297,4689.42,0.0184766,0.716897,0.00683895,4204.38,0.000522757,-0.0189127,6.05362,23.3999,115.406,92.9997,0.468534,11.7824,9.98084,96.6299,115.35,18.7757,-22.3508 
36,46.05,3,36,-172.566,-0.335879,7.7561,11.5327,97.1932,3.17434,3615.49,0.0018229,-8.2745,-5.83451,2.6655,-7.43416,-1.4318,-367.129,262.749,-17.1394,3455.67,376520,-5.96279,-3.52279,7.28893,-5.12245,0.879912,2.13197,777.684,21.0039,3970.61,0.18205,0.954869,0.00965043,4271.82,-0.00483836,0.0826416,10.9878,9.83979,96.7736,66.4497,0.351012,12.2881,10.8589,96.9843,115.241,-0.210664,-48.7911 
37,46.05,0,37,-2017.76,0.000117002,-3.62682e-15,126.878,59.1544,0.000359769,5.73419,166.156,-4.26272,-2.8234,-5.30969,-4.33628,-4.75317,-502.961,-610.633,-30.5036,3849.77,0.067157,-1.09571,0.34361,1.02434,-1.16927,-1.58615,1.41251,94.8195,21.7521,4555.22,0.0231075,0.713542,0.00871972,4103.41,-0.00628137,-0.0182169,5.46425,24.3694,116.262,92.9974,0.460299,11.5895,9.90699,96.9161,114.992,19.346,-21.9947 
38,45.9,3,38,1101.26,-1.04341,-10.698,13.2965,97.0898,0.0267341,1616.58,97.8849,4.60883,-10.2875,-6.86035,-0.57561,-10.011,-384.92,301.559,-18.8024,5025.05,6037.46,7.03257,-7.86374,-2.01288,1.84813,-7.58724,0.765485,841.447,21.1893,5564.94,0.146629,0.957792,0.00696523,5738.59,-0.00522807,0.0860961,11.3263,9.81804,96.8972,66.4069,0.449428,13.0845,11.3037,96.589,115.523,0.308193,-49.1159 
39,45.9,0,39,24810.6,0.0180306,6.64993,89.9011,98.588,0.0310119,-93.9423,500,6.05894,12.3615,16.6941,6.24364,11.9779,1344.36,1766.62,150.367,7209.02,19556.4,-2.40614,3.89646,-0.236037,-2.22144,3.51284,1.09272,-118.973,10.6934,5323.42,-0.0260583,1.18665,0.00368669,4565.64,0.0202731,-0.00916621,21.7822,-21.4732,106.23,92.9966,0.533102,11.9114,10.3619,96.7059,115.734,9.52448,-22.737 
40,46.05,3,40,20146.1,0.263739,5.613,74.4958,97.3853,-0.0563523,50.0451,500,5.33982,6.7065,7.65484,5.61242,9.36303,1031.66,2271.7,129.783,5608.6,13703.8,-1.15625,0.210435,-5.33729,-0.883645,2.86696,-0.241293,824.7,22.5977,4161.6,0.183801,0.954242,0.00990368,4486.91,0.0156155,0.0862721,11.517,10.054,96.8114,66.7933,0.353672,12.5567,11.2752,96.7857,116.492,0.025734,-49.6985 
