cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
58,-4.02,43.2027,58,8890.77,-0.358426,26.0926,9.03472,119.143,0.562519,-47.3238,491.764,-1.16114,-2.60487,-6.86051,-3.03793,-6.73264,-437.006,5263.12,-15.499,5682.29,8540.7,1.59057,0.146842,-1.3571,-0.286218,-3.98093,0.650848,5611.21,16.1457,6030.38,0.522603,0.99499,0.00490784,10737 
59,-4.035,43.1877,59,7333.24,-0.0263131,22.9184,8.341,119.178,-0.022553,-5.8642,499.754,-2.08361,-4.83633,-8.90457,-4.28058,-5.54745,-429.526,4583.35,-5.068,4746.55,6227.27,0.620999,-2.13172,-3.49535,-1.57597,-2.84284,0.629136,4925.48,26.035,5088.69,0.532435,0.990835,0.00933669,9250.87 
60,-3.98,43.2427,60,7590.41,-0.178205,23.4034,8.51267,119.184,0.195023,632.417,7.32099,-2.52393,-2.96912,-14.3971,-9.51413,-3.13211,-460.204,4219.74,2.70339,5372,10500.4,0.373856,-0.0713343,-8.60154,-6.61635,-0.234328,0.43223,4586.31,36.0279,5738.57,0.484601,0.986439,0.0114329,9464.09 
61,-4.03,43.1927,61,8024.55,-0.323575,24.0559,8.7712,119.024,0.808169,-166.638,485.738,-5.96862,-2.58275,-8.90503,-5.97838,-3.93265,-438.911,4632.96,-0.613686,5291.21,11252.7,-3.20492,0.180956,-3.37762,-3.21468,-1.16895,0.686829,4982.57,31.1689,5640.81,0.509608,0.989171,0.0100762,9777.26 
62,-3.99,43.2327,62,6853.04,-0.0195449,21.2945,8.45464,119.279,-0.0117138,14.3138,500,1.11022,-1.83002,-9.81897,-2.74983,-5.32496,-396,3898.78,-3.07063,4886.61,5866.26,3.60373,0.663492,-4.83195,-0.256321,-2.83145,-0.322915,4214.21,25.6047,5202.03,0.487985,0.989479,0.00898548,8635.94 
63,-4.065,43.1577,63,8415.63,-0.0215669,24.8583,8.68745,119.299,0.0125627,-5.71757,500,-2.73025,-1.25846,-6.86882,-4.34675,-8.49138,-415.532,4860.41,-6.34772,5493.13,7032.38,-0.113753,1.35803,-1.63584,-1.73026,-5.87488,0.795436,5191.4,23.7419,5824.11,0.511877,0.99206,0.00745335,10141.9 
64,-4.06,43.1627,64,8754.42,-0.0288102,25.6151,-8.6515,119.179,0.00264712,45.928,500,-3.14282,-1.14277,-5.23897,-7.13291,-5.77183,-399.054,5089.12,-5.6703,5518.47,7218.06,-0.630081,1.36996,-0.213492,-4.62017,-3.25909,0.970965,5406.98,23.2262,5836.33,0.521514,0.992539,0.00727746,10367.9 
65,-4.055,43.1677,65,9723.66,-0.0895362,27.934,8.69653,119.296,-0.0206525,-243.488,0.0122105,-2.85492,-4.41719,-11.4778,-5.11368,-6.86595,-368.179,5476.17,2.74472,6107.39,8071.85,-0.536598,-2.09887,-6.84118,-2.79536,-4.54763,0.593262,5769.44,29.4054,6400.65,0.514669,0.99116,0.00839186,11210 
66,-4.05,43.1727,66,8253.99,-0.245382,25.0982,8.62492,119.309,-0.0793693,692.996,499.598,0.397323,-1.45446,-4.32445,-3.73494,-5.82395,-399.114,4886.02,1.1156,5355.88,8837.33,2.91044,1.05865,0.701777,-1.22182,-3.31083,-4.07773,5203.93,30.0164,5673.79,0.51901,0.990007,0.00965135,10026.7 
67,-4.045,43.1777,67,8835.77,-0.0209979,26.3865,-8.50059,119.22,-0.0213851,-7.72564,500,-0.283439,-4.14913,-10.3176,-5.2451,-3.31379,-469.332,4952.52,1.27063,5865.37,7307.12,2.67182,-1.19387,-4.40713,-2.28985,-0.35853,0.209846,5326.36,35.2561,6239.21,0.501083,0.988549,0.010302,10629.7 
68,-4.065,43.1577,68,8592.26,-0.129965,25.7822,8.63883,119.432,0.00346735,156.931,500,1.01116,-3.94598,-8.3724,-6.39923,-3.86937,-404.171,4713.04,-1.96476,5862.38,7268.25,3.55612,-1.40102,-3.28248,-3.85427,-1.32441,0.479472,5034.98,27.3023,6184.32,0.489229,0.9906,0.00806684,10291.7 
69,-4.06,43.1627,69,7575.93,-0.0157629,24.2379,8.35677,119.27,-0.00511952,-1.022,500,-3.48859,-5.89196,-6.59336,-5.0733,-3.45058,-489.801,4728.55,-16.0214,5008.07,6593.88,-0.404441,-2.80781,-0.425061,-1.98915,-0.36643,0.929072,5118.7,19.4463,5398.21,0.52731,0.993396,0.00659218,9707.18 
70,-4.055,43.1677,70,8435.63,-0.055486,26.39,8.40941,119.413,-0.0102895,70.861,499.999,-1.03378,-6.31459,-7.53897,-3.2043,-5.27219,-431.104,5036.81,-20.4818,5593.81,7248.11,1.68077,-3.60005,-2.10988,-0.489752,-2.55764,0.701849,5380.2,10.7356,5937.2,0.515996,0.99652,0.00331981,10426.8 
71,-4.05,43.1727,71,7500.02,-0.0639132,23.3599,8.53902,119.213,0.05609,10.5598,498.282,-2.07425,-2.65859,-4.26065,-8.4497,-5.45129,-494.682,4347.19,-9.19303,5146.74,6512.73,1.04063,0.45629,1.96911,-5.33481,-2.3364,1.46826,4741.22,26.6281,5540.77,0.50167,0.990267,0.00877519,9450.88 
72,-4.045,43.1777,72,8017.36,-0.352763,25.0038,8.56641,119.386,1.45138,-1619.82,409.386,-1.74252,-1.55893,-9.40326,-3.39609,-0.297223,-503.112,4719.74,-3.28298,5353.42,83504.6,1.42544,1.60904,-3.06733,-0.228127,2.87074,2.17533,5120.48,33.1486,5754.17,0.511459,0.988798,0.0105006,10011.5 
73,-4.065,43.1577,73,8342.38,-0.0267341,24.9565,8.72447,119.239,-0.00607639,24.4077,500,-1.75275,-3.53801,-11.9894,-3.25723,-5.80046,-500.922,4958.57,-5.0092,5545.26,7092.73,1.40142,-0.383836,-5.68106,-0.103061,-2.64629,0.233617,5357.57,31.2638,5944.26,0.514647,0.989891,0.00959556,10410.2 
