cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
59,-4.01,43.2127,59,7227.23,-0.0627763,24.4125,8.44593,120.191,-0.0725921,70.7,0.0732418,-3.39742,-3.96725,-10.7392,-0.147519,-4.60146,-735.824,4820.09,-4.07549,5295.69,6879.11,1.23586,0.666039,-1.47267,4.48577,0.0318271,1.2977,5406.2,49.2073,5881.8,0.519541,0.984321,0.0151772,10405.7 
60,-3.965,43.2577,60,8500.96,-0.0493033,26.5893,8.63551,120.263,0.00611065,54.0165,500,-4.86084,-2.85917,-7.92421,-7.22695,-5.86126,-733.265,5560.39,3.15539,5718.6,7485.38,-0.24367,1.75801,1.31013,-2.60978,-1.24409,2.27272,6144.46,56.2529,6302.67,0.53422,0.984231,0.0161753,11501.7 
61,-4.02,43.2027,61,7210.53,-0.500574,24.9807,8.54218,120.126,-3.58686,2114.39,487.802,-1.80755,-4.84077,-8.1294,-1.90063,-3.81376,-849.635,4751.2,10.0964,5354.16,253831,3.54238,0.509156,2.57045,3.4493,1.53617,0.778551,5427.96,71.6205,6030.93,0.514292,0.97743,0.0214077,10554.3 
62,-4.005,43.2177,62,8292.52,-0.452349,26.3767,8.77127,120.219,0.340716,623.042,255.893,-1.54283,-3.19711,-5.06333,-7.8489,-6.44278,-733.137,5309.46,2.05084,5672.93,14441.9,3.07354,1.41926,4.16941,-3.23253,-1.82641,-0.15712,5893.43,55.1391,6256.9,0.525646,0.983891,0.0159743,11211.8 
63,-3.945,43.2777,63,6981.62,-0.212255,24.5916,8.55537,120.578,0.70377,-831.246,22.9223,-5.47264,-3.98524,-6.04243,-5.94006,-6.79583,-854.012,4625.83,6.02333,5458.1,25892.8,-0.0951553,1.39224,4.71254,-0.562578,-1.41835,-0.169741,5306.09,67.8644,6138.36,0.504204,0.978108,0.0199594,10523.7 
64,-4.035,43.1877,64,8054.97,-0.483098,26.5594,8.65044,120.379,4.09493,-1048.28,148.588,-0.732597,-4.21454,-9.72267,-4.61828,-5.38561,-776.895,5335.77,2.33202,5671.64,147218,4.1593,0.677361,0.0611349,0.273621,-0.49371,0.986931,5954.59,58.5889,6290.47,0.526886,0.983073,0.0168678,11301.5 
65,-4.015,43.2077,65,7118.82,-0.0169941,23.7667,8.48623,120.138,0.00478439,-9.07646,500,-5.28765,-4.63358,-5.07073,0.388774,-7.30183,-774.594,4759.12,9.29104,5259.9,6567.07,-0.410237,0.243835,4.68409,5.26618,-2.42442,0.363528,5376.11,65.3813,5876.89,0.518356,0.979161,0.0200821,10371.5 
66,-4,43.2227,66,8749.83,-0.281186,27.3025,8.88699,120.175,-0.130428,1785.09,1.86044e-09,-6.74622,-0.754264,-8.3804,-7.62189,-6.96237,-693.317,5519.49,17.2636,6057.77,15477.9,-2.38058,3.61137,0.350875,-3.25626,-2.59673,1.08215,6071.74,67.4684,6610.02,0.519385,0.980925,0.0184554,11690.3 
67,-3.985,43.2377,67,8506.42,-0.0543617,26.3119,8.70405,120.29,0.0236547,26.8404,500,-0.860898,-2.67752,-9.82539,-2.14362,-0.81247,-719.465,5346.33,19.3318,5730.55,7476.03,3.66938,1.85275,-0.764834,2.38666,3.71781,1.07042,5919.41,71.4299,6303.63,0.524887,0.979319,0.0204471,11277.5 
68,-3.95,43.2727,68,7268.54,-0.0130793,24.8446,8.42723,120.27,-0.00937229,-0.897996,500,-7.9273,-5.87297,-5.35693,-3.90971,-8.7815,-812.701,4784.21,0.924958,5477.32,6815.98,-2.80994,-0.755605,4.87779,1.20765,-3.66414,5.26288,5431.56,59.7746,6124.66,0.510604,0.981105,0.0176608,10637.5 
