cyc,freq,VVA,pulsetime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
64,43.638,5,0.01,0.78,64,13918.2,-0.0381058,25.3017,12.1196,90.9265,0.0103057,-330.734,166.287,-1.14318,-0.623308,0.924133,-1.16064,1.079,103.411,7017.57,18.5061,7105.58,10093.3,-1.79433,-1.27446,-0.378164,-1.81179,0.427849,0.92172,6880.58,15.8201,6968.59,0.528749,0.995992,0.00416454,13012.9,4817.65,61360.2,60121.2,0.000219216,0.688182,11.5856,10.3623,91.7781,69.7144,0.656031,11.5926,11.2198,90.3464,120.703,1.43172,-50.9891 
65,43.038,5,0.01,0.78,65,13699.2,-0.0535073,25.4975,11.9084,90.6236,-0.0192529,-64.2864,13.9289,-1.24699,0.189952,-1.17141,-0.354301,0.565239,79.6631,6869.82,18.3012,7087.69,9924.6,-1.74861,-0.311666,-2.17465,-0.855918,0.0636213,0.567425,6764.29,16.2321,6982.16,0.524014,0.995818,0.00426425,12908.6,4814.19,59934.7,61452.5,5.74143e-06,0.679329,11.6743,10.2991,91.3998,69.4585,0.664817,11.4987,11.2677,90.005,120.351,1.39483,-50.8924 
68,43.338,5,0.01,0.78,68,12390.2,-0.0200566,21.9628,12.3577,90.7451,0.0573996,108.684,201.439,-1.90164,-0.721002,3.96341,-0.67016,-1.75175,60.2369,6003.26,21.0201,6540.18,9038.34,-2.28094,-1.1003,3.20482,-1.04946,-2.13104,1.95469,5923.47,19.4555,6460.39,0.510265,0.994285,0.00551691,11608.6,3792.24,44652.2,49943.1,0.000411177,0.588357,11.7273,10.1203,91.5877,68.9558,0.599415,11.7235,10.9709,90.1219,119.426,1.46585,-50.4698 
69,43.308,5,0.01,0.78,69,12774.8,-0.04128,23.1551,12.1861,90.6981,0.0339311,10.6773,132.653,-2.70124,-1.64802,-2.13572,-1.19292,-2.39268,50.6671,6523,21.4553,6490.07,9197.35,-3.02028,-1.96706,-2.77379,-1.51195,-2.71171,0.768558,6455.88,20.1393,6422.95,0.533188,0.99457,0.00574278,12108.1,4140.98,53099.9,50568.5,0.000243908,0.64482,11.7403,10.0426,91.4835,69.4159,0.605052,11.508,11.1464,90.0599,120.08,1.42359,-50.6641 
74,42.978,5,0.01,0.78,74,13740.4,-0.0555762,24.8744,12.2521,90.7736,0.0689478,34.5666,356.641,-0.790712,0.924486,0.394008,-1.66648,-3.52533,85.9003,7029.56,23.3108,6962.47,9998.67,-1.3316,0.383594,-0.687775,-2.20738,-4.06622,0.913043,6915.77,21.0796,6848.68,0.534341,0.994694,0.00563787,12942.6,4757.84,60932.9,58838.5,0.000130935,0.680424,11.8466,10.2786,91.6837,69.5121,0.651758,11.6585,11.0509,90.0641,120.269,1.61955,-50.7566 
77,43.458,5,0.01,0.78,77,13049.4,-0.0411523,23.5372,12.241,90.5673,0.0162108,26.8109,486.364,-3.26418,-2.33607,4.65224,0.638766,-2.56531,105.606,6361.2,16.5438,6907.98,9393.4,-3.92916,-3.00104,3.32229,-0.0262101,-3.23029,1.48399,6221.31,13.8007,6768.09,0.510897,0.996133,0.00374216,12177.2,4251.31,50583.6,56177.8,0.000242692,0.627471,11.6907,10.1533,91.1512,69.1449,0.631511,11.7355,11.1369,90.0886,120.038,1.0626,-50.8936 
78,42,0,0.01,0.78,78,13137.5,-0.00518794,23.5303,12.1526,90.7536,0.001628,7.49649,98.1076,-0.417133,-1.69792,-0.398208,3.80543,1.29592,46.0135,6522.72,21.4366,6725.5,9309.14,-0.706868,-1.98766,-0.977678,3.5157,1.00618,2.15064,6461.77,20.2415,6664.54,0.524215,0.994548,0.00556369,12326.6,4197.96,51359.1,54117.7,0.000352188,0.615956,11.8177,10.5781,91.3898,70.1786,0.629452,11.4459,11.0743,90.1193,120.948,1.2705,-50.7693 
80,43.398,5,0.01,0.78,80,14203.7,-0.0412159,26.0494,12.0233,90.5797,0.16015,-285.901,40.9102,-0.36219,-0.00944416,-0.794618,0.0492081,-3.05411,84.547,7088.55,17.8779,7343.63,11686.2,-0.89456,-0.541814,-1.85936,-0.483162,-3.58648,0.747554,6976.55,15.6819,7231.63,0.522965,0.996082,0.00397873,13340.4,5110.74,62667.4,66254.9,0.000128561,0.690993,11.8132,10.2966,91.2921,69.641,0.696069,11.4272,11.1237,90.1319,120.395,1.16017,-50.7536 
81,43.248,5,0.01,0.78,81,12323.7,-0.0203406,21.8179,-12.375,90.7166,-0.00206623,26.3905,2.59926,0.859049,-0.867122,-0.113037,-0.892457,0.249969,70.5381,5677.34,17.5472,6721.77,8791.01,0.414889,-1.31128,-1.00136,-1.33662,-0.19419,0.707936,5583.9,15.715,6628.33,0.489094,0.995099,0.00434843,11416.8,3695.53,39330.9,52950.6,0.000365364,0.544248,11.7909,10.3512,91.5481,70.3958,0.612516,11.6405,11.2525,90.1211,121.494,1.42703,-51.0978 
82,43.008,5,0.01,0.78,82,13423.9,-0.051332,24.3493,12.2218,90.6475,0.0470187,9.93735,500,-1.34778,0.0927592,0.473123,1.82399,0.635541,66.8856,6857.36,16.1232,6817.64,9702.8,-1.76894,-0.328402,-0.369199,1.40283,0.21438,0.565309,6768.76,14.3859,6729.04,0.53338,0.996294,0.00392275,12690.3,4437.06,57246,54513.1,0.000108169,0.652365,11.922,10.4548,91.4503,70.1402,0.618832,11.6026,11.4071,90.0511,120.931,1.39915,-50.7909 
85,43.278,5,0.01,0.78,85,14501.6,-0.0667931,26.1882,12.3174,90.7171,0.126287,-124.867,459.444,-0.521337,-1.51764,-3.22116,0.812307,3.04831,87.8162,6839.26,21.5648,7952.1,11014.1,-1.07429,-2.0706,-4.32707,0.259352,2.49535,0.0827147,6722.94,19.2839,7835.77,0.493665,0.995005,0.00451297,13618.4,5152.78,55992.5,74081.9,2.3339e-06,0.636909,12.0895,10.5725,91.6624,69.8328,0.718569,11.7709,11.3834,90.1525,120.874,1.50987,-51.0408 
86,43.128,5,0.01,0.78,86,14374.4,-0.0480044,26.1863,12.1314,90.642,-0.31598,-54.9969,74.6386,-0.42939,-1.33669,-0.183624,0.846307,-0.558214,60.8505,7101.43,25.7538,7477.59,10907.1,-0.81255,-1.71985,-0.949942,0.463148,-0.941373,0.76015,7020.82,24.1732,7396.98,0.518901,0.994011,0.00598395,13530.2,5198.84,63781.9,67461.1,0.000138627,0.700431,11.6683,10.3176,91.612,70.131,0.696732,11.691,11.0706,90.0209,121.067,1.59104,-50.9359 
87,42.948,5,0.01,0.78,87,13804.2,-0.0438315,25.0535,12.1667,91.0916,0.0541606,-17.4966,416.086,-0.737636,-0.975427,2.34792,2.63445,1.63482,75.7467,7015.15,18.4452,7001.49,9953.67,-1.21459,-1.45238,1.394,2.1575,1.15787,0.317464,6914.81,16.4777,6901.15,0.532407,0.995847,0.0043791,12987.8,4717.32,59952.4,58921,0.000155536,0.667034,11.9775,10.4152,91.9811,69.9294,0.652026,11.4496,11.265,90.3844,120.664,1.59668,-50.735 
90,42.858,5,0.01,0.78,90,10922.7,-0.0378047,19.6146,12.3145,90.6922,0.0155561,18.7503,135.365,-0.111041,1.30418,0.513051,2.51033,1.57775,103.57,5512.86,16.7195,5569.25,7872.54,-0.763195,0.65203,-0.791257,1.85818,0.925596,1.42058,5375.66,14.0294,5432.06,0.529316,0.995454,0.00473508,10155.9,3030.94,37243,37367.9,0.000312185,0.534048,11.7322,10.2079,91.4157,70.0009,0.520625,11.4999,11.051,90.1658,120.92,1.2499,-50.9188 
91,43.518,5,0.01,0.78,91,13205,-0.0253346,24.0734,12.0342,90.6756,0.00701717,29.6358,165.921,-0.197371,0.799204,0.0474293,0.712156,-0.397472,82.5979,6417.67,20.8728,7024.65,9437.61,-0.717468,0.279107,-0.992765,0.192058,-0.917569,0.53967,6308.25,18.7274,6915.24,0.50899,0.994832,0.00496391,12393.7,4345.08,49831.1,58973.2,0.000230346,0.613522,11.7377,10.4078,91.5381,70.0986,0.651563,11.4893,11.2371,90.076,121.035,1.46206,-50.936 
92,42.918,5,0.01,0.78,92,11239.5,-0.0274178,19.6947,12.554,90.5664,0.0238773,-17.0787,25.0666,-0.960882,-0.87112,0.61013,0.570077,3.14802,94.1228,5640.83,16.3085,5746.62,8061.99,-1.55355,-1.46379,-0.575203,-0.0225895,2.55535,0.457239,5516.15,13.8638,5621.93,0.527182,0.995621,0.00452212,10463.4,3198.07,38938.1,39899.4,0.000259538,0.541256,11.9515,10.2238,91.4694,68.9747,0.537234,11.6819,10.9146,90.0162,119.426,1.45318,-50.4508 
94,43.428,5,0.01,0.78,94,11755.2,-0.0349442,21.0507,12.3181,90.6095,0.0472146,-40.205,321.926,0.724443,0.687675,2.36126,1.3627,-0.742809,76.0429,5988.52,18.3062,5995.85,8502.99,0.245621,0.208853,1.40361,0.883877,-1.22163,0.0767724,5887.79,16.331,5895.12,0.531605,0.995169,0.00507721,11075.5,3525.11,43754.9,43682,0.000272631,0.577184,11.939,10.1317,91.3399,69.4453,0.569403,11.3786,10.9556,89.9593,120.142,1.3806,-50.6967 
